2023-07-24 14:18:05 , udn , MLB／放牛班的春天 國民投打發威橫掃外卡龍頭巨人 , https://udn.com/news/story/6999/7321029?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:08 , udn , 邱臣遠籲中央重新評估效益 避免入「蚊子捷運大錢坑」 , https://udn.com/news/story/6656/7321158?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:08 , udn , 民眾黨立委邱臣遠今天指出，蔡政府2017年提出前瞻基礎建設計畫，目前陸續進入建設高峰，如今光是已動工的6都、7縣市自籌款... , https://udn.com/news/story/6656/7321158?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:08 , udn , 東港迎王平安祭典開跑 王船今開光點睛 , https://udn.com/news/story/7327/7321150?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:08 , udn , 3年1科的國家無形文化資產「東港迎王平安祭典」明年將登場，祭典中最重要的法器王船去年11月底開始建造，今年4月完工，本科... , https://udn.com/news/story/7327/7321150?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:09 , udn , 颱風杜蘇芮外圍環流影響  龜山島封島3天 , https://udn.com/news/story/123630/7321141?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:09 , udn , 交通部觀光局東北角暨宜蘭海岸國家風景區管理處今天表示，受颱風杜蘇芮外圍環流影響，為登島遊客安全，龜山島即日起封島3天 , https://udn.com/news/story/123630/7321141?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:09 , udn , 千坪廠房付之一炬…新北泰山工廠大火撲滅 3傷送醫 , https://udn.com/news/story/7320/7321120?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:09 , udn , 新北市泰山泰林路某鐵皮工廠今天上午10許火警，冒出大量濃煙，警消獲報出動大批人車前往灌救。火勢撲滅後，共3家工廠約千坪廠... , https://udn.com/news/story/7320/7321120?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:09 , udn , 新竹大車站計畫續推嗎？ 綠：若取消之前努力將付之一炬 , https://udn.com/news/story/7324/7321137?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:10 , udn , 新竹市前市長林智堅任內力推「大車站計畫」列入前瞻重大建設，預估工程經費134億元，隨市府改朝換代，大車站是否繼續推動或撤... , https://udn.com/news/story/7324/7321137?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:10 , udn , 中颱杜蘇芮逼近 漢光實兵台東豐年機場戰備科目取消 , https://udn.com/news/story/10930/7321136?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:10 , udn , 中颱杜蘇芮逼近台灣南部，影響國軍漢光39號演習實兵操演。國防部宣布，7月25日漢光演習在台東豐年機場戰備科目開設，因颱風... , https://udn.com/news/story/10930/7321136?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:10 , udn , 亞洲生技大展本周登場 生技股王保瑞登上千金股行列 , https://udn.com/news/story/7254/7321128?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:11 , udn , 亞洲生技大展將於周四（27日）登場，CDMO為今年重點論壇主題，而CDMO廠保瑞（6472）今日跳空開高突破千元大關、以... , https://udn.com/news/story/7254/7321128?from=udn-ch1_breaknews-1-0-news
