2023-03-15 00:20:46 , udn , 2024立委戰／苗栗縣長選後新局 藍擬大和解 綠有新勢力 , https://udn.com/news/story/6656/7031943?from=udn-ch1_breaknews-1-0-news
2023-03-15 01:35:38 , udn , 國民黨中常會今天將成立「中央選戰策略會報」，由黨主席朱立倫指派黃健庭秘書長作為召集人，成員傳出有現任立委傅崐萁、台南市前... , https://udn.com/news/story/6656/7032011?from=udn-ch1_breaknews-1-0-news
2023-03-15 03:08:24 , udn , 【即時短評】老故宮轉型新故宮 數位之路為何困難重重 , https://udn.com/news/story/7314/7032028?from=udn-ch1_breaknews-1-0-news
2023-03-15 03:08:35 , udn , 故宮十萬件文物高階圖檔遭複製外流，這在外界聽來「不可思議」的天方夜譚，在故宮卻不是第一次；故宮口口聲聲說要向大陸網站提告... , https://udn.com/news/story/7314/7032028?from=udn-ch1_breaknews-1-0-news
2023-03-15 03:08:55 , udn , 故宮十萬件文物檔案遭駭 專家：資安和公共財是兩件事 , https://udn.com/news/story/7314/7032029?from=udn-ch1_breaknews-1-0-news
2023-03-15 03:09:06 , udn , 故宮十萬件文物高階圖檔遭駭外流，引爆故宮資安問題。頑石文創創辦人程湘如指出，故宮十多年前便出現「龍藏經」、「富春山居圖」... , https://udn.com/news/story/7314/7032029?from=udn-ch1_breaknews-1-0-news
2023-03-15 03:09:26 , udn , 10萬件故宮文物高階圖檔遭駭 故宮副院長：絕無隱匿 , https://udn.com/news/story/7314/7032030?from=udn-ch1_breaknews-1-0-news
2023-03-15 03:09:37 , udn , 故宮傳出數千件故宮國寶數位圖檔遭複製外流，在百度、淘寶等網站賤賣。故宮副院長黃永泰昨受訪證實，去年六月期間故宮發現有故宮... , https://udn.com/news/story/7314/7032030?from=udn-ch1_breaknews-1-0-news
2023-03-15 03:11:25 , udn , 軍友社榮譽理事長李棟樑 赴桃園地區後勤部隊慰問 , https://udn.com/news/story/7324/7032032?from=udn-ch1_breaknews-1-0-news
2023-03-15 03:11:35 , udn , 中華民國軍人之友社榮譽理事長李棟樑，14日前往桃園地區，走訪陸軍後勤部所屬的飛彈光電勤務廠與後勤訓練中心，致贈慰問金及慰... , https://udn.com/news/story/7324/7032032?from=udn-ch1_breaknews-1-0-news
2023-03-15 06:11:25 , udn , 銀行跌深反彈 道指止連五跌 , https://udn.com/news/story/6811/7032059?from=udn-ch1_breaknews-1-0-news
2023-03-15 06:11:36 , udn , 美股上漲，因投資人看好矽谷銀行和Signature銀行關閉所蔓延的風險得以控制。 , https://udn.com/news/story/6811/7032059?from=udn-ch1_breaknews-1-0-news
2023-03-15 06:17:26 , udn , 穩定供電遙不可及 達成非核家園又如何？ , https://udn.com/news/story/6656/7032001?from=udn-ch1_breaknews-1-0-news
2023-03-15 06:17:36 , udn , 核二廠二號機除役，每年近八十億度的發電缺口，讓學者感到憂心；台中市長盧秀燕也擔心在水情嚴峻情況下會出現「火力全開」讓中部再陷空汙危機。八大工商團體多次呼籲政府檢視能源政策，在台美商也直言最在乎電力穩定度及綠能可用性，但蔡英文政府始終無視供電窘境，也不管漲電價是在國人身上堆疊生活痛苦指數，堅守反核神主牌，硬把能源政策失當造成缺電危機的爛攤子丟給下一任總統，無怪乎她會對中研院前院長李遠哲說「2024年後不是我的事」。 , https://udn.com/news/story/6656/7032001?from=udn-ch1_breaknews-1-0-news
2023-03-15 06:17:57 , udn , 故宮10萬件高階圖檔外流 哪個環節出了錯 , https://udn.com/news/story/7314/7031982?from=udn-ch1_breaknews-1-0-news
2023-03-15 06:18:07 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。故宮驚傳高階圖檔大量外流，這次的圖表帶你看故宮資安管理出了什麼問題。 , https://udn.com/news/story/7314/7031982?from=udn-ch1_breaknews-1-0-news
2023-03-15 06:32:48 , udn , 獨／成大與南工合併案終於核定 下一所要合併的學校可能是... , https://udn.com/news/story/6885/7032088?from=udn-ch1_breaknews-1-0-news
2023-03-15 06:32:59 , udn , 協商多年，位在台南永康的國立台南高級工業職業學校改隸國立成功大學案，終於獲得教育部核定，並決定在8月1日正式掛牌，更名為... , https://udn.com/news/story/6885/7032088?from=udn-ch1_breaknews-1-0-news
2023-03-15 06:35:45 , udn , 蔡政府4任閣揆 誰讓藍委最難招架？ , https://udn.com/news/story/6656/7032009?from=udn-ch1_breaknews-1-0-news
2023-03-15 06:35:55 , udn , 行政院長陳建仁上任近兩個月，已數次前往立法院備詢。自稱「溫暖堅韌」內閣的陳建仁，站在備詢台時，雖展現招牌笑容，但面對立委花招百出的質詢內容，仍看得出生澀、難以招架，答詢風格不同於蔡政府的幾任閣揆。 , https://udn.com/news/story/6656/7032009?from=udn-ch1_breaknews-1-0-news
2023-03-15 07:08:45 , udn , 今起3天回暖好天氣 周末迎東北季風這2地有雨 , https://udn.com/news/story/7266/7032103?from=udn-ch1_breaknews-1-0-news
2023-03-15 07:08:55 , udn , 中央大學大氣科學系兼任副教授吳德榮在「三立準氣象．老大洩天機」專欄表示，今天(15日)至周五(17日)各地晴時多雲，因輻... , https://udn.com/news/story/7266/7032103?from=udn-ch1_breaknews-1-0-news
2023-03-15 07:09:16 , udn , 丈夫結婚8年不做愛、供品不豐遭婆婆罰跪20分鐘 判准離婚 , https://udn.com/news/story/7321/7032102?from=udn-ch1_breaknews-1-0-news
2023-03-15 07:09:26 , udn , 劉姓女子結婚後與婆婆同住，但婆媳問題大。劉女抱怨因祭祖的供品被嫌「不敬」，婆婆喝令她跪在親友前20分鐘賠罪；丈夫每日早出... , https://udn.com/news/story/7321/7032102?from=udn-ch1_breaknews-1-0-news
2023-03-15 07:32:45 , udn , 矽谷風暴／矽谷銀倒閉會不會是第二個雷曼？接下來這些重點待觀察 , https://udn.com/news/story/7238/7030821?from=udn-ch1_breaknews-1-0-news
2023-03-15 07:32:56 , udn , 自2008年美國金融體系崩潰以來，華爾街一直為下一個「雷曼時刻」提心吊膽。最近一次最接近「雷曼時刻」的事件發生在10日，擁有約2000億美元資產的矽谷銀行（SVB）倒閉，為美國史上第二大銀行倒閉事件。 , https://udn.com/news/story/7238/7030821?from=udn-ch1_breaknews-1-0-news
2023-03-15 07:33:16 , udn , 經典賽／投手有能力只是不夠穩 中華隊就缺大賽經驗 , https://udn.com/news/story/122629/7031745?from=udn-ch1_breaknews-1-0-news
2023-03-15 07:33:26 , udn , 中華隊在第五屆世界棒球經典賽預賽奮戰到最後一刻，才因失分率過高無緣晉級。這次的4場比賽，中華隊團隊打擊率0.317，在A組中僅比古巴的0.319略低一些，而且打出的44支安打中包括7支二壘打、2支三壘 , https://udn.com/news/story/122629/7031745?from=udn-ch1_breaknews-1-0-news
2023-03-15 07:33:47 , udn , 經典賽／延續經典的感動 值得繼續關注的中職四大戰將 , https://udn.com/news/story/122629/7031387?from=udn-ch1_breaknews-1-0-news
2023-03-15 07:33:57 , udn , 2023年經典賽A組賽事完結，儘管中華隊只差一步，無法順利晉級，但相信球員們的表現，已經帶來難以忘懷的感動。除了張育成、宋家豪等旅外球員之外，一向被認為水準和國外頂尖聯盟有落差的中華職棒，也有一些投打 , https://udn.com/news/story/122629/7031387?from=udn-ch1_breaknews-1-0-news
2023-03-15 07:34:18 , udn , 經典賽／海賊王鄭宗哲打出名堂 未來10年中華隊內野新希望 , https://udn.com/news/story/122629/7031361?from=udn-ch1_breaknews-1-0-news
2023-03-15 07:34:28 , udn , 從不被看好鑿戰至2勝2敗，中華隊的經典賽驚奇之旅落幕，除陣中唯一現役的大聯盟球員張育成打出名堂，「台灣海賊王」同時也是我們的進攻火車頭、年僅21歲的內野手鄭宗哲同樣功不可沒，合計4場出賽，打擊三圍 . , https://udn.com/news/story/122629/7031361?from=udn-ch1_breaknews-1-0-news
2023-03-15 07:56:36 , udn , 2024立委戰／立委選區首波大盤點 國民黨盼5縣市全壘打「人選最重要」 , https://udn.com/news/story/6656/7031262?from=udn-ch1_breaknews-1-0-news
2023-03-15 07:56:47 , udn , 國民黨今天（3月15日）中常會將公布立委提名辦法，但自去年九合一選戰後，國民黨中央已先盤點各選區優勝劣敗，經評估後，列出31個現任立委非國民黨籍，且有相當勝選機會的選區。在應選2席以上的縣市裡，有5個縣市國民黨的目標都是「全壘打」。國民黨高層透露，未來在評估提名人選時，會將個人爭議和戰力納入評估範圍。 , https://udn.com/news/story/6656/7031262?from=udn-ch1_breaknews-1-0-news
2023-03-15 07:57:07 , udn , 潛艦軼史／國軍骨董潛艦有納粹德國「血統」 孔雀魚級名又何來？ , https://udn.com/news/story/10930/7029697?from=udn-ch1_breaknews-1-0-news
2023-03-15 07:57:17 , udn , 二次大戰納粹德國致力發展潛艦，幾乎贏得摧毀海運的大西洋之戰，對盟國造成極大威脅。戰後西德生產的柴電潛艦，仍然是全球最暢銷產品。受限外交環境，中華民國海軍對德製潛艦始終可望不可及。兩艘大戰期間建造的茄比級（GUPPY）潛艦，只得持續服役。就算IDS國造潛艦計畫順利，估計也要用到2026年之後，創下世界海軍史空前紀錄。

另一角度來說，國軍雖然爭取不到德國潛艦，但茄比級潛艦的設計，却充滿強烈德國影子。同型軍艦以首艘的船名為級名，Guppy是孔雀魚，符合潛艦以水中生物命名的原則，但美軍從來沒有名叫孔雀魚號（USS Guppy）的潛艦，為何會有這個級名？ , https://udn.com/news/story/10930/7029697?from=udn-ch1_breaknews-1-0-news
2023-03-15 07:57:38 , udn , 高雄6歲童翻垃圾桶找食物餓成骷顱頭父母卻有錢買iPhone , https://udn.com/news/story/7321/7032112?from=udn-ch1_breaknews-1-0-news
2023-03-15 07:57:48 , udn , 高雄一名女童長期受林姓繼父虐待，林男不僅常拿「愛的小手」施暴，還限制女童每天只准吃一口飯，害得女童被迫翻找垃圾桶尋找剩食... , https://udn.com/news/story/7321/7032112?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:03:43 , udn , 遭俄蘇愷-27戰機撞擊…美軍MQ-9無人機墜毀黑海 白宮譴責魯莽 , https://udn.com/news/story/6809/7032049?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:03:53 , udn , 一架俄羅斯蘇愷-27（Su-27）戰鬥機今天撞擊一架美軍MQ-9死神無人偵察機（MQ-9 Reaper）的螺旋槳，造成這... , https://udn.com/news/story/6809/7032049?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:05:46 , udn , 【專家之眼】對日農產塞牙縫級行銷 還好意思說嘴 , https://udn.com/news/story/6656/7032126?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:05:56 , udn , 近來農委會不斷宣傳農產品(包含漁產品)在日本市場，獲得重大突破，似乎已經取代中國大陸市場。並讚揚台農發公司扮演重要的角色... , https://udn.com/news/story/6656/7032126?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:07:18 , udn , 高雄6歲童翻垃圾桶找食物餓成骷顱頭 父母卻有錢買iPhone , https://udn.com/news/story/7321/7032112?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:08:48 , udn , 「過預算要付15萬」澎湖6連霸議長涉貪栽在鮮肉檢座手 , https://udn.com/news/story/7321/7032127?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:08:58 , udn , 國民黨籍澎湖縣議會議長劉陳昭玲，被控「收錢喬人事」，還藉勢卡住縣府預算收賄，被檢方依貪汙治罪條例聲押獲准，扳倒劉陳昭玲的... , https://udn.com/news/story/7321/7032127?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:11:35 , udn , 獨／監院查八德運動中心 張善政：鄭文燦也該主動說明 , https://udn.com/news/story/6656/7032128?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:11:46 , udn , 桃園八德運動中心去年發生羽球場天花板崩塌事件，桃園市長張善政就職將滿100天，外界關心「桃園大祕寶」體檢進度。張善政接受... , https://udn.com/news/story/6656/7032128?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:29:35 , udn , 人生逆轉學／幼時遭性侵 默劇演員姚尚德多年後釋懷竟為加害人而哭 , https://udn.com/news/story/7266/7031180?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:29:45 , udn , 人生必有風雨，端看個人所遇風雨大小，又如何承受面對。聯合報數位版推出「人生逆轉學」專欄，邀請各行各業知名人士分享他們曾遇的人生逆境，看他們曾流過的淚，又如何在黑暗中找光亮，把風雨化甘霖。歡迎訂閱。

默劇演員姚尚德2016年偶然來到一所寺廟，發現它同時是靈骨塔，供奉的全是沒人收屍的老榮民。那瞬間他突然放聲大哭，全然釋懷12歲遭陌生老人性侵的慘痛記憶，「我想他一定很孤單，如果我持續把自己鎖起來，也許也會變他那樣。」 , https://udn.com/news/story/7266/7031180?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:30:06 , udn , 照片看歷史／1956年國軍首次心戰演習 陣地喊話、氣球標語勸降 , https://udn.com/news/story/7314/7029856?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:30:16 , udn , 1956年3月15日，國軍部隊在台灣北部舉行一項心理作戰實兵演習，參加的兵種包括步兵，裝甲兵和空軍，而以心戰工作人員為主。演習自下午一時半開始，當假想敵人與我軍鏖戰後被困於陣地，但猶作困獸之鬥時，我方心戰工作人員即展開陣地喊話，飛機亦飛臨上空散發安全證，同時由接待站招待放下武器投降或攜械反正歸來的敵人。 , https://udn.com/news/story/7314/7029856?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:30:37 , udn , 矽谷風暴／SVB是戳破美夢的大頭針 新創+創投圈的災難恐剛開始 , https://udn.com/news/story/7238/7031321?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:30:47 , udn , 真沒想到，SVB（矽谷銀行）的名字再次出現在我面前竟是這般狼狽的模樣。2003年，我在香港主持基金股東大會時，矽谷銀行作為我的LP（投資人）之一，初來乍到亞洲，志得意滿地嘗試以其精品銀行模式布局剛剛開始的亞洲初級市場；2010年，當我在上海的第一支私募股權基金順利拿到執照時，浦發銀行行長得意洋洋地告訴我，他們準備和矽谷銀行合資，引進矽谷銀行的創新模式，協助上海灘的新創+創投騰空而起。 , https://udn.com/news/story/7238/7031321?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:31:08 , udn , 脫、戴口罩都被糾正…「行為警察」造就日本人不敢不自律？ , https://udn.com/news/story/6812/7028343?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:31:18 , udn , 日本爆發新冠肺炎疫情以來，民眾化身「警察」糾正他人行為層出不窮，從口罩警察、自肅警察到返鄉警察，現在更有「脫口罩」警察的誕生。探究成因背後，其實與日本人災難時的井然有序，是一體兩面。
日本去年10月就解除室外口罩令，3月13日起在室內原則不必戴。政府宣布鬆綁前，日本人就擔心：以前有口罩警察，接下來該不會有「脫口罩」警察。
他們的預想，成真了。... , https://udn.com/news/story/6812/7028343?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:31:39 , udn , 台版黑暗榮耀／老師只當玩笑...校園霸凌創傷難抹滅 她為兒子自學諮商輔導 , https://udn.com/news/story/6885/7028825?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:31:49 , udn , 韓劇《黑暗榮耀》以校園霸凌為故事主軸，講述受害者少年時期被同儕的傷害，展開一連串精心的復仇計畫，反映校園霸凌對被害者所留下的陰影，是長期且難以抹滅，故事中女主角內心的傷痛、想報復的心情，看在雪莉眼裡，再真實不過，因為她的小孩就在國中時遭遇霸凌，傷害居然持續十多年，至今無法復原。 , https://udn.com/news/story/6885/7028825?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:32:09 , udn , 倉鼠越獄1個月在沙發裡「築秘密基地囤爆貓糧」！飼主傻眼：還自製小床太享受了 , https://udn.com/news/story/7470/7028639?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:32:20 , udn , 中國湖北有名飼主家裡養了貓咪與倉鼠，最近發現家中貓飼料似乎吃得特別快，原本沒有多想的她這天居然在沙發裡發現了「大量貓糧」。原來，是家中倉鼠越獄消失了一個多月，原本以為是走失跑進了下水道，沒想到是在家裡沙發築起了「秘密基地」，除了儲備糧食外還為自己準備了棉花床，讓主人看了都傻眼直呼「這隻倉鼠太會享受了吧！」 , https://udn.com/news/story/7470/7028639?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:47:57 , udn , 恩恩爸聲請刑事再議 批新北市府「態度消極、未承認錯誤」 , https://udn.com/news/story/7320/7032148?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:48:07 , udn , 新北市兩歲男童恩恩染疫病逝，恩恩爸質疑救護車拖延送醫，依法提起國賠訴訟，提告新北市長侯友宜、衛生局長陳潤秋、消防局前局長... , https://udn.com/news/story/7320/7032148?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:48:28 , udn , 獨／基北北桃應打造成MEGA CITY 張善政：要有十大建設眼光 , https://udn.com/news/story/6656/7032145?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:48:38 , udn , 中央規畫北北基桃1200月票，機場捷運卻列為地方運具，只補助5成。桃園市長張善政接受本報專訪時呼籲中央應將機捷改列中央運... , https://udn.com/news/story/6656/7032145?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:48:58 , udn , AirPods要轉型？蘋果傳2年內將它定位成「健康工具產品」 , https://udn.com/news/story/122659/7032002?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:49:09 , udn , 彭博新聞記者Mark Gurman稍早透過其「Power On」專欄指稱，蘋果將在未來2年內將AirPods定位為健康工具產品，藉此取得更多用戶身體相關數據。 , https://udn.com/news/story/122659/7032002?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:50:56 , udn , 反對東石台糖港墘農場砍樹種電  護樹自救會掛布條捍衛家園 , https://udn.com/news/story/7326/7032150?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:51:06 , udn , 嘉義縣東石鄉台糖港墘農場77公頃造林地，傳將砍伐種電，引起地方反彈，憂心破壞生態景觀，雖縣府說尚未接獲申請，台糖雲嘉區處... , https://udn.com/news/story/7326/7032150?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:51:27 , udn , 3/15【早晨財經速解讀】長榮配息70元 現金殖利率40%! 矽谷銀行風暴 小銀行跌倒 大銀行吃飽? , https://udn.com/news/story/7251/7032147?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:51:37 , udn , 長榮海運（2603）14日董事會通過111年度財務報告，全年合併營收達6,272.84億元（年增28.17%），稅後淨利為3,342.01億元（年增39.82%），每股盈餘(EPS)則為87.07元，營收與獲利均創下歷年新高。 , https://udn.com/news/story/7251/7032147?from=udn-ch1_breaknews-1-0-news
2023-03-15 08:59:54 , udn , 台股續收月線之下 法人：待技術面轉強 , https://udn.com/news/story/7251/7032152?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:00:05 , udn , 美國通貨膨脹持續降溫，加上因矽谷銀行（SVB）倒閉受衝擊而重挫的銀行股出現反彈，美股收高。法人表示，台股連續3天收在月線... , https://udn.com/news/story/7251/7032152?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:00:50 , udn , 台積電ADR隨費半上漲1.8% 較台北溢價拉大為7.1% , https://udn.com/news/story/6811/7032125?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:01:00 , udn , 台積電ADR周二上漲1.8%，收在89.29美元，連二日上漲，較台北交易溢價7.1%。費城半導體指數同日大漲3%。 , https://udn.com/news/story/6811/7032125?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:02:52 , udn , 那指大漲逾2% 投資人看好政府穩住局面助銀行股反彈 , https://udn.com/news/story/6811/7032107?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:02:55 , udn , 大提琴家張正傑到六龜校園 另類用音樂宣導廉政誠信 , https://udn.com/news/story/6898/7032157?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:03:02 , udn , 美國股市周二反彈，地區銀行股率銀行股大漲，美國公債殖利率也上揚，有些投資人預料，金融業動盪可能不會擴散，可讓聯準會（Fe... , https://udn.com/news/story/6811/7032107?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:03:05 , udn , 台灣中油公司昨邀請大提琴家張正傑，到高雄偏鄉六龜校園另類用音樂方式宣導廉政誠信，舉行「廉手音樂-走遍天涯海角」校園音樂會... , https://udn.com/news/story/6898/7032157?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:05:56 , udn , 租屋狂遇雷室友 他崩潰到戴「工業用抗噪耳機」入睡自救 , https://udn.com/news/story/7088/7030433?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:06:06 , udn , 不管南漂北漂，但凡在外工作唸書的租屋族就必須像抽卡牌一樣，每每入住到新環境，不求有個SSR等級的五星貼心室友，只求不要遇到更雷的租屋環境。近日有名網友就在Dcard閒聊版分享，自己身為租屋族，不時被外在環境「雷到」，最後只能「買這個東西」自救。 , https://udn.com/news/story/7088/7030433?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:06:27 , udn , 高雄鳳山商工校車起火 約40名學生急逃下車 , https://udn.com/news/story/7320/7032162?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:06:37 , udn , 高雄市鳳山商工校車今天上午載學生上學途中，經過鳳山區突然車後冒煙起火，司機趕緊停車，司機和學生約40人下車躲逃生，幸沒造... , https://udn.com/news/story/7320/7032162?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:08:55 , udn , MQ-9無人機遭俄機撞墜黑海！白宮：全力讓其不落外人手中 , https://udn.com/news/story/6813/7032166?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:09:05 , udn , 美國一架MQ-9死神無人機（MQ-9 Reaper）14日在黑海上空遭俄羅斯蘇愷-27戰鬥機（Su-27）撞擊，造成這架... , https://udn.com/news/story/6813/7032166?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:09:26 , udn , 引公憤！霸凌45歲圓夢女大生指「該退休」 可能因此吃官司 , https://udn.com/news/story/6812/7032138?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:09:36 , udn , 巴西一所大學生物醫學系女新生因年齡超過40歲，日前遭到班上3名女同學網路霸凌說該退休，年齡歧視的言詞引起眾怒。她在13日... , https://udn.com/news/story/6812/7032138?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:09:56 , udn , 「六藝花店」角頭母喪出殯 新北警方動員空拍、警犬全程監控 , https://udn.com/news/story/7315/7032163?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:10:07 , udn , 新北市五股地區綽號「黑松」郭姓角頭的母親今天出殯，預計政、商、黑道都會參加公祭，時值警方擴大掃黑，新北市警局動員4個分局... , https://udn.com/news/story/7315/7032163?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:11:54 , udn , 台灣友邦宏都拉斯總統 尋求與中國建立正式關係 , https://udn.com/news/story/6656/7032153?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:12:05 , udn , 台灣的中美洲友邦宏都拉斯總統秀瑪菈．卡斯楚（XiomaraCastro）今天在推特發表聲明說，她已指示外交部長雷依納（E... , https://udn.com/news/story/6656/7032153?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:12:25 , udn , 「愛不對人」好累！想越相處越舒服...12星座適合對象看過來 , https://udn.com/news/story/7268/7030825?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:12:36 , udn , 你常覺得「愛不對人」戀愛好辛苦？可能是你選到不適合的對象了。占星YouTuber安德魯的賤聲房影片《『星座』什麼個性才是真正適合《12星座》的你？你是不是一開始就挑錯對象了‼️》，教你如何從星座找到適合自己個性的戀人，相處起來更容易長長久久。建議參考太陽、金星，金星可以看出各星座表達愛意的方式，和喜歡被對待的方式。 , https://udn.com/news/story/7268/7030825?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:14:55 , udn , 固定源逸散性管辦將修正  南市環局：早做改善免被罰 , https://udn.com/news/story/7326/7032172?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:15:05 , udn , 環保署已預告「固定汙染源逸散性粒狀汙染物空氣汙染防制設施管理辦法」修正草案，重點包括對堆置場及裸露區加嚴防制與管理、強化... , https://udn.com/news/story/7326/7032172?from=udn-ch1_breaknews-1-0-news
2023-03-15 09:23:54 , udn , 前美國安顧問：只有中共會毀台 美致力確保台民主 , https://udn.com/news/story/6809/7032169?from=udn-ch1_breaknews-1-0-news
