2023-03-25 00:17:48 , udn , 台中2車對撞釀重大車禍 9人傷2女一度昏迷送醫搶救 , https://udn.com/news/story/7320/7055148?from=udn-ch1_breaknews-1-0-news
2023-03-25 04:05:39 , udn , 德意志銀行（Deutsche Bank）違約成本激增，重燃外界對銀行業危機擴大的疑懼，今天股價重挫 , https://udn.com/news/story/6811/7055228?from=udn-ch1_breaknews-1-0-news
2023-03-25 05:47:29 , udn , 德銀收復跌幅 美股由跌轉升、道瓊收漲132點 , https://udn.com/news/story/6811/7055247?from=udn-ch1_breaknews-1-0-news
2023-03-25 05:47:40 , udn , 隨著德意志銀行股價收復部分跌幅，美股收盤上漲，扭轉了早盤的跌勢。 , https://udn.com/news/story/6811/7055247?from=udn-ch1_breaknews-1-0-news
2023-03-25 05:49:31 , udn , 【總編開箱】蔡總統字典裡沒超黨派、獨立 難怪謝長廷被推薦任大法官 , https://udn.com/news/story/6656/7055188?from=udn-ch1_breaknews-1-0-news
2023-03-25 05:53:58 , udn , 快看世界／星巴克新執行長上任 計畫每月到各店值班半天 , https://udn.com/news/story/6811/7055241?from=udn-ch1_breaknews-1-0-news
2023-03-25 05:54:09 , udn , 星巴克新的執行長納拉西姆漢(Laxman Narasimhan)本周正式上任，同時向外界宣稱，自己將來每個月會抽出半天的... , https://udn.com/news/story/6811/7055241?from=udn-ch1_breaknews-1-0-news
2023-03-25 06:17:27 , udn , 深偽詐騙滲入生活 熟悉的聲音跟臉 也可能是AI搞鬼 , https://udn.com/news/story/7314/7055045?from=udn-ch1_breaknews-1-0-news
2023-03-25 06:17:38 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。詐騙集團這次瞄準大專院校教授，這次圖表帶你看目前深偽詐騙手法。 , https://udn.com/news/story/7314/7055045?from=udn-ch1_breaknews-1-0-news
2023-03-25 06:26:28 , udn , 買車貴養車煩 訂閱式租車省心還能年年換新 , https://udn.com/news/story/121591/7055084?from=udn-ch1_breaknews-1-0-news
2023-03-25 06:26:39 , udn , 萬物皆可訂，近年來汽車租賃市場出現「訂閱式租賃」這種長期租賃服務，個人消費者可以透過訂閱式租賃，逐步接受並享受長期租車帶來的好處，包括資金運用靈活、養車輕鬆、不受車輛限制生活的優勢與便利，還可年年換新車。 , https://udn.com/news/story/121591/7055084?from=udn-ch1_breaknews-1-0-news
2023-03-25 06:32:38 , udn , 美國總統拜登與加拿大總理杜魯道今天發表聯合聲明指出，美加在台灣議題的基本立場不變，重申維護台海和平穩定是國際社會安全與繁... , https://udn.com/news/story/6809/7055255?from=udn-ch1_breaknews-1-0-news
2023-03-25 06:56:39 , udn , 影／開贓車肇事棄車落跑人抓到了 警意外破毒窟逮7人 , https://udn.com/news/story/7315/7055291?from=udn-ch1_breaknews-1-0-news
2023-03-25 06:56:49 , udn , 新北市丁男、陳女夫妻檔，月初犯下偷車、持毒被逮送辦。前天兩人又開贓車，肇事棄車逃逸，昨天兩人再涉竊案，警方獲報一個小時內... , https://udn.com/news/story/7315/7055291?from=udn-ch1_breaknews-1-0-news
2023-03-25 06:57:10 , udn , 春雷乍響下雨了 吳德榮：未來一周兩波鋒面雨帶移入 , https://udn.com/news/story/7266/7055290?from=udn-ch1_breaknews-1-0-news
2023-03-25 06:57:20 , udn , 中央大學大氣科學系兼任副教授吳德榮在「三立準氣象．老大洩天機」專欄表示，鋒面雨帶逐漸逼近台灣，伴隨帶狀降水回波，其中並有... , https://udn.com/news/story/7266/7055290?from=udn-ch1_breaknews-1-0-news
2023-03-25 07:05:37 , udn , 「台灣終於被降雨訊號填滿了」 專家：愈晚雨勢愈明顯 , https://udn.com/news/story/7266/7055295?from=udn-ch1_breaknews-1-0-news
2023-03-25 07:05:48 , udn , 天氣風險公司臉書粉專「天氣風險 WeatherRisk」說，台灣終於被降雨訊號填滿了。周末兩天華南雲系陸續東移，配合東北... , https://udn.com/news/story/7266/7055295?from=udn-ch1_breaknews-1-0-news
2023-03-25 07:06:08 , udn , 3公里穿越300年 高雄左營見城燈景搶先曝光 , https://udn.com/news/story/7327/7055292?from=udn-ch1_breaknews-1-0-news
2023-03-25 07:06:19 , udn , 高雄左營 「見城之道」26日將啟用，夜間燈景在高雄市長陳其邁臉書搶先曝光， , https://udn.com/news/story/7327/7055292?from=udn-ch1_breaknews-1-0-news
2023-03-25 07:11:48 , udn , 清晨4時24分花蓮規模3.1地震 最大震度2級 , https://udn.com/news/story/7266/7055296?from=udn-ch1_breaknews-1-0-news
2023-03-25 07:11:58 , udn , 中央氣象局發布小區域有感地震報告，今天清晨4時24分，在花蓮縣政府西南方20.7公里，位於花蓮縣秀林鄉，發生芮氏規模3.... , https://udn.com/news/story/7266/7055296?from=udn-ch1_breaknews-1-0-news
2023-03-25 07:15:18 , udn , 「台灣終於被降雨訊號填滿了」 專家：今愈晚雨勢愈明顯 , https://udn.com/news/story/7266/7055295?from=udn-ch1_breaknews-1-0-news
2023-03-25 07:20:49 , udn , 高醫大攜手12醫校 一條龍培育咀嚼吞嚥健康產業人才 , https://udn.com/news/story/6885/7055299?from=udn-ch1_breaknews-1-0-news
2023-03-25 07:21:00 , udn , 高雄醫學大學串聯北、中、南、東和離島12所醫校，創建大南方咀嚼吞嚥健康產業人才培育基地，將從學習、課程設計、證照取得到職... , https://udn.com/news/story/6885/7055299?from=udn-ch1_breaknews-1-0-news
2023-03-25 07:29:49 , udn , 解放軍登台難度增加 消波塊、蚵棚比地雷更護國？ , https://udn.com/news/story/10930/7054282?from=udn-ch1_breaknews-1-0-news
2023-03-25 07:29:59 , udn , 3月23日破曉時分，桃園竹圍漁港旁海湖沙灘，海堤上聚集中外記者與手拿長鏡頭相機的軍事迷。海岸線有陸戰隊灘勤人員，2000碼外是海軍中和號（LST-232）戰車登陸艦。上午8時，中和艦放出三輛AAV-7兩棲突擊車，一路衝上沙灘。在登陸地點的內陸，陸軍584旅CM11戰車、雲豹裝甲車，沿著省道台15線設防，在火力掩護下向前推進。 , https://udn.com/news/story/10930/7054282?from=udn-ch1_breaknews-1-0-news
2023-03-25 07:30:20 , udn , 美中台博弈／全球抗中聯盟成形 西方卻對北京陷入3個誤讀 , https://udn.com/news/story/6809/7054389?from=udn-ch1_breaknews-1-0-news
2023-03-25 07:30:30 , udn , 最近幾年來，抗中呼聲響徹雲霄，可是描述中國大陸的政策與權力結構時，往往都有一些似是而非的錯誤，常常先「眾犬吠聲」，最後「眾口鑠金」。 , https://udn.com/news/story/6809/7054389?from=udn-ch1_breaknews-1-0-news
2023-03-25 07:59:59 , udn , 高中生疑師長霸凌辱「垃圾」 呂秋遠：這些人都是共犯 , https://udn.com/news/story/6898/7055309?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:00:10 , udn , 台中市某高中男學生疑遭學校主任、教官長期霸凌及不當管教，今年2月發生不幸憾事。台中市教育局已介入調查。律師呂秋遠說，請不... , https://udn.com/news/story/6898/7055309?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:03:01 , udn , 未來2周迎春雨 明後兩天全台都有降雨機會 , https://udn.com/news/story/7266/7055310?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:03:11 , udn , 月長期天氣展望，中央氣象局臉書粉專「報氣候 - 中央氣象局」說，未來第1周（今天至31日）各地氣溫下降，且有短暫陣雨的機... , https://udn.com/news/story/7266/7055310?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:03:32 , udn , 【專家之眼】馬祭祖蔡出訪 政治票房有影響？ , https://udn.com/news/story/6656/7055311?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:03:42 , udn , 3月24日總統府對外公布蔡英文總統出訪邦交國行程，但是媒體焦點都集中在過境美國時，將會安排與美國政要有何互動，同時更有媒... , https://udn.com/news/story/6656/7055311?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:11:39 , udn , 大甲媽祖過火有保庇 新光人壽「包」好運 , https://udn.com/news/story/7239/7055234?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:11:50 , udn , 一年一度大甲媽祖遶境活動將至，新光金控暨子公司新光人壽去年推出媽祖開運風扇深獲好評，今年再度與大甲鎮瀾宮合作，聯名設計媽... , https://udn.com/news/story/7239/7055234?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:11:50 , udn , 提前掃墓避塞車 國道明天單一費率再7折 , https://udn.com/news/story/7266/7055314?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:12:00 , udn , 明天為清明節連假前一周日，高速公路局說，為鼓勵民眾提前掃墓，以分散連假國道壅塞車流，明天國道採單一費率再7折收費。 , https://udn.com/news/story/7266/7055314?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:12:10 , udn , 清明連假出遊 刷富邦卡最高享18%回饋 , https://udn.com/news/story/7239/7055236?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:12:21 , udn , 台北富邦銀行表示，連續五天的清明連假即將到來，不少民眾已經摩拳擦掌期待出遊，為了讓卡友旅遊時更加便利愉快，北富銀旗下各信... , https://udn.com/news/story/7239/7055236?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:20:50 , udn , 降雨從北往中部擴大 吳聖宇：今晚到明天影響最明顯 可能有春雷 , https://udn.com/news/story/7266/7055318?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:21:01 , udn , 今天周六也是補班日，天氣風險公司天氣分析師吳聖宇說，隨著春雨鋒面通過，以及後續華南雲雨帶接力影響，由北往南各地陸續都會有... , https://udn.com/news/story/7266/7055318?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:21:21 , udn , 「惹怒12星座方法」大公開 金牛是爽約、獅子不能忍當眾罵他 , https://udn.com/news/story/7268/7051185?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:21:32 , udn , 12星座個性大不同，都有最不能踩的雷。占星師12talks在Ig分享>「惹怒XX星座的方法」系列文章，快來看看12星座會因為什麼事情秒怒。 , https://udn.com/news/story/7268/7051185?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:26:49 , udn , 2024立委戰／徐國勇不選卻留伏筆 高嘉瑜連任路警報大響 , https://udn.com/news/story/123307/7054608?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:26:59 , udn , 已轉型政論節目主持人的內政部前部長徐國勇被看好是2024年立委選舉「黑馬」，可能挑戰行政院前院長蘇貞昌的女兒、立委蘇巧慧，以及徐國勇先前選區、台北市內湖及南港區的立委高嘉瑜。不過，徐國勇近日公開表示不會參加立委選舉，卻語帶玄機留下一句話，引發聯想。 , https://udn.com/news/story/123307/7054608?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:27:20 , udn , 教授逃難潮／少子化害專任師失業 這間科大為何能年聘30人緊追台大 , https://udn.com/news/story/6928/7052156?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:27:30 , udn , 不少私立大學面臨專任教師數嚴重流失，有學校3年下降六成七，111學年度較110學年度少了三、四成的都有。但為何國立勤益科大和國立台南護專111學年的專任教師數不減反增，相較上一年都增加了近一成？全台最多專任教師的台灣大學，111學年的專任師人數更增加33人，增幅達1.6%，是自然的人才流動？還是有特別原因造成「高教跳槽潮」？ , https://udn.com/news/story/6928/7052156?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:27:51 , udn , 重案追緝令／桶屍殺人犯無悔意 筆錄用第三人稱不提「我」 警反認為他膽小 , https://udn.com/news/story/7266/7049583?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:28:01 , udn , 台中市男子楊鴻儒涉中橫公路兩桶屍案，更一審仍判兩個死刑，迄今仍否認涉案，當時的辦案人員形容，楊是「智慧型」的罪犯，楊在台南落網時，仍老神在在，跟檢警顧左右而言他，甚至在警詢案情時，他都用「第三人稱」講述，從頭到尾沒有「我」，好像事不關己，讓辦案檢警咋舌。不過，楊嫌棄屍的一個行為，卻也讓辦案警察認為他其實很「膽小」。 , https://udn.com/news/story/7266/7049583?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:31:21 , udn , 降雨從北往中部擴大！吳聖宇：今晚到明天影響最明顯 可能有春雷 , https://udn.com/news/story/7266/7055318?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:38:59 , udn , 屁孩酒醉囂張賞路人巴掌 13人街頭格鬥 新北警開2槍全趴了 , https://udn.com/news/story/7320/7055332?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:39:09 , udn , 新北市蘆洲區李男昨天深夜酒後從長榮路KTV出來，見侯男等8人夜遊回來「態度很囂張」趨前朝著侯男打了一巴掌，引發雙方13人... , https://udn.com/news/story/7320/7055332?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:39:30 , udn , 美加宣布礦物與半導體合作 強調台海和平 , https://udn.com/news/story/6809/7055331?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:39:40 , udn , 美國與加拿大24日宣布，共同投資關鍵礦物和封裝半導體，從開採礦物到技術開發，建構安全可靠的北美供應鏈，帶動兩國經濟發展並... , https://udn.com/news/story/6809/7055331?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:40:01 , udn , 巴西總統魯拉感染輕度肺炎 中國行延後一天啟程 , https://udn.com/news/story/6809/7055327?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:40:11 , udn , 巴西總統魯拉（Luiz Inacio Lula da Silva）原定25日啟程、26日抵達中國進行國是訪問，但日前就醫... , https://udn.com/news/story/6809/7055327?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:40:32 , udn , 幕後／2024起手式！協調立委席次 侯友宜出面有標準 , https://udn.com/news/story/123307/7055328?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:40:42 , udn , 新北市長侯友宜日前首度出手協調國民黨內立委之爭，成功勸退新北市議員陳偉杰挑戰第一選區立委現任立委洪孟楷，被視為展現藍營最... , https://udn.com/news/story/123307/7055328?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:47:59 , udn , 瑞士信貸會是下一個矽谷銀行嗎？ 他：利空出盡…別隨意進場放空 , https://udn.com/news/story/12806/7055326?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:48:10 , udn , 繼矽谷銀行破產後，瑞士信貸又來添亂子！瑞信股價大跌，再度引發金融市場危機。 , https://udn.com/news/story/12806/7055326?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:48:30 , udn , 青年網購工具驗DNA 驚覺非爸親生 揭母出軌對象竟是他 , https://udn.com/news/story/6812/7055315?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:48:41 , udn , 驗DNA驗出禍！英國一名青年出於好奇，在網上用90英磅（約台幣3333元）購買自行驗DNA的檢測工具套裝，作為送給自己的生日禮物。他以該套裝替自己及家人驗DNA，結果卻出乎意料，驚揭自己原來並非父親親生，反而與堂妹血緣更相近，懷疑自己是母親與叔叔所生的兒子。他事後質問母親，得出驚人答案，並在網上發文直指十分後悔購入這份生日禮物，又稱家人知悉真相後「頭家散了」。 , https://udn.com/news/story/6812/7055315?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:49:01 , udn , 神秘九宮格「生命靈數」沒這數字？代表你缺這特質 , https://udn.com/news/story/7268/7046234?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:49:12 , udn , 生命靈數沒有1號數的人，享受團體合作的過程，不擅長獨立思考、願意追隨眾人，常為團體中的一分子。個性上依賴心比較重，期待能經由引導而遠離失敗、迎向成功。 , https://udn.com/news/story/7268/7046234?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:56:48 , udn , 你的第六感沒錯！手機正在監聽你…專家曝這物躲在背景秘密竊聽 , https://udn.com/news/story/7098/7053482?from=udn-ch1_breaknews-1-0-news
2023-03-25 08:56:58 , udn , 常常感覺手機在監聽你講話嗎？許多人和你有相同感覺。根據調查，在英國有45%的人發現他們的手機會出現「沒搜尋過」但有在談話中談過的商品廣告... , https://udn.com/news/story/7098/7053482?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:14:46 , udn , 56年前也發生狒狒脫逃 落網逮回對遊客潑水出氣 , https://udn.com/news/story/123439/7055360?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:14:57 , udn , 桃園出現一隻來路不明的狒狒，引起國人關注。「報時光UDNtime」臉書粉專（ https://www.facebook.... , https://udn.com/news/story/123439/7055360?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:15:17 , udn , 遺產外國人可繼承嗎？越南媳婦消失6年卻來分房的啟示：辦繼承是拖不得的 , https://udn.com/news/story/121591/7055343?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:15:28 , udn , 這裡說的沒得分是房子不能登記在兒媳名下，應繼分比例的錢她還是可以分的... , https://udn.com/news/story/121591/7055343?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:15:48 , udn , AI沒那麼可怕...你無可取代！12星座獨特競爭力在這 , https://udn.com/news/story/7268/7051572?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:15:58 , udn , 現在的人工智慧（AI）已經在「認知能力」上開始超越人類！我們甚至沒辦法想像，未來10年內，還有什麼機器無法達到的？人類已經是否可以被取代？ , https://udn.com/news/story/7268/7051572?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:16:19 , udn , 清明連假長達5天 台南警同步9項交通違規大執法 , https://udn.com/news/story/7320/7055358?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:16:29 , udn , 清明連假自4月1日至5日長達5天，台南市警一分局預估連假前夕下周五下班時間車潮最多，針對轄區易塞車路段交通疏導外，同步配... , https://udn.com/news/story/7320/7055358?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:16:50 , udn , 手機限時優惠大亂鬥！Sony直降12000、三星59折起 蘋果iPhone 14 Pro省3910元 , https://udn.com/news/story/7098/7054740?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:17:00 , udn , 周六上班不寂寞，就用手機限時優惠當成補班小確幸吧！知名手機業者推出期間限定優惠，除了蘋果（Apple）iPhone 14系列最高有3910元的折扣外，這次Sony也參一腳，旗艦手機直接下殺1萬2000元，是這次降幅最大的手機。 , https://udn.com/news/story/7098/7054740?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:17:21 , udn , 飯店枕頭底下傳來動物慘叫聲 掀開見一窩初生的牠們被壓死 , https://udn.com/news/story/7335/7055344?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:17:31 , udn , 這經歷絕對會令人對住酒店產生陰影！大陸南昌一間酒店早前有客人躺到床上時，突然聽到枕頭下傳來老鼠的慘叫聲，連忙掀起枕頭查看，竟見到有一窩初生的老鼠仔，被他壓死在枕頭上，令枕頭頓時滿佈血跡。 , https://udn.com/news/story/7335/7055344?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:17:52 , udn , 「台灣龍珠」基隆嶼4月1日開放登島！海水淡化成功不用再運水 , https://udn.com/news/story/7328/7055353?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:18:02 , udn , 有「台灣龍珠」美稱的基隆嶼，今年將在4月1日開放登島旅遊，每天限1200人總量管制，沿步道登頂可遠眺「基隆海檻」，是島上... , https://udn.com/news/story/7328/7055353?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:18:23 , udn , 2管道撿便宜！15款LINE貼圖5折啦 小學課本的逆襲、YOSISTAMP手刀買好買滿 , https://udn.com/news/story/7088/7055205?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:18:33 , udn , 補班日別灰心！LINE貼圖除了有期間限定免費下載外，還有「永久版」的貼圖限時折扣，即起到3月27日止，共有15款貼圖（包含動圖）統統5折，包含「YOSISTAMP」及「小學課本的逆襲」，甚至還能撂台語的貼圖都在其中，超級划算。 , https://udn.com/news/story/7088/7055205?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:23:57 , udn , 台中高中生疑遭師長霸凌輕生 高中文教會：網友注意措辭 , https://udn.com/news/story/6898/7055364?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:24:08 , udn , 台中市某高中男學生今年2月在家輕生，該校師長作為，引發外界議論。該高中文教促進會的小編昨晚緊急發文，呼籲大量加入的網友「... , https://udn.com/news/story/6898/7055364?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:24:28 , udn , 再惹民怨！馬克宏上電視疑戴260萬元名錶 遭譏「富人總統」 , https://udn.com/news/story/6809/7055363?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:24:39 , udn , 法國近期推動年金改革，並繞過國會表決，強行通過相關計畫，在民怨沸騰之際，總統馬克宏22日上電視受訪時，疑似戴著一支疑似價... , https://udn.com/news/story/6809/7055363?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:29:59 , udn , 照片看歷史／飛彈表演！1958年美駐台部隊展示「屠牛士」發射 , https://udn.com/news/story/7314/7054650?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:30:09 , udn , 1958年3月25日，駐台灣「屠牛士」飛彈部隊首度公開表演，駐台空軍第13航空特遣司令狄恩表示，「屠牛士」飛彈駐台使中華民國空軍進入一個新時代，它象徵著中美兩國在這一地區的防務已經加強，美國正進一步的支援中國政府。 , https://udn.com/news/story/7314/7054650?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:30:30 , udn , 閱讀數學／真的那麼無敵？ 精算下誕生的無敵大麥克 , https://udn.com/news/story/6904/7052372?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:30:40 , udn , 「大麥克」是麥當勞的最經典產品，經濟學家甚至用「大麥克指數」來做為衡量各國物價與消費力的指標。你知道，麥當勞有更重量級的「無敵大麥克」嗎？ , https://udn.com/news/story/6904/7052372?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:35:58 , udn , 台大教授葉丙成車禍 發文最感謝它「幫我擋下這一劫」 , https://udn.com/news/story/7320/7055377?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:36:09 , udn , 台大電機系教授葉丙成在臉書分享，他昨天開車時發生車禍，左側遭到一輛公車撞上，玻璃霎那間全部碎裂，後來在台大醫院急診的時候... , https://udn.com/news/story/7320/7055377?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:36:29 , udn , 主管臨時「慶功宴」請同仁吃飯應該會很開心？ 下屬是這麼想：加班陪長官 , https://udn.com/news/story/7269/7055365?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:36:39 , udn , 我都加班了好幾天，好不容易促銷活動都上檔，今天還要「加班」陪主管慶功。 , https://udn.com/news/story/7269/7055365?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:37:00 , udn , 高雄男女酒後路邊口角 他揮拳打路人甲還辱警遭壓制逮捕 , https://udn.com/news/story/7320/7055375?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:37:10 , udn , 尤姓男子和謝姓女友人今晨酒後在高雄苓雅區路邊發生口角，徒手推倒謝女，陌生男子路過勸架，反被尤男揮拳，員警獲報趕抵，尤被警... , https://udn.com/news/story/7320/7055375?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:37:31 , udn , 教練「新娘洞穴」示範垂降高空墜崖慘死 學員全程目擊嚇呆 , https://udn.com/news/story/6812/7055362?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:37:41 , udn , 澳洲1名有豐富經驗的戶外活動教練，在當地知名景點「新娘洞穴」（Brides Cave）示範垂降，不幸發生悲劇，在17名師生面前不慎墜下40公尺的洞底，當場死亡，目擊事發經過的學生嚇呆。 , https://udn.com/news/story/6812/7055362?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:38:02 , udn , 必勝客又來！新披薩口味「4線索曝光」網瘋猜崩潰：要惹怒義大利人幾次 , https://udn.com/news/story/7270/7055367?from=udn-ch1_breaknews-1-0-news
2023-03-25 09:38:12 , udn , 必勝客繼上回為中華隊應援推出「肉圓披薩」後，又再度發揮搞怪特色，24日在臉書粉專透露又將有新口味披薩上市，其中點出了4條線索，寫上「台日交流新口味」，網友看完也秒懂崩潰猜「該不會是納豆披薩吧！」、「到底要惹怒義大利人多少次？」。 , https://udn.com/news/story/7270/7055367?from=udn-ch1_breaknews-1-0-news
