2023-03-29 00:11:30 , udn , 開箱百里侯／周春米首次參選就當上縣長 背後的男人是關鍵 , https://udn.com/news/story/6656/7063184?from=udn-ch1_breaknews-1-0-news
2023-03-29 06:27:24 , udn , MLB／張育成拚大聯盟開季 春訓熱身賽連兩戰有安打 , https://udn.com/news/story/6999/7063332?from=udn-ch1_breaknews-1-0-news
2023-03-29 06:27:35 , udn , 旅美棒球好手張育成帶著經典賽火燙手感投入大聯盟春訓，身披波士頓紅襪戰袍的他熱身賽最後兩戰都有安打，今天還打回一分，為擠進... , https://udn.com/news/story/6999/7063332?from=udn-ch1_breaknews-1-0-news
2023-03-29 06:32:51 , udn , 綠委初選最難協調區 王世堅選到底？台南2個女人鬥到底？ , https://udn.com/news/story/123307/7063269?from=udn-ch1_breaknews-1-0-news
2023-03-29 06:33:02 , udn , 民進黨立委初選登記上周截止，中央黨部昨天舉行「2024大選提名策略小組」第二次會議，會中確認3月24日立委初選登記結束之後，共有15個兩人以上登記的選區，協調小組成員依據責任區域分工，並依規定於4月11日前完成初選前協調作業。據悉，這次被視為最難協調的是台北市第二選區，高人氣的北市議員王世堅在英系支持下登記，將挑戰現任立委何志偉，而黨中央對於黨員參選的態度，其實都是「尊重」。 , https://udn.com/news/story/123307/7063269?from=udn-ch1_breaknews-1-0-news
2023-03-29 06:43:28 , udn , 臭豆腐雪茄卷、佛跳牆生煎包！樂天皇朝新品「買3送1」 , https://udn.com/news/story/7270/7063201?from=udn-ch1_breaknews-1-0-news
2023-03-29 07:09:02 , udn , 氣氛微妙 美臨時喊停蔡總統過境簡報 , https://udn.com/news/story/6656/7063382?from=udn-ch1_breaknews-1-0-news
2023-03-29 07:09:12 , udn , 蔡英文總統準備出訪中美洲並過境美國，就在出發前夕，美國國務院亞太助卿康達臨時延後針對蔡過境的簡報；白宮國安會重申，蔡過境... , https://udn.com/news/story/6656/7063382?from=udn-ch1_breaknews-1-0-news
2023-03-29 07:26:59 , udn , 法官、律師、立委到屏東縣長 周春米縣政推動將心比心 , https://udn.com/news/story/123432/7063392?from=udn-ch1_breaknews-1-0-news
2023-03-29 07:27:09 , udn , 屏東縣地方自治史上首位女縣長周春米，過去是專業法官、律師和立委，威嚴肅靜法庭上依法裁判、為訴訟當事人爭權益，立院為民喉舌... , https://udn.com/news/story/123432/7063392?from=udn-ch1_breaknews-1-0-news
2023-03-29 07:32:59 , udn , 乾旱最怕亂燒雜草南市告發53件 清明推以功代金積福德 , https://udn.com/news/story/7326/7063393?from=udn-ch1_breaknews-1-0-news
2023-03-29 07:33:10 , udn , 南部地區久旱無雨，適值空品不良季，以空拍機加強稽查露天燃燒，今年前3個月已告發53件，露天燃燒陳情數也較去年同期增加14... , https://udn.com/news/story/7326/7063393?from=udn-ch1_breaknews-1-0-news
2023-03-29 07:33:30 , udn , 中職／鋒哥農場展現成效 富邦可望成攪亂戰局黑馬 , https://udn.com/news/story/122629/7063009?from=udn-ch1_breaknews-1-0-news
2023-03-29 07:33:41 , udn , 富邦悍將過去常常出現「季前宇宙邦，球季軟趴趴」的情況，最主要被詬病的就是主將年紀稍長，又過度倚賴球星。因此從洪一中執教，到現任的丘昌榮，球隊都持續在進行換血動作。去年季末更是大規模將球星戰力外，包含陳 , https://udn.com/news/story/122629/7063009?from=udn-ch1_breaknews-1-0-news
2023-03-29 07:34:01 , udn , 經典賽／以溝通汰換權威性指導 新日式球風打造冠軍武士隊 , https://udn.com/news/story/122629/7062798?from=udn-ch1_breaknews-1-0-news
2023-03-29 07:34:11 , udn , 2023年經典賽會最終結果，由日本武士隊擊敗大聯盟明星組成的美國隊，拿下暌違兩屆的冠軍。近年來，日本職棒的進步可說是有目共睹，特別是這次賽會中，日本隊選進了大量未滿25歲的年輕好手，卻依然還是能打出世 , https://udn.com/news/story/122629/7062798?from=udn-ch1_breaknews-1-0-news
2023-03-29 07:34:32 , udn , 日系投手必備武器「指叉球」 究竟有什麼神奇魔力？ , https://udn.com/news/story/122629/7062744?from=udn-ch1_breaknews-1-0-news
2023-03-29 07:34:42 , udn , 在本屆經典賽，我們看到日本隊堅強且年輕的投手陣容，即使是面對大聯盟明星打線也能展現超群壓制力，包括佐佐木朗希、戶鄉翔征、山本由伸等人，而他們的共通點，就是擁有一顆致命的武器球種：指叉球。就連聯盟第一人 , https://udn.com/news/story/122629/7062744?from=udn-ch1_breaknews-1-0-news
2023-03-29 07:50:49 , udn , 明鋒面影響天氣變 今天空檔氣溫升中南部30度 , https://udn.com/news/story/7266/7063406?from=udn-ch1_breaknews-1-0-news
2023-03-29 07:50:59 , udn , 昨天天氣濕涼，今天起床應可感覺氣溫升高不少。中央大學大氣科學系兼任副教授吳德榮表示，明(30)日鋒面雨帶抵達，今天是空檔... , https://udn.com/news/story/7266/7063406?from=udn-ch1_breaknews-1-0-news
2023-03-29 07:56:49 , udn , 南亞ROTC效法美式私立軍校 靠軍事課程博「南陸官、北南亞」美名 , https://udn.com/news/story/10930/7062618?from=udn-ch1_breaknews-1-0-news
2023-03-29 07:56:59 , udn , 位於中壢市郊的南亞技術學院，每周一到周四，與一般大專院校沒有什麼差別。到了周五，校園氛圍隨之一變，往來行走的學生，都頭戴大盤帽，身著筆挺白襯衫、深色長褲、黑皮鞋，見到師長行舉手禮，頓時變成一所軍校。

南亞五年前與國防部大學儲備軍官（ROTC）計畫合作，成為ROTC專業大學。如今四年制日間部的學生，有600多人加入ROTC，占全體學生三分之二。每年畢業分發部隊的新科軍官，占了全體ROTC的三分之一，甚至還博得「南陸官，北南亞」的綽號。 , https://udn.com/news/story/10930/7062618?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:02:50 , udn , 春天限定美景 嘉義市桃花心木廊道落葉鋪成紅地毯 , https://udn.com/news/story/7326/7063412?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:03:00 , udn , 最美桃花心木大道就在嘉義市！世賢路二段、三段分隔島種近千棵桃花心木，每年3月中下旬至4月，綠葉轉紅褐色落葉，將地面鋪成紅... , https://udn.com/news/story/7326/7063412?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:04:21 , udn , 台積電ADR止跌 較台北交易溢價5% , https://udn.com/news/story/6811/7063400?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:04:32 , udn , 台積電ADR周二小漲0.2%，收在90.81美元，止住連二日頹勢，較台北交易溢價5.0%。費城半導體指數同日下跌0.9%... , https://udn.com/news/story/6811/7063400?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:20:39 , udn , 米薩小姐排行榜／2023金錢事業運！牡羊斜槓、獅子在省錢、第一名躺著賺 , https://udn.com/news/story/7268/7059577?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:20:50 , udn , 想知道2023年12星座財運如何？星座專家米薩小姐分享「【金錢事業】運勢排行榜！第一名可以躺著賺錢！超神準解析！」影片，告訴你
那個星座會發大財？那個星座在金錢上面要多小心，建議參考太陽、上升星座。 , https://udn.com/news/story/7268/7059577?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:26:39 , udn , ChatGPT日文太強成隱憂？學者：日本恐成中俄認知作戰的目標 , https://udn.com/news/story/123313/7043942?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:26:50 , udn , ChatGPT在全球引發高度關注，日本學者指其已跨越日文的語言障礙高牆，日本恐將成為外國認知作戰的目標。日經商業報導，過去日本少有透過社群網站誘導輿論的案例，但如今隨著ChatGPT的崛起，對日本發動資訊統戰恐怕將變得更容易，甚至還有可能助長國外駭客攻擊。 , https://udn.com/news/story/123313/7043942?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:27:10 , udn , 全台又鬧蛋荒 為什麼我們買不到蛋？ , https://udn.com/news/story/122475/7062145?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:27:21 , udn , 蛋荒持續擴大，不論是雜貨店或大賣場蛋架總是空空如也，現在是有錢也買不到雞蛋。去年全台鬧蛋荒，今年又再度上演，一顆小小雞蛋，衝擊民生需求。 , https://udn.com/news/story/122475/7062145?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:27:41 , udn , 照片看歷史／1958年台北學苑奠基 如今變身「開發金控總部大樓」 , https://udn.com/news/story/7314/7061775?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:27:51 , udn , 1958年3月29日，由救國團等有關單位籌建的台北市學生宿舍，奠基典禮下午1時在敦化路（今敦化北路）建築基地舉行，由黃啟瑞市長主持。 此一可容800人之學生宿舍，預定以800萬元建造，佔地2000餘坪，當時預計半年內完工。... , https://udn.com/news/story/7314/7061775?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:28:12 , udn , 材料尖兵／原想退休的老總為一番話轉念 佶優開發出光罩盒原料 , https://udn.com/news/story/7240/7061793?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:28:22 , udn , 佶優創辦人兼總經理林日旺向聯合報數位版展示佶優完成開發的高等級及高純度透明抗靜電聚碳酸酯（PC），這也是這項產品首度亮相，其抗靜電等級超越全球知名化工集團沙特基基礎工業（SABIC），初步已達到家登交付的目標。林日旺流露興奮的眼神說：「我們做出的材料，可以讓光罩盒強度更好且透明，這是一項重大里程碑，未來只要通過客戶認證，佶優真的可以為台灣半導體產業盡一分心力。」 , https://udn.com/news/story/7240/7061793?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:28:43 , udn , 人生逆轉學／前夫家暴還開車撞她 服裝設計家林璟如走過絕望「我應該感激」 , https://udn.com/news/story/7266/7062447?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:28:53 , udn , 林璟如是台灣唯一以服裝設計獲國家文藝獎的得主，雙手設計出的眾多劇場服裝幾乎織就台灣一頁表演藝術史。很少人知道，她的靈活巧手除了穿梭針線，竟也曾因不堪前夫家暴騷擾，用來挑破自己血管。那年她25歲。

在綠樹圍繞的深坑山上家中，林璟如撫著手腕上幾乎已看不見的傷痕，平靜得像在說別人故事。多年前在身體和心理留下的傷口，如今早已癒合，最大的撫慰來自表演藝術。 , https://udn.com/news/story/7266/7062447?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:41:49 , udn , 妨礙市容觀瞻 嘉義縣議會會館老舊外牆汙黑拉皮轉型 , https://udn.com/news/story/7326/7063424?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:42:00 , udn , 嘉義縣市分治後，嘉義市區內提供嘉義縣議員休息住宿聯誼的會館，興建至今34年，外牆磁磚汙黑，妨礙市容觀瞻，曾有磁磚掉落砸傷... , https://udn.com/news/story/7326/7063424?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:53:49 , udn , 3/29【早晨財經速解讀】各國央行拋售美債 2023迎來「黃金」時代?馬雲回來了 阿里ADR飆升14% 中概股再起飛? , https://udn.com/news/story/7251/7063433?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:54:00 , udn , 科技股率美股三大指數周二下跌，受到債券殖利率所累，最近銀行業動盪消退，投資人關注焦點回到聯準會（Fed）進一步升息的威脅。 , https://udn.com/news/story/7251/7063433?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:54:20 , udn , 全盈+PAY支付場景再擴大 台灣大車隊筆筆回饋20元 , https://udn.com/news/story/7270/7063436?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:54:31 , udn , 連假出遊全盈+PAY化身旅遊神隊友，與台灣大車隊、微風台北車站Breeze、PChome 24h聯手推出優惠好康，6月1... , https://udn.com/news/story/7270/7063436?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:54:51 , udn , 影／美田納西州校園槍擊案釀6師生死 警方公布擊斃槍手畫面 , https://udn.com/news/story/6813/7063435?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:55:22 , udn , 美股收低 法人：留意長假效應影響資金動能 , https://udn.com/news/story/7238/7063427?from=udn-ch1_breaknews-1-0-news
2023-03-29 08:55:32 , udn , 美股28日收低，道瓊指數下跌37.83點，那斯達克指數下跌52.76點。法人表示，隨著清明連假來臨，市場資金是否趨於觀望... , https://udn.com/news/story/7238/7063427?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:00:27 , udn , 美光喊客戶庫存情況好轉！估本季營收減近60% 符合預期 , https://udn.com/news/story/6811/7063407?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:00:37 , udn , 美國記憶體晶片大廠美光（Micron）28日預測本季營收將比一年前大減近60%，但如此深的跌幅符合華爾街預期。美光也表示... , https://udn.com/news/story/6811/7063407?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:02:50 , udn , 英首相批：習近平會普亭 有損中國在烏俄議題上的可信度 , https://udn.com/news/story/6809/7063441?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:03:00 , udn , 英國首相蘇納克警告，中國的所作所為「損害他們作為烏克蘭問題中立方的可信度」，並敦促中國國家主席習近平「利用他對普亭的影響... , https://udn.com/news/story/6809/7063441?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:03:51 , udn , 全盈+PAY支付場景再擴大 台灣大車隊筆筆回饋20元 微風北車滿額10%回饋 , https://udn.com/news/story/7270/7063436?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:05:49 , udn , 彭博：蘇利文上周與王毅秘密通話 為美中關係降溫 , https://udn.com/news/story/6809/7063443?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:05:59 , udn , 彭博資訊28日報導，白宮國家安全顧問蘇利文（Jake Sullivan）於24日與中共中央外事工作委員會辦公室主任王毅通... , https://udn.com/news/story/6809/7063443?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:06:20 , udn , 圖表看時事／狒狒之死4大疑點一次看 究竟誰在說謊？ , https://udn.com/news/story/6904/7063438?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:06:30 , udn , 桃園狒狒之死，開槍的林姓獵人昨依違反野生動物保育法函送後，他發千字聲明喊冤，指前天加入圍捕的過程「桃園農業局完全知情」，現場人員在狒狒逃入民宅前，開三發麻醉槍激怒狒狒，他見情況危急才依六福村獸醫指令開獵槍。但農業局和六福村都否認，到底誰說謊仍待調查。 , https://udn.com/news/story/6904/7063438?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:06:51 , udn , 清明掃墓火警露燃事件多！這兩個方式可減少火災 , https://udn.com/news/story/7320/7063442?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:07:01 , udn , 清明祭祖掃墓燒化紙錢多，常引起山林火災及空氣汙染。高雄市在清明節3月26日及4月1日至5日，推動紙錢集中燒活動，於高雄3... , https://udn.com/news/story/7320/7063442?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:07:21 , udn , 台北華山超人氣日本雙展 清明連假最終倒數！ , https://udn.com/news/story/7270/7061006?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:07:32 , udn , 2023年華山超人氣熱門展「咒術迴戰展」及「ゲゲゲの鬼太郎 妖怪100物語」，自去年12月底開展至今好評不斷，超豐富展出內容讓看過的觀眾都大嘆超值回票價。兩大人氣展出將於4月5日清明連假最後一天閉展，紛紛推出許多限量商品優惠，及台灣獨家限定商品，還沒看過的民眾敬請把握最後機會！ , https://udn.com/news/story/7270/7061006?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:14:58 , udn , 美元連續二日下跌 投資人恢復對高風險貨幣的胃納 , https://udn.com/news/story/6811/7063409?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:15:09 , udn , 美元周二連續二日下跌，對銀行業危機的疑慮有所緩解，投資人恢復對高風險貨幣的胃納。 , https://udn.com/news/story/6811/7063409?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:17:59 , udn , 不怕變老！成熟更有魅力的「星座X血型TOP3」B型這星座感情、人際都更成功 , https://udn.com/news/story/7268/7058856?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:18:09 , udn , 是否發現認識的朋友，在成熟後反而更吸引人？在經歷許多事情過後，變得更懂得做人道理，而讓人更加在意。所謂年輕不懂事，懂事之後就顯得成熟了。這次就來好好分析，這類成熟又有魅力的人，具有什麼樣的星座及血型特質吧！ , https://udn.com/news/story/7268/7058856?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:18:30 , udn , 俄軍需完全撤出！美國務卿：支持烏克蘭提出的和平框架 , https://udn.com/news/story/6811/7063453?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:18:40 , udn , 美國國務卿布林肯（Antony Blinken）28日表示「美國支持烏克蘭的和平框架」，該框架要求所有俄羅斯軍隊撤出烏克... , https://udn.com/news/story/6811/7063453?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:21:00 , udn , 眾院議長訪台 捷學者：捷克有意建立多層次關係 , https://udn.com/news/story/6809/7063417?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:21:10 , udn , 捷克學者傅賢毅今天撰文分析，捷克政府內部對眾議院議長艾達莫娃訪台有高度共識，訪團名單凸顯捷克有意與台灣建立多層次的關係。... , https://udn.com/news/story/6809/7063417?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:21:31 , udn , 肉品公司老董欠稅418萬元 脫產拒繳被法院裁准管收 , https://udn.com/news/story/7321/7063468?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:21:41 , udn , 彰化縣一家冷凍肉品批發公司滯欠營利事業所得稅、營業稅418萬餘元未繳，經中區國稅局2007年間陸續移送行政執行署彰化分署... , https://udn.com/news/story/7321/7063468?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:23:03 , udn , AI伺服器當紅 輝達2大關鍵夥伴出列 , https://udn.com/news/story/7240/7063452?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:23:13 , udn , ChatGPT能力受全球矚目，也讓幕後功臣：輝達（NVIDIA）的A100晶片需求大增，由於全球內載A100晶片的DGX... , https://udn.com/news/story/7240/7063452?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:24:00 , udn , 不只雙北！ 4月1日起全台消費者都可買到平價進口雞蛋 , https://udn.com/news/story/122475/7063474?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:24:10 , udn , 台灣缺蛋狀況持續惡化，今天起，美國、澳洲、泰國雞蛋，首度進入零售消費市場供應，農委會表示，從3月起專案進口雞蛋，3月底前... , https://udn.com/news/story/122475/7063474?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:27:00 , udn , 他幫哈士奇戴VR眼鏡「徜徉大草原」二哈快樂張嘴奔馳！網笑翻：超好唬 , https://udn.com/news/story/7470/7061116?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:27:10 , udn , 近日大陸社群平台微博上流傳一段影片，一名家住福建福州的網友家中養了哈士奇，他在VR眼鏡中播放著大草原景緻的影片，並將眼鏡戴在狗狗頭上，向廣大網友表示在家也能遛狗，更在影片中直呼「現在不會遛狗還要出門吧？時代不同了兄弟！」搞笑模樣笑翻大批網友 , https://udn.com/news/story/7470/7061116?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:27:30 , udn , 紐時賞析／抹去「美利堅邦聯」痕跡 美海軍2船艦更名 , https://udn.com/news/story/6904/7055166?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:27:41 , udn , One night in 1862, as the Civil War raged, an enslaved marin... , https://udn.com/news/story/6904/7055166?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:28:01 , udn , 獨／中山商圈人氣餐廳「赤鐵廣島燒」熄燈！開幕才2年 , https://udn.com/news/story/7270/7063476?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:28:12 , udn , 位於台北中山商圈巷弄內的「赤鐵廣島燒 赤峰店」，主打日式廣島燒料理，一直是商圈內的人氣選擇，常可見到排隊人潮。但是官方近... , https://udn.com/news/story/7270/7063476?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:29:59 , udn , 3年沒颱風、600天沒大雨 南台灣比百年大旱還慘 救命水哪來？ , https://udn.com/news/story/7266/7063480?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:30:09 , udn , 南台灣正遭逢比百年大旱還惡劣的旱象。隨著氣候變遷加劇，過去「十年一大旱」的說法正在快速縮短間距中，對正在加速發展產業的高雄和台南形成巨大威脅，救命的水到底要從哪裡來？ , https://udn.com/news/story/7266/7063480?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:30:30 , udn , 馬斯克認證的印鈔機 搶完晶片再搶鋰！特斯拉、比亞迪備戰上游 , https://udn.com/news/story/6811/7063477?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:30:40 , udn , 3月1日，特斯拉執行長馬斯克在年度投資者大會上，宣布了兩宗市場傳聞已久的新佈局。 , https://udn.com/news/story/6811/7063477?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:41:59 , udn , 巴西前總統波索納洛滯美3個月 即將回國 , https://udn.com/news/story/6809/7063429?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:42:10 , udn , 巴西前總統波索納洛（Jair Bolsonaro）滯留美國近3個月後，預定30日上午返抵國門，他所屬自由黨已向聯邦特區政... , https://udn.com/news/story/6809/7063429?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:42:30 , udn , 6000元放大術！高雄飯店爭推住房專案搶客 , https://udn.com/news/story/7270/7063501?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:42:41 , udn , 全民普發6000元，高雄飯店、影城等業紛紛祭出增值「放大術」搶攻商機，高雄翰品酒店推住宿每人每晚只要1500元；高雄英迪... , https://udn.com/news/story/7270/7063501?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:43:01 , udn , 愛河燈光秀應援演唱會！五月天aMEI大港開唱各有專屬色 , https://udn.com/news/story/7327/7063499?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:43:12 , udn , 高雄3月29日起迎來多場大咖演唱會！歌壇天后張惠妹、天團五月天，還有每年聽團仔必朝聖的大港開唱，都即將在高雄登場。為響應... , https://udn.com/news/story/7327/7063499?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:43:32 , udn , 普發6000元放大術 住宿買一送一、婚友社多送2000元 , https://udn.com/news/story/7270/7063498?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:43:43 , udn , 全民普發6千元現金，各大業者瞄準這波商機，百貨、飯店、餐飲紛紛推出優惠放大術，像是新光三越台中店手機會員消費6千元加碼送... , https://udn.com/news/story/7270/7063498?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:44:03 , udn , 經典賽／中日隊古巴強投傳叛逃 挑戰大聯盟拚15億合約 , https://udn.com/news/story/10785/7063496?from=udn-ch1_breaknews-1-0-news
2023-03-29 09:44:14 , udn , 曾來台參加經典賽的古巴隊投手羅德里奎茲（Yariel Rodriguez），傳出已經叛逃到多明尼加，打算挑戰大聯盟，也代... , https://udn.com/news/story/10785/7063496?from=udn-ch1_breaknews-1-0-news
