2023-03-26 00:23:28 , udn , 初選暗樁之亂終結 藍剔除徐巧芯、費鴻泰之外4人資格 , https://udn.com/news/story/6656/7056865?from=udn-ch1_breaknews-1-0-news
2023-03-26 06:41:48 , udn , 「這事沒人肯做的」。瑞士第一大銀行「瑞銀集團」（UBS）在政府安排下收購競爭對手瑞士第二大銀行「瑞士信貸」（Credit Suisse）後，荷蘭籍的UBS執行長哈默斯（Ralph Hamers）對於自己突然成為瑞士金融業的「救世主」，有感而發。 , https://udn.com/news/story/6812/7056891?from=udn-ch1_breaknews-1-0-news
2023-03-26 06:42:09 , udn , 教宗擴大防性侵法適用範圍 納入教會非神職領袖 , https://udn.com/news/story/6809/7056944?from=udn-ch1_breaknews-1-0-news
2023-03-26 06:42:19 , udn , 天主教教宗方濟各（Pope Francis）今天宣布擴大一項2019年法律的適用範圍，以打擊教會內部性侵行為，並要求教會... , https://udn.com/news/story/6809/7056944?from=udn-ch1_breaknews-1-0-news
2023-03-26 06:59:38 , udn , 13縣市大雨特報 吳德榮：周四又一波鋒面雨帶 , https://udn.com/news/story/7266/7056961?from=udn-ch1_breaknews-1-0-news
2023-03-26 06:59:48 , udn , 對流雲系發展旺盛，易有短延時強降雨，中央氣象局發布13縣市大雨特報，今天中部以北地區有局部大雨發生的機率，注意雷擊及強陣... , https://udn.com/news/story/7266/7056961?from=udn-ch1_breaknews-1-0-news
2023-03-26 07:17:48 , udn , 春雨持續下 不排除瞬間大雨雷擊 彭啟明：很有感的降溫 , https://udn.com/news/story/7266/7056964?from=udn-ch1_breaknews-1-0-news
2023-03-26 07:17:58 , udn , 春雨昨天報到，天氣風險公司總經理彭啟明在「氣象達人彭啟明」臉書粉專表示，春雨持續下，今天中部以北的戶外濕濕的，外出要留意... , https://udn.com/news/story/7266/7056964?from=udn-ch1_breaknews-1-0-news
2023-03-26 07:20:51 , udn , 俄羅斯將在白俄羅斯部署核武 1996年後首次 , https://udn.com/news/story/122663/7056929?from=udn-ch1_breaknews-1-0-news
2023-03-26 07:21:01 , udn , 俄羅斯總統普亭今天宣布，已與鄰國白俄羅斯達成協議，將在其領土部署戰術核武。這是自90年代中期以來，莫斯科首次在境外部署此... , https://udn.com/news/story/122663/7056929?from=udn-ch1_breaknews-1-0-news
2023-03-26 07:26:38 , udn , 基本工資預期連8漲 調幅恐難比照去年 , https://udn.com/news/story/7238/7056304?from=udn-ch1_breaknews-1-0-news
2023-03-26 07:26:49 , udn , 今年的基本工資是否會持續調漲，達「連8漲」？今年度基本工資審議委員會將於29日召開首次工作小組會議，勞動部長許銘春上周表示，今年基本工資仍會朝調升方向進行，但對CPI恐連2年突破2%，調幅能否比照去年的逾4%，她則態度保留，僅稱將待第三季視總經數據而定，不會提前拍板。 , https://udn.com/news/story/7238/7056304?from=udn-ch1_breaknews-1-0-news
2023-03-26 07:47:39 , udn , 酩悅香檳歡慶280週年 慕夏名作禮盒限量發行 , https://udn.com/news/story/7270/7056968?from=udn-ch1_breaknews-1-0-news
2023-03-26 07:47:50 , udn , 法國酩悅香檳（Moët & Chandon）今年歡慶280週年里程碑，為讚頌這歷史性的一刻，這次特別以新藝術運動先驅阿爾... , https://udn.com/news/story/7270/7056968?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:14:38 , udn , 英國競爭暨市場管理局改變看法 稱微軟收購動視暴雪影響有限 , https://udn.com/news/story/7086/7056713?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:14:48 , udn , 針對微軟收購動視暴雪的收購案，英國競爭暨市場管理局(CMA)稍早認為微軟此筆交易將不構成影響市場競爭，雖然可能部分影響Sony旗下PlayStation市場發展，但由於Sony自身也擁有大量吸引玩家市場的遊戲作品，因此預期造成影響程度有限。 , https://udn.com/news/story/7086/7056713?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:20:49 , udn , 影／玉山上午7時5分終於降雪 創設站80年最晚紀錄 , https://udn.com/news/story/7266/7056971?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:21:00 , udn , 東北季風及華南雲雨區影響，水氣充沛，玉山終於降雪。中央氣象局說，玉山今天上午6時40分下了冰珠，接著上午7時5分降雪至7... , https://udn.com/news/story/7266/7056971?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:26:49 , udn , 解密大學排名／專訪台大校長陳文章：排名妨害大學追求長遠目標 , https://udn.com/news/story/6928/7056066?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:27:00 , udn , 全球高教排名是許多人申請學校時的選擇依據，也是國際認識台灣各大學的重要參考。但台灣第一學府台大2022年在各排名系統名次皆滑落，引發關注。去年台大在《泰晤士高等教育》（Times Higher Education，THE）的排名從113名跌至187名，創下最大跌幅紀錄；在英國高等教育調查公司Quacquarelli Symonds（QS）系統，台大雖然仍是全台唯一入選前百大的學校，排名卻從2021年第68名，掉到2022年第77名。 , https://udn.com/news/story/6928/7056066?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:27:20 , udn , Intel共同創辦人、「摩爾定律」提出者逝世 享壽94歲 , https://udn.com/news/story/7086/7056723?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:29:50 , udn , 普亭宣布將在白俄部署戰術核武 稱「美國早在歐洲盟邦部署」 , https://udn.com/news/story/6809/7056974?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:30:01 , udn , 俄羅斯總統普亭25日宣布，已與鄰國白俄羅斯達成協議，將在其領土部署戰術核武。普亭說，莫斯科將在7月1日之前完成在白俄境內... , https://udn.com/news/story/6809/7056974?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:30:21 , udn , 健康來得及／加速衰老、癌症是因身體在發炎？專家點出長壽關鍵在「抗炎」 , https://udn.com/news/story/6812/7032444?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:30:32 , udn , 近幾年，「炎症」（inflammation）越來越常被醫學界提及，這裡指的不只是受傷時傷口發炎，或者自體免疫疾病，還包括「隱性」（hidden）炎症。它可能是導致心臟病、多種癌症，與二型糖尿病的原因。這種長期潛藏體內的症狀往往更難察覺，可說是慢性病的根源。醫學專家指出，想要健康長壽，到頭來關鍵就在於對抗炎症，而最有效方法就是從改變飲食做起。... , https://udn.com/news/story/6812/7032444?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:30:52 , udn , 竹聯明仁會被掃蕩後首辦大型公祭 吸引千人到場的黑松何許人也？ , https://udn.com/news/story/7320/7051560?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:31:02 , udn , 新北市五股地區綽號「黑松」郭姓角頭的母親3月15日出殯，包括政、商、黑道近千人參加公祭，時值警政署因竹聯幫明仁會高調辦春酒而下令全台擴大掃黑期間，顯得格外敏感，當天新北市警局動員超過200名警力荷槍實彈搭配無人機、警犬隊全程監控，嚴防有幫派藉機造勢，「黑松」何許人也？令人好奇。 , https://udn.com/news/story/7320/7051560?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:33:00 , udn , 3C產品都加「創作者」名字才高級？他舉「能量水」突破盲腸逗笑網友 , https://udn.com/news/story/122659/7053585?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:33:10 , udn , 有網友發線，近期許多3C商場在商品前都會掛上「創作者」三字，如「創作者主機」、「創作者筆電」等，但在內容上和其他的零件內容都差不多，因此相當好奇「創作者」和其他品項產品的差異究竟在哪，引來許多網友討論。 , https://udn.com/news/story/122659/7053585?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:33:31 , udn , 美加領導人會面 拜登誓言與盟友捍衛「北約的每一寸領土」 , https://udn.com/news/story/6809/7056867?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:33:41 , udn , 美國總統喬·拜登周五表示，他認為中國不會向俄羅斯提供武器援助。他在加拿大訪問期間舉行的新聞發布會上表示：“過去三個月，我一直聽說中國將向俄羅斯提供重要武器...... 他們還沒有這樣做。這並不意味著他 , https://udn.com/news/story/6809/7056867?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:38:59 , udn , 軍政府高壓統治 緬甸人「潤」向何方？ , https://udn.com/news/story/6809/7056889?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:39:10 , udn , 乍一看，仰光似乎與新冠疫情和政變之前沒什麼兩樣。清晨和傍晚，汽車擠滿了城市的主要街道。夜晚，大金塔的金頂照耀著這座城市。 

周末，情侶們手牽著手沿著茵雅湖散步，而中產階級購物者則前往現代化的購物 , https://udn.com/news/story/6809/7056889?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:45:00 , udn , 鋒面雨帶持續降雨閃電 彭啟明：南部旱象未紓解 , https://udn.com/news/story/7266/7056980?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:45:10 , udn , 天氣風險公司總經理彭啟明在「氣象達人彭啟明」臉書粉專表示，鋒面雲雨帶影響台灣，持續有降雨及閃電。降雨量南部較少，南部旱象... , https://udn.com/news/story/7266/7056980?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:48:00 , udn , 一周數位爆報／5招查偷吃嚇壞人！進Meta沒事做爽撈575萬、小米魚缸半年免換水母湯啦！蘋果鐵粉遇三星即刻變心 , https://udn.com/news/story/7086/7054783?from=udn-ch1_breaknews-1-0-news
2023-03-26 08:59:59 , udn , 影／我愛大甲媽路跑風雨無阻 顏清標：大甲媽是雨水媽帶來雨水 , https://udn.com/news/story/7325/7056983?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:00:09 , udn , 我愛大甲媽，「有 Run 有 Bobi路跑」活動今天在鎮瀾宮前起跑，2000多人風雨無阻參加，鎮瀾宮董事長顏清標說，大甲... , https://udn.com/news/story/7325/7056983?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:00:30 , udn , 今天雨區擴及嘉義以北、屏東 賈新興估還有兩波春雨 , https://udn.com/news/story/7266/7056982?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:00:40 , udn , 春雨到了，台灣整合防災工程技術顧問公司總監賈新興表示，昨天主要下到彰化以北，集中在竹苗，今天主要在台中及南投山區，雨區更... , https://udn.com/news/story/7266/7056982?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:02:02 , udn , 關心您尿尿的地方 中油苗交加油站看板有哏 , https://udn.com/news/story/7324/7056979?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:02:12 , udn , 台灣中油股份有限公司苗交加油站在國道1號苗栗交流道旁，大看板提醒廁所在超商內，「關心您尿尿的地方」有哏，許多民眾都會心一... , https://udn.com/news/story/7324/7056979?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:08:57 , udn , 那裡有測速？ 清水警公告27處固定及科技執法地點提醒 , https://udn.com/news/story/7320/7056987?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:09:08 , udn , 台中市清水警分局將轄內「科學儀器執法設備」固定式、移動式測照及新增設科技執法地點，以地圖標示出各處執行地點，最近公布在清... , https://udn.com/news/story/7320/7056987?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:11:59 , udn , 宏都拉斯斷交成定局？ 外交部上午9時30分見分曉 , https://udn.com/news/story/6656/7056988?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:12:09 , udn , 宏都拉斯外交部長雷依納（Eduardo Enrique Reina）飛往北京談判建交，外交部立即召回中華民國駐宏都拉斯大... , https://udn.com/news/story/6656/7056988?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:17:59 , udn , 瑞士羽賽／周天成擊落安賽龍斷對戰7連敗 將拚今年首冠 , https://udn.com/news/story/7005/7056990?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:18:10 , udn , BWF超級300的瑞士羽球公開賽，我國男單一哥周天成今天在男單4強賽遭遇世界球王安賽龍，儘管賽前處在對戰7連敗，但周天成... , https://udn.com/news/story/7005/7056990?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:23:58 , udn , 從醫療、政策等著手 提升罕病患者權益 , https://udn.com/news/story/7266/7056995?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:24:09 , udn , 隨著醫療技術提升，許多過去被認為「無藥可醫」的惡疾都有了治癒的可能性。然而，世上仍存在著逾200種罕見疾病，需要政府、民間共同關注，才能讓病友獲得更完善的保障... , https://udn.com/news/story/7266/7056995?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:24:29 , udn , 流浪狗骨折逾月無人聞問 車子擦撞因禍得福 免去終身跛腳 , https://udn.com/news/story/7323/7056993?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:24:40 , udn , 新北市汐止區一隻流浪狗左後肢骨折，負傷超過一個月求生存。後來牠被車撞傷，動物保護防疫處才接獲通報救援，動手術後恢復健康。... , https://udn.com/news/story/7323/7056993?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:29:57 , udn , 提前掃墓國道今單一費率再7折 清明連假這時間上路最佳 , https://udn.com/news/story/7266/7057009?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:30:07 , udn , 今年清明節連假自4月1日至4月5日共5天，高速公路局說，民眾可利用今天提早掃墓，避開壅塞車潮，今天國道單一費率再7折收費... , https://udn.com/news/story/7266/7057009?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:39:01 , udn , 夢想成真！ 果醬男孩林韡勳英國奪世界果醬大賽金牌 , https://udn.com/news/story/7326/7057012?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:39:11 , udn , 出身台南柳營的「果醬男孩」林韡勳，前往英國參加世界果醬大賽，昨晚從全球數千件參賽作品中奪下1金2銅殊榮，也讓台灣果醬再次... , https://udn.com/news/story/7326/7057012?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:39:32 , udn , 北市綠色殯葬有4.7萬人選擇環保葬 比例逐年增加 , https://udn.com/news/story/7323/7057013?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:39:42 , udn , 下周清明節，許多民眾已提前上山掃墓，台北市近年積極推動「綠色殯葬」，自2003年至2023年2月，台北市多元環保葬的累計... , https://udn.com/news/story/7323/7057013?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:40:33 , udn , 從科技到神蹟 台積電讓美政要、記者爭相朝聖的3大理由 , https://udn.com/news/story/7240/7056479?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:40:43 , udn , 「將事隱祕乃神的榮耀，將事察清乃人的榮耀。」台積電董事長劉德音接受美國資深記者赫弗南（Virginia Heffernan）採訪時，引用了這樣一句聖經箴言。從原子到量子，從半導體原理到宇宙探秘，再從科學到上帝。台積電雖以科技奠定地位，但突破關鍵技術的內部領導者、科學家，卻有許多人相信神的存在。

台積電近來成為美國官員、政要、企業、記者指名參訪的朝聖要域。台積電去年底在美國亞利桑納州舉行移機典禮時，美國總統拜登、蘋果執行長庫克、NVIDIA創辦人黃仁勳、AMD執行長蘇姿丰、美國商務部長雷蒙多等人就已帶領大批團隊踴躍出席、爭相亮相，現場冠蓋雲集... , https://udn.com/news/story/7240/7056479?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:41:09 , udn , 照片看歷史／韓戰後來台年邁反共義士 1954年安居新竹榮民之家 , https://udn.com/news/story/7314/7056186?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:41:19 , udn , 1950年韓戰爆發，中共組織「中國人民志願軍」參戰，在戰爭中約有2.1萬名志願軍遭到支援韓國的聯合國軍俘虜，其中1萬4000多人在戰爭結束後，放棄回到中國大陸而選擇到台灣。中華民國政府將這群人稱呼為「反共義士」，1954年台灣省政府設立「反共義士生產輔導所」協助安置。 , https://udn.com/news/story/7314/7056186?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:41:40 , udn , 立委參選人忙比對論文 民進黨學倫機制是搬石砸腳？ , https://udn.com/news/story/6656/7056358?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:41:50 , udn , 民進黨立委初選，不少人違反「誠信條款」，仍有待黨中央拆彈，而對綠營來說，下一顆選舉未爆彈，是黨主席賴清德上任後親自拍板的「學倫機制」。民進黨2024年提名參選人應簽署學位論文學術倫理聲明書，但據了解，因為林智堅論文案效應，有些參選人怕碩博士論文被「放大檢視」，已在私下評估，乾脆不以碩士以上學歷登記參選，避免學倫爭議。 , https://udn.com/news/story/6656/7056358?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:41:59 , udn , 再流標補助款就沒了？ 竹市富禮國中射箭館市府要加速招標 , https://udn.com/news/story/7324/7057018?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:42:09 , udn , 素有「射箭國手搖籃學校」之稱的新竹市富禮國中，成功爭取到教育部體育署2800萬元經費，準備要改建大型射箭館，但興建工程流... , https://udn.com/news/story/7324/7057018?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:42:11 , udn , 大陸央視報導：宏都拉斯宣布與台灣斷交 , https://udn.com/news/story/123264/7057003?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:42:21 , udn , 據央視新聞報導，當地時間3月25日，宏都拉斯外交部發表聲明，正式宣布與台灣斷絕外交關係。 , https://udn.com/news/story/123264/7057003?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:42:29 , udn , 影／警車處理車禍途中與機車碰撞 騎士受傷送醫 , https://udn.com/news/story/7320/7057014?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:42:42 , udn , 智利發生規模5.5地震 暫無災情傳出 , https://udn.com/news/story/6809/7056992?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:42:52 , udn , 歐洲地中海地震中心（European Mediterranean SeismologicalCentre，EMSC）表示... , https://udn.com/news/story/6809/7056992?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:43:13 , udn , 路跑／台新女子跑首次進軍南台灣 10公里組謝千鶴封后 , https://udn.com/news/story/7879/7057000?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:43:23 , udn , 2023台新女子路跑今天在高雄夢時代購物中心前的時代大道美力登場，今年首度在高雄舉辦就吸引了近3000名女孩熱情參與，為... , https://udn.com/news/story/7879/7057000?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:43:44 , udn , 比丘險掉入假檢察官陷阱 行員與員警阻詐保住存款 , https://udn.com/news/story/7320/7056997?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:43:54 , udn , 一名比丘險掉入假檢察官陷阱，台中一名機警郵局行員與員警25日及時阻詐，保住他的7萬多元存款。 , https://udn.com/news/story/7320/7056997?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:44:45 , udn , 流浪狗骨折逾月無人聞問、車子擦撞因禍得福 免去終身跛腳 , https://udn.com/news/story/7323/7056993?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:44:58 , udn , 國防部偵獲4艘次共艦擾台 無共機逾越海峽中線西南空域 , https://udn.com/news/story/10930/7057019?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:45:08 , udn , 國防部今天指出，統計自昨天上午6時起至今天上午6時止，偵獲共艦4艘次，持續在台海周邊活動。 , https://udn.com/news/story/10930/7057019?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:46:09 , udn , 台中市大雅警分局員警開車要前往車禍現場處理車禍時，途中與一輛機車碰撞，女騎士彈飛後落地送傷送醫，員警沒受傷，雙方都未酒駕... , https://udn.com/news/story/7320/7057014?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:49:33 , udn , 搶先台灣宣布！大陸央視報導：宏都拉斯宣布與台灣斷交 , https://udn.com/news/story/123264/7057003?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:53:59 , udn , 宏都拉斯宣布與台灣斷交 104台獎學生恐頓失「金援」 , https://udn.com/news/story/123264/7057027?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:54:10 , udn , 中美洲友邦宏都拉斯政府今天宣布與台灣斷交，據教育部統計，111學年度宏都拉斯在台大專校院就讀學生人數共計359人，包括正... , https://udn.com/news/story/123264/7057027?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:54:30 , udn , 狒狒在本草綱目有記載 故宮曝古人繪圖：又稱「人熊」 , https://udn.com/news/story/6898/7057026?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:54:41 , udn , 桃園出現一隻狒狒連日逃竄，至今未逮獲，國人關注下落。「國立故宮博物院 National Palace Museum」臉書... , https://udn.com/news/story/6898/7057026?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:55:01 , udn , MLB／達比修有愛上PitchCom 經典賽歸隊投4局8K , https://udn.com/news/story/6999/7057025?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:55:12 , udn , 結束經典賽賽程返回教士隊，達比修有今天在小聯盟熱身賽登板，投出4局、8K、最快球速95哩的好表現，他也開心地說：「很久沒... , https://udn.com/news/story/6999/7057025?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:55:32 , udn , 林楚茵自提媒體議價法草案 獲跨黨派31位立委連署支持 , https://udn.com/news/story/6656/7057021?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:55:43 , udn , 民進黨立委林楚茵今天說，她已經提出新聞媒體與數位平台議價法草案，獲得跨黨派31位立委連署，接下來將要求數位發展部盡快提出... , https://udn.com/news/story/6656/7057021?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:56:03 , udn , 宏都拉斯外交部推特發文 宣布與台灣斷交 , https://udn.com/news/story/123264/7057006?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:56:13 , udn , 宏都拉斯外交部今天在社群網站推特（Twitter）發文，宣布與台灣斷絕外交關係。 , https://udn.com/news/story/123264/7057006?from=udn-ch1_breaknews-1-0-news
2023-03-26 09:59:59 , udn , 人工增雨再放增雨劑 鯉魚潭下14毫米雨對水庫無助益 , https://udn.com/news/story/7266/7057032?from=udn-ch1_breaknews-1-0-news
2023-03-26 10:02:59 , udn , 高雄婦脫口：我身邊有警察 長髮正妹投顧師秒掛電話 , https://udn.com/news/story/7320/7057034?from=udn-ch1_breaknews-1-0-news
2023-03-26 10:03:09 , udn , 假投資案例層出不窮，高雄60歲陳姓婦人被假投顧分析師洗腦，捧著5萬元現金到銀行匯款投資，警方獲報，陳向電話那端有著一頭長... , https://udn.com/news/story/7320/7057034?from=udn-ch1_breaknews-1-0-news
2023-03-26 10:03:30 , udn , 政府編錢看護工休假長輩有人顧 竹市逾4500戶家庭受惠 , https://udn.com/news/story/7324/7057033?from=udn-ch1_breaknews-1-0-news
2023-03-26 10:03:40 , udn , 為維護外籍家庭看護工休假權益及被照顧者照顧品質與安全，今年起勞動部與衛福部合作推動「聘僱外籍看護工家庭短期替代照顧服務實... , https://udn.com/news/story/7324/7057033?from=udn-ch1_breaknews-1-0-news
2023-03-26 10:04:11 , udn , 水利署趁著春雨鋒面，昨天下午4點半在苗栗縣明德水庫、鯉魚潭水庫實施地面人工增雨作業，分別施放2劑、1劑增雨焰劑，傍晚6點... , https://udn.com/news/story/7266/7057032?from=udn-ch1_breaknews-1-0-news
2023-03-26 10:06:02 , udn , 柴柴超怕梳毛爆哭哀嚎！美容師祭出「符咒封印」音量大降80％ , https://udn.com/news/story/7470/7049332?from=udn-ch1_breaknews-1-0-news
2023-03-26 10:06:13 , udn , 近日社群平台IG上流傳一段影片，內容是有隻柴柴被主人送到寵物美容洗澡吹毛，超怕美容師手上的梳毛刷的狗狗不斷「大聲哀嚎」哭得超慘，沒想到美容師一招「神奇便利貼忍術」直接讓柴柴音量瞬間降低，超神奇的反制神器意外在網路上引發熱議。 , https://udn.com/news/story/7470/7049332?from=udn-ch1_breaknews-1-0-news
