2023-03-31 00:13:41 , udn , 【即時短評】 蔡英文與麥卡錫會晤的變數與選舉考量 , https://udn.com/news/story/123444/7068493?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:26:59 , udn , 中華民國前友邦宏都拉斯在「雙英」出訪前宣布與我斷交，明年就是總統大選，藍綠都審慎因應後續政治效應。據了解，民進黨為了降低斷交衝擊搬出「馬維拉」救援，極力凸顯北京操作台宏斷交，前總統馬英九卻執意赴陸形象，盼轉移斷交政治壓力；不過馬英九在中國大陸宣示「中華民國」意涵，履踐九二共識，現在球又回到出訪的蔡英文總統身上。... , https://udn.com/news/story/6656/7067159?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:27:20 , udn , 照片看歷史／1964年北市煤礦瓦斯災變釀3死1傷 他以3分鐘之差死裡逃生 , https://udn.com/news/story/7314/7066579?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:27:30 , udn , 台北市松山區永春坡松山煤礦1964年3月31日下午發生瓦斯突出災變，造成礦工3死1傷慘案。

意外發生後，松山煤礦顧問兼坑長陳炎熹率領員工廿餘人，分別將突出堵塞坑道之煤炭搬出坑外，並使用風鑽進行穿孔以調節空氣，約15分鐘光景，立刻將林水池、陳水成兩名礦工自煤坑內救出，但經施行人工呼吸仍回天乏術。而另外還有一位礦工李金，雖然也受了傷，但卻因3分鐘之差死裡逃生，算是不幸中之大幸。 , https://udn.com/news/story/7314/7066579?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:27:51 , udn , 清明連假首日水氣多 專家：收假日入夜鋒面通過 東北季風南下 , https://udn.com/news/story/7266/7068923?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:28:01 , udn , 天氣風險公司天氣分析師歐宗學說，今天仍受到華南雲雨區東移影響，配合偏北至東北風環境，中部以北雲量持續偏多並有局部短暫陣雨... , https://udn.com/news/story/7266/7068923?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:29:49 , udn , 多圖／清明連假衝日本賞櫻！目黑川「粉紅隧道」爆炸盛放 櫻花妹拿最夯飲料打卡 , https://udn.com/news/story/6812/7064569?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:30:00 , udn , 日本東京櫻花近日盛開，櫻花落英繽紛。目黑川800棵櫻花繁花錦簇，畫面美不勝收。 , https://udn.com/news/story/6812/7064569?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:41:59 , udn , 拍郵輪比美最高1萬5獎金 基隆旅遊粉絲團辦部落客大賞 , https://udn.com/news/story/7328/7068937?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:42:09 , udn , 疫情趨緩國際郵輪解封，今年台灣共收到90航次的國際郵輪預報，基隆港有72航次，只要郵輪一來，社群就興起搶拍熱清。「基隆旅... , https://udn.com/news/story/7328/7068937?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:42:30 , udn , 桃園這區要注意4月12日將停水11小時 提前儲水 , https://udn.com/news/story/7324/7068936?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:42:40 , udn , 台水公司配合養護工程處龍潭區桃66線拓寬道路改善工程，辦理龍潭區民生路管線改善工程，預計於4月12日上午11時起至晚間1... , https://udn.com/news/story/7324/7068936?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:43:01 , udn , 清明連假明起5天 高公局預估明天南向車流量最大 , https://udn.com/news/story/7266/7068932?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:43:11 , udn , 清明節5天連假明天開始，不少民眾今起陸續返鄉掃墓或出遊，高速公路局預估首日南向交通量恐為平日的1.6倍，連假期間部分路段... , https://udn.com/news/story/7266/7068932?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:43:32 , udn , 【專家之眼】巴黎暴動是法國人的浪漫革命？ , https://udn.com/news/story/6809/7068930?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:43:42 , udn , 法國總統馬克宏的年金改革，將退休年齡從62歲延長到64歲，引發了巴黎大暴動，示威及警民衝突蔓延到全法國。 , https://udn.com/news/story/6809/7068930?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:46:05 , udn , 清明節連假明開始 國道好走時段這樣查 , https://udn.com/news/story/7266/7068917?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:48:01 , udn , AI未來太可怕！馬斯克等大咖籲業界半年內別再訓練GPT-4以上的人工智慧系統 , https://udn.com/news/story/123313/7068789?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:48:11 , udn , 包含Elon Musk、「科技頑童」Steve Wozniak、人工智慧與數位政策中心主席Marc Rotenberg、麻省理工學院物理學家Max Tegmark在內人士，在稍早聯合署名，並且由未來生命研究所 (Future of Life Institute)發表的公開信中，呼籲業者與相關人工智慧實驗室停下手上研究工作，或是至少在未來半年內暫停訓練規模超過GPT-4自然語言模型的人工智慧系統。 , https://udn.com/news/story/123313/7068789?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:48:32 , udn , 酒後全身赤裸闖民宅摟抱獨居女 嘉義激動男判3年監護5年 , https://udn.com/news/story/7321/7068949?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:48:42 , udn , 嘉義縣林姓男子一日酒後慾望難耐，竟脫光衣物，赤條條地拿著螺絲子破壞同村某戶住家，涉嫌對獨居女子摟抱摸胸。嘉義地方法院依攜... , https://udn.com/news/story/7321/7068949?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:51:01 , udn , 開先例！印度法官要ChatGPT幫忙開庭判決 結果出爐 , https://udn.com/news/story/123313/7067345?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:51:12 , udn , 美國人工智慧研究實驗室OpenAI推出的聊天機器人ChatGPT在短時間內就累積不少用戶，無論有什麼疑難雜症，ChatGPT幾乎都能從大數據中挖出答案給用戶。近期印度一名法官就連開庭時也使用ChatGPT協助判決，創下印度國內先例。 , https://udn.com/news/story/123313/7067345?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:51:32 , udn , 預防野生動物脫逃 林務局擬修法最高可重罰30萬 , https://udn.com/news/story/7266/7068950?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:51:42 , udn , 農委會林務局表示，今（31日）會同新竹縣政府，以及多名靈長類專家到六福村現勘，對於未來圈養動物逃逸，需加重法則，最高可處... , https://udn.com/news/story/7266/7068950?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:54:00 , udn , 恐怖奪命火！住宅失火4小孩廁所相擁活活燒死 調查驚揭死亡內情 , https://udn.com/news/story/6810/7068951?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:54:10 , udn , 馬來西亞發生恐怖奪命火警，當地一間民宅起火，屋內4名3歲至8歲兄弟姐妹躲在廁所內相擁扶持，慘被活活燒死，事後更揭開了心酸內情。 , https://udn.com/news/story/6810/7068951?from=udn-ch1_breaknews-1-0-news
2023-03-31 09:00:00 , udn , 4月塔羅運勢占卜：這個月你會有哪些好消息 , https://udn.com/news/story/7268/7063608?from=udn-ch1_breaknews-1-0-news
2023-03-31 09:00:11 , udn , 4月，是萬物復甦的月份，也是一年生命能量最強的時候。這種時期，最適合進行需要開拓、出力的計畫了。你有什麼計畫要實行嗎？在這充滿希望的月份裡，又會有怎樣的運勢起伏？趕快跟著科技紫微網，一起來看看本月塔羅為我們帶來哪些指引吧。 , https://udn.com/news/story/7268/7063608?from=udn-ch1_breaknews-1-0-news
2023-03-31 09:00:31 , udn , 台股收月線和季線 法人：清明連假前觀望氣氛濃 , https://udn.com/news/story/7251/7068963?from=udn-ch1_breaknews-1-0-news
2023-03-31 09:00:42 , udn , 美股收漲，台股30日上漲79點收在15849點，收復5日線，台股今天收週線、月線和季線。法人指出，清明連假將屆，市場觀望... , https://udn.com/news/story/7251/7068963?from=udn-ch1_breaknews-1-0-news
2023-03-31 09:03:02 , udn , 賈新興指這天全台雨 鄭明典：高雄水情燈號轉橙 , https://udn.com/news/story/7266/7068966?from=udn-ch1_breaknews-1-0-news
2023-03-31 09:03:13 , udn , 明天開始清明連假，不少民眾規畫出遊，台灣整合防災工程技術顧問公司總監賈新興在臉書表示，明天高雄以北及宜花東有局部短暫陣雨... , https://udn.com/news/story/7266/7068966?from=udn-ch1_breaknews-1-0-news
2023-03-31 09:07:37 , udn , 記得儲水！桃園這區4月12日將停水11小時 , https://udn.com/news/story/7324/7068936?from=udn-ch1_breaknews-1-0-news
2023-03-31 09:09:04 , udn , 父親和郭台銘同年出生...歷經破產 她一夕從公主變成住鐵皮屋的孩子 , https://udn.com/news/story/121484/7055493?from=udn-ch1_breaknews-1-0-news
2023-03-31 09:09:15 , udn , 父親出生在1950年，那是臺灣經濟正要起飛的年代。他與巨富郭台銘在同一年出生，那個時代的人，即使出身寒微，只要勤懇肯做，就能為自己掙得家產。套路通常是這樣：有一技之長的年輕人，意氣風發地用母親攢給孩子的老婆本創業，成為中小企業主之後，殷實努力地工作，積極爭取美國、日本訂單。 , https://udn.com/news/story/121484/7055493?from=udn-ch1_breaknews-1-0-news
2023-03-31 09:09:35 , udn , 2023事業運誰最旺？生肖虎有雙財路、兔馬豬升遷有望 , https://udn.com/news/story/7268/7054869?from=udn-ch1_breaknews-1-0-news
2023-03-31 09:09:46 , udn , 你知道你的官祿宮（事業）運勢如何嗎？屬鼠同學工作運旺，累積技術被看見；屬虎同學雙財路、兩份工作，工作運不錯；屬龍同學才華洋溢，但私底下需整理爛攤子；屬猴同學工作運佳，桃花運強；屬豬同學官運穩升，慎防桃花。還有更多的驚喜等著你，趕快來看看你的運勢吧！ , https://udn.com/news/story/7268/7054869?from=udn-ch1_breaknews-1-0-news
2023-03-31 09:15:04 , udn , 重返立法院 北市議員李彥秀宣布參選港湖立委 , https://udn.com/news/story/6656/7068975?from=udn-ch1_breaknews-1-0-news
2023-03-31 09:15:14 , udn , 國民黨多位現任議員表態投入2024立委初選，台北市議員游淑慧已宣布參選，在2022議員選舉拿下港湖第一高票的議員李彥秀，... , https://udn.com/news/story/6656/7068975?from=udn-ch1_breaknews-1-0-news
2023-03-31 09:18:06 , udn , 川普涉成人女星封口費案遭起訴！成首位遭起訴美國前總統 , https://udn.com/news/story/6813/7068977?from=udn-ch1_breaknews-1-0-news
2023-03-31 09:18:17 , udn , 美國前總統川普（Donald Trump）官司纏身，如今有知情人士透露針對川普2016年競選期間涉嫌違法支付成人片女星「... , https://udn.com/news/story/6813/7068977?from=udn-ch1_breaknews-1-0-news
2023-03-31 09:27:01 , udn , 兩天兩次撞到牛 台鐵太魯閣號車頭凹陷、行車延誤近1小時 , https://udn.com/news/story/7320/7068986?from=udn-ch1_breaknews-1-0-news
