2023-05-04 00:27:43 , udn , 洩密給詐團首腦 派出所長涉貪汙收賄 檢方聲押禁見 , https://udn.com/news/story/7321/7140803?from=udn-ch1_breaknews-1-0-news
2023-05-04 02:30:13 , udn , 高雄市岡山區岡山北路上一間工廠於今天凌晨發生大火，現場濃煙密布火舌冒出，高市府消防局緊急調派22車43人前往注水灌救，該... , https://udn.com/news/story/7320/7140874?from=udn-ch1_breaknews-1-0-news
2023-05-04 03:00:03 , udn , 誠品信義店熄燈之後 台灣第3間24小時書店今揭曉 , https://udn.com/news/story/7270/7140882?from=udn-ch1_breaknews-1-0-news
2023-05-04 03:00:14 , udn , 2006年1月1日開幕的誠品信義店， 2020年5月31日接棒因都更熄燈的誠品敦南店，成為台灣第二家24小時書店。但隨統... , https://udn.com/news/story/7270/7140882?from=udn-ch1_breaknews-1-0-news
2023-05-04 04:18:01 , udn , 克宮控烏克蘭無人機意圖行刺蒲亭 俄前總統籲消滅澤倫斯基 , https://udn.com/news/story/122663/7140887?from=udn-ch1_breaknews-1-0-news
2023-05-04 04:18:11 , udn , 俄羅斯指控烏克蘭派遣無人機攻擊克里姆林宮，試圖行刺俄國總統蒲亭未遂。俄羅斯前總統麥維德夫今天呼籲消滅烏克蘭總統澤倫斯基。... , https://udn.com/news/story/122663/7140887?from=udn-ch1_breaknews-1-0-news
2023-05-04 04:28:01 , udn , 聯準會如預期升息1碼 暗示接下來將暫停升息 , https://udn.com/news/story/6811/7140879?from=udn-ch1_breaknews-1-0-news
2023-05-04 04:28:11 , udn , 美國聯準會（Fed）美東時間3日下午2時（台北時間4日凌晨2時）宣布升息1碼，聯邦資金利率目標區間來到5%~5.25%，... , https://udn.com/news/story/6811/7140879?from=udn-ch1_breaknews-1-0-news
2023-05-04 05:21:12 , udn , 美參院民主黨人擬推「中國競爭法案2.0」 加強保衛台灣 , https://udn.com/news/story/6813/7140907?from=udn-ch1_breaknews-1-0-news
2023-05-04 05:21:22 , udn , 美國聯邦參議院民主黨人今天宣布，他們計畫推出「中國競爭法案2.0」，強化美國在科技、安全和台灣問題方面對抗中國的能力 , https://udn.com/news/story/6813/7140907?from=udn-ch1_breaknews-1-0-news
2023-05-04 05:39:44 , udn , 經濟快評／Fed維持「鷹派」基調 只輕微暗示6月可能暫停升息 , https://udn.com/news/story/6811/7140912?from=udn-ch1_breaknews-1-0-news
2023-05-04 05:39:55 , udn , 美國聯準會（Fed）聯邦公開市場委員會（FOMC）3日決策會議一如預期，決定再升息1碼，為5.0~5.25%。在會後聲明... , https://udn.com/news/story/6811/7140912?from=udn-ch1_breaknews-1-0-news
2023-05-04 05:45:12 , udn , Fed如期升息 美股收黑、道瓊下跌270點 , https://udn.com/news/story/6811/7140926?from=udn-ch1_breaknews-1-0-news
2023-05-04 05:45:23 , udn , 一如市場普遍預期，Fed升息25個基點，美股收跌。 , https://udn.com/news/story/6811/7140926?from=udn-ch1_breaknews-1-0-news
2023-05-04 05:48:12 , udn , Fed如預期升息1碼 美股收黑、道瓊下跌270點 , https://udn.com/news/story/6811/7140926?from=udn-ch1_breaknews-1-0-news
2023-05-04 06:18:10 , udn , 政治環境不公不義 人民還要繼續慣壞執政者？ , https://udn.com/news/story/6656/7140857?from=udn-ch1_breaknews-1-0-news
2023-05-04 06:18:21 , udn , 政黨競爭是民主的一部分，政治環境的不公不義，你遇過嗎？身為公民，我們要選擇沉默隨波逐流，繼續慣壞執政者，還是用選票策動改變？ , https://udn.com/news/story/6656/7140857?from=udn-ch1_breaknews-1-0-news
2023-05-04 06:18:41 , udn , 百年龍騰斷橋又一劫？圖解加固工程 走味的古蹟 , https://udn.com/news/story/7314/7140822?from=udn-ch1_breaknews-1-0-news
2023-05-04 06:18:52 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看龍騰斷橋加固工程，卻因鋼架外觀引起各方爭議。 , https://udn.com/news/story/7314/7140822?from=udn-ch1_breaknews-1-0-news
2023-05-04 06:21:12 , udn , 喊話美中往來 布林肯：建構雙邊基礎與護欄 , https://udn.com/news/story/6809/7140937?from=udn-ch1_breaknews-1-0-news
2023-05-04 06:21:22 , udn , 美國國務卿布林肯（Antony Blinken）原定2月訪問中國大陸，因偵察氣球事件喊卡，迄今未成行；布林肯3日被問到此... , https://udn.com/news/story/6809/7140937?from=udn-ch1_breaknews-1-0-news
2023-05-04 06:21:43 , udn , 【總編開箱】政治環境不公不義 人民還要繼續慣壞執政者？ , https://udn.com/news/story/11907/7140857?from=udn-ch1_breaknews-1-0-news
2023-05-04 06:27:12 , udn , 美貿易代表：台美21世紀貿易倡議談判最新進展  應該可望「很快」宣布 , https://udn.com/news/story/6811/7140940?from=udn-ch1_breaknews-1-0-news
2023-05-04 06:27:22 , udn , 美國貿易代表戴琪3日在該國商務部召開的年度「選擇美國投資高峰會」（SelectUSA Investment Summit... , https://udn.com/news/story/6811/7140940?from=udn-ch1_breaknews-1-0-news
2023-05-04 06:30:13 , udn , 「灌籃高手」主唱得食道癌 這文明病竟是致癌危險因子 , https://udn.com/news/story/7266/7140955?from=udn-ch1_breaknews-1-0-news
2023-05-04 06:30:23 , udn , 54歲日本樂團主唱千葉佑介，因演唱日本動畫電影「灌籃高手」片頭曲走紅，卻驚傳罹患食道癌。衛福部110年國人十大癌症死因排... , https://udn.com/news/story/7266/7140955?from=udn-ch1_breaknews-1-0-news
2023-05-04 06:39:11 , udn , 國中會考大解封 開放家長陪考掀論戰 聽老師怎麼說 , https://udn.com/news/story/7266/7140828?from=udn-ch1_breaknews-1-0-news
2023-05-04 06:39:22 , udn , 國中教育會考5月20、21日登場 ，是新冠肺炎降級後首場大型考試。前兩年，因疫情不開放家長陪考，不少考區校長、教師都大讚考場靜悄悄讓考生更能聚精會神上戰場，教育部日前宣布恢復家長陪考，部分家長感到憂心與矛盾，深怕去陪考影響孩子心情，不去又擔心孩子覺得不被關愛、午餐沒著落、落其他家長口舌。有國中校長以「考生家長過來人」經驗，提供家長三個思考點，跟孩子溝通，自己也想通後，就別再糾結了。 , https://udn.com/news/story/7266/7140828?from=udn-ch1_breaknews-1-0-news
2023-05-04 06:45:10 , udn , 上看36度高溫再熱3天 吳德榮：梅雨季首波鋒面周日到 , https://udn.com/news/story/7266/7140975?from=udn-ch1_breaknews-1-0-news
2023-05-04 06:45:21 , udn , 中央氣象局今晨發布濃霧特報，今天馬祖及清晨西半部地區易有局部霧或低雲影響能見度，桃園、新竹、苗栗及馬祖已有能見度不足20... , https://udn.com/news/story/7266/7140975?from=udn-ch1_breaknews-1-0-news
2023-05-04 06:49:14 , udn , Fed如預期升息1碼 鮑爾暗示緊縮周期或許告一段落 , https://udn.com/news/story/6811/7140973?from=udn-ch1_breaknews-1-0-news
2023-05-04 06:49:24 , udn , 聯準會（Fed）一如預期升息1碼（0.25個百分點），並暗示這可能是1980年代以來最急進緊縮周期的最後一次利率調整。 , https://udn.com/news/story/6811/7140973?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:08:45 , udn , 盼今年訪中 布林肯：透過交往建構雙邊基礎與護欄 , https://udn.com/news/story/6809/7140937?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:08:56 , udn , 美國國務卿布林肯（Antony Blinken）原定2月訪問中國大陸，因偵察氣球事件喊卡，迄今未成行；布林肯3日稱希望今年能訪中，他說，要建構美中關係的基礎與護欄，都必須透過交往（engagement）。 , https://udn.com/news/story/6809/7140937?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:21:13 , udn , 批政治操弄手法 郭台銘：民進黨只對公務員痛下重手 , https://udn.com/news/story/6656/7140985?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:21:24 , udn , 鴻海創辦人郭台銘爭取國民黨徵召參選總統，他昨深夜在臉書發文表示，向勞苦功高的公教軍警消朋友致敬，你們委屈了，「我們至今困... , https://udn.com/news/story/6656/7140985?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:27:14 , udn , 全台最會打PK的少棒教練 東園賴敏男神解贏球要訣 , https://udn.com/news/story/122629/7140322?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:27:25 , udn , 台北市東園國小抱回111學年度國小軟式聯賽冠軍，且是連四天打到延長賽，在「突破僵局制」勝出，相當不可思議，如何打贏PK？總教練賴敏男分析給你聽。

東園自淘汰排名賽起，32強賽2比1擊敗桃園市仁善 , https://udn.com/news/story/122629/7140322?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:27:45 , udn , 太陽不是紙糊的老虎 回到主場有能力扭轉局勢 , https://udn.com/news/story/122629/7140350?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:27:56 , udn , 面對西區第一種子，太陽前兩戰連續失手，陷入零比二的落後劣勢。這個系列賽太陽在客場失分高達111分，最重要的是自己的進攻也打不出來，G2居然只得87分。太陽四星沒能夠合力扛起球隊，只流於單打突圍的格局， , https://udn.com/news/story/122629/7140350?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:28:17 , udn , 克蕭恢復天下第一強投身手 挑戰第四座塞揚獎正是時候 , https://udn.com/news/story/122629/7140486?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:28:27 , udn , 過去那位熟悉的克蕭(Clayton Kershaw)是否真的回來了？這是今年開季一個月的一大熱門話題。這位剛拿下生涯200勝、本季已主投6場的3屆塞揚獎得主，目前繳出38投球局數、5勝1敗、1.89防 , https://udn.com/news/story/122629/7140486?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:28:48 , udn , 新光金改選能否變天？ 吳東亮還要闖過三道防線 , https://udn.com/news/story/7238/7139426?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:28:58 , udn , 僅剩一個多月，新光金改選就要在6月9日正式登場，這場分別以新光吳家兄弟吳東進、吳東亮為軸心的兩派人馬之間廝殺已趨白熱化，無疑是今年金融業的董監改選大戲，最具「看頭」的一家。

其中以吳東亮為軸心，號稱改革派的「吳氏宗親大聯盟」，由重要民股洪士琪出面代表發聲，但此次被視為台新金與新光金「金金併」前哨戰的新光金改選，能否順利變天？據參與此次改選的相關人士指出，現在雙方的勝負是「五五波」，吳東亮陣營仍有三大由公司派所設下的防線必須突破。 , https://udn.com/news/story/7238/7139426?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:42:16 , udn , 「銀行界劉德華」狂放妻難忍 高院判他和2情婦共賠130萬 , https://udn.com/news/story/7321/7140992?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:42:26 , udn , 林姓外商銀行副總裁偷腥，許姓妻子用他的電腦上網替小孩買口罩，赫見以女生名字命名的資料夾，其中林姓女分行長拍了40支性愛片... , https://udn.com/news/story/7321/7140992?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:51:03 , udn , 周日鋒面快閃 賈新興：氣候上梅雨季大環境特徵仍未出現 , https://udn.com/news/story/7266/7140994?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:51:13 , udn , 5月進入梅雨季，周日將有梅雨季首波鋒面，台灣整合防災工程技術顧問公司總監賈新興今天在臉書表示，5月7日周日的天氣系統是鋒... , https://udn.com/news/story/7266/7140994?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:54:05 , udn , 挑戰伏龍王？游淑慧曝韓國瑜教如何讓王世堅愁眉苦臉 , https://udn.com/news/story/6656/7140999?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:54:15 , udn , 國民黨台北巿議員游淑慧昨天宣布退出港湖黨內初選，由議員李彥秀代表國民黨參選港湖立委選戰，再戰立委高嘉瑜。游淑慧昨晚也在臉... , https://udn.com/news/story/6656/7140999?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:54:36 , udn , 流標多次 澎湖望安離島首輛幸福巴士終於上路 , https://udn.com/news/story/7327/7140998?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:54:46 , udn , 澎湖縣望安鄉島內公共運輸僅靠一輛車齡逾10年的19人座中型巴士，一旦故障就中斷服務，因應各地觀光客日漸增多，公路總局補助... , https://udn.com/news/story/7327/7140998?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:55:07 , udn , 驚！高雄暗夜烈火吞噬化學閒置廠房 消防緊急搶救 , https://udn.com/news/story/7320/7140997?from=udn-ch1_breaknews-1-0-news
2023-05-04 07:55:18 , udn , 高雄岡山一間化學工廠的閒置廠房今天凌晨冒出濃煙火舌，高市府消防局獲報趕緊前往搶救，但火勢一發不可收拾，加上廠房內堆置製成... , https://udn.com/news/story/7320/7140997?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:03:14 , udn , 【專家之眼】一個律師、市長到成為喪命街友的故事 , https://udn.com/news/story/7314/7141004?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:03:24 , udn , 美國俄勒岡州(Oregon)的一個小城鎮本德市(Bend)，有一位曾經做過律師、檢方辯護官、議員及市長的科伊納(Crai... , https://udn.com/news/story/7314/7141004?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:03:45 , udn , 「今年股市像2009年」他樂觀喊漲！網卻看衰：大跌前的寧靜 , https://udn.com/news/story/12806/7139807?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:03:55 , udn , 2007年到2008年發生環球金融危機，又稱2008年世界金融危機，是美國自1929年經濟大蕭條以來最嚴重的經濟災難。美國股市下跌超過50%，國際金融機構損失高達1.4兆美元。有網友認為，現在的狀況與金融危機後的2009年差不多，樂觀認定「未來股市將成長」。不過也有人認為現在只是「大跌前的寧靜」。 , https://udn.com/news/story/12806/7139807?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:04:16 , udn , 鮑爾發言 華爾街聽得滿頭問號 , https://udn.com/news/story/6811/7141000?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:04:27 , udn , 華爾街周三被聯準會（Fed）搞得一頭霧水。 , https://udn.com/news/story/6811/7141000?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:04:47 , udn , 蘇丹內戰中國能快速撤僑 關鍵在解放軍艦艇動力能高速航行24小時 , https://udn.com/news/story/10930/7136957?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:04:58 , udn , 非洲蘇丹內戰，中國大陸時隔八年再次動用軍艦撤僑，這次解放軍海軍的動作更快，協助撤出多國人員。非洲蘇丹的蘇丹港到沙烏地阿拉伯吉達港最短距離大約1200公里。大陸軍事專家稱，海軍艦艇能一天一夜高速航行，見證海軍作戰實力，也驗證大型艦艇燃氣輪機功率的可靠與耐用。 , https://udn.com/news/story/10930/7136957?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:05:18 , udn , 學審革命／期刊先刊再審是未來大勢？學界論戰幾乎一面倒指出盲點 , https://udn.com/news/story/6928/7140278?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:05:29 , udn , 為打破科學界長期被影響期刊的影響指數（Impact Factor，IF）綁架，知名非營利開放取用（Open Access）期刊 「數位生命科學」（eLife）今年1月起從「先審查後刊登」改為「先刊登再審查」，投稿只要經過編輯接受，不論同儕審查結果是好是壞一律刊登，同時公開審查意見，招致學界論戰，有人認為可能「劣幣驅逐良幣」，且刊登數量變多必定會稀釋IF；中研院院士陳培哲則建議多加一道機制，讓作者自己也要負責。 , https://udn.com/news/story/6928/7140278?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:09:15 , udn , 梅雨季首波鋒面將至 周日白天由北而南降雨 氣溫跌幅10度 , https://udn.com/news/story/7266/7141009?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:09:26 , udn , 今天依舊高溫炎熱，天氣風險公司天氣分析師歐宗學說，今天台灣附近受偏南風影響，水氣依然偏少，天氣型態與昨天類似，但東半部地... , https://udn.com/news/story/7266/7141009?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:18:16 , udn , 00878股利會縮水像沒發生一樣…閉眼買下去了？ 專家：別想太多 , https://udn.com/news/story/123006/7141007?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:18:26 , udn , 又到了00878配息的時間點了，今年第2次配息預計是每單位發0.27塊，本來預期股利縮水但好像也沒有發生，就有朋友心急了問我：「最近有一筆$$，想買00878但又覺得他越飆越高，想買在17.3以下，要等等，還是閉著眼睛給他買下去就對了？」 , https://udn.com/news/story/123006/7141007?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:27:14 , udn , 國中會考／社會科圖表化、本土題有望增 考前勤練這2題型有助應答 , https://udn.com/news/story/6925/7141020?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:27:25 , udn , 近20萬人報考的國中教育會考5月20日至21日舉行。聯合新聞網推出會考衝刺系列報導，1日至3日為國文、英文、數學科；4日... , https://udn.com/news/story/6925/7141020?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:27:45 , udn , 苗栗市公所啟動愛心路燈認養 1盞500元照亮回家的路 , https://udn.com/news/story/7324/7141019?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:27:56 , udn , 苗栗市公所啟動2023「愛心路燈認養」活動，全市約8100盞，認養1年1盞路燈500元專款專用，市長邱鎮軍籲請響應，照亮... , https://udn.com/news/story/7324/7141019?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:30:36 , udn , 【專家之眼】敬告農委會 WTO紛爭是這樣爭訟的 , https://udn.com/news/story/7314/7141022?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:30:46 , udn , 中國大陸商務部上個月公告，將對我展開貿易壁壘調查，凸顯我違反WTO的最惠國待遇原則。反觀，多次批評大陸暫停農產品進口抵觸... , https://udn.com/news/story/7314/7141022?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:31:38 , udn ,  照片看歷史／1970年國內發生首宗輻射外洩事件 汙染超標2萬倍 , https://udn.com/news/story/7314/7138577?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:31:48 , udn , 1970年5月4日，國內第一次因保管同位素銫-137不慎而遭受輻射汙染的現場，是在台北永和博愛街劉姓醫師親戚家中，其倉庫測出高達每小時1000毫侖目輻射，比每小時0.05毫侖目的安全標準高出兩萬倍。 , https://udn.com/news/story/7314/7138577?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:32:09 , udn , 怕變下流老人！日本銀髮族猛存錢 卻對經濟帶來衝擊 , https://udn.com/news/story/6811/7136902?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:32:20 , udn , 下流老人、老後破產…日本老年貧窮境遇的報導令人膽寒，政府報告還說，老後至少要有2000萬日圓，老年人作何感想？當然是，有能力賺錢時，盡量把錢攢起來，卻形成新的經濟問題。 , https://udn.com/news/story/6811/7136902?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:32:40 , udn , 代理師憂愁／大齡代理教師有經驗卻吃虧 越認真反而越考不上教甄？ , https://udn.com/news/story/6885/7127550?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:32:51 , udn , 大齡代理教師，在甄選正式教師時相對不吃香，有代理師奮鬥15年以上仍不得其門而入。教育界流傳「越認真的代理老師反而考不上正式」。代理教師們直言，代理教師多，其實給了學校「方便之門」，萬一代理師出差錯，隨時可踢掉，政府把教育事業當作只講求績效的冷冰環境，應該建立代理績效，讓長年表現優異的代理教師可以在連續服務幾年以上後評估「轉正」。 , https://udn.com/news/story/6885/7127550?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:33:12 , udn , 撐香港騙局／承認香港難民身分吃力不討好 港人來台只是民進黨籌碼？ , https://udn.com/news/story/6656/7139935?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:33:22 , udn , 2019年香港爆發反送中運動，這股「抗中」之風由香港吹來了台灣，造成當時選舉氛圍風雲變色，民進黨乘著這股反中之風，喊出「撐香港」口號，在2020年大選給了國民黨迎頭痛擊。香港人同在口號的號召下，對台灣升起民主嚮往。不過，四年過去了，香港沒有被蔡政府撐起來。旅陸的台灣學者認為，從一開始，民進黨便只是把香港人當作選舉籌碼，若真的開放港人大量來台，恐怕茲事體大。 , https://udn.com/news/story/6656/7139935?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:33:36 , udn , 郭台銘嗆當選90天詐騙消失 政院今提「打詐綱領1.5版」 , https://udn.com/news/story/6656/7141023?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:33:43 , udn , 郭台銘一句話曝綠執政現況 也提醒台灣要的不只是很棒的CEO , https://udn.com/news/story/6656/7140222?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:33:46 , udn , 爭取代表國民黨參選總統的鴻海創辦人郭台銘日前表示，如果當選總統，會在90天內讓詐騙集團消失。行政院會今天也剛好提出「新世... , https://udn.com/news/story/6656/7141023?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:33:53 , udn , 鴻海集團創辦人郭台銘積極爭取國民黨2024總統大選提名，但最近卻連續爆發失言爭議，郭台銘「鄭重修正」後，繼續他的密集拜會，自稱「媽祖宮阿銘」深入基層市場、夜市展現自己親民的一面，也對核能問題進行更多闡述，盡情展現其產業觀、國際觀，凸顯自己「很棒的CEO」特色。不過，台灣需要的卻不只是一個很棒的CEO，這一點，不知道郭台銘能做到嗎？ , https://udn.com/news/story/6656/7140222?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:42:36 , udn , 天主教教宗方濟各任命 方濟會士黃敏正神父出任台南教區主教 , https://udn.com/news/story/7326/7141025?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:42:46 , udn , 天主教教廷梵蒂岡昨天下午6點宣布，聖父教宗方濟各任命方濟會士、新竹教區大溪聖方濟堂主任司鐸黃敏正神父，為新任台南教區主教... , https://udn.com/news/story/7326/7141025?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:43:07 , udn , 海大龍崗步道螢河點點 螢火蟲季登場數量比往年多很多 , https://udn.com/news/story/7323/7141026?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:43:17 , udn , 國立台灣海洋大學有豐富的自然生態，今年龍崗生態園區的螢火蟲數量比往年多很多，且有增加的趨勢，目前已出現螢光閃閃盛況，是最... , https://udn.com/news/story/7323/7141026?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:48:36 , udn , 巴西前總統波索納洛涉偽造疫苗卡  遭調查 , https://udn.com/news/story/6809/7141012?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:48:46 , udn , 巴西前總統波索納洛涉嫌偽造COVID-19疫苗接種數據，聯邦警察今天前往他在巴西利亞的府邸搜查，並逮捕他的前副官巴波薩。... , https://udn.com/news/story/6809/7141012?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:54:44 , udn , 油價繼續重挫4%、需求疑慮不散 金價小漲邁向歷史高點 , https://udn.com/news/story/6811/7141017?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:54:55 , udn , 國際油價周三（3日）重挫4%，延續前一交易日的大幅跌勢，而且連續第三天收黑，疲軟的美國需求數據進一步加劇市場對全球經濟邁... , https://udn.com/news/story/6811/7141017?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:55:46 , udn , 美元全面走貶 Fed暗示並未承諾將暫停升息 , https://udn.com/news/story/6811/7141011?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:55:56 , udn , 美元周三下跌，聯準會（Fed）升息1碼（0.25個百分點）並暗示可能暫停升息。Fed主席鮑爾談到勞動市場仍然強勁、銀行業... , https://udn.com/news/story/6811/7141011?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:56:48 , udn , 高通財測黯淡 說手機需求仍弱且中國未復甦 盤後重挫7% , https://udn.com/news/story/6811/7141005?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:56:58 , udn , 高通3日公布的本季財測低於市場預期，且上季手機晶片銷售年比下滑17%，同時表示智慧手機產業在新訂單流入前，還要花多一些時... , https://udn.com/news/story/6811/7141005?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:57:32 , udn , 戴琪：希望很快能宣布美台貿易倡議新進展 , https://udn.com/news/story/7238/7141035?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:57:43 , udn , 美國貿易代表戴琪（Katherine Tai）3日在選擇美國投資峰會演講時說，希望很快能宣布美台貿易倡議的新進展。 , https://udn.com/news/story/7238/7141035?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:58:03 , udn , 塞爾維亞校園槍擊釀9死！13歲學生開槍濫射 還列「獵殺名單」 , https://udn.com/news/story/6813/7141034?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:58:14 , udn , 巴爾幹半島國家塞爾維亞首都貝爾格勒（Belgrade）3日發生校園槍擊案，一名13歲學生在校內開槍掃射，已知造成9人死亡... , https://udn.com/news/story/6813/7141034?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:58:35 , udn , 不姑息霸凌！三星座絕對會鬧大 雙子靠智慧 第一名正義使者 , https://udn.com/news/story/7268/7131350?from=udn-ch1_breaknews-1-0-news
2023-05-04 08:58:45 , udn , 霸凌是不好的行為，但在校園或職場都很常見，很多人看到霸凌，常常為了自保選擇冷眼旁觀，當事人也常會吞下去，不敢站出來。命理網站旺好運分享「這些星座懂得保護自己，敢反抗霸凌者」，快來看看那些勇敢星座上榜？ , https://udn.com/news/story/7268/7131350?from=udn-ch1_breaknews-1-0-news
