2023-05-19 00:02:20 , udn , 中職／雨神喊停！兄弟悍將4小時馬拉松大戰言和 , https://udn.com/news/story/7001/7175323?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:19:48 , udn , 富邦悍將隊今晚因單局3次失誤落後，最終也靠著守備拯救和局，林哲瑄因美技飛撲獲選單場MVP，他在賽後聽聞也有些意外，「接一... , https://udn.com/news/story/7001/7175381?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:37:38 , udn , 罰太輕？竹北天坑建商偷灌漿遭罰18萬 楊文科說明原因 , https://udn.com/news/story/7324/7175398?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:37:49 , udn , 造成新竹縣竹北市天坑的豐采520建案被新竹縣政府勒令停工後，竟偷施工灌漿，雖建商豐邑建設喊冤只是「搶險補強」，但新竹縣工... , https://udn.com/news/story/7324/7175398?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:38:09 , udn , 鹿港天后宮將進行百年修復工程 臨時行宫得傷腦筋 , https://udn.com/news/story/7325/7175397?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:38:20 , udn , 國定古蹟鹿港天后宮在921地震後受損，正殿即有鋼柱結構加固，近年又多次水災造成太歲廳地板受損等，文化部文資局正在進行修復... , https://udn.com/news/story/7325/7175397?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:55:43 , udn , 政治逆風下 台灣品牌在陸式微 強調「台味」反危險 , https://udn.com/news/story/7331/7175456?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:55:53 , udn , 日前，上海本地媒體報導，屹立上海徐家匯已經30年的台資太平洋百貨，今年下半年合約到期後將不再續約。這是太平洋百貨在上海的最後一家門店，意味著太平洋百貨將徹底退出上海市場。事實上，曾經叱吒上海灘多年，卻在近幾年黯然退場的不只太平洋百貨。台灣品牌為什麼在上海，甚至在整個中國大陸都不再吃香了？ , https://udn.com/news/story/7331/7175456?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:59:50 , udn , 中職／雨神喊停！兄弟悍將4小時馬拉松大戰6：6言和 , https://udn.com/news/story/7001/7175323?from=udn-ch1_breaknews-1-0-news
2023-05-19 02:07:35 , udn , MLB／大谷第10轟！5季轟到雙位數排名日本第2、亞洲第3 , https://udn.com/news/story/6999/7175485?from=udn-ch1_breaknews-1-0-news
2023-05-19 02:07:46 , udn , 天使隊「二刀流」大谷翔平再度開砲，今天面對金鶯隊之戰首局就敲陽春砲，本季第10轟出爐，旅美6季以來，這是他第5年單季達到... , https://udn.com/news/story/6999/7175485?from=udn-ch1_breaknews-1-0-news
2023-05-19 05:19:59 , udn , 因為一間卡拉OK小屋 東海組五校聯盟進軍威尼斯建築展 , https://udn.com/news/story/6898/7175516?from=udn-ch1_breaknews-1-0-news
2023-05-19 05:20:09 , udn , 走進第18屆威尼斯建築雙年展台灣館，蚵寮、棚屋、番茄園、養蝦場等台灣常見卻總被研究忽略的地景，以模型和圖片羅列於義大利百... , https://udn.com/news/story/6898/7175516?from=udn-ch1_breaknews-1-0-news
2023-05-19 05:20:30 , udn , 電閃如白晝！新豐地下道被水淹滿 新竹凌晨大豪雨狂降 , https://udn.com/news/story/7266/7175518?from=udn-ch1_breaknews-1-0-news
2023-05-19 05:20:41 , udn , 受到梅雨鋒面影響，新竹桃園地區今晨降下大豪雨，不僅電閃雷鳴，更傳出部分區域積水，新豐在3小時內降下破200毫米雨量，氣象... , https://udn.com/news/story/7266/7175518?from=udn-ch1_breaknews-1-0-news
2023-05-19 05:43:36 , udn , 美台貿易倡議達成第一階段協議 未來數周內就會簽署 , https://udn.com/news/story/7238/7175529?from=udn-ch1_breaknews-1-0-news
2023-05-19 05:43:46 , udn , 美國貿易代表署（USTR）18日宣布，美台21世紀貿易倡議達成第一階段協議，將很快簽署；預期會深化美台貿易關係並強化美台... , https://udn.com/news/story/7238/7175529?from=udn-ch1_breaknews-1-0-news
2023-05-19 05:51:06 , udn , 2周內債限有解 史指9個月新高 , https://udn.com/news/story/6811/7175517?from=udn-ch1_breaknews-1-0-news
2023-05-19 05:51:17 , udn , 史坦普500指數和那斯達克綜合指數上漲，創2022年8月以來最高收盤水平，因華爾街一直關注債務上限談判。 , https://udn.com/news/story/6811/7175517?from=udn-ch1_breaknews-1-0-news
2023-05-19 06:19:28 , udn , 520檢視蔡執政 圖解兩岸論述、民生爭議、財經關鍵數字 , https://udn.com/news/story/7314/7175476?from=udn-ch1_breaknews-1-0-news
2023-05-19 06:19:38 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看蔡政府執政7年下來的回顧與檢討。 , https://udn.com/news/story/7314/7175476?from=udn-ch1_breaknews-1-0-news
2023-05-19 06:19:59 , udn , 520將屆 民眾只要問一句「我們有過得更好嗎？」 , https://udn.com/news/story/6656/7175460?from=udn-ch1_breaknews-1-0-news
2023-05-19 06:20:10 , udn , 美國前總統老布希在競選時有句名言「讀我的唇，不加稅」，美好的承諾讓他能夠勝選，然而，政客的信口開河終究擋不住經濟不振的難局，老布希打破承諾加稅以減低聯邦赤字，大家都知道他不得已，但仍然抵不過柯林頓一句「笨蛋，問題在經濟」，讓老布希無法連任，雖然他是位在國際舞台大有成績的美國總統。 , https://udn.com/news/story/6656/7175460?from=udn-ch1_breaknews-1-0-news
2023-05-19 06:43:36 , udn , 深度旅遊／稻田彩繪怎麼種出來的？一個她與他們的故事 , https://udn.com/news/story/7266/7175475?from=udn-ch1_breaknews-1-0-news
2023-05-19 06:43:47 , udn , 全台各地瘋「稻田彩繪」，宛如大地畫布般的景致，舉凡老虎、卡通迪士尼、神明降臨、應景划龍舟，就連恐龍都躍上稻田風光，收割完還能吃，「可食地景」不用怕浪費。許多人好奇，浩大工程做得如此精準，背後秘訣是什麼？帶您一探究竟... , https://udn.com/news/story/7266/7175475?from=udn-ch1_breaknews-1-0-news
2023-05-19 06:44:08 , udn , 高彩度、多變化 FIOLE原子漂粉新趨勢 台日職人獻技 , https://udn.com/news/story/7270/7175553?from=udn-ch1_breaknews-1-0-news
2023-05-19 06:44:18 , udn , 日本頂級沙龍品牌FIOLE日前舉辦台日交流經營染髮講座暨新品原子漂粉發表會，日本沙龍權威職人內田聰一郎、浦SAYAKA全... , https://udn.com/news/story/7270/7175553?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:01:36 , udn , 新竹大豪雨 吳德榮：今注意劇烈天氣 下周二第4波鋒面接力 , https://udn.com/news/story/7266/7175570?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:01:47 , udn , 鋒面影響，易有短延時強降雨，中央氣象局發布豪雨特報，今天新竹縣、新竹市有局部豪雨或大豪雨發生，桃園市及苗栗縣並有局部大雨... , https://udn.com/news/story/7266/7175570?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:19:59 , udn , 凌晨雷聲隆隆 鄭明典：「閃個不停」 系統幾乎不動 彭啟明：雨勢顯著 , https://udn.com/news/story/7266/7175576?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:20:10 , udn , 北台灣今天凌晨雷聲隆隆，不少人被雷聲吵醒。中央氣象局長鄭明典在臉書表示，閃電閃個不停，系統幾乎不動。 , https://udn.com/news/story/7266/7175576?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:20:31 , udn , 屏縣國小教甄開缺98名首納代理老師加分、學校類型分組 , https://udn.com/news/story/6885/7175574?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:20:42 , udn , 為穩定教學人力及品質，屏東縣112學年度辦理國民小學暨學前特教教師聯合甄選，釋出98名缺額，較去年開缺名額增加24名，此... , https://udn.com/news/story/6885/7175574?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:32:29 , udn , 美股連二日收高 標普500觸9個月高點 債限協議有譜 , https://udn.com/news/story/6811/7175588?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:32:39 , udn , 美國股市周四連續第二天收高，這是因為美國債務上限協議可能在幾天內達成的樂觀情緒不斷升溫，零售商沃爾瑪給出樂觀的年度銷售預... , https://udn.com/news/story/6811/7175588?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:33:00 , udn , 熱火落選者聯盟打敗年度一二隊 綠衫軍不能只依賴雙星 , https://udn.com/news/story/122629/7175254?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:33:11 , udn , 今年東西區決賽的對戰組合和2020年如出一轍，彷彿讓人夢回當年的奧蘭多泡泡圈，熱火首戰的驚奇逆轉頗有要重演當年在一片不被看好聲浪中拿下東冠的氣勢。有趣的是，去年熱火在5月17日克服13分落後，逆轉塞爾 , https://udn.com/news/story/122629/7175254?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:33:32 , udn , 羅素成為G1最大破口  湖人急需快速變陣 , https://udn.com/news/story/122629/7174850?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:33:42 , udn , 西區決賽湖人vs.金塊開打，系列賽G1金塊展現驚人奪冠實力，投籃命中率5成5，三分命中率4成7命中15個三分球，以近乎完美表現132：126擊敗湖人。全世界都被金塊完美表現嚇到，不是驚嘆：金塊超強，就 , https://udn.com/news/story/122629/7174850?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:34:03 , udn , 疫情與AI催化周休三日 各國試辦效果差很大 , https://udn.com/news/story/6811/7173985?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:34:13 , udn , 民眾在公共政策網路參與平台發起「讓台灣成為亞洲第一個周休三日的國家」的提案，已有超過5000人附議，政府需在6月26日前做出回應。

新冠疫情顛覆了全球職場型態，遠距工作和混合工作型態引發全球周休三日的話題，勞雇雙方都須重新思考職場彈性和薪資福利的重要性。去年底爆發的人工智慧（AI）聊天機器人革命，更引發職位替代性的熱門話題。針對周休三日，或者說每周工作四日，各國政府對此有不同的接受程度和作法。 , https://udn.com/news/story/6811/7173985?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:34:34 , udn , 春哥侃陸／陸青年失業率飆破20%還沒完 3網路熱搜詞寫盡苦悶 , https://udn.com/news/story/7331/7173145?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:34:45 , udn , 5月中旬數據周，中國大陸國家統計局等部門接連公布月度數據，令經濟復甦的圖景變得黯淡，其中最令人心憂的青年失業數據再邁新高。青年失業將引來多方面的衝擊波，由近期還衝上網路「熱搜」成為話題，已現其對社會結構、人際關係的衝擊。高處不勝寒，高處未算高，大陸青年失業數據，預計到酷夏時節將會更高。 , https://udn.com/news/story/7331/7173145?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:38:42 , udn , 美台貿易倡議達成第一階段協議 戴琪：未來數周內就會簽署 , https://udn.com/news/story/7238/7175529?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:40:47 , udn , 台美貿易倡議首批協定完整內容曝光 上半年將完成簽署 , https://udn.com/news/story/7238/7175580?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:40:57 , udn , 行政院經貿談判辦公室今（19）日與美國同步宣布，已完成「臺美21世紀貿易倡議」中的五項議題談判，且雙方亦有共識將會今年上... , https://udn.com/news/story/7238/7175580?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:56:45 , udn , 凌晨顯著閃電落雷驚人 彭啟明：各地雷陣雨「特別是中北部」 入夜趨緩 , https://udn.com/news/story/7266/7175597?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:56:56 , udn , 天氣風險公司總經理彭啟明也在「氣象達人彭啟明」臉書粉專表示，凌晨開始顯著的閃電落雷報到，由於鋒面影響，今天各地短暫雷陣雨... , https://udn.com/news/story/7266/7175597?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:57:16 , udn , 立院今拚三讀 誘拐「豬仔」未遂最高關7年 , https://udn.com/news/story/6656/7175596?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:57:27 , udn , 為打擊誘拐豬仔人口販運，立法院會今天預計三讀「人口販運防制法」修正草案，提高人口販運加害人相關刑責，未來犯罪分子把人騙到... , https://udn.com/news/story/6656/7175596?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:57:48 , udn , 古風主題市集 屏東職人町520邀您一同玩古今穿越 , https://udn.com/news/story/7327/7175590?from=udn-ch1_breaknews-1-0-news
2023-05-19 07:57:58 , udn , 每年最浪漫的日子要去哪裡呢？5月20日一起到屏東職人町玩古今穿越，屏東縣政府打造職人町以歐風建築，成為民眾的拍照打卡熱點... , https://udn.com/news/story/7327/7175590?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:02:32 , udn , 【專家之眼】報告陳主委農業部少了大內宣署與補貼署 , https://udn.com/news/story/7314/7175602?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:02:42 , udn , 《農業部組織法》完成三讀，農業委員會預計年底即將升格為農業部，惟該部卻遺漏了二個最重要的職能—大內宣與補貼，殊為可惜，建... , https://udn.com/news/story/7314/7175602?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:03:03 , udn , 軍旅回憶殺／神手一抽「金馬獎」 愛情兵變…不是不到時候未到  , https://udn.com/news/story/10930/7173541?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:03:14 , udn , 五、六年級生在1980年代完成兵役義務。當兵不可怕，可怕的是抽到金馬獎，就是抽籤分發金門與馬祖前線外島。那個年代，台灣是戒嚴時期，兩岸處於對敵對戰爭狀態，金門與馬祖是最前線，與台灣地理距離十分遙遠，心的距離更是遙遠，有壯士一去兮不復還的風險。

抽籤當天我抽完籤，底下響起如雷掌聲與幾抹詭異的笑容，是的，我抽到金馬獎了。

一個月後，我搭船飄洋過海到了料羅灣碼頭，此時此刻的我，完全沒有楊牧筆下「料羅灣的漁舟」的文青心情，只有對未來的惶恐與不安。

我服役的單位是政戰特遣隊。這個部隊有點病態，連上雖講軍階，但更注重年資，早進來的人永遠比晚進部隊的大，在這裡，年資大的叫老弟兄，年資淺的叫新弟兄，老的對新的有無限管教權，包括打兵。 , https://udn.com/news/story/10930/7173541?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:03:35 , udn , 毛孩陪終老／北榮「狗員工」陪患者走最後時光...毛孩的療癒力量 院長最清楚 , https://udn.com/news/story/7266/7171334?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:03:45 , udn , 根據聯合報去年退休力大調查，「一個人生活」不只是未來式，更是現在進行式，台灣不婚單身人數愈來愈多，如何與自己相處，成為重要的功課。而不論是不是單身，愈多愈多人選擇飼養寵物，讓牠們成為家人，找到生活中的歸屬感，真心付出，陪伴彼此成為生命的一部分。

「橘世代」一連兩周進行「一個人與寵物」專題報導，本周先推出「療癒篇」，分享愛狗如痴的台北榮總院長陳威明如何從狗狗得到療癒力量，進而療癒院內員工和患者。... , https://udn.com/news/story/7266/7171334?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:05:01 , udn , 戴琪：未來數周內就會簽署美台貿易首批協定 , https://udn.com/news/story/7238/7175529?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:10:41 , udn , 凌晨顯著閃電落雷驚人 彭啟明：各地雷陣雨「特別是中北部」入夜趨緩 , https://udn.com/news/story/7266/7175597?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:14:03 , udn , 台積電大漲「600梯學長們待退狀態了？」 網：年底或許有機會 , https://udn.com/news/story/7251/7174276?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:14:13 , udn , 昨（18）日台股延續強勢表現，重回16,000點大關，大盤指數終場收16101.88點，上漲176.59點，權王台積電（2330）續強，激勵大盤走勢，最高曾一度達536元，後續稍微拉回，終場收530元，股價漲幅2.11%，上漲11元。投資人嗨喊「600梯的台積電有救了」，但其他人還是持悲觀態度，直言「這幾個月很難，年底有機會」。 , https://udn.com/news/story/7251/7174276?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:16:22 , udn , 新竹大豪雨！吳德榮：今注意劇烈天氣 下周二第4波鋒面接力 , https://udn.com/news/story/7266/7175570?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:21:17 , udn , 國中教育會考今下午看考場 屏東考生5949人創新低 , https://udn.com/news/story/123450/7175575?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:21:27 , udn , 112年國中教育會考將在5月20、21日舉行，今天19日下午3點到5點開放到考場認識環境，但不得進入試場，屏東考區設置1... , https://udn.com/news/story/123450/7175575?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:21:48 , udn , 凌晨雷聲隆隆！鄭明典：「閃個不停」系統幾乎不動 彭啟明：雨勢顯著 , https://udn.com/news/story/7266/7175576?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:32:30 , udn , 苗縣大成高中退場爛攤待善後 校內僅餘值錢設備又遭竊 , https://udn.com/news/story/6898/7175620?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:32:40 , udn , 苗栗縣私立大成高中被教育部列入私校專案輔導名單，全校現僅剩3名教職員工留守「苦撐」，董事會也因僅剩3人無法召開，教育部已... , https://udn.com/news/story/6898/7175620?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:33:01 , udn , 三陽（2206）發重訊澄清聲明…EPS不只6？ 網喊「準備噴」：開盤先10張 , https://udn.com/news/story/7252/7174326?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:33:12 , udn , 三陽工業（2206）首季獲利大爆發後，旗下機車拚擴大外銷，下半年電動機車將開賣，預期很快放量。三陽針對媒體報導發出澄清聲明，PTT網友看完卻反而認為「穩了」，有人嗨喊「一定漲停板」。 , https://udn.com/news/story/7252/7174326?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:33:33 , udn , 人本交通難題／政府機關各自檢討陷穀倉效應 欠缺「指揮」譜出交安樂章 , https://udn.com/news/story/7266/7174056?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:33:43 , udn , 2020年，一對情侶在新北市環狀線幸福站、新莊思源路口過馬路時，女子遭「切西瓜」左轉貨車撞死，轉眼過了2年，現場多了「車輛請暫停，讓行人先行」告示牌外，行穿線未退縮，也無實體庇護島，一輛輛車繼續「切西瓜」。

政府近年提出21項道安改善計畫、三大構面推動10項改善策略，卻還是擋不住道安死傷潮。陽明交大教授吳昆峯接受聯合報數位版專訪直言，台灣正面臨嚴重的「穀倉效應」，國家需要一位能譜出交通安全樂章的「指揮」，又在何方？ , https://udn.com/news/story/7266/7174056?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:34:04 , udn , 得到眷顧、有好事發生！這2個生肖在「小滿」前後即將轉運 , https://udn.com/news/story/7268/7170459?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:34:15 , udn , 2023年的5月21日是二十四節氣中的「小滿」日，它也是夏季的第二個節氣。科技紫微網今天就來為大家介紹與小滿相關的知識和運勢，一起來看看吧！ , https://udn.com/news/story/7268/7170459?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:34:36 , udn , 孤兒博士／指導教授離職誰來教？頂大不成文慣例 學生鮮少開天窗 , https://udn.com/news/story/6928/7174313?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:34:46 , udn , 大學教師基於各種原因中止與研究生的指導關係，常導致研究生成為「孤兒碩士」、「孤兒博士」，有些博士生研究做了一半，很難重新來。一名曾至加拿大任教的台大前教授說，學生轉換指導教授「不容易有好結果」，他離開台大時，指導的博士生最後休學；一名台大行政主管也表示，絕大多數老師都會有負責任的安排，系所主管也會出面協助轉介，就怕學生本人不願接受安排。也有頂大系所靠著不成文慣例，就算有教授離職，其指導的學生也很少出狀況。 , https://udn.com/news/story/6928/7174313?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:35:07 , udn , G7峰會／旅遊旺季卻因G7被迫停業 廣島商家認賠嘆：就當是颱風 , https://udn.com/news/story/6809/7174179?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:35:18 , udn , 為迎接重要領袖來訪，廣島縣觀光聯盟趕製四支影片介紹風景名勝與特產，附英文字幕，現在看起來有點諷刺。在七大工業國集團（G7）廣島峰會前後，有交通管制、商家不營業等措施，別說國外觀光客，日本旅客都敬而遠之。 , https://udn.com/news/story/6809/7174179?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:35:38 , udn , 大雨侵襲南庄 苗21線3.5公里路段又見落石坍方 , https://udn.com/news/story/7324/7175613?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:35:49 , udn , 苗栗縣南庄鄉苗21線道路3.5公里路段受到凌晨雨勢影響，今天清晨又出現落石坍方，交通一度中斷，經廠商以推土機清理，7點多... , https://udn.com/news/story/7324/7175613?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:36:09 , udn , 威尼斯建築展台灣館水都揭幕 展現台灣人「改裝」性格 , https://udn.com/news/story/6898/7175611?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:36:20 , udn , 第18屆威尼斯建築雙年展台灣館昨晚於水都舉行開幕儀式。威尼斯建築雙年展是世界規模最大的建築展，今年有近70個國家參展。文... , https://udn.com/news/story/6898/7175611?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:36:41 , udn , 【專家之眼】菲重返親美抗中路線，南海動作頻頻恐出事 , https://udn.com/news/story/10930/7175610?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:36:52 , udn , 近期，菲律賓在南海動作頻頻，菲中南海衝突不斷發生。如果美國拜登政府持續擴大聲援馬尼拉南海主張和行動，菲方也不克制，中共勢... , https://udn.com/news/story/10930/7175610?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:37:43 , udn , 台積電ADR上漲1.95% 較台北交易溢價7.56% , https://udn.com/news/story/6811/7175604?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:37:54 , udn , 台積電ADR周四繼續上漲1.95%，收在92.65美元，較台北交易溢價7.56%。費城半導體指數同日大漲3.16%。 , https://udn.com/news/story/6811/7175604?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:38:07 , udn , 恐怖！34歲人妻怒砍20歲夫陰莖 爆血痛苦下場慘 調查揭心酸內情 , https://udn.com/news/story/6810/7175612?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:38:18 , udn , 夫妻反目只有恨？印尼東爪哇心省盧馬讓（Lumajang）一名34歲女子「YC（化名）」，因不滿自己痴心錯付、全心付出卻換來被20歲丈夫「斬纜」離婚，竟然誘騙丈夫到酒店，並趁丈夫熟睡砍掉丈夫陰莖，導致丈夫痛苦「爆血」送院。「YC」事後被捕，調查揭發更多內情，原來2人結婚後原本恩愛，沒想到丈夫父母反對2人婚姻「棒打鴛鴦」，終導致慘劇。 , https://udn.com/news/story/6810/7175612?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:38:39 , udn , 影／地下道灌滿吞3車！新竹暴降大豪雨四處災 竹科上班交通大亂 , https://udn.com/news/story/7324/7175623?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:38:49 , udn , 新竹地區在今晨降下大豪雨，尤其在竹北、新豐沿海一帶雨勢強勁，導致多處地下道出現嚴重積水，更有車輛拋錨，新竹縣市不少路段同... , https://udn.com/news/story/7324/7175623?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:39:10 , udn , 豪雨伴雷擊！桃園多處停電 最快9時搶修完畢 , https://udn.com/news/story/7324/7175622?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:39:21 , udn , 鋒面過境，桃竹地區今天凌晨降下豪雨。根據中央氣象局資料顯示，今天0時到上午8時降雨前十名集中在桃竹地區，第一名累積雨量高... , https://udn.com/news/story/7324/7175622?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:39:42 , udn , 屏東琉球杉福漁港2男潛水失聯 警消海巡搜尋 , https://udn.com/news/story/7320/7175621?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:39:52 , udn , 屏東縣消防局昨晚間7點59分，接獲安檢所轉報，琉球鄉杉福魚港外圍海域有2名男子潛水失聯，配合海巡在岸邊搜尋未果，加上海上... , https://udn.com/news/story/7320/7175621?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:40:13 , udn , 性感泳衣女危坐酒店天台欄外 雙腳懸空極驚險片瘋傳 網友：很瘋狂 , https://udn.com/news/story/7335/7175616?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:40:24 , udn , 為了「打卡」拍片影相，可以去到幾盡？香港網絡廣傳１段影片，見到1名女子穿着黑色高叉開胸露腰泳衣，玩命色坐在一棟大廈天台圍欄外邊緣，雙腳懸空「搔首弄姿」，在18秒內不斷轉換姿勢拍攝，更瘋狂的是她不時往下望並伸出雙腳，畫面相當「危險」。 , https://udn.com/news/story/7335/7175616?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:44:52 , udn , 【專家之眼】菲重返親美抗中路線 南海動作頻頻恐出事 , https://udn.com/news/story/10930/7175610?from=udn-ch1_breaknews-1-0-news
2023-05-19 08:57:04 , udn , 「道不同不相為謀」郭正亮宣布退出民進黨 , https://udn.com/news/story/6656/7175633?from=udn-ch1_breaknews-1-0-news
