2023-03-24 00:08:37 , udn , 王婉諭宣布參選北市大安區立委 , https://udn.com/news/story/123307/7052567?from=udn-ch1_breaknews-1-0-news
2023-03-24 01:21:10 , udn , ChatGPT生成式AI掀起熱潮，大專校院憂心學生可能用於自傳、讀書計畫等文件，國立台北科技大學日前便表示，明年起，四技二專甄選以及個人申請入學管道將全面採「多資料參採」，以面試、實作等驗證學生學習歷程檔案真實性，並評估學生入學資格。 , https://udn.com/news/story/6928/7052836?from=udn-ch1_breaknews-1-0-news
2023-03-24 04:35:27 , udn , 21世紀貿易倡議談判中 戴琪：強化美台關係 , https://udn.com/news/story/6811/7052883?from=udn-ch1_breaknews-1-0-news
2023-03-24 04:35:38 , udn , 美國貿易代表（USTR）戴琪（Katherine Tai）23日在美國聯邦參議院金融委員會表示，正設法運用各種經濟工具，... , https://udn.com/news/story/6811/7052883?from=udn-ch1_breaknews-1-0-news
2023-03-24 05:23:27 , udn , 林佳龍協調奏效 原信誓旦旦選立委的邱建富宣布棄選 , https://udn.com/news/story/6656/7052891?from=udn-ch1_breaknews-1-0-news
2023-03-24 05:23:37 , udn , 民進黨區域立委初選領表、登記今天截止，民進黨前彰化縣黨部主委邱建富，原信誓旦旦今天上午9點半將登記參選彰化縣第二選區立委... , https://udn.com/news/story/6656/7052891?from=udn-ch1_breaknews-1-0-news
2023-03-24 05:41:26 , udn , 看好停止升息 股指逆轉收高 , https://udn.com/news/story/6811/7052895?from=udn-ch1_breaknews-1-0-news
2023-03-24 05:41:37 , udn , 交易員押注Fed可能接近其升息周期的尾聲，美股在動盪的交易後收高。 , https://udn.com/news/story/6811/7052895?from=udn-ch1_breaknews-1-0-news
2023-03-24 05:59:29 , udn , 美防長：逐周逐月討論提供台灣所需軍力 , https://udn.com/news/story/6811/7052902?from=udn-ch1_breaknews-1-0-news
2023-03-24 05:59:39 , udn , 美國國防部長奧斯丁（Lloyd Austin）23日首度在國會證實有老虎小組（Tiger Team）的任務編組，負責處理... , https://udn.com/news/story/6811/7052902?from=udn-ch1_breaknews-1-0-news
2023-03-24 06:20:28 , udn , 【總編開箱】告別宏都拉斯 台灣需要有新外交思維 , https://udn.com/news/story/123264/7052822?from=udn-ch1_breaknews-1-0-news
2023-03-24 06:20:39 , udn , 雖然已經是「預知死亡紀事」，但知悉宏都拉斯外交部長雷伊納已率團前往中國大陸，「推動」雙方建立外交關係，我外交部當然不能無感。外交部昨天決定召回我駐宏大使，痛批宏國「罔顧兩國超過八十年情誼」，這時間可比中華民國在台灣的時間還長。就算美國派出了特使，也擋不住宏國要靠向中共的發展，連美國都拉不住，我們真的是已仁至義盡，該來的還是會來，與其等著宏國賞我們一巴掌，不如先自我了斷，召回大使的動作，就是要維護我們最後一絲尊嚴... , https://udn.com/news/story/123264/7052822?from=udn-ch1_breaknews-1-0-news
2023-03-24 06:20:59 , udn , 狒狒14天歷險 腳程驚人 麻醉槍與香蕉都攔不住 , https://udn.com/news/story/7314/7052669?from=udn-ch1_breaknews-1-0-news
2023-03-24 06:21:09 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。神祕狒狒在桃園地區逃竄12天，這次圖表帶你看牠驚人的逃亡路線圖。 , https://udn.com/news/story/7314/7052669?from=udn-ch1_breaknews-1-0-news
2023-03-24 06:29:29 , udn , 開箱百里侯／理工男張善政 少跑攤用手機辦公事 , https://udn.com/news/story/6656/7052842?from=udn-ch1_breaknews-1-0-news
2023-03-24 06:29:39 , udn , 桃園市長張善政被外界形容為「理工市長」，他卻以「溫柔管理」的路線，一改前市長鄭文燦的跑攤風格。 , https://udn.com/news/story/6656/7052842?from=udn-ch1_breaknews-1-0-news
2023-03-24 06:56:38 , udn , 高溫上看37度爆熱 吳德榮：明天春雷乍響 降雨由北往中部擴展 , https://udn.com/news/story/7266/7052941?from=udn-ch1_breaknews-1-0-news
2023-03-24 06:56:48 , udn , 中央氣象局發布濃霧特報，今天金門、馬祖及北部地區易有局部霧或低雲影響能見度，金門已出現能見度不足200公尺的現象。 , https://udn.com/news/story/7266/7052941?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:29:48 , udn , 身處季後賽邊緣還想逆襲金塊 湖人爆棚自信打哪來？ , https://udn.com/news/story/122629/7052611?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:29:59 , udn , 本季例行賽進入尾聲，西區附加賽圈競爭進入白熱化，7到12名之間只有一場勝差，在各隊剩餘的7至10場球賽中，排名隨時都可能大洗牌。其中，洛杉磯湖人近期的二連勝讓他們排名再次暫時上升到第十名。里夫斯(Au , https://udn.com/news/story/122629/7052611?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:30:19 , udn , 土耳其天才中鋒森根 被低估的火箭明日之星 , https://udn.com/news/story/122629/7052303?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:30:30 , udn , 2021年NBA新人選秀會第一輪第16順位進NBA(雷霆把選秀權交易給火箭)，土耳其211公分中鋒森根(Alperen Sengun)兩年來成長幅度驚人，擁有成為NBA明星中鋒潛力。

森根NBA , https://udn.com/news/story/122629/7052303?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:30:50 , udn , 馬克宏退休金改革惹惱法國人 極右派會撿到便宜？ , https://udn.com/news/story/6809/7049487?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:31:00 , udn , 法國總統馬克宏引用憲法授權，宣布將退休年齡從62歲提高至64歲。雖經批評者集體反對，祭出不信任投票，在本周一（19日）以極小差距遭到否決，政策正式上路。

馬克宏將改革法國慷慨而複雜的退休金制度，作為其總統任期和競選活動的核心支柱。他和他的政府認為，隨著法國社會老齡化和愈來愈少工人支付退休準備金，該系統有破產的風險。目前，法國是歐洲退休年齡最低的國家之一。隨著人們的壽命愈來愈長，有必要進行改革以使退休金制度在財務上可自給自足。 , https://udn.com/news/story/6809/7049487?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:31:21 , udn , 春哥侃陸／港澳辦化身黨中央直屬機構 成為中共對台工作的「典範」？ , https://udn.com/news/story/7331/7050596?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:31:31 , udn , 中共新一輪機構改革完成，在一波機構新設、撤銷、改設中，原國務院港澳辦化身中共中央直屬機構，其機構改設，引出不同側面的解讀。在中共中央直接插手港澳事務等多種說法之外，還有新解讀，那要用八個字來總結：「安內攘外、再試垂範」。... , https://udn.com/news/story/7331/7050596?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:32:48 , udn , 我可以嗎？我做得到嗎？武術女孩：沒盡全力前，都不該輕言放棄！ , https://udn.com/news/story/121721/7052949?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:32:58 , udn , 嬌滴滴的女孩，為什麼要練武術？一開始，年幼的徐仲薇只是因為常感冒，想練武術強身健體，比賽成績幾乎都是倒數、被看不起，她咬牙堅持，一路成了武術教練，更鼓舞更多人，透過武術找回自信。23歲的徐仲薇接受全台最大女性健身社群「有肌勵」採訪，表示年幼時身體很虛弱，三不五時就感冒，父母決定讓她多運動鍛鍊體魄，特地選擇有運動項目的國小讓她就讀。 , https://udn.com/news/story/121721/7052949?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:38:38 , udn , 美：減少穿越台海恐傳遞錯誤訊息 使中方越發挑釁 , https://udn.com/news/story/6811/7052953?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:38:48 , udn , 美國參謀首長聯席會議主席密利（Mark Milley）23日表示，中國大陸是美國當前最重大的戰略對手，美國無意發生大國戰... , https://udn.com/news/story/6811/7052953?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:41:36 , udn , 周末春雨到「各地都有降雨機會」 周日雨勢最大 , https://udn.com/news/story/7266/7052955?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:41:46 , udn , 中央氣象局說，今天微弱鋒面通過，各地雲量增加，東北部及東部整天有局部短暫陣雨，中部以北也有不定時陣雨的機會，但相對零星。 , https://udn.com/news/story/7266/7052955?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:53:40 , udn , 狒狒桃園現蹤 IKEA聲明：全台分店的動物確定皆無逃脫 , https://udn.com/news/story/7324/7052963?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:53:51 , udn , 一隻來源不明的狒狒在桃園出沒逃竄，被多人目擊。IKEA臉書粉專昨天發文，「IKEA在此聲明，全台分店的動物經確認後確定皆... , https://udn.com/news/story/7324/7052963?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:56:43 , udn , 熟齡離婚／沒吵架沒小三 媽媽退休前才鬧離婚？ 她拯救父母婚姻順便創業 , https://udn.com/news/story/7266/7046523?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:56:54 , udn , 「Encore安可日子」是專屬40+的熟齡創作平台，平台開宗明義說明，Encore與志同道合好友，共學共玩共創回憶，讓熟年生活再次精彩。Encore的創辦人林宜靜，人稱Jingle，最初的創業契機其實是為了挽救爸媽婚姻，她55歲的媽媽竟在退休前，把一紙離婚協議書攤在桌上，讓家裡頓時天翻地覆。而她和媽媽長談後，發現媽媽喊著要離婚，並不是不愛爸爸了，也不是「有小王」或「爸爸有小三」。為此，她想出絕佳妙計，透過一番努力，才終於成功修復了父母的婚姻關係。... , https://udn.com/news/story/7266/7046523?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:59:46 , udn , 獨／網友提問光電、打房及局長被押 黃偉哲親上火線回應 , https://udn.com/news/story/6656/7052967?from=udn-ch1_breaknews-1-0-news
2023-03-24 07:59:56 , udn , 台南市長黃偉哲連任第二任期將滿100天之際，接受本報專訪。針對聯合報粉絲關心的光電、房價、官員收押及88槍、議長賄選案，... , https://udn.com/news/story/6656/7052967?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:00:17 , udn , 【專家之眼】球王又換人做了：驚喜與隱憂 , https://udn.com/news/story/6656/7052968?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:00:27 , udn , 繼澳網奪冠、重回球王寶座後，喬科維奇又創下了網壇的另一個歷史紀錄：打破了前球后葛拉芙維持的377周世界第一紀錄，並累積到... , https://udn.com/news/story/6656/7052968?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:00:47 , udn , 北投文物館東風西行清代外銷瓷器展重現東西方文化交流 , https://udn.com/news/story/6904/7052965?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:00:58 , udn , 北投文物館正在展出18世紀清代外銷瓷器，這項展覽囊括了國立歷史博物館、台灣碗盤博物館、橄欖樹下文創有限公司與私人藏家的蒐... , https://udn.com/news/story/6904/7052965?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:05:39 , udn , 疫後運動產業夯 休閒運動科系爽挑工作機會 , https://udn.com/news/story/6898/7052971?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:05:50 , udn , 疫情解封，國人運動需求激增，去年到今年，運動產業俱樂部數量增加快一倍，業界求才若渴。柏文健身事業公司等17家運動企業前進... , https://udn.com/news/story/6898/7052971?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:06:10 , udn , 遇到狒狒千萬別露齒微笑 林務局：避免激怒、快打1999 , https://udn.com/news/story/7324/7052974?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:06:21 , udn , 桃園市區出現一隻狒狒逃竄，林務局臉書粉專「林務局-森活情報站」表示，如果民眾遇到狒狒，採取4不行為，避免激怒狒狒，包括不... , https://udn.com/news/story/7324/7052974?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:06:41 , udn , 基隆市區重要節點31號橋面路平 天候不佳延至30日起1周 , https://udn.com/news/story/7328/7052970?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:06:52 , udn , 基隆市府原訂3月23至26日進行「成功一路、安樂路一段路口及31號橋」路面改善，受天候影響，順延至3月30日至4月2日，... , https://udn.com/news/story/7328/7052970?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:12:14 , udn , 遇到狒狒千萬別露齒微笑 林務局籲「4不」：避免激怒、快打1999 , https://udn.com/news/story/123439/7052974?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:17:39 , udn , 鋒面晚間抵達 吳聖宇：北東部午後漸有雨 周日全台降雨 , https://udn.com/news/story/7266/7052981?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:17:49 , udn , 今天鋒面逐漸接近北台灣，天氣風險公司天氣分析師吳聖宇說，預估晚間就可能來到台灣上空，台中以北地區今天一早就有低雲或霧的現... , https://udn.com/news/story/7266/7052981?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:23:37 , udn , 影／台電人員春天最怕的事 喜鵲築巢竟愛用鐵絲超崩潰 , https://udn.com/news/story/7266/7052986?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:23:48 , udn , 台電為避免發生「鳥事故」造成停電，每年在春季野鳥繁殖高峰期，都會加強清除電線桿上的鳥巢，台電台南區處今年至今已清除178... , https://udn.com/news/story/7266/7052986?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:24:08 , udn , 矽谷、瑞士信貸因債券翻船？暴力升息才是兇手…債券一定保本竟是迷思！ , https://udn.com/news/story/12806/7052976?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:24:19 , udn , 債券有兩個常見的迷思：「債券一定保本」、「股債平衡」... , https://udn.com/news/story/12806/7052976?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:29:39 , udn , 大台北昨颳怪風 專家解惑：鋒面接近可能引發對流系統 , https://udn.com/news/story/7266/7052993?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:29:49 , udn , 鋒面接近，大台北昨天下午颳起強風，中央氣象局也發出較強陣風的即時訊息。台北市的全國原住民族運動會設在大佳河濱公園數頂帳篷... , https://udn.com/news/story/7266/7052993?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:30:10 , udn , 諷刺張善政卻忘了監督 綠議員博版面 支持者該憤怒 , https://udn.com/news/story/6656/7052271?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:30:20 , udn , 桃園市長張善政22日到桃園市議會進行施政總質詢處女秀，結果爆發民進黨市議員余信憲拿著施政報告書面資料，指市府法務局等多個單位「抄襲」前市長鄭文燦時期施政報告內容，批評官員「尸位素餐，愧對人民」，引發法務局長賴彌鼎拍桌、疑似罵髒話風波。 , https://udn.com/news/story/6656/7052271?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:41:48 , udn , 紓解安樂區國道通勤大排長龍 基隆巿府接駁車今增5站載客 , https://udn.com/news/story/7328/7052995?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:41:59 , udn , 由於國道客運9026因司機短缺脫班嚴重，基隆安樂區通勤民眾每天大排長龍，市府昨天起開辦免費接駁公車，分散人潮到八堵火車站... , https://udn.com/news/story/7328/7052995?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:48:03 , udn , 高雄豪宅租金它最高  遠雄THE ONE每坪13萬居冠 , https://udn.com/news/story/7241/7053003?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:48:13 , udn , 受惠於科技產業相繼進駐，高雄豪宅租屋市場也看好，據實價登錄資料揭露，亞灣區內的遠雄THE ONE，每月租金高達13萬元，... , https://udn.com/news/story/7241/7053003?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:50:59 , udn , 悲！30歲媽嗑藥過頭 2女兒遺62°C高溫車內活活熱死 罪成遭重判 , https://udn.com/news/story/6644/7053004?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:51:10 , udn , 澳洲1名曾有吸毒紀錄的母親，3年前在車上留下兩名熟睡的年幼女兒，自已則返回家中睡覺，至翌日早上發現兩子女被活活熱死，當時車廂溫度高達攝氏62度。母親承認誤殺及藏毒罪，早前被判入獄9年，但孩子的父親則認為判刑太輕，指女方的行為形同謀殺，這樣對待弱小無辜的女兒，認為她起碼應被判監30年。 , https://udn.com/news/story/6644/7053004?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:53:57 , udn , 3/24【早晨財經速解讀】美股大爆噴 銀行危機落幕?央行跟進升息半碼 壓通膨or避衰退? , https://udn.com/news/story/7251/7053007?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:54:07 , udn , 美國股市周四收漲，美國財政部長葉倫再次保證，將採取措施保障美國民眾的存款安全，這讓市場參與者感到放心。 , https://udn.com/news/story/7251/7053007?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:54:28 , udn , 悲！30歲媽嗑藥過頭 2女兒遺留在62°C高溫車內活活熱死遭重判 , https://udn.com/news/story/6810/7053004?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:56:58 , udn , 美股收高 法人：台股不確定因素減少回歸基本面 , https://udn.com/news/story/7251/7053013?from=udn-ch1_breaknews-1-0-news
2023-03-24 08:57:09 , udn , 美國聯準會（Fed）如預期升息1碼，市場認為升息循環正接近結束，美股收高，費半指數勁揚2.67%，央行23日跟進升半碼，... , https://udn.com/news/story/7251/7053013?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:00:03 , udn , 大巨蛋3月底將鋪人工草皮 李四川：今年底打球即將實現 , https://udn.com/news/story/7323/7053018?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:00:13 , udn , 台北市大巨蛋的防火避難及排煙審查，已取得內政部正式認可函，現正進行煙控現場試驗，台北市副市長李四川上午在臉書指出，距離今... , https://udn.com/news/story/7323/7053018?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:02:05 , udn , 高雄豪宅租金它最高  遠雄THE ONE每月13萬居冠 , https://udn.com/news/story/7241/7053003?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:02:57 , udn , 國1台南北向321.4K小貨車翻覆占內外車道 「紫爆」回堵3公里 , https://udn.com/news/story/7320/7053020?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:03:08 , udn , 高速公路局說，上午7時57分國道1號北向365公里處高雄路段，發生2輛小客車追撞，占用中間車道，進行拖吊處理中，回堵約4... , https://udn.com/news/story/7320/7053020?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:11:59 , udn , 研究：吃越多垃圾食物 大腦就越討厭健康食物 , https://udn.com/news/story/6812/7051932?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:12:09 , udn , 高脂高糖飲食不僅會讓人變胖，近期專家還發現，這種飲食會讓人體養成習慣，而且越常吃高脂高糖的食物，就會越不喜歡健康的食物。 , https://udn.com/news/story/6812/7051932?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:12:30 , udn , 每分鐘心跳只剩50多下正常嗎？ 醫曝最常見是這個原因 , https://udn.com/news/story/7266/7053023?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:12:40 , udn , 女星黃小柔老公王睿日前心臟感到不舒服、胸悶，到院時心跳僅剩51下，最後確診為心肌梗塞，經置放心血管支架治療。台安醫院心臟... , https://udn.com/news/story/7266/7053023?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:15:03 , udn , 港鐵小心！大陸女孩被大叔調戲還這麼做嘆港人冷漠不幫忙後續更狂 , https://udn.com/news/story/7332/7053027?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:15:13 , udn , 禽獸行為絕不能啞忍！有大陸女於「小紅書」講述近日來香港旅遊不愉快經歷，指穿短裙在港鐵月台等車時，被中年男人摸屁股非禮，看到對方面無表情步步進逼，她於是邊逃走邊向3至4個路人求救，卻無人伸出援手，令她感到絕望。事後她猶有餘悸，反思是否因自己穿的裙太短所致，「遇到這樣的變態都是我們自找的呢？」，又提醒女孩子在香港一定要保護好自己。 , https://udn.com/news/story/7332/7053027?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:17:57 , udn , 一線男演員「謝承均」主動加臉書聊天 迷婦昏頭險失財 , https://udn.com/news/story/7320/7053038?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:18:08 , udn , 一名自稱台劇演員「謝承均」男星，主動加台中市54歲王婦臉書好友，頻繁與王聊天、噓寒問暖，讓王變成小迷妹沖昏頭，再稱投資急... , https://udn.com/news/story/7320/7053038?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:18:28 , udn , 港鐵小心！大陸女孩被大叔調戲還這麼做 嘆港人冷漠不幫忙 後續更狂 , https://udn.com/news/story/7332/7053027?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:18:37 , udn , 美貨幣市場基金規模再創新高 兩周吸金2,380億美元 , https://udn.com/news/story/6811/7053011?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:19:29 , udn , 元大金控獲CDP供應鏈議合A級 排名全球前8%績優企業 , https://udn.com/news/story/7239/7053035?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:19:40 , udn , 2050淨零碳排是全球共識，元大金控發揮永續影響力，強化氣候管理實踐永續金融目標，落實永續供應商管理，影響其他企業跟進低... , https://udn.com/news/story/7239/7053035?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:22:42 , udn , 隨著對銀行業的擔憂繼續衝擊全球市場，截至3月22日當周，存放在美國貨幣市場基金的資金再創新高紀錄。 , https://udn.com/news/story/6811/7053011?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:26:35 , udn , 美財長葉倫表態：準備必要時採更多行動保障存款 , https://udn.com/news/story/6813/7052984?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:26:46 , udn , 美國財政部長葉倫周四說，如有必要，監管機構準備採取進一步措施為銀行存款提供保障，再次部署支持矽谷銀行和Signature... , https://udn.com/news/story/6813/7052984?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:27:05 , udn , 照片看歷史／1975年首次全國經濟會議揭幕 百位產官學專家共謀國家發展 , https://udn.com/news/story/7314/7051182?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:27:15 , udn , 1975年3月24日，政府召開首次的全國經濟會議，共120多位政府官員、學者及農工商業者參加，共同研討建立中華民國整體的經濟發展，希望在計畫性的自由制度下，謀求經濟的整體發展。 , https://udn.com/news/story/7314/7051182?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:27:36 , udn , 飼主遠端嚇阻貓咪做壞事！凶手現身鏡頭前「粗暴消滅證據」：你什麼都沒看到 , https://udn.com/news/story/7470/7034248?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:27:46 , udn , 不少飼主對於寵物獨自在家時都在做些什麼會感到好奇，因此選擇在家中裝設監控鏡頭，以便出門時也能隨時查看家中毛小孩的狀況。在國外就有飼主透過智慧攝影機抓到貓咪調皮搗蛋，以為可以成功阻止毛孩，沒想到卻被反將一軍。 , https://udn.com/news/story/7470/7034248?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:28:06 , udn , 導航帶錯路！高雄重機男賞那瑪夏螢火蟲 慘卡山溝求援 , https://udn.com/news/story/7320/7053046?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:28:17 , udn , 家住高雄鼓山區的56歲陳姓男子，日前滿心期待能看見春天那瑪夏螢火蟲成群在山林中漫天飛舞的美景，怎料他獨自騎乘紅牌大型重機... , https://udn.com/news/story/7320/7053046?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:29:58 , udn , 微波後碗盤熱到不行？上保鮮膜多這動作 從兩側拿不燙手 , https://udn.com/news/story/120912/7051977?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:30:08 , udn , 許多人想要加熱食物時，都會選擇用微波爐來回溫。而在使用微波爐時，又會因為溫度過高，一時之間很難拿起器具，跟掀開上頭的保鮮膜。近來就有日本網友，分享如何在微波爐熱東西時，讓整體容器不至於太燙手。 , https://udn.com/news/story/120912/7051977?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:30:29 , udn , 模擬在敵方港口引爆彈頭！北韓試驗「新型無人核攻擊潛艇」 , https://udn.com/news/story/6809/7053055?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:30:39 , udn , 北韓官媒24日表示軍方本周稍早在領導人金正恩的指導下進行「無人核攻擊潛艇試驗和巡航飛彈演習」。 , https://udn.com/news/story/6809/7053055?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:30:59 , udn , 尷尬！住酒店41樓 情侶全裸開窗簾驚見1幕崩潰 竟被他們看光光 , https://udn.com/news/story/7335/7053047?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:31:10 , udn , 住酒店竟然被看光光！內地一對情侶入住杭州一家貴價酒店41樓江景房，裸體的他們打開窗簾想欣賞窗外美景，沒想到竟然見到工人正在高空清潔窗戶，全裸的2人隨即被「看光光」。2人頓時氣炸，明言若酒店無合理交代，就會告上法庭；酒店則回應，清潔時間由物業公司統一安排，因客人作息不一，無法一一通知客人何時清洗玻璃外牆，但指有在客房內擺放提醒字條，盡力提醒客戶留意。 , https://udn.com/news/story/7335/7053047?from=udn-ch1_breaknews-1-0-news
2023-03-24 09:32:59 , udn , 注意…延長線壽命其實只有5年！「過熱、插口鬆」4大警訊要當心 , https://udn.com/news/story/122659/7051958?from=udn-ch1_breaknews-1-0-news
