2023-04-02 00:26:41 , udn , 殺破狼週運勢／金牛感情感到甜蜜 射手工作身價水漲船高　 , https://udn.com/news/story/7268/7048130?from=udn-ch1_breaknews-1-0-news
2023-04-02 06:21:03 , udn , 【總編開箱】蔡英文對民進黨派系控制 再也撐不久了 , https://udn.com/news/story/6656/7072756?from=udn-ch1_breaknews-1-0-news
2023-04-02 06:21:13 , udn , 即使讓林佳龍成為最高調的總統府秘書長，讓鄭文燦成為最有實權的副行政院長，但蔡英文總統對黨內派系的控制，恐怕已經無法再撐太久。 , https://udn.com/news/story/6656/7072756?from=udn-ch1_breaknews-1-0-news
2023-04-02 06:47:50 , udn , 2023 WW表展／聚焦「黃金比例」積家Reverso反、正有型 , https://udn.com/news/story/7270/7072824?from=udn-ch1_breaknews-1-0-news
2023-04-02 06:48:00 , udn , 日內瓦鐘表與奇蹟（Watches & Wonders）表展期間，不從眾的瑞士高級鐘表品牌積家（Jaeger-LeCoul... , https://udn.com/news/story/7270/7072824?from=udn-ch1_breaknews-1-0-news
2023-04-02 06:48:20 , udn , 高溫上看34度、晴暖至清明 吳德榮：周四晚鋒面雨帶抵達 , https://udn.com/news/story/7266/7072825?from=udn-ch1_breaknews-1-0-news
2023-04-02 06:48:31 , udn , 今天清明節連假第2天，中央大學大氣科學系兼任副教授吳德榮在「三立準氣象．老大洩天機」專欄表示，各地多雲時晴，花東偶有局部... , https://udn.com/news/story/7266/7072825?from=udn-ch1_breaknews-1-0-news
2023-04-02 06:48:51 , udn , 獨／藍初選廝殺慘烈 蔣萬安「義不容辭」出手化解 , https://udn.com/news/story/6656/7072823?from=udn-ch1_breaknews-1-0-news
2023-04-02 06:49:02 , udn , 國民黨北市立委黨內初選殺得刀刀見骨，據悉，黨內憂心團結，市長蔣萬安已聽到基層「焦慮爆表」聲音，無論初選前後或協調艱困選區... , https://udn.com/news/story/6656/7072823?from=udn-ch1_breaknews-1-0-news
2023-04-02 06:53:49 , udn , 蔡總統訪馬雅文明遺跡 瓜地馬拉重申邦誼穩定 , https://udn.com/news/story/123444/7072800?from=udn-ch1_breaknews-1-0-news
2023-04-02 06:53:59 , udn , 總統蔡英文今天和瓜地馬拉總統賈麥岱一起參訪被譽為馬雅文明心臟的蒂卡爾國家公園，兩人還在該國最重要文化資產「大美洲豹」（e... , https://udn.com/news/story/123444/7072800?from=udn-ch1_breaknews-1-0-news
2023-04-02 06:54:20 , udn , 不斷更新／清明連假第2天國道7地雷 這時間出發最好走 , https://udn.com/news/story/7266/7072826?from=udn-ch1_breaknews-1-0-news
2023-04-02 06:56:50 , udn , 龍捲風橫掃美國多州 罹難人數升至21人 , https://udn.com/news/story/6813/7072822?from=udn-ch1_breaknews-1-0-news
2023-04-02 06:57:00 , udn , 美國官員今天宣布，橫掃美國中南部和東部大型風暴系統造成的死亡人數已上升至21人，另有數十人受傷 , https://udn.com/news/story/6813/7072822?from=udn-ch1_breaknews-1-0-news
2023-04-02 07:05:59 , udn , 2023 WW表展／通透、3D與輕盈  HUBLOT的驚奇三部曲 , https://udn.com/news/story/7270/7072827?from=udn-ch1_breaknews-1-0-news
2023-04-02 07:06:10 , udn , 日內瓦鐘表與奇蹟（Watches & Wonders）表展期間，參展的瑞士高級鐘表品牌宇舶（HUBLTO）發表了多款新品... , https://udn.com/news/story/7270/7072827?from=udn-ch1_breaknews-1-0-news
2023-04-02 07:08:32 , udn , 高溫上看34度、晴暖至清明 周四晚鋒面雨帶抵達 , https://udn.com/news/story/7266/7072825?from=udn-ch1_breaknews-1-0-news
2023-04-02 07:11:59 , udn , 詐欺賺翻卻老從最低刑量起 法官示警：最後是害到自己 , https://udn.com/news/story/7321/7072828?from=udn-ch1_breaknews-1-0-news
2023-04-02 07:12:09 , udn , 行政院成立「打詐國家隊」力圖壓制猖獗的詐騙集團，但能否對症下藥？恐怕大有問題。一名資深法官分析，我國銀行帳號、行動電話門... , https://udn.com/news/story/7321/7072828?from=udn-ch1_breaknews-1-0-news
2023-04-02 07:14:11 , udn , 今天是清明節連續假期第2天，國道各路段大致順暢，國道5號已出現南下車流。 , https://udn.com/news/story/7266/7072826?from=udn-ch1_breaknews-1-0-news
2023-04-02 07:29:59 , udn , 普發6000元陸續入帳、製造業無薪假估維持高檔 , https://udn.com/news/story/123271/7072224?from=udn-ch1_breaknews-1-0-news
2023-04-02 07:30:10 , udn , 全民期待的普發現金6000元，除了部分銀行在3月31日及4月1日已提前撥款，多數銀行4月6日起將陸續發放，4月10日起開放民眾前往ATM領現，4月17日起可至郵局臨櫃領取。另針對特定偏鄉則採造冊發放，特定族群則可直接入帳。 , https://udn.com/news/story/123271/7072224?from=udn-ch1_breaknews-1-0-news
2023-04-02 07:30:30 , udn , 髮際線越來越高？網議五大「禿頭前兆」一次看 , https://udn.com/news/story/7266/7067737?from=udn-ch1_breaknews-1-0-news
2023-04-02 07:30:41 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤過去一年內「禿頭前兆」話題的網路聲量表現，帶您了解網友熱議的五大禿頭前兆有哪些。 , https://udn.com/news/story/7266/7067737?from=udn-ch1_breaknews-1-0-news
2023-04-02 07:31:01 , udn , 不孕問題男女都需注意！網友熱議的九大不孕因素一次看 , https://udn.com/news/story/7266/7067711?from=udn-ch1_breaknews-1-0-news
2023-04-02 07:31:11 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月網友討論的不孕原因，帶您了解網友熱議的9大不孕原因。 , https://udn.com/news/story/7266/7067711?from=udn-ch1_breaknews-1-0-news
2023-04-02 07:31:32 , udn , 送禮毫無頭緒？網議「台灣伴手禮」排行大公開！ , https://udn.com/news/story/7270/7067693?from=udn-ch1_breaknews-1-0-news
2023-04-02 07:31:42 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月內「台灣伴手禮」話題的網路聲量表現，帶您了解網友熱議的台灣伴手禮排行榜。 , https://udn.com/news/story/7270/7067693?from=udn-ch1_breaknews-1-0-news
2023-04-02 07:32:03 , udn , 雲林縣濃霧能見度不足200公尺 今天各地將明顯變熱 , https://udn.com/news/story/7266/7072830?from=udn-ch1_breaknews-1-0-news
2023-04-02 07:32:13 , udn , 中央氣象局發布雲林縣濃霧特報，今天清晨西半部地區易有局部霧或低雲影響能見度，雲林已出現能見度不足200公尺的現象，新竹、... , https://udn.com/news/story/7266/7072830?from=udn-ch1_breaknews-1-0-news
2023-04-02 07:50:40 , udn , 天空灰濛濛、雲嘉濃霧 鄭明典指有微弱沙塵訊號「非單純的霾」 , https://udn.com/news/story/7266/7072835?from=udn-ch1_breaknews-1-0-news
2023-04-02 07:50:51 , udn , 抬頭看天空灰濛濛，中央氣象局長鄭明典在臉書表示，今天也無風雨也無晴，不是陰天，今天台灣附近有微弱沙塵訊號，不是單純的霾。 , https://udn.com/news/story/7266/7072835?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:01:45 , udn , 不斷更新／清明連假第2天國道一早「紫爆」 避7地雷路段 , https://udn.com/news/story/7266/7072826?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:11:30 , udn , 美眾院「中國特別委員會」主席蓋拉格率團赴加州 預料將會晤蔡英文 , https://udn.com/news/story/6656/7072838?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:11:40 , udn , 彭博資訊報導，美國眾議院「美國與中國共產黨戰略競爭特別委員會」主席蓋拉格（Mike Gallagher）本周將率領跨黨派... , https://udn.com/news/story/6656/7072838?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:20:40 , udn , 清明連假接下來3天都好天氣 彭啟明：在春天這很難得 , https://udn.com/news/story/7266/7072842?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:20:51 , udn , 天氣風險公司總經理彭啟明在「氣象達人彭啟明」臉書粉專表示，雖然一早有點涼，但水氣減少，天氣在逐漸好轉。建議好好把握周一到... , https://udn.com/news/story/7266/7072842?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:26:40 , udn , 會考作文／寫簡體字會扣分？閱卷委員解密：誤用同音錯別字更嚴重 , https://udn.com/news/story/6885/7072117?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:26:50 , udn , 國中教育會考將於5月20、21日登場，全國試務會提醒，寫作測驗若寫簡體字，可能被視為「錯別字」，但閱卷委員不會針對單一錯字扣分，除非錯字多得離譜才會斟酌扣分；多名國文老師指出，比起簡體字，另一種錯別字才是更嚴重的問題。 , https://udn.com/news/story/6885/7072117?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:27:11 , udn , 國道金雞母／別只會吃飯上廁所！不輸商場的國道服務區 有哪些限定伴手禮 , https://udn.com/news/story/7266/7042182?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:27:21 , udn , 國道服務區主打「一區站一特色」，全台15座服務區成為最接地氣的特色商圈，用路人吃飽喝足，還能購買奶凍捲、金桔香腸、帆布袋等限定商品。原本不被看好的蘇澳服務區異軍突起，成為全台平均客單價最高的服務區。匈牙利老闆在此處獨家販售的「這項商品」，更讓旅客讚不絕口。服務區究竟藏著哪些限定特色產品等待民眾挖掘，本篇完整揭秘。 , https://udn.com/news/story/7266/7042182?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:27:42 , udn , 健康來得及／增加動力卻有害睡眠 喝咖啡利大於弊？學者這樣解讀 , https://udn.com/news/story/7266/7057583?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:27:52 , udn , 每天上班前一定要來杯咖啡提提神嗎？而咖啡除了提神外對身體還有什麼影響？最新研究顯示，咖啡對健康的影響極其複雜，喝咖啡可以增加移動步數，平均每天多走1000步，但會讓人平均每晚損失大約36分鐘睡眠時間，該怎麼選擇喝不喝？專家給出建議。 , https://udn.com/news/story/7266/7057583?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:28:13 , udn , 2023 WW表展／史上最可愛！柯米蛙空降ORIS日曆窗 , https://udn.com/news/story/7270/7072846?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:28:23 , udn , 卡通人物跟表款的結合不算少，但卡通人物跟專業機械腕表的合作就相對少見。ORIS在日內瓦鐘表與奇蹟（Watches & W... , https://udn.com/news/story/7270/7072846?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:32:41 , udn , 國道行駛中爆胎怎麼辦 專家教你4步驟逃死劫 , https://udn.com/news/story/7266/7072848?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:32:52 , udn , 今天是清明連續假期第二天，民眾駕車上國道，務必在出發前檢查車子狀況，萬一行駛中爆胎，駕駛人當下絕對不要慌張，公路總局教4... , https://udn.com/news/story/7266/7072848?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:41:14 , udn , 抬頭認識星空 屏東街頭天文巡迴 分辨星星不是難事 , https://udn.com/news/story/7327/7072845?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:41:24 , udn , 全國第一座縣屬的獵戶座天文台，屏東縣政府2019年設在建國國小。建國國小校長施世治觀察，許多人對星星、天象有興趣，但不一... , https://udn.com/news/story/7327/7072845?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:44:42 , udn , 謝德慶行為藝術創作打卡 登柏林新國家美術館 , https://udn.com/news/story/6812/7072837?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:44:52 , udn , 出身屏東的紐約藝術家謝德慶行為藝術創作「打卡」，即日起在柏林新國家美術館展出。謝德慶用生命在創作，他的「一年行為表演」系... , https://udn.com/news/story/6812/7072837?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:47:45 , udn , 屏東縣府推動星空旅遊 朝向成為亞太星空旅遊聚落 , https://udn.com/news/story/7327/7072847?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:47:56 , udn , 疫後全球旅遊習慣改變，深度旅遊成趨勢，屏東縣長期是天文科普重要基地，舉辦多年恆春半島星空吶喊觀星活動，還有獵戶座天文天、... , https://udn.com/news/story/7327/7072847?from=udn-ch1_breaknews-1-0-news
2023-04-02 08:49:17 , udn , 美眾院「中國特別委員會」主席蓋拉格率團赴加州 預料將會晤蔡英文總統 , https://udn.com/news/story/6656/7072838?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:05:59 , udn , 蘇花路廊車流激增、壅塞路段曝光 台78線注意濃霧 , https://udn.com/news/story/7266/7072859?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:06:09 , udn , 今天清明連假第二天，目前台9線蘇花路廊車流量大。公路總局說，往花蓮用路人請行駛台9線，非必要請勿走台9丁線。目前壅塞路段... , https://udn.com/news/story/7266/7072859?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:06:29 , udn , 7旬夫婦深山迷航車陷土溝 高雄警就地取材助脫困 , https://udn.com/news/story/7320/7072853?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:06:40 , udn , 高雄大社區一對7旬紀姓老夫婦日前赴杉林的井角山區避暑遊玩，但就在享受完美麗山林風光欲返程時，在崎嶇山路間倒車時，因視野落... , https://udn.com/news/story/7320/7072853?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:07:00 , udn , 山梨學院甲子園奪首冠 總教練：讓選手樂在打球 , https://udn.com/news/story/7001/7072843?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:07:11 , udn , 第95屆日本高中棒球選拔賽（春季甲子園）今天在兵庫縣甲子園球場舉行冠軍戰，由山梨學院高校首度奪冠。校隊總教練說，總教練不... , https://udn.com/news/story/7001/7072843?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:07:31 , udn , 瓜地馬拉第二天 蔡英文登上馬雅神廟「我體能還不錯」 , https://udn.com/news/story/6656/7072851?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:07:42 , udn , 蔡英文總統今天在邦交國瓜地馬拉展開第二天行程，一早就前往蒂卡爾（Tikal）國家公園參訪馬雅文化遺跡。瓜國總統賈麥岱及外... , https://udn.com/news/story/6656/7072851?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:08:02 , udn , 不斷更新／清明連假第2天國道「紫爆」 國5午後湧北返車潮塞到深夜 , https://udn.com/news/story/7266/7072826?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:14:01 , udn , 瓜地馬拉第二天 蔡英文總統登上馬雅神廟「我體能還不錯」 , https://udn.com/news/story/123444/7072851?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:14:59 , udn , 雪隧昨創南向車流輛歷史前3高 國1凌晨7車連環撞2死1傷 , https://udn.com/news/story/7266/7072863?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:15:10 , udn , 今天是清明連假第二天，高速公路局預報員游衣芸表示，目前全國道路況皆大致正常，截至7時，交通量為13.5百萬車公里，預估今... , https://udn.com/news/story/7266/7072863?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:21:02 , udn , 一周數位爆報／大咖不來我就不辦E3 2023電玩展！台灣之星1簡訊被噴爆、LINE新招測「誰封鎖你」 , https://udn.com/news/story/7086/7072860?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:24:00 , udn , 墨西哥古蹟遺址上空熱氣球著火 2人喪生 , https://udn.com/news/story/6809/7072867?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:24:10 , udn , 墨西哥當地政府今天表示，墨西哥市附近發生熱氣球著火意外，造成兩人喪生，事發當時熱氣球正飄過著名的歷史遺址特奧蒂瓦坎（Te... , https://udn.com/news/story/6809/7072867?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:25:01 , udn , 影／以為阿共打來 2車路口相撞衝民宅住戶嚇壞 , https://udn.com/news/story/7320/7072871?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:25:11 , udn , 台東市昨晚發生汽車撞入民宅車禍，黑色休旅車及白色休旅車，昨晚9時許行經鄭州、杭州街口時相撞、失控衝入鄭姓市民住家，鄭男被... , https://udn.com/news/story/7320/7072871?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:26:02 , udn , 雪隧昨創南向車流量歷史前3高 國1凌晨7車連環撞2死1傷 , https://udn.com/news/story/7320/7072863?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:35:59 , udn , 孕婦一天狂吐15次又感冒不敢看醫生 中醫成功改善 , https://udn.com/news/story/7324/7072878?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:36:10 , udn , 新竹一名30多歲陳姓女子去年十二月發現懷孕，胎兒成長至第三個月後開始嚴重孕吐，一天甚至吐到15次，不但身體難受，連喉嚨都... , https://udn.com/news/story/7324/7072878?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:36:30 , udn , 春天新氣象！米薩小姐：身邊「10大負能量物品」丟掉立刻轉運 , https://udn.com/news/story/7268/7060318?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:36:41 , udn , 星座專家米薩小姐平常對身心靈美學很有研究，她和「花精師」花語心合作「【心靈能量】10大負能量物品，千萬不能留！丟掉立刻開運｜米薩小姐」影片，分享10種會帶來負能量應該迅速丟掉的東西。 , https://udn.com/news/story/7268/7060318?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:37:01 , udn , 羊趁飼主進入羊舍餵養時跑出 員警協助圍捕帶回家 , https://udn.com/news/story/7320/7072877?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:37:12 , udn , 台中一隻羊趁飼主進入羊舍餵養時跑出，清水警分局員警到場，以攤開雙手方式圍捕住，協助帶羊回家，警方提醒，飼主應善盡寵物約束... , https://udn.com/news/story/7320/7072877?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:38:03 , udn , 柯文哲訪美層級與聲量不如預期 民眾黨自行「降級」？ , https://udn.com/news/story/6656/7072047?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:38:14 , udn , 民眾黨主席柯文哲將於4月8月出訪美國3周，為參選2024總統準備，不過柯文哲美國行在即，卻傳出行程安排受挫，甚至連柯所見美方人士接觸也不順利。柯文哲原想藉著「首位總統參選人訪美」衝聲量，結果蔡總統搶先出訪友邦並過境美國；同屬在野陣營的前總統馬英九則前往大陸祭祖及交流，鴻海創辦人郭台銘也訪美，讓柯文哲訪美效益瞬間拉低，值得關注的是，柯文哲出訪的身分，究竟是民眾黨主席還是總統參選人，民眾黨對外說法也不一致，柯文哲選總統起手式，可以說是出師不利。 , https://udn.com/news/story/6656/7072047?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:38:34 , udn , 照片看歷史／1957年中研院士會議首次在台召開 蔣中正親自主持 , https://udn.com/news/story/7314/7072249?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:38:45 , udn , 1957年4月2日，中央研究院第二次院士會議在南港的中研院會議室舉行，也是首次在台灣舉行，由時任總統蔣中正親自主持，報到院士19人，實到院士朱家驊、吳大猷、李方桂、蕭公權、李濟、王世杰、李先聞、董作賓、凌鴻勳9人，列席的有各研究所主任，籌備主任，研究員等30人，來賓有張其昀、陳大齊、劉真等3人。 , https://udn.com/news/story/7314/7072249?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:39:00 , udn , 你見過虎斑麒麟尾的瑯嶠貓嗎？ 傳聞喵一聲傳20里鼠皆遁 , https://udn.com/news/story/7327/7072882?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:39:10 , udn , 研究文史的柴山動植物專家楊吉壽，最近在屏東小琉球與高雄觀察到台灣采風文獻裡記載的「瑯嶠貓」，拍照與大家分享。又稱番貓的瑯... , https://udn.com/news/story/7327/7072882?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:39:31 , udn , 大陸與新加坡擴大經貿合作 完成自貿協定升級後續談判 , https://udn.com/news/story/7333/7072879?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:39:41 , udn , 據新華社報導，大陸商務部部長王文濤與新加坡貿工部長顏金勇1日共同簽署了《中華人民共和國商務部和新加坡貿易與工業部關於宣佈... , https://udn.com/news/story/7333/7072879?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:42:03 , udn , 清明連假第2天出遊潮湧現 5大觀光易壅塞路段看這裡 , https://udn.com/news/story/7266/7072886?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:42:14 , udn , 清明節連假第二天，又是好天氣，出遊車潮明顯湧現。公路總局表示，觀光景點易壅塞路段包括：北部台2線、台2乙線關渡-淡水路段... , https://udn.com/news/story/7266/7072886?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:42:34 , udn , 國道中部路段持續紅色警示 國3還發生2碰撞事故 , https://udn.com/news/story/7266/7072883?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:42:45 , udn , 今天是清明連假第2天，由於天氣放晴，風和日麗，掃墓及出遊民眾增加，國道中部路段約上午7時許，即湧現車潮，尤其是從彰化系統... , https://udn.com/news/story/7266/7072883?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:48:00 , udn , 影／台中熟女警所問交通 轉頭丟裝2萬紙袋作公益好暖 , https://udn.com/news/story/7320/7072889?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:48:11 , udn , 台中市邱姓女子是家庭主婦，上月底到春社派出所詢問交通法規時，看到所內有白米、麵條等物資，得知派出所經常關懷轄內弱勢，因此... , https://udn.com/news/story/7320/7072889?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:48:31 , udn , 華府智庫：衛星畫面顯示 北韓寧邊核設施出現高度活躍活動 , https://udn.com/news/story/6809/7072887?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:48:42 , udn , 路透報導，在北韓領導人金正恩下令增加核彈燃料的產量，以擴大核武庫後，華府智庫1日指出，衛星畫面顯示北韓最大核子設施場址寧... , https://udn.com/news/story/6809/7072887?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:51:01 , udn , 國道7車凌晨追撞2死1傷 台中34名消防隊員搶救 , https://udn.com/news/story/7320/7072890?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:51:04 , udn , 退職警苗栗分局旁偷剪電線 偵查隊長拜土地公人贓俱獲 , https://udn.com/news/story/7315/7072881?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:51:11 , udn , 國道一號台中段今天凌晨嚴重追撞車禍，二死一傷，車禍現場混亂，國道警方處理事故，台中市消防局派34名消防隊員搶救。 , https://udn.com/news/story/7320/7072890?from=udn-ch1_breaknews-1-0-news
2023-04-02 09:51:15 , udn , 62歲劉姓退職警察昨天涉嫌侵入苗栗警察分局旁一處閒置辦公廳舍，偷剪電纜線，分局偵查隊長林文元等人剛好拜完土地公發現可疑，... , https://udn.com/news/story/7315/7072881?from=udn-ch1_breaknews-1-0-news
