2023-04-15 00:54:02 , udn , 俄油包圍網破口？ 日、印兩面押寶背後都有中國因素 , https://udn.com/news/story/6809/7099342?from=udn-ch1_breaknews-1-0-news
2023-04-15 06:18:24 , udn , 勞動部就業安定基金設立目的，是為促進國民就業與勞工福祉，但近年卻成部會和縣市「提款機」，除這次引發爭議的補助高雄「25淑女事件」活動3千萬元，還曾補助機車行轉型、紓困觀光業、給雇主基本工資薪資補貼連2年49億，遭立委批評濫發。 , https://udn.com/news/story/7314/7099390?from=udn-ch1_breaknews-1-0-news
2023-04-15 06:38:45 , udn , 今轉陣雨有局部雷雨 吳德榮：明天起3天恢復酷熱 恐逾35度 , https://udn.com/news/story/7266/7099482?from=udn-ch1_breaknews-1-0-news
2023-04-15 06:38:56 , udn , 中央大學大氣科學系兼任副教授吳德榮在「三立準氣象．老大洩天機」專欄表示，今天鋒面雨帶快速掠過，中部以北及東半部轉有陣雨，... , https://udn.com/news/story/7266/7099482?from=udn-ch1_breaknews-1-0-news
2023-04-15 06:39:16 , udn , 報稅眉角／手機報稅增3功能 申報資料「拍照上傳」更省事 , https://udn.com/news/story/121591/7098845?from=udn-ch1_breaknews-1-0-news
2023-04-15 06:39:27 , udn , 今年五月報繳個人綜合所得稅，除了免稅額、扣除額調高可以讓民眾荷包少失血一點，手機報稅也有新制上路，其中又以開放上傳申報資料附件最便民。此外，新冠疫情逐漸趨緩，今年繳稅期限將不再延長，但民眾如果受疫情影響發生財務問題，仍可申請延（分）期繳稅。 , https://udn.com/news/story/121591/7098845?from=udn-ch1_breaknews-1-0-news
2023-04-15 06:40:48 , udn , 道指跌142點 但連4周走升 , https://udn.com/news/story/6811/7099438?from=udn-ch1_breaknews-1-0-news
2023-04-15 06:40:58 , udn , 道瓊工業平均指數收跌，但本周收漲，因為投資人評估了疲軟的零售銷售報告，削弱了人們對企業獲利優於預期的熱情。 , https://udn.com/news/story/6811/7099438?from=udn-ch1_breaknews-1-0-news
2023-04-15 06:47:42 , udn , 清晨國3南向後龍路段大貨車撞護欄 回堵1公里 , https://udn.com/news/story/7320/7099486?from=udn-ch1_breaknews-1-0-news
2023-04-15 06:47:52 , udn , 高速公路局說，今天清晨5時16分，在國道3號南向128.3K後龍路段，1輛大貨車撞護欄事故，占內2車道，回堵1公里，請用... , https://udn.com/news/story/7320/7099486?from=udn-ch1_breaknews-1-0-news
2023-04-15 06:48:13 , udn , 留俄碩士搶當航海王 她通過航海人員測驗未來想當船長 , https://udn.com/news/story/6925/7099485?from=udn-ch1_breaknews-1-0-news
2023-04-15 06:48:23 , udn , 交通部昨舉行今年航海人員測驗榜示，合格率逾3成。其中獲莫斯科國際關係碩士學位的楊易紋，雖未接觸過航海相關學科，但就讀國立... , https://udn.com/news/story/6925/7099485?from=udn-ch1_breaknews-1-0-news
2023-04-15 07:12:04 , udn , 基隆漏水率全台第二！爆水管2年943件 謝國樑：加速汰換 , https://udn.com/news/story/7328/7099489?from=udn-ch1_breaknews-1-0-news
2023-04-15 07:12:15 , udn , 基隆市政府統計自來水破管搶修案件，2021年1月到2023年4月共943件，每天都有破管案件發生，只要發生或接獲民眾報案... , https://udn.com/news/story/7328/7099489?from=udn-ch1_breaknews-1-0-news
2023-04-15 07:24:03 , udn , 龐培歐棄選2024 未鬆口支持川普 , https://udn.com/news/story/6813/7099495?from=udn-ch1_breaknews-1-0-news
2023-04-15 07:24:13 , udn , 美國前國務卿龐培歐（Mike Pompeo）14日接受福斯新聞網專訪宣布，他不會爭取2024總統門票；外界看不到共和黨內... , https://udn.com/news/story/6813/7099495?from=udn-ch1_breaknews-1-0-news
2023-04-15 07:24:34 , udn , 陽光行動／「天坑」害人 水管破裂埋不定時炸彈 , https://udn.com/news/story/7266/7099493?from=udn-ch1_breaknews-1-0-news
2023-04-15 07:24:44 , udn , 老舊水管除了漏水造成水資源浪費，也成為道路的不定時炸彈，地面下的破裂水管潛藏路基被淘空危機，導致路面塌陷冒出「天坑」害人。 , https://udn.com/news/story/7266/7099493?from=udn-ch1_breaknews-1-0-news
2023-04-15 07:25:05 , udn , 陽光行動／老舊水管漏不停 全台年漏掉2.3座水庫量 , https://udn.com/news/story/7266/7099492?from=udn-ch1_breaknews-1-0-news
2023-04-15 07:25:15 , udn , 水情持續嚴峻，中南部要陸續啟動緊急海水淡化機組、鑿井取水，但全台自來水管漏水率仍居高，管線漏水、破管事故頻傳，據台水公司統計，當前全台漏水量一年超過二點三座石門水庫的蓄水量，相當全台六十六天的用水量。 , https://udn.com/news/story/7266/7099492?from=udn-ch1_breaknews-1-0-news
2023-04-15 07:30:04 , udn , 美中台博弈／G7反制中國大陸經濟脅迫 可能開啟全球經濟冷戰 , https://udn.com/news/story/6809/7098460?from=udn-ch1_breaknews-1-0-news
2023-04-15 07:30:14 , udn , 中國大陸現在要調查，台灣是否刻意以貿易壁壘限制進口2455項商品，兩岸同時加入WTO已經20年，大陸至今才開始調查，「不再惠台」，其實就是對台灣施壓，而且調查結果出爐日，就是明年台灣總統大選的前一日，影響選舉的意圖明顯。

從國際的角度來看，這符合典型的中國大陸「經濟脅迫」（economic coercion）行為模式，台灣並不是首例，最近的十幾年來，中國大陸憑藉著經濟實力，基於政治目的，對違背其意向的國家，採取貿易制裁以及其他經濟性懲罰，試圖改變對方的政策，或殺雞儆猴，威嚇其他國家。 , https://udn.com/news/story/6809/7098460?from=udn-ch1_breaknews-1-0-news
2023-04-15 07:30:35 , udn , 龐培歐棄選2024美國總統 未鬆口支持川普 , https://udn.com/news/story/6813/7099495?from=udn-ch1_breaknews-1-0-news
2023-04-15 07:31:11 , udn , 幕後／黃色小鴨當年爆了！今要求安全鋼板加5噸 測試完要去這地方… , https://udn.com/news/story/7328/7099248?from=udn-ch1_breaknews-1-0-news
2023-04-15 07:33:04 , udn , 強逼「禮讓」是正義？ 呂秋遠：請不要再推廣博愛座的觀念 , https://udn.com/news/story/7266/7099499?from=udn-ch1_breaknews-1-0-news
2023-04-15 07:33:14 , udn , 近年來屢有乘客強迫他人讓出博愛座的糾紛，律師呂秋遠在臉書表示，要求別人讓座，向來是一件詭異的事情，而將「不願意讓座的人」... , https://udn.com/news/story/7266/7099499?from=udn-ch1_breaknews-1-0-news
2023-04-15 07:45:14 , udn , 沙塵暴逼近 鄭明典估「雨停後」影響台灣 空氣品質會變差 , https://udn.com/news/story/7266/7099500?from=udn-ch1_breaknews-1-0-news
2023-04-15 07:45:24 , udn , 中央氣象局長鄭明典在臉書表示，中國上空仍有沙塵暴。即將到達台灣的北風系統，在鋒面雲系後方有沙塵訊號，在雨停後應該會影響台... , https://udn.com/news/story/7266/7099500?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:18:06 , udn , 想親近自然又不想辛苦露營？網推「露營車景點」大公開 , https://udn.com/news/story/7266/7098593?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:18:17 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近一年內「露營車景點」話題的網路聲量表現，帶您了解網友熱議的五大露營車景點有哪些。 , https://udn.com/news/story/7266/7098593?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:18:37 , udn , 普發6000元助攻 餐廳母親節訂位增3成、糕餅業者紛推蛋糕優惠 , https://udn.com/news/story/7270/7099518?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:18:48 , udn , 為搶攻母親節商機，業者紛推特色造型蛋糕及加碼優惠，台中長榮桂冠酒店連續10年舉辦母親節蛋糕買一捐一活動，買一顆蛋糕，就捐... , https://udn.com/news/story/7270/7099518?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:19:08 , udn , 花海美景浪漫又好拍 熱門賞花景點別錯過！ , https://udn.com/news/story/7270/7098577?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:19:19 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月內「花海景點」相關話題的網路聲量，帶您了解網友熱議的六大花海景點。 , https://udn.com/news/story/7270/7098577?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:19:39 , udn , 台南三爺溪汙染逮到1元凶 不法電鍍廠深夜偷排強酸廢水 , https://udn.com/news/story/7321/7099515?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:19:50 , udn , 台南市二仁溪支流三爺溪重金屬嚴重汙染，環保局在三爺溪沿線布設水質感測器，去年發現有異常後循線追查，提供8家可疑事業給環保... , https://udn.com/news/story/7321/7099515?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:20:10 , udn , 今天降雨只限北台灣 彭啟明：晚上轉晴、境外空汙要來了 , https://udn.com/news/story/7266/7099511?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:20:21 , udn , 天氣風險公司總經理彭啟明在「氣象達人彭啟明」臉書粉專表示， 一早就滴滴答答的開始飄雨了，鋒面掠過北台灣，天氣有顯著變化，... , https://udn.com/news/story/7266/7099511?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:20:41 , udn , 春雨來了 鄭明典一張圖看雲區凸起來的對流胞 , https://udn.com/news/story/7266/7099507?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:20:52 , udn , 春雨來了，中央氣象局長鄭明典在臉書表示，衛星雲圖可見「凸起來的對流胞」，在一片雲區裡面，往上凸起的對流胞特徵越來越多，也... , https://udn.com/news/story/7266/7099507?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:21:12 , udn , 國道3號後龍南下路段大小三車碰撞 6人受傷 , https://udn.com/news/story/7320/7099506?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:21:23 , udn , 國道3號苗栗後龍南下路段今天清晨5點左右發生大貨車和兩輛小車的碰撞事故，初步了解有6人受傷，其中1人傷勢較嚴重，車禍原因... , https://udn.com/news/story/7320/7099506?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:21:43 , udn , 沙塵暴逼近！鄭明典估「雨停後」影響台灣 空氣品質會變差 , https://udn.com/news/story/7266/7099500?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:22:14 , udn , 強逼「禮讓」是正義？呂秋遠：請不要再推廣博愛座的觀念 , https://udn.com/news/story/7266/7099499?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:30:13 , udn , 看似維持蔡英文兩岸路線 但賴清德真能讓美國安心？ , https://udn.com/news/story/123307/7098738?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:30:23 , udn , 民進黨主席賴清德4月12日獲民進黨中執會決議通過，提名為2024年大選總統人選。賴清德在獲提名後也發表談話，宣示要高票當選、國會席次過半目標外，以民主、和平主軸貫穿全篇談話，強調兩岸互不隸屬、台灣前途由2300萬人民共同決定及國家事實存在、主權事實獨立及主流民意，不需另行宣布獨立，統獨不是議題，定義2024年選戰不是和平與戰爭的抉擇，而是民主與專制的對決等。 , https://udn.com/news/story/123307/7098738?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:30:44 , udn , 教授爭飯碗／台大一度嚴懲李明璁15年不能提升等 教評會遭影武者濫權？ , https://udn.com/news/story/6928/7098429?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:30:54 , udn , 台大社會系前助理教授李明璁的升等著作之一，被認為與博士論文高度重覆，有違學術誠信，台大不通過其教師資格審定而不續聘，法院判決台大決議「於法有違」，台大一再上訴。台大學術倫理委員會去年重審李明璁學倫案，甚至做出15年不受理其教師資格審定申請的重懲，之後校教評會決議縮短為5年，李已向教育部提申訴。監察院正同步調查台大是否構成行政濫權？

李明璁痛批台大的做法是對勝訴者的「人格謀殺」；台大教授表示，教評會委員大多「自掃門前雪」... , https://udn.com/news/story/6928/7098429?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:47:54 , udn , 法國憲法法院批准延長退休年齡！反對派揚言抗爭到底 , https://udn.com/news/story/6809/7099528?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:48:05 , udn , 法國總統馬克宏提出具爭議性的年金改革主要項目於14日獲得憲法法院批准，官員們表示將簽署立法並迅速生效。 , https://udn.com/news/story/6809/7099528?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:48:25 , udn , 與李強見面  巴西總統：與中方擴大雙向投資和本幣結算 , https://udn.com/news/story/7331/7099526?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:48:36 , udn , 大陸官媒新華社昨深夜報導，大陸國務院總理李強14日下午在人民大會堂會見了對陸進行國事訪問的巴西總統魯拉。魯拉在會見中表示... , https://udn.com/news/story/7331/7099526?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:48:56 , udn , 初次見面就留下壞印象？六大見網友NG行為千萬不要做 , https://udn.com/news/story/7266/7098614?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:49:07 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近半年內「網友見面NG行為」話題的網路聲量表現，帶您了解網友熱議的見網友地雷行為。 , https://udn.com/news/story/7266/7098614?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:49:27 , udn , 雨帶通過只降一天雨別失望 彭啟明：下周還有鋒面到 , https://udn.com/news/story/7266/7099525?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:49:38 , udn , 天氣風險公司總經理彭啟明在「氣象達人彭啟明」臉書粉專表示，今天鋒面雨帶通過，中部以北及東半部有陣雨轉為涼爽，局部雷雨偶有... , https://udn.com/news/story/7266/7099525?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:49:58 , udn , 同事間不能有真友情嗎？網揭關鍵考量點是這個！ , https://udn.com/news/story/7269/7098557?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:50:09 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近一年內「同事能不能當朋友」相關話題的網路聲量，帶您了解網友對「同事能不能當朋友」的正反意見有哪些。 , https://udn.com/news/story/7269/7098557?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:50:53 , udn , 轟2槍子彈貫穿腦門慘死 行凶想找媒體伸冤遭判無期徒刑 , https://udn.com/news/story/7315/7099534?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:51:04 , udn , 台中男子趙子穩不滿林姓友人催討債務，2人在超商外談判一言不合，趙拔槍朝林頭部轟了2槍，子彈1發貫穿腦門、1發卡在顱內，林... , https://udn.com/news/story/7315/7099534?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:53:53 , udn , 補教界大亨入主興華中學出資助轉型 申請教育部解除專輔列管 , https://udn.com/news/story/6885/7099535?from=udn-ch1_breaknews-1-0-news
2023-04-15 08:54:04 , udn , 嘉義市私立興華中學財務惡化，有逾千萬元缺口，遭教育部列管專案輔導學校，繼專輔學校宏仁女中，天主教嘉義教區挹注資金申請解除... , https://udn.com/news/story/6885/7099535?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:08:52 , udn , 屏東漏水率全台最高 水公司：逐年編列經費汰換 , https://udn.com/news/story/7327/7099543?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:09:02 , udn , 屏東縣2022年自來水漏水率為22.45％，是全台最高，2022年的漏水量為555萬6750噸，屏東縣一天用水量約為19... , https://udn.com/news/story/7327/7099543?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:09:23 , udn , 再與川普對決！拜登：很快就會宣布2024競選連任總統 , https://udn.com/news/story/6813/7099544?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:09:33 , udn , 美國總統拜登14日表示，他已決定在2024年競選連任，並將於近期正式宣布。 , https://udn.com/news/story/6813/7099544?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:09:54 , udn , 玩過頭！迎親擋門一小時 新郎發光紅包不給過 岳母急到心臟病發險變悲劇 , https://udn.com/news/story/7332/7099533?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:10:04 , udn , 結婚時親友團開玩笑擋門，的確能夠增加喜慶氣氛，不過也要適可而止。網路流傳影片，河北1名新郎於大喜日子前往接新娘時，被女方親友及姊妹團拒於門外長達1小時，新郎發光身上紅包仍被阻擋進門。岳母眼見情況失控，一時情緒激動，感到不適跌坐在地上，連吃了2次速效救心丸，才慢慢恢復過來，幸好沒釀成悲劇。 , https://udn.com/news/story/7332/7099533?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:17:53 , udn , 查無不法簽結 陳時中：終於還我及防疫夥伴遲來的清白 , https://udn.com/news/story/7321/7099554?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:18:03 , udn , 新冠疫情期間，民間人士認為政府官員護航國產高端疫苗，告發蔡英文總統、行政院前院長蘇貞昌、衛福部前部長陳時中、食藥署長吳秀... , https://udn.com/news/story/7321/7099554?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:18:24 , udn , 影／國道3號南下後龍路段3輛車連環撞 送醫增至8人 , https://udn.com/news/story/7320/7099553?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:18:34 , udn , 國道3號苗栗後龍南下路段今天清晨5點左右發生大貨車和兩輛小車的碰撞事故，造成多人受傷，苗栗縣消防局派遣多輛人車趕往救援，... , https://udn.com/news/story/7320/7099553?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:18:54 , udn , 淡大前副校長因失智墜樓 畫家助失智阿公重提畫筆開畫展圓夢 , https://udn.com/news/story/7323/7099552?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:19:05 , udn , 曾繪製廣告設計、電影看板的80歲阿公楊八郎，退休後罹失智症憂鬱，不再畫畫，畫家詹珳淇做公益為楊八郎作畫，喚醒阿公作畫靈魂... , https://udn.com/news/story/7323/7099552?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:20:26 , udn , 玩過頭！迎親擋門一小時 新郎發光紅包不給過 岳母急到心臟病發 , https://udn.com/news/story/7332/7099533?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:29:53 , udn , 照片看歷史／1964年關渡拓寬工程啟動 居民搬離百年老家住帳篷 , https://udn.com/news/story/7314/7098392?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:30:03 , udn , 台北地區防洪治本計畫第一期工程，從1964年動工，至1965年7月完成，主要工程項目包括大龍峒防洪牆、渡頭堤防、基隆河出口改道、關渡拓寬、疏浚等項，其中關渡拓寬工程用地上的一百多名住民，1964年4月15日開始搬離他們居住一百餘年的老家，首批搬家的是關渡里15鄰一帶的住民，該鄰是拓寬工程第一期工程中的最重要地方，拓寬工程必須從這裏開始挖土。 , https://udn.com/news/story/7314/7098392?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:30:24 , udn , 閱讀數學／經典賽落幕 數學分析中華隊表現太精采(下) , https://udn.com/news/story/6904/7096678?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:30:34 , udn , 上週我們講到前陣子經典賽時，台灣隊所在的分組預賽彼此之間完美對稱，勝負關係可以畫成一個五邊形，顯示彼此之間不分軒輊，透過更複雜「競賽矩陣」的分析也會得到一樣的結果... , https://udn.com/news/story/6904/7096678?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:30:55 , udn , 國際寵物日／李彥達｜牠不是會動的葉子 , https://udn.com/news/story/7272/7051416?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:31:25 , udn , 女拿百萬要投資被家人提醒 北巿警據報逮車手、收水 , https://udn.com/news/story/7320/7099559?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:31:36 , udn , 台北市大安區周姓女子遭詐騙集團以假投資手法利誘，打算拿出百萬元現金要面交車手，家人發現後認為是詐騙勸她報警，轄區安和路派... , https://udn.com/news/story/7320/7099559?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:31:56 , udn , 台1線屏東水底寮假日必塞…闢建東外環道箭在弦上  有人意見相反 , https://udn.com/news/story/7327/7099557?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:32:07 , udn , 台1線屏東枋寮鄉水底寮路段每逢假日就塞車，被列全台公路四大壅塞熱點之一，公路總局規畫斥資9億6100萬元、興建長4.1公... , https://udn.com/news/story/7327/7099557?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:32:27 , udn , 4月17日防疫新規上路！搭公共運輸「免戴口罩」 訪長照機構無症狀免篩檢 , https://udn.com/news/story/7266/7098311?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:32:38 , udn , 隨著國內疫情趨緩，昨(13)日下午召開記者會說明疫情，指揮官王必勝表示，分析上周疫情趨勢，中重症併發症及死亡病例與前周持平，所以目前處於社區低度流行狀況．．． , https://udn.com/news/story/7266/7098311?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:35:52 , udn , 未來2周天氣變化快 西部可望有較大雨勢 , https://udn.com/news/story/7266/7099564?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:36:03 , udn , 中央氣象局臉書粉專「報氣候 - 中央氣象局」發布月長期天氣展望（4月15日至28日），氣象局說，未來兩周天氣變化快速，受... , https://udn.com/news/story/7266/7099564?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:40:46 , udn , 「人都死了幹嘛拜？」笑弟弟拜祖先是無知 億萬富翁下場慘了 , https://udn.com/news/story/7268/7097321?from=udn-catehotnews_ch2
2023-04-15 09:53:54 , udn , 宗博館閒置鋼琴送愛至偏鄉 彰化潮洋國小感恩普仁善緣 , https://udn.com/news/story/6898/7099577?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:54:05 , udn , 偏鄉教育資源缺乏，要學習音樂等特殊才藝更是困難，世界宗教博物館將館內閒置鋼琴捐贈給彰化溪州的潮洋國小，讓偏鄉孩童除了傳統... , https://udn.com/news/story/6898/7099577?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:54:25 , udn , 影／好天真！高雄女賊大浴巾蒙面背包卻露餡 警認出3小時內逮人 , https://udn.com/news/story/7320/7099576?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:54:36 , udn , 高雄市日前一家娃娃機店深夜遭到浴巾蒙面女賊光顧，警方調閱監視器畫面，發現竊嫌用一條大浴巾遮掩臉部五官特徵，增加警方查緝難... , https://udn.com/news/story/7320/7099576?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:54:56 , udn , 影／橫山槑齋佛塔造型奇特 建物內部曝光...背後是主人傳承的心意 , https://udn.com/news/story/7324/7099574?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:55:07 , udn , 新竹縣內灣南坪登山口有一座造型非常別緻的建築物，外型是古印度佛窟式建造的當代建築，裡面還珍藏一部大悲咒88尊法像，以自然... , https://udn.com/news/story/7324/7099574?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:55:27 , udn , 高雄小黃載客闖紅燈撞上小黃 車頭凹陷4人受傷 , https://udn.com/news/story/7320/7099575?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:55:38 , udn , 高雄鳳山區今天凌晨發生小黃撞小黃車禍，72歲蘇姓男子駕車搭載顏姓和陳姓乘客，在國泰和三多路口疑闖紅燈，遭另一輛由蔡姓男子... , https://udn.com/news/story/7320/7099575?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:55:58 , udn , 美外流機密文件爆：俄國特種部隊遭嚴重摧毀 恐耗10年重建 , https://udn.com/news/story/6809/7099572?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:56:09 , udn , 華盛頓郵報獲取的美國外流機密評估顯示，烏俄戰爭摧毀了俄羅斯的秘密特種部隊，莫斯科恐需數年才能重建這支武力。 , https://udn.com/news/story/6809/7099572?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:56:29 , udn , 民進黨要角農地違建頻傳 監委要查高市府有無疏失 , https://udn.com/news/story/6656/7099571?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:56:40 , udn , 監察委員蔡崇義、賴鼎銘、林盛豐今天表示，高雄旗山農地豪宅違建林立，高雄市政府有無依法查處，針對此案已申請自動調查。 , https://udn.com/news/story/6656/7099571?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:57:00 , udn , 陸商務部：美列多家中國公司入實體清單 應立即糾正錯誤 , https://udn.com/news/story/7333/7099568?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:57:11 , udn , 大陸商務部新聞發言人早上就美國將大陸多家公司列入「實體清單」和「特別指定國民清單」，以答記者問方式聲明表示，美方的做法沒... , https://udn.com/news/story/7333/7099568?from=udn-ch1_breaknews-1-0-news
2023-04-15 09:57:31 , udn , 裸男飛簷走壁逃走影片瘋傳！屁股落地網友猜「捉姦」 真相是... , https://udn.com/news/story/7335/7099558?from=udn-ch1_breaknews-1-0-news
