2023-05-03 00:00:22 , udn , 高雄萬豪延攬新主廚 優雅演繹米其林一星饗宴 , https://udn.com/news/story/7270/7138073?from=udn-ch1_breaknews-1-0-news
2023-05-03 03:27:13 , udn , 現今熱門新社交媒體應用程式，大都看起來與Twitter相似，幾乎很難區分，包括資料簡介、時間表、顏色等近乎相同，甚至連創... , https://udn.com/news/story/6811/7136614?from=udn-ch1_breaknews-1-0-news
2023-05-03 03:33:02 , udn , 推特前執行長多西開發社交媒體 掀關注熱潮 , https://udn.com/news/story/6811/7136614?from=udn-ch1_breaknews-1-0-news
2023-05-03 03:48:31 , udn , 奧克拉荷馬7屍命案 死者包括性侵前科犯的妻子與小孩 , https://udn.com/news/story/6813/7138196?from=udn-ch1_breaknews-1-0-news
2023-05-03 03:48:42 , udn , 據美聯社報導，有家屬出面指認奧克拉荷馬州七人命案中的另四名死者身分。 , https://udn.com/news/story/6813/7138196?from=udn-ch1_breaknews-1-0-news
2023-05-03 05:00:01 , udn , 南蘇丹政府：蘇丹交戰雙方同意從4日起停火7天 , https://udn.com/news/story/6809/7138214?from=udn-ch1_breaknews-1-0-news
2023-05-03 05:00:11 , udn , 南蘇丹外交部今天表示，蘇丹交戰雙方在與南蘇丹總統基爾（Salva Kiir）的電話交談中，已同意從4日起停火7天，為結束... , https://udn.com/news/story/6809/7138214?from=udn-ch1_breaknews-1-0-news
2023-05-03 05:51:02 , udn , 紐約華埠爆槍擊案 一男子中彈 , https://udn.com/news/story/6813/7138221?from=udn-ch1_breaknews-1-0-news
2023-05-03 05:51:12 , udn , 警方透露，曼哈頓華埠2日早發生一起槍擊案，四人在曼哈頓大橋下發生糾紛，其中一名男性突然掏槍射擊，擊中另一名男性，目前傷者... , https://udn.com/news/story/6813/7138221?from=udn-ch1_breaknews-1-0-news
2023-05-03 06:15:04 , udn , 憂心升息、銀行業及經濟衰退   美股收低 , https://udn.com/news/story/6811/7138232?from=udn-ch1_breaknews-1-0-news
2023-05-03 06:15:15 , udn , 投資人在等待美國聯邦準備理事會（Fed）利率決策會議結果同時，由於對陷入困境銀行的憂慮再起，銀行股再度重挫，加上市場對可... , https://udn.com/news/story/6811/7138232?from=udn-ch1_breaknews-1-0-news
2023-05-03 06:21:05 , udn , 【總編開箱】無視扁踩保外醫治紅線 法律要為台灣之子開幾次巧門？ , https://udn.com/news/story/11907/7138151?from=udn-ch1_breaknews-1-0-news
2023-05-03 06:21:15 , udn , 陳水扁前總統首度到總統府請願，不是為國為民，而是為了兒子陳致中的參政權；完全執政的民進黨政府，多年來放任阿扁頻踩保外醫治紅線，去年更強行修法免去扁家成員貪汙重罪，法律會否再為扁家、為台灣之子「開巧門」？國人睜大眼睛看。 , https://udn.com/news/story/11907/7138151?from=udn-ch1_breaknews-1-0-news
2023-05-03 06:21:36 , udn , 扁刑期20年只囚6年多 保外就醫踩多少次紅線 , https://udn.com/news/story/11907/7138166?from=udn-ch1_breaknews-1-0-news
2023-05-03 06:21:47 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看前總統的監獄之路。 , https://udn.com/news/story/11907/7138166?from=udn-ch1_breaknews-1-0-news
2023-05-03 06:28:34 , udn , 一言不合就掏槍 紐約華埠男子中彈 , https://udn.com/news/story/6813/7138221?from=udn-ch1_breaknews-1-0-news
2023-05-03 06:30:12 , udn , 女性頭號殺手不是癌症 醫：「這病」症狀非典型更可怕 , https://udn.com/news/story/7266/7138251?from=udn-ch1_breaknews-1-0-news
2023-05-03 06:30:23 , udn , 衛福部110年統計，心血管疾病為國人十大死因第二位，但流行病學發現，心血管疾病與其他疾病不同，男女在症狀、診斷和預後方面... , https://udn.com/news/story/7266/7138251?from=udn-ch1_breaknews-1-0-news
2023-05-03 06:39:16 , udn , 踩著紅線高談闊論 阿扁為兒上凱道 大家都尷尬了 , https://udn.com/news/story/11907/7138163?from=udn-ch1_breaknews-1-0-news
2023-05-03 06:39:27 , udn , 前總統陳水扁之子、民進黨高雄市議員陳致中因洗錢案，被判刑1年定讞，5月11日下午將入監服刑，也將面臨解職。陳水扁2日北上，於凱達格蘭大道上，從台北賓館步行至總統府前遞交請願書，並再赴行政院、立法院，針對褫奪參政權違憲議題請願。 , https://udn.com/news/story/11907/7138163?from=udn-ch1_breaknews-1-0-news
2023-05-03 06:39:47 , udn , 會考數學／決勝A++把握幾何 多項式出題活考生易當機 , https://udn.com/news/story/6898/7138264?from=udn-ch1_breaknews-1-0-news
2023-05-03 06:57:15 , udn , 泰山焦土戰／泰山投資一波波是否違反公司治理？ 專家這樣看 , https://udn.com/news/story/7238/7137319?from=udn-ch1_breaknews-1-0-news
2023-05-03 06:57:25 , udn , 泰山經營權之爭紛擾不斷，市場派龍邦將在本月底舉行股東臨時會全面改選董事，但持續指控公司派在這段時間的種種作為有違公司治理，且是本業以外的投資。一名不願具名的會計師表示，在處分全家股份獲得大筆現金後，泰山公司的一連串舉動，的確很難讓人相信泰山意在專注本業。 , https://udn.com/news/story/7238/7137319?from=udn-ch1_breaknews-1-0-news
2023-05-03 07:09:30 , udn , 憂心升息、銀行業及經濟衰退 美股收低 , https://udn.com/news/story/6811/7138232?from=udn-ch1_breaknews-1-0-news
2023-05-03 07:27:21 , udn , 吳哲源合約難題  大聯盟球員也曾經遇過 , https://udn.com/news/story/122629/7137709?from=udn-ch1_breaknews-1-0-news
2023-05-03 07:27:31 , udn , 中華職棒球季已進行超過一個月，日前各隊也公佈了球員的薪資和調薪幅度。其中，中信兄弟投手吳哲源因無法與球團達成共識，今年月薪直接由球團公佈為24萬元，這和吳的經紀公司要求的數字，有不小的落差。而除了吳哲 , https://udn.com/news/story/122629/7137709?from=udn-ch1_breaknews-1-0-news
2023-05-03 07:27:52 , udn , 中職／兄弟探底磨出更多奇兵 悍將低潮卻變不出把戲 , https://udn.com/news/story/122629/7137928?from=udn-ch1_breaknews-1-0-news
2023-05-03 07:28:02 , udn , 中華職棒新球季開季滿一個月，各隊戰績原本呈現罕見的拉鋸戰，頭尾最多只有3場勝差。不過到了4月下旬局勢逐漸有所變化，二連霸的中信兄弟及一度宇宙邦開季的富邦悍將都落入後段班。他們最主要的原因都是陷入貧打狀 , https://udn.com/news/story/122629/7137928?from=udn-ch1_breaknews-1-0-news
2023-05-03 07:28:23 , udn , 與美電動車新創陷投資糾紛 凸顯鴻海造車夢的三個難題 , https://udn.com/news/story/7238/7137543?from=udn-ch1_breaknews-1-0-news
2023-05-03 07:28:33 , udn , 電動車龍頭（Tesla）執行長馬斯克曾表示，電動車產業最難實現的，就是「量產」及「獲利」。他聲稱，過去100年來，全球誕生無數家汽車及電動車新創公司，只有特斯拉成功克服這兩道難關。

鴻海董事長劉揚偉日前對外宣示，鴻海2025年要在全球電動車市場拿下5％市占率。他計畫本月前往美國，不料如今傳出鴻海與美國電動車新創Lordstown Motors Corp.（LMC）的糾紛。 , https://udn.com/news/story/7238/7137543?from=udn-ch1_breaknews-1-0-news
2023-05-03 07:28:54 , udn , 今年最強春雨有山坡地開發釀災情 苗縣府祭鐵腕開罰 , https://udn.com/news/story/7324/7138277?from=udn-ch1_breaknews-1-0-news
2023-05-03 07:29:04 , udn , 苗栗縣上月20日凌晨下起豪大春雨，造成多處低漥地區淹水，其中因山坡地開發，造成通霄鎮通灣里有泥水灌進民宅，苑裡鎮水坡里也... , https://udn.com/news/story/7324/7138277?from=udn-ch1_breaknews-1-0-news
2023-05-03 07:39:22 , udn , 健身教練勒死女友求減刑 審判長問理由？ 他回「很愛她」 , https://udn.com/news/story/7321/7138283?from=udn-ch1_breaknews-1-0-news
2023-05-03 07:39:33 , udn , 健身教練張育銘不滿女友分手，以整理搬家物品為由約女友回到租屋處，趁女友背對他時勒斃，警方到場時他反鎖房門持刀自戕，送醫無... , https://udn.com/news/story/7321/7138283?from=udn-ch1_breaknews-1-0-news
2023-05-03 07:42:21 , udn , 南市東區大同國小創造力獲國際肯定 孩子們辦到了！ , https://udn.com/news/story/6885/7138286?from=udn-ch1_breaknews-1-0-news
2023-05-03 07:42:31 , udn , 大同國小2021年在「do your:bit」全球青少年創意挑戰賽榮獲亞太區冠軍，學生展現出的創造力和解決問題的能力令主... , https://udn.com/news/story/6885/7138286?from=udn-ch1_breaknews-1-0-news
2023-05-03 07:42:52 , udn , 吳德榮：高溫逾34度熱至周六 梅雨季首波鋒面周日快閃一天 , https://udn.com/news/story/7266/7138284?from=udn-ch1_breaknews-1-0-news
2023-05-03 07:43:02 , udn , 天氣繼續暖如夏，中央大學大氣科學系兼任副教授吳德榮今天在「三立準氣象．老大洩天機」專欄表示，台灣暖如夏到周六，多處高溫在... , https://udn.com/news/story/7266/7138284?from=udn-ch1_breaknews-1-0-news
2023-05-03 07:43:23 , udn , 色伯伯「挖很久」還問弱智女舒服否 因這事獲緩刑 , https://udn.com/news/story/7321/7138285?from=udn-ch1_breaknews-1-0-news
2023-05-03 07:43:33 , udn , 謝姓男子在新北市汐止區汐科路觀光夜市擺攤，他和隔壁攤一家人熟稔，得知對方家的女兒是智能障礙者，竟將對方帶到夜市展德宮旁的... , https://udn.com/news/story/7321/7138285?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:03:22 , udn , 俄烏戰為何狂用155榴彈砲？ 曲射殺傷力、無人機補助是關鍵 , https://udn.com/news/story/10930/7134825?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:03:32 , udn , 「砲彈來襲時沒有什麼警訊，且在空中畫過弧線落下的砲彈更難躲避，使它具高度殺傷力。」一位美國智庫學者如此形容榴彈砲。「空中畫過弧線」指的就是榴彈砲等曲射武器。曲射武器的特色是在看不到目標區的情況下，還可以從遠距離外瞄準且殺傷敵軍。此時，前進觀測與間接瞄準工具，甚至，利用無人機輔助觀測都至關重要。

你在許多影片中看到的俄烏戰出現許多壕溝戰場景，就是曲射武器發揮的時候。這篇外電文章，把155榴彈砲解釋得相對清楚，有助於你理解曲射武器在俄烏戰中的關鍵角色… , https://udn.com/news/story/10930/7134825?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:03:53 , udn , 二階甄選教戰／該選電機還資工？軟轉硬隔層山？頂大師曝出路及面試關鍵 , https://udn.com/news/story/6928/7135115?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:04:03 , udn , 美國過去幾年資工的熱門程度已超越電機，但台灣在護國神山台積電加持下，半導體業依然火熱。包括台清交成的頂大電機和資工仍是含金量爆表的大系，該選電機還是資工？

電機系教授說，「軟轉硬隔層山，硬轉軟隔層紗」；資工系教授建議，對就讀電機或資工都可以的考生，較傾向將電機填在前面；二階甄試包括筆試、面試等，教授提醒有的「必考題」要先準備，面試過程中，學生最常發生的「失誤」竟是「太緊張」，要設法克服。 , https://udn.com/news/story/6928/7135115?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:09:23 , udn , 才與郭台銘和解 韓國瑜明幫羅智強初選站台 , https://udn.com/news/story/6656/7138305?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:09:33 , udn , 鴻海創辦人郭台銘昨天為了2019年初選紛爭向高雄市前市長韓國瑜致歉，韓也在臉書回應，兩人上演大和解。正在進行台北市大安區... , https://udn.com/news/story/6656/7138305?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:27:22 , udn , 照片看歷史／1983年中美貿易暨投資研討會 官商政要800人集會 , https://udn.com/news/story/7314/7135830?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:27:32 , udn , 1983年的中美貿易暨投資研討會，於5月3日下午在台北圓山飯店舉行，800餘位中美雙方政府官員、民意代表、工商企業人士參加這項擴大中美雙邊貿易投資的研討會。
研討會由經濟部長趙耀東主持，應邀參加開幕儀式的中美貴賓，包括行政院長孫運璿、中美經濟合作策進會理事長辜振甫、夏威夷州州長有吉、科羅拉多州州長拉姆、蒙大那州州長許文登、維蘭京群島總督盧易斯、美中經濟協會理事長甘迺迪、美國在台協會台北辦事處長李潔明等，均在會中致詞。 , https://udn.com/news/story/7314/7135830?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:27:53 , udn , 台灣望遠鏡／德國鐵路被吃到飽月票拖垮 大賺到大虧只用一年 問題在哪？ , https://udn.com/news/story/6811/7134886?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:28:03 , udn , 德國為緩解能源危機、吸引民眾搭大眾運輸，去年6到8月推出便宜的9歐元（約台幣310元）月票。台灣正一窩蜂要跟進公共運輸月票，吃到飽的代價，德國國鐵（DB）的經驗值得參考。... , https://udn.com/news/story/6811/7134886?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:28:24 , udn , 代理師憂愁／頂大博士成免洗筷教師 月薪一直困在4萬多是誰的錯？ , https://udn.com/news/story/6885/7127239?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:28:34 , udn , 國中小代理教師人數逐年攀升，平均每六名老師中就有一名代理教師，代理教師中擁有頂大碩士甚至博士文憑的比比皆是，工作與正式教師幾無差異，相關權益卻長期未受保障，除了同工不同酬，多數國中小代理教師的年資無法累計，月薪永遠就是4萬元出頭，每年都是起步價，就算他們在教育現場非常努力，但因教育當局沒有開實缺，流浪老師年年考教甄，還是年年只能當代理老師，這是他們的錯嗎？ , https://udn.com/news/story/6885/7127239?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:28:55 , udn , 丁學文專欄／疫後資本主義的轉型 南韓比台灣更早領悟？ , https://udn.com/news/story/7238/7137129?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:29:05 , udn , 3月中，美國私募股權基金Silver Lake領軍的投資人同意收購思愛普旗下市場調查軟體公司Qualtrics，這是今年迄今規模最大的收購案。上週末，英國晶片設計公司Arm證實已向美國監管機構遞交上市文件，今年最大規模的IPO橫空出世。

同時間，歐盟執委會表示，美國晶片商Broadcom提議的610億美元收購雲端運算軟體公司VMware正式遭到否決，這個史上第三大併購案在疫情過後胎死腹中。 , https://udn.com/news/story/7238/7137129?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:29:26 , udn , 現代•愛｜缺席的男主，天賜的禮物 , https://udn.com/news/story/7272/7136942?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:29:36 , udn , Modern Love是紐約時報專欄，也譯作「摩登情愛」，由讀者投稿，講述與愛相關的故事，包括親子、手足、男女、朋友之間的各種愛。專欄部分篇章已改編為影集，在亞馬遜Prime Video播出。本報取得紐時授權，隔周精選一篇刊出。
【精彩劇透】睿智的女性遇人不淑，會怎麼辦？不疑不惑不畏縮，就像我外婆。小時候她幫我檢查作業時，會指著她自己的腦袋說：「你這裡擁有的東西，沒有人拿得走。」 , https://udn.com/news/story/7272/7136942?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:33:21 , udn , 借貸im.B平台爆25億詐騙 藍委籲檢調儘速偵辦 , https://udn.com/news/story/7321/7138318?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:33:32 , udn , 網路借貸平台爆出龐氏騙局。一家網路投資平台「不動產借貸媒合平台im.B」，被爆出平台負責人以「假債權、真吸金」詐騙25億... , https://udn.com/news/story/7321/7138318?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:33:52 , udn , 梅雨首波鋒面周日快閃 鄭明典：萬事俱備只欠西南風 , https://udn.com/news/story/7266/7138316?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:34:03 , udn , 周日首波梅雨來了，屬移動性鋒面，只有1天快閃通過。氣象局長鄭明典今天在臉書貼出兩張圖指出，萬事俱備，只欠西南風。 , https://udn.com/news/story/7266/7138316?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:36:20 , udn , 影／澳洲交換生今晨離台返澳　醫療專機5點50分起飛 , https://udn.com/news/story/6928/7138317?from=udn-ch1_breaknews-1-0-news
2023-05-03 08:36:30 , udn , 24歲澳洲昆士蘭大學學生肖雷（Alex Shorey）2022曾到淡江大學當交換生，卻在今（2023）年4月初時不慎吃到... , https://udn.com/news/story/6928/7138317?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:00:31 , udn , 紐時賞析／冬雨和接連的陣雨 替加州帶來繁花似錦 , https://udn.com/news/story/6904/7131039?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:00:41 , udn , Torrential downpours this winter sent California residents f... , https://udn.com/news/story/6904/7131039?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:03:31 , udn , 八里槍擊案  槍手遭收押禁見 , https://udn.com/news/story/7315/7138326?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:03:41 , udn , 新北市八里日前發生槍擊案，1名槍手當街開槍，導致王姓男子腿部受傷。警方昨天逮捕涉嫌開槍的胡姓男子，士林地檢署複訊後向士林... , https://udn.com/news/story/7315/7138326?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:04:02 , udn , 利率走向掌握金融風暴前兆 經濟學家揭「國際金融紛擾不斷」原因 , https://udn.com/news/story/7239/7138336?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:04:12 , udn , 美國2023年3月初爆發10年來最大的銀行擠兌風暴，矽谷銀行（Silicon Valley Bank）在2天內被存款人瘋狂提領420億美元（約合新台幣1兆2,800億元）... , https://udn.com/news/story/7239/7138336?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:04:33 , udn , 鄧振中赴USTR拜會 關切台美21世紀貿易倡議進展 , https://udn.com/news/story/7238/7138332?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:04:43 , udn , 行政院政務委員鄧振中與駐美代表蕭美琴2日赴美國貿易代表署（USTR）拜會美國副貿易代表畢昂奇（Sarah Bianchi... , https://udn.com/news/story/7238/7138332?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:06:30 , udn , 蘭潭快見底音樂噴泉平台長草 南區水資局：嘉義還不會分區供水 , https://udn.com/news/story/7266/7138341?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:06:41 , udn , 嘉義水情燈號2月改為減壓供水的黃燈，至今3個多月，最近幾波春雨杯水車薪，對水庫蓄水助益不大，高溫炎熱用水量增加，仁義潭、... , https://udn.com/news/story/7266/7138341?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:07:02 , udn , 憂非法移民激增！拜登政府向美墨邊境增派1500名士兵 , https://udn.com/news/story/6811/7138342?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:07:12 , udn , 五角大廈2日表示，美國總統拜登政府將臨時增派1500名士兵以幫助保護美墨邊境，為本月稍晚取消疫情邊境限制時非法移民可能增... , https://udn.com/news/story/6811/7138342?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:09:33 , udn , 家庭主婦好想要 高中生發明「搖擺快乾晾衣架」獲獎 , https://udn.com/news/story/6898/7138348?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:09:44 , udn , 台中市清水高中高二生王郁婷及何宛璇，參加遠東科技大學舉辦的2023全國高中職創意發明競賽，以「搖擺快乾晾衣架」的創意用品... , https://udn.com/news/story/6898/7138348?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:10:04 , udn , 三義龍騰斷橋加固變這樣...鋼構挨批突兀 文觀局：會噴消光黑漆 , https://udn.com/news/story/7324/7138349?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:10:15 , udn , 苗栗縣定古蹟魚藤坪斷橋（龍騰斷橋）加固鋼構支撐架，最近挨批穿越古今突兀，縣府文化觀光局昨天到現場說明，強調是外部階段性加... , https://udn.com/news/story/7324/7138349?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:10:36 , udn , 東北部海域虎斑烏賊交配預約看 花枝愛愛第一步頭對頭 , https://udn.com/news/story/7266/7138343?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:10:47 , udn , 台灣北部和東北部海域是俗稱花枝的虎斑烏賊主要的棲地，近日春夏時節海水逐漸溫暖，花枝也洄游至近岸海域準備進行交配。新北市政... , https://udn.com/news/story/7266/7138343?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:11:08 , udn , 母親節前入監 陳致中：最放心不下母親孱弱病體 , https://udn.com/news/story/6656/7138344?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:11:18 , udn , 民進黨高雄市議員陳致中即將入監服刑，他最近幾乎取消公開行程，把寶貴時間留給家人。他說，今年母親節無法陪媽媽一起度過心情難... , https://udn.com/news/story/6656/7138344?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:12:31 , udn , 5/3【早晨財經速解讀】 區域銀行持續遭拋售 失業人口增 中國復甦乏力!聯準會還有升息籌碼? , https://udn.com/news/story/7251/7138347?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:12:41 , udn , 美股三大指數周二（2日）下跌超過1%，市場對金融體系重燃疑慮，地區銀行股因而大跌，同時投資人試圖衡量美國聯準會（Fed）是否有可能進一步升息。 , https://udn.com/news/story/7251/7138347?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:13:02 , udn , 台中北屯公寓一夜2次火警非縱火 消防員坦言：少見的巧合 , https://udn.com/news/story/7320/7138351?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:13:12 , udn , 台中市北屯區中清路二段一棟公寓在昨天深夜、今天凌晨傳出火警，燃燒區域分別是5樓住戶客廳，以及一樓梯間的公共空間，幸好無人... , https://udn.com/news/story/7320/7138351?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:18:36 , udn , 秦剛赴緬會見敏昂萊：加快推進中緬經濟走廊 , https://udn.com/news/story/7331/7138360?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:18:46 , udn , 中國大陸國務委員兼外交部長秦剛昨忽由其外交部宣布出訪緬甸同時，即已自中緬邊境的瑞麗動身前往緬甸，依據大陸外交部凌晨發布的... , https://udn.com/news/story/7331/7138360?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:21:35 , udn , 星宇和五月天合作 航空業內批：喊Mayday真不吉利 , https://udn.com/news/story/7266/7138365?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:21:45 , udn , 話題不斷的星宇航空，在開航洛杉磯、董事長張國煒連番大砲發言後，昨又傳出星宇將和天團五月天合作。對此，星宇航空低調證實就是... , https://udn.com/news/story/7266/7138365?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:27:33 , udn , 宜蘭色男性侵按摩師不戴套 反成法官判決重要依據 , https://udn.com/news/story/7317/7138373?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:27:44 , udn , 宜蘭32歲謝姓男子透過交友軟體認識從事按摩的女子阿嬌（化名），邀約到飯店房間內按摩，結束後竟強壓床上，無套性侵得逞，阿嬌... , https://udn.com/news/story/7317/7138373?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:31:03 , udn , 影／工程流動廁所糞水排入台東秘境蝴蝶谷 遊客：想吐了！ , https://udn.com/news/story/7328/7138379?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:31:13 , udn , 台東延平鄉避暑秘境「蝴蝶谷」，近日民眾戲水時發現公用流動廁所的糞水排入溪流，玩水興致瞬間打消，直呼「太噁心了」。鄉公所澄... , https://udn.com/news/story/7328/7138379?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:31:34 , udn , 美限制對華晶片貿易 大陸半導體設備製造商從中獲益 , https://udn.com/news/story/7333/7138376?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:31:45 , udn , 根據最新財報數據顯示，2022年大陸主要半導體設備製造商的收入和利潤都非常高。在美國政府公布的「晶片和科學法案」限制下，... , https://udn.com/news/story/7333/7138376?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:32:36 , udn , 星宇和五月天合作 航空業內批：喊「Mayday」真不吉利 , https://udn.com/news/story/7266/7138365?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:39:31 , udn , 獨／2024交鋒賴柯侯將同台? 翡翠專管貫通典禮邀請名單曝光 , https://udn.com/news/story/6656/7138387?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:39:41 , udn , 翡翠水庫原水專管即將5月12日舉行貫通典禮。據了解，北市府當日會邀請歷任前市長，包括前總統馬英九、陳水扁、前市長黃大洲、... , https://udn.com/news/story/6656/7138387?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:42:32 , udn , NBA／MVP喬丹獎揭曉 安比徳大勝約柯奇、字母哥獲獎 , https://udn.com/news/story/7002/7138390?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:42:43 , udn , NBA官方在今天公布年度MVP票選結果，76人中鋒安比德（Joel Embiid）最終在100張首輪選票中取得73票，並... , https://udn.com/news/story/7002/7138390?from=udn-ch1_breaknews-1-0-news
2023-05-03 09:42:43 , udn , 洪士琪評新光金改選提名 專業外部人才VS.親屬舊部團 , https://udn.com/news/story/7239/7138324?from=udn-ch1_breaknews-1-0-news
