2023-03-11 00:02:54 , udn , 賀中華隊戰勝！7-ELEVEN一日限定指定CITY飲品買1送1 , https://udn.com/news/story/7270/7023916?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:47:57 , udn , 呂彥青27歲生日當天收到最棒的生日禮物，中繼2局無失分，拿下勝投，成為史上第3人、第4人次在經典賽奪勝的中華隊投手，賽後... , https://udn.com/news/story/7001/7024013?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:53:47 , udn , 經典賽／扳倒義大利 陳傑憲想證明這個世代「很強」 , https://udn.com/news/story/7001/7024021?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:53:58 , udn , 這支中華隊年輕、以中職為主，卻能在本屆世界棒球經典賽扳倒強將如林的義大利隊，陳傑憲想跟球迷說：「證明我們這個世代也是很強... , https://udn.com/news/story/7001/7024021?from=udn-ch1_breaknews-1-0-news
2023-03-11 01:08:41 , udn , 歡慶中華隊擊敗義大利！萊爾富推一日限定「指定飲品買1送1」 , https://udn.com/news/story/7270/7024047?from=udn-ch1_breaknews-1-0-news
2023-03-11 01:08:51 , udn , 歡慶WBC 世界棒球經典賽昨天（3月10日）中華隊奪勝，以11：7擊敗義大利，首勝開張，令全台球迷熱血沸騰，萊爾富也歡慶... , https://udn.com/news/story/7270/7024047?from=udn-ch1_breaknews-1-0-news
2023-03-11 01:11:38 , udn , 經典賽／滿場抗壓！成晉這回沒雙殺 為中華敲安助攻 , https://udn.com/news/story/7001/7024057?from=udn-ch1_breaknews-1-0-news
2023-03-11 01:11:48 , udn , 中華隊在世界棒球經典賽以11：7擊敗義大利隊，成晉在7局下平手時以代打之姿敲安，帶起該局反攻氣勢，最終也逆轉比數，他想起... , https://udn.com/news/story/7001/7024057?from=udn-ch1_breaknews-1-0-news
2023-03-11 01:14:40 , udn , 啦啦隊給了中華隊能量 義教頭：張育成那一轟改變局勢 , https://udn.com/news/story/6999/7024059?from=udn-ch1_breaknews-1-0-news
2023-03-11 01:14:50 , udn , 義大利10日與中華隊打得慘烈，兩度領先失守，終場以7：11輸球，總教練皮亞薩（Mike Piazza）賽後用了驚嚇字眼，... , https://udn.com/news/story/6999/7024059?from=udn-ch1_breaknews-1-0-news
2023-03-11 01:20:36 , udn , 打擊「灌水」學歷 陸突取消網課留學認證 , https://udn.com/news/story/7331/7024064?from=udn-ch1_breaknews-1-0-news
2023-03-11 01:20:46 , udn , 新冠疫情近三年，大陸政策歷經變動與調整，受影響的各類人群極多，其中留學生就屬於被政策不確定性影響甚鉅的群體。因疫情期間無法出國留學而選擇遠距修讀國外學位的大有人在，但近期大陸官方一項新政策，卻把不少留學生搞得人仰馬翻。 , https://udn.com/news/story/7331/7024064?from=udn-ch1_breaknews-1-0-news
2023-03-11 01:24:07 , udn , 經典賽／啦啦隊給了中華隊能量 義教頭：張育成那一轟改變局勢 , https://udn.com/news/story/10785/7024059?from=udn-ch1_breaknews-1-0-news
2023-03-11 01:26:40 , udn , 為何侯友宜遲不表態選總統？「黨的家務事先處理好」 , https://udn.com/news/story/6656/7024066?from=udn-ch1_breaknews-1-0-news
2023-03-11 01:26:50 , udn , 南投立委補選讓國民黨失去大票倉，黨內掀起檢討聲浪，其中新北市長侯友宜更被抓戰犯，2024之路是否受衝擊？近侯人士透露，補選後，侯友宜出現「順勢而為」思考，若要選2024，時間點反而不是他考慮的主因，而是黨的「家務事」是不是能夠處理好，因此侯才會反覆說「團結」跟「對話」。 , https://udn.com/news/story/6656/7024066?from=udn-ch1_breaknews-1-0-news
2023-03-11 01:35:50 , udn , 經典賽／揮別首戰4支0 林子偉開轟感謝主和情蒐 , https://udn.com/news/story/7001/7024068?from=udn-ch1_breaknews-1-0-news
2023-03-11 01:36:00 , udn , 中華隊10日以11：7擊敗義大利隊，團隊出現3轟，林子偉揮別首戰的4支0，第一局就敲出陽春砲，賽後除了感謝主外，也提到情... , https://udn.com/news/story/7001/7024068?from=udn-ch1_breaknews-1-0-news
2023-03-11 01:47:36 , udn , 經典賽／代打敲回勝利打點 范國宸笑稱：運氣不錯 , https://udn.com/news/story/10785/7024072?from=udn-ch1_breaknews-1-0-news
2023-03-11 01:47:46 , udn , 中華隊在世界棒球經典賽以11：7擊敗義大利隊，范國宸在7局代打敲出的超前安，成為勝利打點，他也笑稱：「還好運氣不錯。」 , https://udn.com/news/story/10785/7024072?from=udn-ch1_breaknews-1-0-news
2023-03-11 03:38:25 , udn , 伊朗和沙烏地在中國斡旋下重新建交 影響中東局勢 , https://udn.com/news/story/6809/7024087?from=udn-ch1_breaknews-1-0-news
2023-03-11 03:38:35 , udn , 伊朗和沙烏地阿拉伯今天同意恢復外交關係並重新互派使節團，這項中國斡旋下的宣布，可能對整個中東地區產生廣泛影響 , https://udn.com/news/story/6809/7024087?from=udn-ch1_breaknews-1-0-news
2023-03-11 05:23:25 , udn , 矽谷銀行關閉 在聯邦控管下所有分行13日重啟營運 , https://udn.com/news/story/6811/7024112?from=udn-ch1_breaknews-1-0-news
2023-03-11 05:23:35 , udn , 矽谷銀行（Silicon Valley Bank, SVB）困境引發業界恐慌，美國當局為了保護存款人，今天關閉這家銀行，... , https://udn.com/news/story/6811/7024112?from=udn-ch1_breaknews-1-0-news
2023-03-11 06:17:33 , udn , 【總編開箱】綠委幫著外媒霸凌國軍 台灣還需要敵人嗎 , https://udn.com/news/story/10930/7024044?from=udn-ch1_breaknews-1-0-news
2023-03-11 06:17:44 , udn , 如果新聞也有爐主的話，最近國防部絕對當之無愧。去年底才宣布兵役延為一年，又因「全民防衛動員準備法」草案預告被撻伐，接著莒光守兵沒肉吃，前天二膽又有上兵失聯，在在引發社會關注。有人懷疑上兵是游到對岸投共，讓國防部繃緊神經，尤其牽動到日前日本經濟新聞一則關於國軍戰力的報導，環環相扣，格外敏感。 , https://udn.com/news/story/10930/7024044?from=udn-ch1_breaknews-1-0-news
2023-03-11 06:18:04 , udn , 換我重金挖走中共友邦？密克羅尼西亞總統揭陸霸道行徑 , https://udn.com/news/story/7314/7023992?from=udn-ch1_breaknews-1-0-news
2023-03-11 06:18:15 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看太平洋島國密克羅尼西亞與我密談建交。 , https://udn.com/news/story/7314/7023992?from=udn-ch1_breaknews-1-0-news
2023-03-11 06:26:46 , udn , 超商點數「鈔」能力進化  能抵稅費、當現金 , https://udn.com/news/story/121591/7024077?from=udn-ch1_breaknews-1-0-news
2023-03-11 06:26:57 , udn , 萬物皆漲，超商點數成為「抗通膨神器」，同時，統一超商和全家這兩大超商還將點數生態圈愈擴愈大，就是希望讓民眾透過日常消費累積點數後，還能進行「二次利用」把點數當現金花，甚至能拿點數繳納代收帳單，在繳稅季來臨之前，積少成多先為荷包省一些。 , https://udn.com/news/story/121591/7024077?from=udn-ch1_breaknews-1-0-news
2023-03-11 06:27:17 , udn , 矽谷銀行倒閉衝擊！道瓊再跌345點 連4天下挫 , https://udn.com/news/story/6811/7024133?from=udn-ch1_breaknews-1-0-news
2023-03-11 06:27:28 , udn , 美股繼續大跌，因為以科技業者為主要客戶的銀行矽谷銀行(SVB)在其債券投資組合出現虧損後倒閉，引發自全球金融危機以來最大... , https://udn.com/news/story/6811/7024133?from=udn-ch1_breaknews-1-0-news
2023-03-11 06:35:55 , udn , 美監管機構接管矽谷銀行 金融風暴後最大銀行業危機 , https://udn.com/news/story/6811/7024132?from=udn-ch1_breaknews-1-0-news
2023-03-11 06:36:05 , udn , 美國矽谷銀行（SVB）揭露鉅額虧損導致銀行股週四重挫後，美國聯邦監管機構今天宣布矽谷銀行關閉，並將其存款轉至另一間存款保... , https://udn.com/news/story/6811/7024132?from=udn-ch1_breaknews-1-0-news
2023-03-11 07:26:35 , udn , 美中台博弈／想當美國盟友？先看韓、澳付出什麼代價 , https://udn.com/news/story/6809/7023336?from=udn-ch1_breaknews-1-0-news
2023-03-11 07:26:45 , udn , 做美國的敵人容易，當美國的盟友辛苦，尤其當美國人不肯體諒盟國的困難，步步進逼，要求配合的時候，往往後悔莫及。

韓國與澳大利亞，就是新編入美國東亞盟邦的國家，新入盟的國家不免要有投名狀，以示效忠，在韓國就是，供應烏克蘭武器以及與日本修好，而澳洲則是放棄國防自主，向美國購買5艘核潛艦。 , https://udn.com/news/story/6809/7023336?from=udn-ch1_breaknews-1-0-news
2023-03-11 07:29:37 , udn , 明晚鋒面挾冷空氣急轉冷 吳德榮：下周挑戰8度低溫 , https://udn.com/news/story/7266/7024174?from=udn-ch1_breaknews-1-0-news
2023-03-11 07:29:48 , udn , 中央大學大氣科學系兼任副教授吳德榮在「三立準氣象．老大洩天機」專欄表示，今天至明天白天，各地持續晴朗，白天微熱，早晚偏涼... , https://udn.com/news/story/7266/7024174?from=udn-ch1_breaknews-1-0-news
2023-03-11 07:30:08 , udn , 美中台博弈／想當美國盟友？ 先看韓、澳付出什麼代價 , https://udn.com/news/story/6809/7023336?from=udn-ch1_breaknews-1-0-news
2023-03-11 07:56:55 , udn , 彭博：美將擴大晶片製造出口管制 正遊說日荷加入 , https://udn.com/news/story/6811/7024178?from=udn-ch1_breaknews-1-0-news
2023-03-11 07:57:05 , udn , 彭博資訊10日獨家報導，拜登政府私下與業者商議，預計下月推出更多針對半導體製造設備出口至中國大陸的限制措施。 , https://udn.com/news/story/6811/7024178?from=udn-ch1_breaknews-1-0-news
2023-03-11 07:58:03 , udn , 今觀世音菩薩生日！3生肖好運整年 鹹魚翻C「可望一夜暴富」 , https://udn.com/news/story/7268/7021907?from=udn-catehotnews_ch2
2023-03-11 08:00:29 , udn , 樂高得寶「全寶寶養成記」免費體驗活動周末新竹快閃 , https://udn.com/news/story/7241/7024063?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:00:39 , udn , 樂高®得寶®系列是一款專為學齡前孩童打造的積木，透過情緒表達、社交能力、創造力、認知技能與肌力等5種技能，藉由多樣玩法陪... , https://udn.com/news/story/7241/7024063?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:23:45 , udn , 美國會議員提武器租借法案  強化台灣防衛 , https://udn.com/news/story/6813/7024182?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:23:55 , udn , 面對中國侵略野心，美國參議員布萊克本、史考特與盧比歐共同提出「台灣民主防禦武器租借法案」，授權美國政府必要時租借武器給台... , https://udn.com/news/story/6813/7024182?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:26:33 , udn , 陳吉仲說「知所進退」 政壇認為兩原因讓他不會下台 , https://udn.com/news/story/6656/7023026?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:26:43 , udn , 全台鬧蛋荒，缺蛋問題持續延燒，連鴨蛋也漲價，農委會主委陳吉仲昨天在立法院答詢表示，鴨蛋上漲是反映飼料成本及加工業者需求，屬正常反映。至於藍委詢問陳吉仲是否已口頭請辭？陳吉仲表示，「做不好本來就是要隨時離開，我從頭到尾都有這樣的心理準備。」不過，立院人士說，陳吉仲就算知所進退，兩個外部原因也不會同意他下台。 , https://udn.com/news/story/6656/7023026?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:29:33 , udn , 高雄女誤踩油門轎車直衝超商 幸未波及無辜 , https://udn.com/news/story/7320/7024186?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:29:44 , udn , 高雄市大樹區昨晚9時許，30歲李姓女子開車載著友人，前往超商欲停車購物時，不慎誤踩油門，轎車就直接衝撞店家玻璃停進超商內... , https://udn.com/news/story/7320/7024186?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:32:35 , udn , 經典賽／中華隊贏義大利 藍營今晚發550份雞排 時間地點看這 , https://udn.com/news/story/10785/7024195?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:32:45 , udn , 中華隊在世界棒球經典賽以11：7擊敗義大利隊，國民黨立委洪孟楷在臉書發文，感謝中華經典真英雄贏義大利，「發雞排啦！」宣布... , https://udn.com/news/story/10785/7024195?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:35:44 , udn , 高雄男騎士機車後照鏡未修 巡邏警意外逮獲竟是這身分 , https://udn.com/news/story/7321/7024196?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:35:54 , udn , 高雄市46歲方姓男騎士因機車左後視鏡受損未修，有危害用路人安全之虞，日前他行經仁武區街口時，被2名眼尖巡邏警察覺，經攔查... , https://udn.com/news/story/7321/7024196?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:36:15 , udn , 中央圖書館裸露只是冰山一角！港女不雅照遍及列車、IKEA , https://udn.com/news/story/7332/7024183?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:36:25 , udn , 該裸女是90後女生，與男友在Twitter成立聯名帳戶，經常在公眾地方、交通工具或商舖拍攝淫照及淫片，包括港鐵、九巴、IKEA宜家家居等，甚至曾在列車內做出狀似口交等不雅行為 , https://udn.com/news/story/7332/7024183?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:41:33 , udn , 影･響 台灣Ⅱ草地音樂會今晚登場 向百部電影致敬 , https://udn.com/news/story/7327/7024199?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:41:44 , udn , 「影･響 台灣Ⅱ」草地音樂會今、明兩天晚上7點將在高美館草坡演出，邀范逸臣、李千娜、林生祥、楊大正、陳明章、蘇婭、文香及... , https://udn.com/news/story/7327/7024199?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:44:34 , udn , ChatGPT終究只是「回覆機器人」？遭批無自省能力 網笑：人類也是 , https://udn.com/news/story/123313/7020105?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:44:44 , udn , ChatGPT近期掀起熱潮，許多人用它來創作、啟發靈感，甚至可以完成工作、作業等複雜的事項，然而有網友卻指出，ChatGPT目前來看「就只是一個資料庫龐大的回覆機器人」，甚至直批它「沒有自我檢視錯誤的能力」，然而也有網友指出「人類也一樣」引發討論。 , https://udn.com/news/story/123313/7020105?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:45:05 , udn , 安卓新功能「睡得更香甜」！睡眠時間一到就有白噪音 設定方法看這裡 , https://udn.com/news/story/7098/7021493?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:45:15 , udn , 安卓（Android）手機用戶有福了！近期安卓推出新功能，能夠讓手機用戶切換成睡眠模式，只要睡覺時間到了就會放出有助於「提升睡眠品質」的白噪音（white noise sound），讓用戶睡得更香甜。 , https://udn.com/news/story/7098/7021493?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:56:33 , udn , 不要學！想醫好胃食道逆流 他28年來只吃椰子活命 , https://udn.com/news/story/6810/7023587?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:56:44 , udn , 印度一名男子因為有胃食道逆流，為了「治療」這種疾病，竟然選擇只吃椰子度日，而且這麼一吃就是28年。 , https://udn.com/news/story/6810/7023587?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:59:33 , udn , 嘉義中埔築夢森居生態農場 獲環境教育場域設施認證 , https://udn.com/news/story/7326/7024210?from=udn-ch1_breaknews-1-0-news
2023-03-11 08:59:43 , udn , 嘉義縣中埔鄉環境教育推動業者築夢森居探索生態農場，昨天「環境教育場域設施認證」揭牌，結合中埔國中一同「走讀中埔」園主劉朝... , https://udn.com/news/story/7326/7024210?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:00:04 , udn , 八旬失智婦赴速食店買輪胎 高雄暖警機智調查助返家 , https://udn.com/news/story/7320/7024209?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:00:14 , udn , 高雄市楠梓分局日前接獲軍校路某速食店報案求助，警到場發現鄭姓八旬婦人疑似走失迷路，像速食店員要求「買輪胎」，店員聽得滿頭... , https://udn.com/news/story/7320/7024209?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:00:35 , udn , 朋友孩子狂搶別人盤中烤肉、玩遊戲狠敲頭！她怒斷絕往來 , https://udn.com/news/story/120911/7022038?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:00:45 , udn , 為人父母應負起教育孩子的責任，然而現在出現許多恐龍家長，經常把孩子寵壞，引發旁人困擾。有網友抱怨，近日與朋友聚會烤肉，對方的小孩卻逕自將別人盤中的食物拿走並吃掉，小孩的父母也不加以制止，讓她傻眼痛批「家教有夠差」，直接與對方斷絕往來。 , https://udn.com/news/story/120911/7022038?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:01:06 , udn , 台積電2奈米擴廠+特五號開通 帶動這3區房市 , https://udn.com/news/story/7241/7024208?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:01:16 , udn , 中部科學園區台中園區二期擴建環評過關，台積電中科2奈米廠力拚明年底前完工投產，預估可創造4500個就業機會，加上政府斥資... , https://udn.com/news/story/7241/7024208?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:05:34 , udn , 「超膩的香草味」一進百貨商場被甜味激到像中毒 引網友共鳴 , https://udn.com/news/story/7335/7024203?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:05:45 , udn , 自疫情開關後不少大陸旅客會來香港購物逛街，刺激旅遊業帶動香港經濟，其中逛商場就是其中一個必到行程，尤其在商場林立的尖沙咀。一位大陸網友發文表示自己日前逛完位於尖沙咀的K11 Musea，卻因為場內香味濃烈，令她感到頭暈不適，甚至有「中毒」的感覺，帖子貼出發引起大量中港網友共鳴！ , https://udn.com/news/story/7335/7024203?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:08:34 , udn , 「怪獸新人」讓公司超頭痛！睡整天還在辦公室練舞、拍抖音 , https://udn.com/news/story/7269/7022449?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:08:44 , udn , 無論是上班族想找到理想工作，還是企業想要找到理想的員工，都不是一件容易的事。有時公司好不容易徵才找到的人，也有可能開始上班之後，才發現完全不適任工作，甚至還有荒誕行為，破壞公司內的氣氛。 , https://udn.com/news/story/7269/7022449?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:09:05 , udn , 阿根廷爆禽流感逾22萬雞隻死亡 蛋價恐再攀升 , https://udn.com/news/story/6809/7024211?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:09:15 , udn , 受禽流感影響，阿根廷養雞場超過22萬雞隻死亡，近來價格翻倍的蛋價恐再攀升。政府警示禽流感屬於人畜共傳的流行病，阿根廷暫停... , https://udn.com/news/story/6809/7024211?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:09:36 , udn , 限時優惠免猶豫！三星旗艦手機直降近9千元 Pixel打61折、蘋果也省3510元 , https://udn.com/news/story/7098/7023076?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:09:46 , udn , 多數手機廠牌手機一年出1支新機，可能會讓民眾錯亂到底要「等新的一年買新機」，還是「當下就買」呢？此時價格就成為關鍵了！有手機業者推出五大手機品牌假日限時優惠，三星（Samsung）最高可省8910元、Google下殺5000元，蘋果（Apple）新機也有3510元折扣，要讓民眾「免猶豫」直接買起來。 , https://udn.com/news/story/7098/7023076?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:11:43 , udn , 高雄市水情嚴重吃緊 跨溪引屏東地下水解危 , https://udn.com/news/story/7266/7024216?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:11:53 , udn , 南部水情吃緊，高雄水情8日起轉為「黃燈」並實施夜間減壓供水，一溪之隔的屏東縣伸出援手，東港溪長期固定支援高雄每天27萬噸... , https://udn.com/news/story/7266/7024216?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:14:44 , udn , 雲管處3月嘉義好美里旅遊環境行動 齊種木麻推海灘貨幣 , https://udn.com/news/story/7326/7024219?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:14:55 , udn , 雲嘉南濱海國家風景區管理處為宣導旅遊安全及環境永續重要性，昨天起於嘉義布袋好美里舉辦旅遊安全環境永續行動，百人在防風林齊... , https://udn.com/news/story/7326/7024219?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:20:44 , udn , 北京運用二軌提議 若麥卡錫來台盼賀錦麗訪中 , https://udn.com/news/story/7331/7024204?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:20:55 , udn , 香港「南華早報」（SCMP）10日獨家報導，避免美中關係更惡化，北京藉二軌提議，若美國聯邦眾議院議長麥卡錫訪台，盼總統拜... , https://udn.com/news/story/7331/7024204?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:21:15 , udn , 全台便當最貴路段？買便當可能送紅單 警：事故少3成 , https://udn.com/news/story/7328/7024227?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:21:26 , udn , 台東警方近年廣設交通科技執法，其中台東高商前正氣路段，科技執法後商家抱怨生意受影響，議員稱該處成為全台「便當最貴」路段，... , https://udn.com/news/story/7328/7024227?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:21:46 , udn , 中華隊擊敗義大利  高雄直播派對球迷high翻 , https://udn.com/news/story/7001/7024226?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:21:57 , udn , 世界棒球經典賽中華隊昨晚對戰義大利，靠張育成一支2分砲追平比分，最終逆轉勝，讓守在高雄市苓雅運動中心高雄直播派對現場的球... , https://udn.com/news/story/7001/7024226?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:23:43 , udn , 變態男噴精內著衣物要少女穿回  犯猥褻罪判執行4年6月 , https://udn.com/news/story/7317/7024229?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:23:54 , udn , 嘉義縣賴姓男子自稱乩童涉嫌假借神意要求少女遵照指示脫褪衣物讓他猥褻，變態地射精在內衣褲後要求少女穿回，並偷拍少女沐浴以滿... , https://udn.com/news/story/7317/7024229?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:26:35 , udn , 草莓蒂頭總拔不乾淨？ 試試靠這根吸管「輕鬆完整取下」 , https://udn.com/news/story/120912/7022466?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:26:45 , udn , 香甜好吃的草莓，是人見人愛的水果。每一顆草莓的上方，一定都會帶有一點蒂頭，雖然也可以直接拔除，或者用刀加以切除，但難免還是容易有取不乾淨，或是傷及果肉的問題。近來日本媒體「grape」，就分享了一個取下蒂頭的妙招。 , https://udn.com/news/story/120912/7022466?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:27:36 , udn , 北京運用「二軌提議」：若麥卡錫來台 盼賀錦麗訪陸 , https://udn.com/news/story/7331/7024204?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:29:36 , udn , 賊星該敗！高雄男順手牽走腳踏車  悠哉走路遭活逮 , https://udn.com/news/story/7320/7024239?from=udn-ch1_breaknews-1-0-news
2023-03-11 09:29:47 , udn , 家住高雄市美濃區的吳姓女子，日前一早起床要去運動時發現，自己平時代步用的淑女車，竟然不翼而飛，嚇得她急忙報案，警獲報前往... , https://udn.com/news/story/7320/7024239?from=udn-ch1_breaknews-1-0-news
