2023-05-23 01:06:36 , udn , 愛的「鈔」能力 陸520消費大爆發 狠甩五一長假 , https://udn.com/news/story/7331/7183333?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:14:02 , udn , 受鋒面影響，桃園機場今晚側風較強，不少原訂降落桃機的航班被迫轉降高雄機場，成功降落桃機的航班旅客回想起降落時的情況也膽顫... , https://udn.com/news/story/7266/7183222?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:36:19 , udn , 桃園大雨釀災情 平鎮社區停車場跳電淹水 , https://udn.com/news/story/7266/7183338?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:36:30 , udn , 桃園大雨來襲，桃園市平鎮區文化路48巷一處社區停車場淹水無法消退，疑似因雨勢過大導致台電電箱爆炸無法抽水，初步預估有車輛... , https://udn.com/news/story/7266/7183338?from=udn-ch1_breaknews-1-0-news
2023-05-23 05:56:23 , udn , 常態編班／資優班恐成明星高中專利 社區高中嘆設立門檻高更難競爭 , https://udn.com/news/story/6885/7182758?from=udn-ch1_breaknews-1-0-news
2023-05-23 05:56:34 , udn , 教育部近日明文禁止高中能力分班，昔日遊走灰色地帶、未特別申請設立的一般社區高中「無牌資優班」恐走入歷史。有高中教師預言，社區高中為了找回「升學招牌」，未來各地學校申請合法特色班級的案量勢必大幅增加。但依法設立的「有牌」資優班、科學班，學生須通過資優鑑定，學科門檻高，未來恐成明星高中專利，尤其學生接受資優教育，在教師栽培下參與科展、製作專題，是大學繁星申請、特殊選才的常勝軍，社區高中恐望其項背。... , https://udn.com/news/story/6885/7182758?from=udn-ch1_breaknews-1-0-news
2023-05-23 05:56:54 , udn , 等待債限談判 那斯達克指數創九個月新高 , https://udn.com/news/story/6811/7183377?from=udn-ch1_breaknews-1-0-news
2023-05-23 05:57:05 , udn , 史坦普500指數收盤幾乎持平，因為華爾街等待關鍵的債務上限會議，政府官員盡量努力避免違約。 , https://udn.com/news/story/6811/7183377?from=udn-ch1_breaknews-1-0-news
2023-05-23 06:16:24 , udn , 你過得比4年前好嗎  憑什麼再給民進黨4年 , https://udn.com/news/story/6656/7183334?from=udn-ch1_breaknews-1-0-news
2023-05-23 06:16:34 , udn , 1980年美國總統大選，共和黨總統候選人雷根挑戰競選連任的民主黨候選人總統卡特，選前的電視辯論會上，雷根問美國人「你過得比4年前好嗎？」卡特一時答不上來，美國選民在那一年將挑戰者雷根送進白宮。 , https://udn.com/news/story/6656/7183334?from=udn-ch1_breaknews-1-0-news
2023-05-23 06:16:55 , udn , 給房給車、政商餐敘 一圖看im.B詐團與陳歐珀關係 , https://udn.com/news/story/123523/7183339?from=udn-ch1_breaknews-1-0-news
2023-05-23 06:17:05 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看im.B詐團的政商關係。 , https://udn.com/news/story/123523/7183339?from=udn-ch1_breaknews-1-0-news
2023-05-23 06:18:27 , udn , 18年前偷「綠野仙蹤」茱蒂嘉蘭紅鞋 76歲男被起訴 , https://udn.com/news/story/6813/7181288?from=udn-ch1_breaknews-1-0-news
2023-05-23 06:18:38 , udn , 明尼蘇達州76歲男子馬丁(Terry Martin)日前被大陪審團起訴，罪名是盜竊重要藝術品。他被控偷竊已故女演員茱蒂嘉... , https://udn.com/news/story/6813/7181288?from=udn-ch1_breaknews-1-0-news
2023-05-23 06:18:58 , udn , 德州近2萬乳牛燒死 吸糞車故障肇禍 , https://udn.com/news/story/6812/7181583?from=udn-ch1_breaknews-1-0-news
2023-05-23 06:19:09 , udn , 休士頓紀事報報導，位於卡斯特羅縣（Castro）迪米特（Dimmitt）的南福克奶牛場（South Fork Dairy... , https://udn.com/news/story/6812/7181583?from=udn-ch1_breaknews-1-0-news
2023-05-23 06:46:35 , udn , 氣溫起伏大出現不明原因咳嗽 當心「這」病上身恐猝死 , https://udn.com/news/story/7266/7183403?from=udn-ch1_breaknews-1-0-news
2023-05-23 06:46:46 , udn , 若有不明原因咳嗽、昏倒，當心是心律不整，嚴重時恐引發猝死。國泰醫院心血管中心心臟內科主治醫師蘇彥伯說，門診收治一名50多... , https://udn.com/news/story/7266/7183403?from=udn-ch1_breaknews-1-0-news
2023-05-23 06:47:07 , udn , 【總編開箱】你過得比4年前好嗎  憑什麼再給民進黨4年 , https://udn.com/news/story/6656/7183334?from=udn-ch1_breaknews-1-0-news
2023-05-23 07:47:53 , udn , 颱風明轉強颱 吳德榮：今各地氣溫降、陣雷雨南移 , https://udn.com/news/story/7266/7183433?from=udn-ch1_breaknews-1-0-news
2023-05-23 07:48:04 , udn , 中央大學大氣科學系兼任副教授吳德榮今天指出，中颱「瑪娃」在菲律賓東方海面，持續增強，明日將達強颱的強度；各地氣溫降、北台... , https://udn.com/news/story/7266/7183433?from=udn-ch1_breaknews-1-0-news
2023-05-23 07:48:24 , udn , 日職／得不了分還下放吳念庭 松井稼頭央調度令人不解 , https://udn.com/news/story/122629/7182731?from=udn-ch1_breaknews-1-0-news
2023-05-23 07:48:35 , udn , 日職今年有兩位新監督上任，分別是廣島的新井貴浩及西武的松井稼頭央，兩人在球員時期都是戰功輝煌的名將，擔任監督至今卻帶出不同的戰績，新井的廣島目前以20勝20敗，雖以5成的勝率在央聯暫居第4名，但與前段 , https://udn.com/news/story/122629/7182731?from=udn-ch1_breaknews-1-0-news
2023-05-23 07:48:55 , udn , 例行賽、季後賽判若兩隊 熱火真正實力深不可測 , https://udn.com/news/story/122629/7182761?from=udn-ch1_breaknews-1-0-news
2023-05-23 07:49:06 , udn , 自從上周五在波士頓客場取得兩勝、於東區冠軍系列賽取得領先，邁阿密熱火能量完全轉變，我們不應再定義這是爆冷的第八種子隊伍，而是具爭冠實力的鋼鐵雄師。很難想像，他們正將東區第二種子逼入絕境，第三戰到邁阿密 , https://udn.com/news/story/122629/7182761?from=udn-ch1_breaknews-1-0-news
2023-05-23 07:49:26 , udn , 湖人想要絕處逢生  此時只能無招勝有招 , https://udn.com/news/story/122629/7182846?from=udn-ch1_breaknews-1-0-news
2023-05-23 07:49:37 , udn , 湖人在西區冠軍賽以0：3落後金塊，七戰四勝系列賽沒有退路，G4湖人繼續在主場出賽，只能「贏一場是一場」，挑戰所有不可能紀錄。NBA季後賽歷史，七戰四勝制從來沒有0：3落後球隊逆襲成功反撲。湖人想要絕處 , https://udn.com/news/story/122629/7182846?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:16:31 , udn , 「輝金姑」傳達永續保育觀念 嶺東科大奪金點新秀設計獎 , https://udn.com/news/story/6898/7183445?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:16:41 , udn , 嶺東科技大學設計學院及時尚學院在2023「金點新秀設計獎」，勇奪傳達設計類「年度最佳設計獎」、社會設計類「新秀設計獎」及... , https://udn.com/news/story/6898/7183445?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:17:02 , udn , 從「阿共打來」到李喜明「台灣勝算」 兩岸情勢讓軍事書市重現當年熱？ , https://udn.com/news/story/10930/7181831?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:17:13 , udn , 5月13日晚間，HISP台灣佇遮計畫副執秘楊欣慈表示，先前在誠品網路書店購買「阿共打來怎麼辦」，接獲操對岸口音的市調電話，對方不斷表示書籍內容敏感，大陸武統是必然。她與台灣基進黨舉行記者會，指控大陸假借市調進行認知作戰，質疑誠品疑似洩漏個資。數位部派員赴誠品調查，承諾10天提出報告，若有違法將要求限期改善，兩周內行政處分。

在認知作戰引起政壇高潮之際，另一個有趣數據是，依據博客來網路書店排行榜，阿共打來怎麼辦已不在過去30天榜單的百名內，近7日又重回榜單，排名高達第29。顯示這場風波倘若真是對岸認知戰，結果適得其反。

受利於兩岸緊張的書籍，當然不只阿共打來怎麼辦，在1990年代中的上波熱潮後，軍事書籍再創近三十年來的第二個春天。 , https://udn.com/news/story/10930/7181831?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:26:42 , udn , 照片看歷史／1970年我國首例人工角膜移植手術成功 盲者賀仲廉重見光明 , https://udn.com/news/story/7314/7181337?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:26:52 , udn , 1970年5月23日，國際獅子會中華民國總會眼庫宣布，亞洲及我國第一次人工眼角膜移植手術獲得成功，接受移植的盲者賀仲廉，已經恢復視覺，重見這光明的世界… , https://udn.com/news/story/7314/7181337?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:27:13 , udn , 真實人生／「饒舌歌手市長」寫歌抨擊腐敗 上任後拆弱勢屋反獲讚聲 , https://udn.com/news/story/6812/7180068?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:27:23 , udn , 巴連站在城市頂樓，將他看見的一切寫成饒舌歌曲「犧牲」（Balidan）：人民窮困潦倒、公共建設破敗、政治弊端叢生。犧牲在尼泊爾年輕族群中引發廣大迴響，歌曲MV在YouTube上的觀看次數更突破700萬次，其歌詞如是唱：「該守護我們的全部昏庸愚昧／官員都是劫家掠國的賊」。
巴連不甘於只做饒舌歌手。現年33歲的他曾以結構工程師的身分參與尼泊爾災後重建，去年更當選尼泊爾首都加德滿都市長，並矢言重建加德滿都，為長久破敗的家鄉進行全面且完整的重新規畫。但他上任後把城市「打掉重練」的強硬作風，帶來兩極評價和巨大震盪。... , https://udn.com/news/story/6812/7180068?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:27:44 , udn , 店家又敬又怕 Google評價糾紛不斷 消費者如何不踩雷順便賺外快 , https://udn.com/news/story/7238/7182128?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:27:54 , udn , 日前台北咖啡店「JPG Coffee」因肉搜顧客、抨擊顧客等行為，引發社會熱烈討論。商家和消費者因Google Maps的商店評論導致的糾紛不在少數，商家要如何善用網路評價做生意，消費者又要如何從網評中挑到好的店家，不會花了錢還一肚子氣？ , https://udn.com/news/story/7238/7182128?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:28:15 , udn , 在地職人／91歲金門戰地歌仔戲人生 楊麗花叫師兄、無奈看技藝式微 , https://udn.com/news/story/7314/7182440?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:28:25 , udn , 不只台灣有歌仔戲名伶，離島金門也有歌仔戲國寶。出生在金門戰亂動盪時代，曾擔任過何浦民防中隊長及九三砲戰分隊長的陳為仕，兒時生活貧困，但對歌仔戲充滿濃厚興趣，因緣際會學習歌仔戲與鑼鼓，自此開始他漫長的歌仔戲人生。

除了酷愛歌仔戲，陳為仕還創建民俗樓，將歷年戲班戲服與鑼鼓珍藏於此，一心闡揚民俗文化，致力技藝傳承，這份對藝術的堅持讓他獲得去年的「金門文化獎」殊榮。 , https://udn.com/news/story/7314/7182440?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:28:46 , udn , 二重疏洪道積水封閉 提醒用路人提前改道以免遲到 , https://udn.com/news/story/7320/7183452?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:28:57 , udn , 新北市五股地區今天凌晨驟降大雨導致二重疏洪道積水，蘆洲警分局配合市政府高灘地工程處，自凌晨2時30分緊急封閉第一、二、四... , https://udn.com/news/story/7320/7183452?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:56:58 , udn , 紐時賞析／加拿大野火燎原 人民被迫拋棄家園逃生 , https://udn.com/news/story/6904/7177768?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:57:09 , udn , Judy Greenwood did not want to leave. But when the evacuatio... , https://udn.com/news/story/6904/7177768?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:57:30 , udn , 高雄「這天」要停水 台水檢測電氣逾4萬1千戶受影響 , https://udn.com/news/story/7327/7183473?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:57:40 , udn , 台灣自來水公司因須檢測翁公園淨水場的供電品質、加強穩定供水，將在25日上午9時至晚間11時辦理停水施工，停水區域為高雄3... , https://udn.com/news/story/7327/7183473?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:58:01 , udn , 網球／拍下頭號種子 詹家姊妹闖8強預約對決謝淑薇 , https://udn.com/news/story/7005/7183471?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:58:12 , udn , 我國女網姊妹檔詹詠然／詹皓晴，法網前傳出捷報，姊妹倆在史特拉斯堡女網賽首輪力退頭號種子組合美國梅莉雪（Nicole Me... , https://udn.com/news/story/7005/7183471?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:58:33 , udn , 鋒面遠離降雨緩和 吳聖宇：明起轉夏季型午後雷陣雨天氣 , https://udn.com/news/story/7266/7183469?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:58:43 , udn , 第4波梅雨鋒面快閃，天氣風險公司天氣分析師吳聖宇今天指出，昨晚很多地方感受到暴雨、閃電打雷跟強風等對流天氣現象，一整晚不... , https://udn.com/news/story/7266/7183469?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:59:04 , udn , 大雨、豪雨特報連發 苗栗明德水庫有效蓄水率灌破9成 , https://udn.com/news/story/7324/7183467?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:59:15 , udn , 苗栗縣鋒面影響，昨天晚間至今天上午，中央氣象局大雨、豪雨特報連發，永和山、明德、鯉魚潭蓄水大進補，其中，明德水庫1天增加... , https://udn.com/news/story/7324/7183467?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:59:36 , udn , 為阻絕鳥糞「空襲」 嘉義市某大樓管委會竟毒鴿 , https://udn.com/news/story/7326/7183460?from=udn-ch1_breaknews-1-0-news
2023-05-23 08:59:46 , udn , 嘉義市東區某大樓常有野鴿子聚集不勝其擾，尤其住戶常被鳥糞「空襲」，每每經過大樓中庭總是要小心天上突然掉下來的「禮物」，造... , https://udn.com/news/story/7326/7183460?from=udn-ch1_breaknews-1-0-news
2023-05-23 09:00:07 , udn , 00878、00713皆有「收益平準金」！ 他問：00919也有會是穩配8％的原因嗎 , https://udn.com/news/story/123006/7182312?from=udn-ch1_breaknews-1-0-news
2023-05-23 09:00:18 , udn , 為穩定投資人的收益，部分股票會利用「收益平準金」，無論是新舊投資人都會領取相同金額的配息，以免新投資人加入稀釋舊投資人的股息數目。有網友好奇「有收益平準金就能穩穩配息」的原因，其他人則比喻「就是系學會費，新來的都要交的，給學長姐花用」。 , https://udn.com/news/story/123006/7182312?from=udn-ch1_breaknews-1-0-news
