2023-03-02 00:05:31 , udn , 大葉大學機械系開發球拍拉線機控制軟體 技轉業界 , https://udn.com/news/story/6885/7002986?from=udn-ch1_breaknews-1-0-news
2023-03-02 00:41:41 , udn , 網路遊戲，由其是手機遊戲被北京當局視為當代的「精神鴉片」。為杜絕未成年人網路成癮問題，2021年秋季新學期開學前，大陸官方發布俗稱「限玩令」的「關於進一步嚴格管理切實防止未成年人沈迷網絡遊戲的通知」，規定18歲以下青少年每周玩遊戲時間最多三小時，而且只能在周末和假日進行。 , https://udn.com/news/story/7331/7003068?from=udn-ch1_breaknews-1-0-news
2023-03-02 00:42:01 , udn , 避「旺」避「芒」 這水果酥闖大考闈場遭封印 , https://udn.com/news/story/7266/7003062?from=udn-ch1_breaknews-1-0-news
2023-03-02 00:42:12 , udn , 一般公司行號、產業界無不希望生意興隆、財運亨通，每逢新春開工或初一、十五祭拜，除了準備鮮花、茶酒，也一定不忘在供桌擺上一大顆鳳梨，祈求好運「旺旺來」。但若換個職場，醫療機構、消防救護、媒體產業反而對這類帶有「旺」、「忙」諧音的水果避之唯恐不及，就怕一時嘴饞，反讓工事爆量，想準時下班卻又下不了班，讓人「忙」到叫不敢。 , https://udn.com/news/story/7266/7003062?from=udn-ch1_breaknews-1-0-news
2023-03-02 00:51:02 , udn , 教育界避「旺」避「芒」 這水果酥闖大考闈場遭封印 , https://udn.com/news/story/7266/7003062?from=udn-ch1_breaknews-1-0-news
2023-03-02 01:14:21 , udn , 安坑輕軌遊山城 半天微旅行 吃喝玩樂+體驗在地文化 , https://udn.com/news/story/7266/7003092?from=udn-ch1_breaknews-1-0-news
2023-03-02 01:14:31 , udn , 安坑輕軌近日通車，吸引許多民眾搭乘，體驗輕軌悠遊魅力，事實上，安坑沿線有許多生態園區及私房景點，其中不乏有許多網美餐廳，除讓民眾遠離都市塵囂，也能體驗生態及特色美食，只要半天時間就可讓民眾搭乘輕軌來場豐富的微旅行。 , https://udn.com/news/story/7266/7003092?from=udn-ch1_breaknews-1-0-news
2023-03-02 03:17:20 , udn , 法官稱恐嚇犯「光明磊落」男子漢 不忍重判惹非議 , https://udn.com/news/story/7321/7003096?from=udn-ch1_breaknews-1-0-news
2023-03-02 03:17:30 , udn , 新北地院判決書稱犯下6件恐嚇案的陳姓共犯是光明磊落的男子漢，「令人欽佩不忍重判」，引發非議、質疑司法正義。法院則認為，陳... , https://udn.com/news/story/7321/7003096?from=udn-ch1_breaknews-1-0-news
2023-03-02 03:23:21 , udn , 把騎士撞成重傷逃逸…車牌遺落路邊 網酸：有留聯絡方式 , https://udn.com/news/story/7320/7003129?from=udn-ch1_breaknews-1-0-news
2023-03-02 03:23:31 , udn , 高雄橋頭區昨天深夜發生一起轎車衝撞機車的肇逃事故，騎士頭部受傷送醫搶救，肇逃車輛在現場遺留車牌，還有目擊者見義勇為協助報... , https://udn.com/news/story/7320/7003129?from=udn-ch1_breaknews-1-0-news
2023-03-02 03:32:20 , udn , 快看帳戶！新制勞退收益今揭曉  人均損失1.82萬創新高 , https://udn.com/news/story/7238/7003131?from=udn-ch1_breaknews-1-0-news
2023-03-02 03:32:31 , udn , 新制勞退基金111年度的運用收益分配，將於今日揭示於勞退個人專戶。去年新制勞退基金收益數為負2280.3億元，收益率為負... , https://udn.com/news/story/7238/7003131?from=udn-ch1_breaknews-1-0-news
2023-03-02 04:50:21 , udn , 國防部對「全動法」修法未妥善溝通 傳綠營決定暫緩修法 , https://udn.com/news/story/10930/7003142?from=udn-ch1_breaknews-1-0-news
2023-03-02 04:50:32 , udn , 國防部在國安會指導下擬修訂《全民防衛動員準備法》，但因事前缺乏向國會溝通，且管制媒體等兹事體大，傳黨政高層會商後決定暫緩... , https://udn.com/news/story/10930/7003142?from=udn-ch1_breaknews-1-0-news
2023-03-02 06:17:21 , udn , 全動法修正引譁然 國防部欺騙人民 還硬說媒體渲染 , https://udn.com/news/story/6656/7003091?from=udn-ch1_breaknews-1-0-news
2023-03-02 06:17:31 , udn , 聯合報及聯合報數位版在228連假先後報導國防部「全動法修正草案」內容，引起社會譁然，國防部隨後蠻橫用「渲染扭曲」回應。問題是：我們扭曲了什麼？渲染了什麼？還是，我們揭露的報導，踩到了國防部的痛腳？ , https://udn.com/news/story/6656/7003091?from=udn-ch1_breaknews-1-0-news
2023-03-02 06:17:51 , udn , 猴痘2本土病例增風險 發燒、皮疹6大症狀 , https://udn.com/news/story/7314/7003082?from=udn-ch1_breaknews-1-0-news
2023-03-02 06:18:02 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看本土首見2名確診猴痘個案的接觸與匡列狀況，以及感染猴痘常見的6大症狀。國內首見本土猴痘確定病例，分別為新竹縣四十多歲、高雄市廿多歲本國籍男性。衛福部疾管署副署長羅一鈞說，出現這兩例本土個案，代表社區傳播風險增高，正釐清可能的感染途徑。 , https://udn.com/news/story/7314/7003082?from=udn-ch1_breaknews-1-0-news
2023-03-02 06:39:23 , udn , 教育界避「旺」怕「芒」 這水果酥闖大考闈場遭封印 , https://udn.com/news/story/7266/7003062?from=udn-ch1_breaknews-1-0-news
2023-03-02 06:59:33 , udn , 通膨頑固市場悲觀 美股多收低 , https://udn.com/news/story/6811/7003152?from=udn-ch1_breaknews-1-0-news
2023-03-02 06:59:43 , udn , 美國通膨依然頑固，市場預期高利率將維持更長一段時間，美股主要指數今天多收低 , https://udn.com/news/story/6811/7003152?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:02:31 , udn , 美：持續校準美中貿易關係 對抗不公平與反競爭作為 , https://udn.com/news/story/6811/7003187?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:02:41 , udn , 美國貿易代表署（USTR）1日公布2022年貿易報告，並說明2023年貿易議程，以與台灣的貿易倡議、印太經濟架構（IPE... , https://udn.com/news/story/6811/7003187?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:14:32 , udn , 5歲女曝「吃過男生的香腸」驚動園長 母同居人判賠60萬 , https://udn.com/news/story/7317/7003190?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:14:43 , udn , 5歲大的女童因弄丟母親的張姓同居人信用卡，張命令女童吻、舔他的生殖器，女童後來參加幼兒園戶外教學，她看到午餐有香腸和雞腿... , https://udn.com/news/story/7317/7003190?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:17:31 , udn , 5歲女童曝「吃過男生的香腸」驚動園長 母同居人判賠60萬 , https://udn.com/news/story/7317/7003190?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:29:31 , udn , 甜瓜等大量老將待業中 是風向轉變還是球員個人因素？ , https://udn.com/news/story/122629/7002580?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:29:41 , udn , 今年以甜瓜安東尼（Carmelo Anthony）為首的老將們似乎失去了往年的吸引力，許多油箱裡還有油的老牌球星就是沒人要，其數量之多令人咋舌。甚至有人認為光是從這些老將當中挑出十五個人，就足以組成一 , https://udn.com/news/story/122629/7002580?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:30:02 , udn , 經典賽／火熱旅外幫幫忙仍有極限 中職打者必須發揮威力 , https://udn.com/news/story/122629/7002550?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:30:12 , udn , 全地球棒球迷引領期盼的世界棒球經典賽終於要開始了，2月底先由自辦熱身賽拉開序幕，中華隊在2月25日到27日連續3天在新莊棒球場面對中職球隊，賽事也有模擬正式賽程的午場及晚場，中華隊在這3場自辦熱身賽雖 , https://udn.com/news/story/122629/7002550?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:30:32 , udn , 新賽季加封洋基隊長  法官大人再創高峰不是神話 , https://udn.com/news/story/122629/7002643?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:30:43 , udn , 賈吉的62轟賽季，不只打破了高懸61年的美聯紀錄，還拿下生平首次MVP，也讓他獲得了九年三億六千萬美金的巨約，甚至還當上洋基隊史上第十六屆的隊長。這可是個難得的殊榮，因為自從基特退休之後，隊長一職一直 , https://udn.com/news/story/122629/7002643?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:31:03 , udn , 陸文旅局長搶當網紅 拚觀光耍帥扮醜不怕冷 , https://udn.com/news/story/7331/7002686?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:31:14 , udn , 近日，四川甘孜州發生一樁旅遊糾紛，上了大陸微博與各平台熱搜，2月26日一位微博博主上傳影片說，他在康定訂了四個房間，剛訂好就遇上路況警示，大雪封山封路不允許通行。這位博主退了訂單，前面三個房間的都自動退款了，第四個房間剛好卡在5分鐘，商家顯示處理中，24小時之內答覆，業者第二天說房間給留了一晚上拒絕退款，這位博主質疑當時怎麼不說要第二天說。於是他給了負評，還遭對方開小號辱罵。 , https://udn.com/news/story/7331/7002686?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:31:34 , udn , AI風潮／ChatGPT生成內容著作權歸誰？改寫改作能算作者嗎？ , https://udn.com/news/story/7238/6999517?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:31:44 , udn , 近日全網吹起AI應用風，從AI算圖的「Midjourney」，到對答如流的「ChatGPT」，AI突然從翻譯、客服、電動車等背後仍不太成熟的小幫手，走到大眾的電腦和手機裡，成為新科技時代的主角。許多網友用AI工具生成精美圖片、文章，但有一個巨大問號隱藏其中--這些成品算是誰的作品？一切討論在知名作家吳淡如將AI算圖成品稱為「電腦繪圖作品」後爆炸... , https://udn.com/news/story/7238/6999517?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:32:05 , udn , 標普和那指收跌 美債殖利率攀升 數據凸顯通膨壓力持續 , https://udn.com/news/story/6811/7003192?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:32:15 , udn , 美國股市周三（1日）漲跌互見，道瓊持平，標普和那指連二日下跌，美債殖利率攀升。美國ISM製造業數據顯示通膨率可能繼續居高... , https://udn.com/news/story/6811/7003192?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:50:36 , udn , 弄丟母同居人信用卡…5歲女童曝「吃過男生的香腸」驚動園長 , https://udn.com/news/story/7317/7003190?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:53:20 , udn , 十大槍擊要犯「瘋琴」公司 凌晨遭男子持長槍開4槍 , https://udn.com/news/story/7321/7003201?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:53:31 , udn , 嘉義縣水上鄉華廈巨得集團，凌晨1點多遭1名年約20多歲男子，疑似拿長槍對門口連開4槍，隨後開槍男自行帶槍至水上分局投案，... , https://udn.com/news/story/7321/7003201?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:53:51 , udn , TikTok遭美加封殺 陸媒：政治操弄不起作用 , https://udn.com/news/story/6813/7003195?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:54:01 , udn , 繼美國國會、歐盟委員會要求員工卸載公務設備中的TikTok（抖音海外版）後，加拿大政府也跟進動作，美國白宮還發出了最後通... , https://udn.com/news/story/6813/7003195?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:59:31 , udn , 【專家之眼】國際情勢將更加動盪 , https://udn.com/news/story/6656/7003205?from=udn-ch1_breaknews-1-0-news
2023-03-02 07:59:41 , udn , 近日俄烏戰事日益升高，雙方都沒有妥協的跡象；而美中關係亦同，兩國也爭執不下，美方還持續加碼支持台灣刺激北京。就在此時，美... , https://udn.com/news/story/6656/7003205?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:00:02 , udn , 全民防衛戰／全動法修法管控媒體 是以美為師或以敵為師？ , https://udn.com/news/story/10930/7000659?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:00:12 , udn , 國防部公告將全民防衛動員準備法，修改為「全民防衛動員法」的草案，內容涉及新聞媒體、網路以及記者管控，引發軒然大波。戰時新聞管控由來已久，從美國內戰、兩次世界大戰乃至我國抗戰時期，都有前例；2010年中國大陸的國防動員法，進一步將新聞出版、廣播影視和資訊網路，列為平時訓練、演練的項目內。此次國防部的修法，似有以敵為師之意。 , https://udn.com/news/story/10930/7000659?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:08:30 , udn , 美國外交關係協會換血  前貿易代表傅洛曼接會長 , https://udn.com/news/story/6813/7003206?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:08:41 , udn , 美國外交關係協會（CFR）今天宣布，前貿易代表傅洛曼將接替任職近20年的哈斯擔任會長。這所百年智庫面對快速變化的國際局勢... , https://udn.com/news/story/6813/7003206?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:09:01 , udn , 華新（1605）跌停賣不掉 網質疑「炒股」：刻意搞散戶心態 , https://udn.com/news/story/12806/7002165?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:09:11 , udn , 台股1日開低走高，終場收在15,598.49點，上漲94.7點，成交量2,5150.7億元。然而有投資人哀嚎華新（1605）跌停「賣不掉」，直呼有點緊張。其他人則建議「快跑」，有人質疑是「炒股」，直言「常看他們搞散戶心態」。 , https://udn.com/news/story/12806/7002165?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:09:32 , udn , 美元走貶  德國通膨升高歐元區升息預期後歐元攀升 , https://udn.com/news/story/6811/7003207?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:09:42 , udn , 美元周三全面走貶，中國大陸強勁的製造業景氣數據帶動大宗商品貨幣上漲，德國2月通膨急漲升高歐元區升息預期後，歐元攀升。 , https://udn.com/news/story/6811/7003207?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:14:31 , udn , 公司遭男子持長槍開4槍 他說...行凶動機賭爛「瘋琴」 , https://udn.com/news/story/7321/7003218?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:14:42 , udn , 嘉義縣水上鄉1處華廈巨得集團，凌晨1點多遭29歲邱姓男子持改造長槍，對門口連開4槍，隨後帶槍到水上警分局自首投案，警方初... , https://udn.com/news/story/7321/7003218?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:15:02 , udn , 今受境外汙染物影響 各地空品差 周六大台北恐有雨 , https://udn.com/news/story/7266/7003212?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:15:12 , udn , 中央大學大氣科學系兼任副教授吳德榮今天在「三立準氣象．老大洩天機」最新專欄表示，今晨晨觀測資料顯示：東半部雲層增多，東南... , https://udn.com/news/story/7266/7003212?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:26:31 , udn , 周休三日試過就回不去？ 許多員工寧願多上一天班 , https://udn.com/news/story/6812/7002217?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:26:41 , udn , 上班族每周多休一天不好嗎？全球規模最大的周休三日實驗結果顯示，多數參與的英國企業「試過就回不去了」，十家中超過九家將繼續採用每周上班四天，還有三分之一打算永久實施。但這畢竟是企業方面的說法。實際體驗這項「德政」的人態度反而沒那麼肯定，部分員工甚至向媒體表示，寧願回到周休二日。原因是什麼？ , https://udn.com/news/story/6812/7002217?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:27:02 , udn , 照片看歷史／1981年內政部營建署及職訓局成立 首任署長張隆盛、局長朱增郁 , https://udn.com/news/story/7314/7000669?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:27:12 , udn , 1981年3月2日，內政部舉行營建署及職業訓練局成立典禮暨印信頒發儀式，由部長邱創煥親自主持，首任營建署長張隆盛、職訓局長朱增郁亦同時就職。

邱部長致詞時指出，營建署今後的業務應特別重視都市計畫的改進，公共設施保留地的加速取得，建築管理制度的建立及大量興建國宅等；職訓局則應從整體就業安全觀點加強推行職業訓練、技能檢定、職業證照的推動，及就業輔導等工作。 , https://udn.com/news/story/7314/7000669?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:29:31 , udn , 巴西鬆綁機場與飛機內戴口罩規定 , https://udn.com/news/story/6809/7003214?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:29:41 , udn , 巴西國家衛生監督局（Anvisa）今天決定，在巴西機場限制區域和飛機內不再強制使用口罩。但專家強調戴口罩遏制疾病傳播的重... , https://udn.com/news/story/6809/7003214?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:34:03 , udn , 馬斯克暗示推兩款新車 預告新一代造車成本少一半 , https://udn.com/news/story/6811/7003222?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:34:13 , udn , 特斯拉1日舉行投資人大會，執行長馬斯克發表他的「宏偉計畫」第三階段（Master Plan 3），宣示公司成長的下一個階... , https://udn.com/news/story/6811/7003222?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:34:34 , udn , 公司遭男子持長槍開4槍 行凶動機曝因他賭爛「瘋琴」 , https://udn.com/news/story/7320/7003218?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:38:36 , udn , 石家莊驚現單身填場 10萬堪用共享單車遭廢棄 , https://udn.com/news/story/7332/7003199?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:38:47 , udn , 河北石家莊驚現「單車墳場」，現場堆滿密密麻麻廢棄的單車、電單車，估計有10萬輛，令人惋惜。事件引起網民驚訝，許多網民直批... , https://udn.com/news/story/7332/7003199?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:44:31 , udn , 「瘋琴」曾名列十大槍擊要犯 澎恰洽恰光碟案、伸狼爪案被判刑 , https://udn.com/news/story/7320/7003242?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:44:41 , udn , 曾名列國內十大槍擊要犯、綽號「瘋琴」的盧照琴，捲入藝人澎恰恰自慰光碟恐嚇案，2009年7月假釋出獄，4年前又因對女友17... , https://udn.com/news/story/7320/7003242?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:45:01 , udn , 棒球經典賽期洲際棒球場禁飛無人機 違規最高罰150萬 , https://udn.com/news/story/7001/7003241?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:45:12 , udn , 全球關注的世界棒球經典賽，A組預賽3月8日到12日在洲際棒球場登場，台中市政府公告，3月5日上午9點至3月12日晚上12... , https://udn.com/news/story/7001/7003241?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:53:51 , udn , 3/2【早晨財經速解讀】脫歐三年 英國苦於如何擺脫爛攤子 景氣燈號連三藍 台股還有修正段? , https://udn.com/news/story/7251/7003244?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:54:01 , udn , 美國股市周三（1日）漲跌互見，道瓊持平，標普和那指連二日下跌，美債殖利率攀升。美國ISM製造業數據顯示通膨率可能繼續居高不下，而美國聯準會（Fed）決策者的評論也加深外界對激進升息的擔憂。 , https://udn.com/news/story/7251/7003244?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:54:22 , udn , 駐阿根廷代表履新 拜會僑社推展僑民外交 , https://udn.com/news/story/6656/7003216?from=udn-ch1_breaknews-1-0-news
2023-03-02 08:54:32 , udn , 新到任的駐阿根廷代表謝妙宏2月28日會見阿根廷僑社代表，感謝僑胞深耕當地，在阿根廷為台灣於各領域交流發聲，並時刻關心台灣 , https://udn.com/news/story/6656/7003216?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:02:40 , udn , 【重磅快評】抗旱作戰應提前啟動 , https://udn.com/news/story/6656/7003252?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:02:51 , udn , 今年旱象極不樂觀，經濟部認為將比兩年前的百年大旱更為嚴重，昨天緊急召開升級版的水情會議。旱象已顯才召開水情應變會議，可以... , https://udn.com/news/story/6656/7003252?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:03:11 , udn , 苗栗市民生街停車場設置太陽能光電板 公所借地停車 , https://udn.com/news/story/7324/7003251?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:03:22 , udn , 苗栗市民生街旁停車場設置太陽能光電板即將進場施工，公所暫時借用國防部政治作戰局、財政部國有財產署受委託管理土地供免費停車... , https://udn.com/news/story/7324/7003251?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:03:42 , udn , 別哭！鐵粉「想嫁給車銀優」問AI ChatGPT送1句話戳破粉紅泡泡 , https://udn.com/news/story/123313/7000897?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:03:53 , udn , 問什麼都不奇怪？一名網友向人工智慧（AI）聊天機器人ChatGPT詢問，自己要「如何才能嫁給車銀優？」，ChatGPT卻用相當「理智的回答」狠狠打醒提問者，甚至還希望粉絲要「真心對待、尊重他」引起討論。 , https://udn.com/news/story/123313/7000897?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:04:13 , udn , 境外空汙來了！ 今空品差 鄭明典示警：從北部開始 , https://udn.com/news/story/7266/7003249?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:04:23 , udn , 氣象局長鄭明典今在臉書上表示，受到中國大陸空氣汙染移入的影響，很明確的「境外移入」型空氣汙染事件開始，且是從北部開始。 , https://udn.com/news/story/7266/7003249?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:04:44 , udn , 南投立委補選倒數 綠黨政系統齊發 林明溱陷入苦戰 , https://udn.com/news/story/6656/7002388?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:04:54 , udn , 南投縣第二選區立委補選進入倒數計時階段，228連假期間藍綠短兵相接，南投選戰是全台目前唯一一場選舉，也是民進黨主席賴清德上任後的第一仗，為挽回先前子弟兵政院前發言人陳宗彥醜聞案造成的形象重傷，賴清德傾全黨之力空戰、陸戰齊發，硬是把民進黨候選人蔡培慧的聲勢往上拉，誓要重振綠營士氣。 , https://udn.com/news/story/6656/7002388?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:05:15 , udn , 烏日光竹橋4米寛會車困難 中市府9500萬改建為雙向鋼橋 , https://udn.com/news/story/7325/7003248?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:05:25 , udn , 台中市烏日前竹地區「光竹橋」僅4公尺寬，難以會車，還限制行駛車輛高度。市府建設局配合旱溪排水治理計畫，已動工改建光竹橋，... , https://udn.com/news/story/7325/7003248?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:05:41 , udn , 員林吳家古厝石階櫻花秘境火熱 兩天泡茶6千杯 , https://udn.com/news/story/7325/7003253?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:05:46 , udn , 王建煊／王老先生講故事之254：流口水的光景大不同 , https://udn.com/news/story/7340/7003245?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:05:52 , udn , 彰化縣員林市「吳家古厝石階櫻花」秘境今年賞櫻季湧入上萬人潮，為社區帶來商機也帶來交通問題，市長游振雄拜訪鄰近的開林寺主任... , https://udn.com/news/story/7325/7003253?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:05:56 , udn , 讀小學時，有次一位一年級的小朋友走失，遍尋不著，第二天才發現他被關在福利社裡。我當時就在想，如果是我被關在裡面該多好，因福利社裡有很多麵包和蛋糕可以吃。 , https://udn.com/news/story/7340/7003245?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:08:18 , udn , 全球新興市場、亞洲不含日本、拉美及歐非中東地區股市 迎資金淨流入 , https://udn.com/news/story/7251/7003235?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:08:28 , udn , 市場持續消化對聯準會未來升息步調的動向，推升美國公債殖利率、股市氛圍受到壓抑。回顧過去一周全球股市資金流向，包括美國及已... , https://udn.com/news/story/7251/7003235?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:10:20 , udn , 台美科技股築底 優先布局多重資產基金 , https://udn.com/news/story/7251/7003226?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:10:30 , udn , 目前正值美台公布財報密集期，截至2/11止，S&P500公布44%財報（346家中的153家），整體企業獲利年增率衰退2... , https://udn.com/news/story/7251/7003226?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:10:50 , udn , 投資級債市 單周續迎資金淨流入 , https://udn.com/news/story/7251/7003227?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:11:01 , udn , 市場對聯準會最新釋出會議紀要鷹派解讀、對升息擔憂有所升溫，美債殖利率震盪走升至近期高點的3.9%水準、債市多承壓。根據美... , https://udn.com/news/story/7251/7003227?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:11:41 , udn , 台灣夢幻景點再+1！嘉義十大OOTD穿搭景點出爐 冠軍讓IG小仙女都瘋掉 , https://udn.com/news/story/120912/7003095?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:11:51 , udn , 近期崛起的嘉義，可以說是網美們最愛的城市之一，有歷史古蹟、有自然風景，有各式各樣豐富有趣的景點，最熱門的還有一座超厲害的歐風夢幻城堡，氣派華麗的美景讓慕名而來的遊客絡繹不絕，美照拍好拍滿！ , https://udn.com/news/story/120912/7003095?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:12:12 , udn , 生活英文／這十種難相處的人 用英文怎麼說？ , https://udn.com/news/story/6904/7002357?from=udn-ch1_breaknews-1-0-news
2023-03-02 09:12:22 , udn , 不論是在生活中還是職場上，相信大家都有遇過不太好相處的人。那不太好相處的人其實也有很多種，來看看要怎麼用英文來描述這些人吧！ , https://udn.com/news/story/6904/7002357?from=udn-ch1_breaknews-1-0-news
