2023-03-04 00:29:37 , udn , 「國民黨誤導人民」蔡總統：不會讓孩子上戰場 , https://udn.com/news/story/6656/7008128?from=udn-ch1_breaknews-1-0-news
2023-03-04 06:47:42 , udn , 美股收漲，因美國國債殖利率從近期高位回落，投資人評估Fed已經實施的升息和消化本周Fed官員評論的累積影響。 , https://udn.com/news/story/6811/7008291?from=udn-ch1_breaknews-1-0-news
2023-03-04 07:20:41 , udn , 未來一周無強冷空氣 吳德榮：今起3天清晨注意極低溫 , https://udn.com/news/story/7266/7008307?from=udn-ch1_breaknews-1-0-news
2023-03-04 07:20:51 , udn , 中央大學大氣科學系兼任副教授吳德榮在「三立準氣象．老大洩天機」專欄表示，未來一周無強冷空氣，且水氣偏少、夜間常晴朗、靜風... , https://udn.com/news/story/7266/7008307?from=udn-ch1_breaknews-1-0-news
2023-03-04 07:29:51 , udn , 美中台博弈／挺台法案一波波 當心只是美國兩黨惡鬥產生的幻象 , https://udn.com/news/story/6809/7006936?from=udn-ch1_breaknews-1-0-news
2023-03-04 07:30:01 , udn , 美國國會眾議院新設「美中戰略競爭特設委員會」，2月28日召開首場聽證會，聚焦中國大陸的威脅，委員會主席蓋拉格說，美中競爭是一場攸關21世紀定義的「存亡鬥爭」。

而在同一天，眾議院金融委員會通過「台灣衝突嚇阻法案」、「保護台灣法案」及「不歧視台灣法案」3項與台灣相關法案，而外交委員會則以口頭表決方式無異議通過「台灣保證落實法案」，要求美國國務卿定期檢視對台交往準則。

美國國會一口氣通過這麼多支持台灣的法案，並且警告中國的威脅，乍看之下，對台灣似乎是好事，可是在這個現象的背後，卻是值得台灣小心警惕的。 , https://udn.com/news/story/6809/7006936?from=udn-ch1_breaknews-1-0-news
2023-03-04 07:41:41 , udn , 輻射冷卻發威花蓮低溫特報 水氣增 這地區降雨稍微明顯 , https://udn.com/news/story/7266/7008310?from=udn-ch1_breaknews-1-0-news
2023-03-04 07:41:51 , udn , 中央氣象局說，今、明兩天受輻射冷卻影響，各地早晚天氣較冷，西半部日夜溫差大；今天基隆北海岸及東半部地區有局部短暫雨，西半... , https://udn.com/news/story/7266/7008310?from=udn-ch1_breaknews-1-0-news
2023-03-04 07:50:42 , udn , 遠距戀愛好煎熬！網議這些「遠距情侶困擾」一次看 , https://udn.com/news/story/7272/7004692?from=udn-ch1_breaknews-1-0-news
2023-03-04 07:50:52 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤三個月內「遠距情侶困擾」話題的網路聲量表現，帶您了解網友熱議的五大遠距情侶困擾有哪些。 , https://udn.com/news/story/7272/7004692?from=udn-ch1_breaknews-1-0-news
2023-03-04 07:51:13 , udn , 美德領袖會晤 挺烏克蘭施壓普亭 , https://udn.com/news/story/6809/7008313?from=udn-ch1_breaknews-1-0-news
2023-03-04 07:51:23 , udn , 德國總理蕭茲（Olaf Scholz）3日造訪白宮，與美國總統拜登討論烏克蘭戰事；蕭茲表示，今年是非常重要的一年，西方盟... , https://udn.com/news/story/6809/7008313?from=udn-ch1_breaknews-1-0-news
2023-03-04 07:53:43 , udn , 口罩解禁好緊張！快看網友如何改善「容貌焦慮」 , https://udn.com/news/story/7266/7006317?from=udn-ch1_breaknews-1-0-news
2023-03-04 07:53:53 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近一年內「容貌焦慮」話題的網路聲量表現，帶您了解網友熱議的五大容貌焦慮改善方式有哪些。 , https://udn.com/news/story/7266/7006317?from=udn-ch1_breaknews-1-0-news
2023-03-04 07:56:31 , udn , 和魚兒一起暢遊吧！網友盤點五大「水族館」你去過哪些？ , https://udn.com/news/story/7270/7004136?from=udn-ch1_breaknews-1-0-news
2023-03-04 07:56:41 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤一年內「水族館」話題的網路聲量表現，帶您了解網友熱議的五大水族館有哪些。 , https://udn.com/news/story/7270/7004136?from=udn-ch1_breaknews-1-0-news
2023-03-04 07:57:02 , udn , 當心負面情緒找上門！網友盤點9個自律神經失調煩惱 , https://udn.com/news/story/7266/7007297?from=udn-ch1_breaknews-1-0-news
2023-03-04 07:57:12 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近一年網友討論的自律神經失調話題，帶您了解網友熱議的9大自律神經失調煩惱。 , https://udn.com/news/story/7266/7007297?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:05:33 , udn , 甩車門、亂指揮超NG！網友盤點TOP6討人厭乘客行為 , https://udn.com/news/story/7266/7004126?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:05:43 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月內「討人厭乘客行為」話題的網路聲量表現，帶您了解網友熱議的六大討人厭乘客行為。 , https://udn.com/news/story/7266/7004126?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:08:32 , udn , 春暖花開仁義潭九重葛花瀑秘境美景吸晴  遊客：什麼角度拍都美 , https://udn.com/news/story/7326/7008319?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:08:42 , udn , 春神來了！嘉義縣番路鄉仁義潭風景區「大千山水」社區大門前，道路兩排50多棵九重葛，如飛瀑般滿開炸裂，美景網路傳開，成為賞... , https://udn.com/news/story/7326/7008319?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:26:22 , udn , 花與藝術迸出新滋味 萬金杜鵑帶起觀光潮的祕密 , https://udn.com/news/story/7323/7007658?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:26:32 , udn , 3月杜鵑花季開始，新北萬里、金山因種植杜鵑數量最多，被稱為「杜鵑鄉」，新北市也致力打造「萬金杜鵑」品牌，但目前杜鵑產業雖用於全台近九成的公共道路、建築等綠美化工程，卻也缺乏其他發展性，有些花農甚至自嘲是「沒人要種的花」。但今年杜鵑展找來知名花藝師與在地花農合作，把杜鵑打造成裝置藝術，意外帶動萬里地區的觀光人潮。 , https://udn.com/news/story/7323/7007658?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:26:52 , udn , 扶養壓力擊敗人口紅利 三明治世代「一打三」困境怎解？ , https://udn.com/news/story/7266/7007584?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:27:03 , udn , 超高齡社會將至，據統計，台北市的扶養壓力全台最大，每兩個工作人口要背負一個幼年或老年人，雲林縣則排行第二。上有老、下有幼的「三明治世代」首當其衝，若配偶也生病，照顧者更得「一打三」；但長照資源粥少僧多，民團與民代憂心「一人病倒恐全家倒」，連帶衝擊社會勞動力，加劇少子化危機，長照團體期待市長蔣萬安的長照政見能盡快兌現。 , https://udn.com/news/story/7266/7007584?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:27:23 , udn , 台中后里民宅大火 祖孫8人同住...3死1傷 , https://udn.com/news/story/7320/7008322?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:27:34 , udn , 台中后里智生路一間民宅今凌晨發生大火。消防隊員到場搶救，透天厝內住祖孫8人，黃姓祖孫3人被救出時，已無呼吸心跳，送醫急救... , https://udn.com/news/story/7320/7008322?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:30:23 , udn , 台中后里民宅凌晨大火 祖孫8人同住...3死1傷 , https://udn.com/news/story/7320/7008322?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:31:54 , udn , 阿昭署長來了防詐影片 桃園5警分局配合加強宣導 , https://udn.com/news/story/7320/7008314?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:32:04 , udn , 詐騙案件層出不窮，警政署長黃明昭特別針對「假網路購物」、「投資詐欺」、「解除分期付款詐騙」、「假愛情交友」及「假冒親友詐... , https://udn.com/news/story/7320/7008314?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:32:31 , udn , 黃花風鈴木花季 新科中埔鄉長大林鎮長辦賞花活動吸客拚觀光 , https://udn.com/news/story/7326/7008324?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:32:42 , udn , 春暖花開，嘉義縣市八掌溪沿岸、朴子溪防汛道路，兩旁栽種大片黃花風鈴木綻放，美景怡人吸客；中埔鄉公所下午起到晚間，在忠義橋... , https://udn.com/news/story/7326/7008324?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:35:31 , udn , 白宮醫師：拜登患基底細胞癌 切除胸口病灶 , https://udn.com/news/story/6813/7008317?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:35:42 , udn , 白宮醫師歐康納今天表示，美國總統拜登於2月16日從胸口切除的癌性皮膚組織，經檢測確定是基底細胞癌。所有癌組織都已經成功切... , https://udn.com/news/story/6813/7008317?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:44:31 , udn , 影／「隱形的翅膀」成真？人類穿上裝置靠這關鍵 有第6隻手指和觸手非夢事 , https://udn.com/news/story/7086/7006639?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:44:42 , udn , 人類也能有翅膀嗎？近期專家推測，由於科技不斷進步，人類未來可能會有翅膀、觸手，甚至還有第6隻手指。 , https://udn.com/news/story/7086/7006639?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:53:32 , udn , 「四方安全對話」和披頭士樂隊：它們哪裡相似？ , https://udn.com/news/story/6809/7008059?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:53:42 , udn , 四方安全對話式的組織？日本外相林芳正一言以蔽之：就像披頭士樂隊吧。他的這一定義的理論是，披頭士成員固定，他們同台演出超過10年，不過，它更是一個柔性小組，披頭士內部，保羅;特尼（Paul McCartney）也出獨唱專輯... , https://udn.com/news/story/6809/7008059?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:54:02 , udn , 科大特殊選才 高英工商5生憑多項國內外競賽獲獎上榜 , https://udn.com/news/story/6898/7008334?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:54:13 , udn , 高雄市高英工商資訊科學生邱佳雯、莊舒涵、黎瓊文、朱綺雯，與汽車科學生孫宇慶，在校三年的競賽經驗豐富，多次為國爭光，已透過... , https://udn.com/news/story/6898/7008334?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:54:33 , udn , 南部大旱春季雜作灌溉農民心急 農田水利署調水大作戰9日起供灌 , https://udn.com/news/story/7266/7008333?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:54:43 , udn , 嘉南地區水情嚴峻，農委會農田水利署研訂「嘉南地區春季雜作抗旱灌溉計畫」，昨天在農水署嘉南管理處朴子分處辦說明會，規畫運用... , https://udn.com/news/story/7266/7008333?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:56:32 , udn , 新娘婚禮進行中突猝死 家人要妹頂替代嫁「不能讓夫家空手而歸」 , https://udn.com/news/story/6810/7008325?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:56:43 , udn , 印度日前發生了1場令人咋舌的婚禮，新娘於婚禮進行時突然心臟病發猝死，她的家人竟然未有腰斬或取消儀式，反而想出個「李代桃僵」的計劃，找新娘的妹妹臨時頂替代嫁！ , https://udn.com/news/story/6810/7008325?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:59:43 , udn , PTT突掀什麼都加「.jpg」是啥鄉民哏？網曝這原因…結果全歪樓 , https://udn.com/news/story/7088/7006938?from=udn-ch1_breaknews-1-0-news
2023-03-04 08:59:53 , udn , 常常Follow鄉民哏才能跟上「流行」腳步。一名網友詢問最近突然大量出現「文字」加「.jpg」的風潮，詢問網友是什麼意思，「看不懂的是不是老人？」引起熱議。 , https://udn.com/news/story/7088/7006938?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:02:41 , udn , 婚宴赫見留桌「仇家親戚」網友恍然大悟：我就是這個姓 , https://udn.com/news/story/7335/7008337?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:02:52 , udn , 結婚一生一次，自然要大排筵席呼朋喚友到場，但竟然連「仇家」都要請？網絡近日瘋傳圖片，一對新人疑似於酒店擺酒時，竟特意設置一桌「仇家親戚」。 , https://udn.com/news/story/7335/7008337?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:06:13 , udn , 12星座「難捨舊情人」解析！天蠍易藕斷絲連、這星座覺得「他過得好就好」 , https://udn.com/news/story/7268/7007327?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:06:23 , udn , 每個人面對感情的心態不同，有的人分手時說分就分，也有人總是會依依不捨。日本網站「ananweb」近來就以分析，哪些星座的人分手後，還是會對舊情人念念不忘。 , https://udn.com/news/story/7268/7007327?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:08:41 , udn , 市中運田徑9人次破大會紀錄 好手代表台北出征4月全中運 , https://udn.com/news/story/7005/7008344?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:08:52 , udn , 全國中等學校運動會將於4月登場，台北市教育局舉辦中等學校運動會以選拔優秀田徑選手代表北市出征，為期4天賽事已於昨天落幕，... , https://udn.com/news/story/7005/7008344?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:09:12 , udn , 人氣景點佐登妮絲城堡營運近半年  明天喜迎百萬人次入園送大禮 , https://udn.com/news/story/7270/7008345?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:09:22 , udn , 嘉義縣大林鎮大埔美產業園區全新觀光工廠，全台最大歐式城堡「佐登妮絲城堡」，去年10月試營運，逾30萬人入園，11月營運，... , https://udn.com/news/story/7270/7008345?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:09:43 , udn , 倫敦金融城機場安檢更新 率先取消攜帶液體禁令 , https://udn.com/news/story/6812/7008331?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:09:53 , udn , 倫敦金融城機場擬於3月底前全面更新現有安全檢查設備、採用新一代電腦斷層掃描系統，旅客因此可隨身攜帶多達2公升液體，也不需... , https://udn.com/news/story/6812/7008331?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:14:41 , udn , 台積電降溫？  高雄1、2月房市交易創7年新低 , https://udn.com/news/story/7240/7008355?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:14:52 , udn , 高雄今年1、2月買賣移轉總棟數共4582棟，較去年同期的6281棟，年減27％，為房地合一1.0推出以來，近7年新低，房... , https://udn.com/news/story/7240/7008355?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:15:12 , udn , 保育類猛禽大冠鷲倒掛金山絲瓜棚困網 動保員救下野放 , https://udn.com/news/story/7323/7008354?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:15:23 , udn , 一隻二級保育類猛禽大冠鷲，上月在新北市金山區五湖里南勢湖農田絲瓜棚誤觸掛網，被細繩緊緊纏繞倒掛在棚上無法動彈，動保處救出... , https://udn.com/news/story/7323/7008354?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:19:14 , udn , 人氣景點佐登妮絲城堡營運近半年 明天喜迎百萬人次入園送大禮 , https://udn.com/news/story/7270/7008345?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:20:41 , udn , 男子擁槍藏身鄉下老家 北市警南下夾車逮人 , https://udn.com/news/story/7315/7008359?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:20:51 , udn , 台北市大安警分局日前偵辦刑案，獲知嘉義縣馬姓男子疑似持有槍枝、子彈，連日南下蒐證、掌握馬嫌作息及落腳處後，日前清晨在他住... , https://udn.com/news/story/7315/7008359?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:21:12 , udn , 台積電降溫？高雄1、2月房市交易創7年新低 , https://udn.com/news/story/7241/7008355?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:23:50 , udn , 高雄毒販違停遭攔查面露忐忑 警一查...車前後掛不同車牌 還藏毒！ , https://udn.com/news/story/7315/7008361?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:24:00 , udn , 高雄32歲蔣姓男子，日前開車出門購物違規臨停路邊遭警員攔查，蔣男忐忑不安的神情讓警員直覺異樣，深入盤查發現，他竟異想天開... , https://udn.com/news/story/7315/7008361?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:26:41 , udn , 照片看歷史／1969年美國田徑隊訪師大體育系 傳授超群密技 , https://udn.com/news/story/7314/7006729?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:26:52 , udn , 1969年3月4日，美國田徑隊一行8人在當日下午2時訪問國立師範大學體育系，在3個小時的行程中，他們以最新的、科學的田徑訓練方法和技術，帶給那些有志從事體育教學的青年男女。 , https://udn.com/news/story/7314/7006729?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:27:12 , udn , 深耕產學合作．符應產業需求．發揮教育綜效──培育文化資產修復技術人才 , https://udn.com/news/story/6904/7000979?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:27:22 , udn , 政府為加速臺灣產業升級及結構轉型，追求經濟的永續發展，於2016年提出「5+2」產業創新計畫，作為驅動下世代產業成長的核心，並為經濟成長注入新動能。2020年總統就職演說時，則在過去的基礎上，進一步提出六大核心戰略產業。行政院配合政策宣示，於2021年5月21日正式核定「六大核心戰略產業推動方案」，希冀透過產業的超前部署，於後疫情時代，掌握全球供應鏈重組的先機，讓臺灣能夠成為未來全球經濟的關鍵力量。事實上，「一個主權國家賴以生存的全部力量及在國際上的影響力」，即所謂的「綜合國力」，除了「硬實力」（經濟、軍事等）外，也包含「軟實力」。長久以來，政府的各項施政計畫，不可諱言地仍是以硬實力的提升為主，並投入大量的經費，不僅有效地改善人民的生活水準，更帶動國家經濟的整體競爭力。隨著生活水準的不斷提升，不僅民眾開始意識到「生活品質」的重要性；政府的施政，也從過往經濟掛帥的治理模式，逐漸關注到軟實力提升的重要性。特別是面對我國現階段所處的國際及外交情勢，除了守住「護國神山」及提升硬實力外，更需要透過軟實力來凝聚人民的認同與向心力，建立「臺灣主體性」，使國家的綜合國力進一步向上提升，達到永續發展。 , https://udn.com/news/story/6904/7000979?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:27:43 , udn , 閱讀數學／《鏈鋸人》動畫裡的數學 你注意到了嗎？ , https://udn.com/news/story/6904/7004218?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:27:53 , udn , 日本漫畫《鏈鋸人》非常火紅，也改編成動畫。你知道嗎，動畫裡有大量的數學錯視噢。在動畫的第五集片尾畫面，短短的一分半中，首先可以看到「三葉結」和「莫比烏斯環」... , https://udn.com/news/story/6904/7004218?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:28:14 , udn , 樹德家商「韓」風送暖  社區敬老散播正能量 , https://udn.com/news/story/6898/7008363?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:28:24 , udn , 高雄樹德家商學生投入公益不遺餘力，餐飲管理科韓式料理特色班學生善用3年所學，發送愛心「人蔘起家雞」，校長陳清美率領師生將... , https://udn.com/news/story/6898/7008363?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:29:45 , udn , 青農吳文吉返鄉種田技不如人 靠這招翻轉斜槓人生 , https://udn.com/news/story/7326/7008362?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:29:56 , udn , 雲林青農吳文吉原本是志願役軍人，軍旅生涯10年後決定返鄉種田，因經驗不足、產量不如別人，一度感到信心挫敗，但樂觀的吳文吉... , https://udn.com/news/story/7326/7008362?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:32:42 , udn , 影／新北板橋男駕駛疑恍神 開車衝進路口超商 騎樓婦人挨撞送醫搶救 , https://udn.com/news/story/7320/7008366?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:32:48 , udn , 火鍋名店宣傳出招！近百萬訂閱網紅選里長 借詹記當競選總部 , https://udn.com/news/story/7270/7008360?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:32:52 , udn , 林姓男子今天早上開車要去市場擺攤，行經新北市板橋區時，疑似精神不濟，整輛車直接撞進路口超商，超商店員幸運躲過一劫，但一名... , https://udn.com/news/story/7320/7008366?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:32:58 , udn , 最近台北市街頭出現近百萬訂閱網紅《反正我很閒》鍾佳播的「參選」看板，民眾納悶，九合一大選不是去年才落幕，今年又要選什麼？... , https://udn.com/news/story/7270/7008360?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:35:14 , udn , 樹德家商「韓」風送暖 社區敬老散播正能量 , https://udn.com/news/story/6929/7008363?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:35:41 , udn , 台東男子想開快車變造車牌躲測速 遭判2個月徒刑 , https://udn.com/news/story/7321/7008370?from=udn-ch1_breaknews-1-0-news
2023-03-04 09:35:51 , udn , 台東林姓男子為規避測速照相，竟異想天開將車牌用絕緣膠帶包裹泡棉膠方式把英文字母變造，警方巡邏查核車牌牌有異，當場攔查，詢... , https://udn.com/news/story/7321/7008370?from=udn-ch1_breaknews-1-0-news
