2023-02-26 00:26:31 , udn , 殺破狼周運勢／白羊感情有關鍵進展 獅子脫離不友善職場 , https://udn.com/news/story/7268/6985016?from=udn-ch1_breaknews-1-0-news
2023-02-26 06:20:51 , udn , 四個堅持若入綱領 賴清德是否告別台獨黨綱 , https://udn.com/news/story/6656/6995986?from=udn-ch1_breaknews-1-0-news
2023-02-26 06:21:01 , udn , 身兼民進黨主席的副總統賴清德，他因為曾經提出「務實台獨主義者」論述，使得美方迄今仍對他抱有疑慮，因此，黨內正釀醞將蔡英文... , https://udn.com/news/story/6656/6995986?from=udn-ch1_breaknews-1-0-news
2023-02-26 06:23:22 , udn , 【總編開箱】四個堅持若入綱領 賴清德是否告別台獨黨綱 , https://udn.com/news/story/123307/6995986?from=udn-ch1_breaknews-1-0-news
2023-02-26 06:38:22 , udn , 星期人物／來自亞馬遜貧戶 席瓦樹敵無數只為守護雨林 , https://udn.com/news/story/6812/6995948?from=udn-ch1_breaknews-1-0-news
2023-02-26 06:38:32 , udn , 巴西新任環境部長席瓦（Marina Silva）來自偏僻的阿克里州——偏僻到巴西人都戲稱：「阿克里州不存在」。阿克里州位處巴西邊陲，藏身潮濕悶熱的亞馬遜雨林，不少人就算看地圖也找不到阿克里州的位置。 , https://udn.com/news/story/6812/6995948?from=udn-ch1_breaknews-1-0-news
2023-02-26 06:41:32 , udn , 海科館「嬉偶戲」表演 大小朋友布袋戲戲迷重溫舊夢 , https://udn.com/news/story/7328/6996033?from=udn-ch1_breaknews-1-0-news
2023-02-26 06:41:42 , udn , 國立海科館昨天邀河洛坊林銘文帶來的「嬉偶戲」戲偶表演，林銘文以輕鬆有趣的方式，讓小朋友在遊戲中也能經驗傳統文化魅力，基隆... , https://udn.com/news/story/7328/6996033?from=udn-ch1_breaknews-1-0-news
2023-02-26 06:50:31 , udn , 巴布亞紐幾內亞規模6.5強震 暫未傳出災情傷亡 , https://udn.com/news/story/6809/6996032?from=udn-ch1_breaknews-1-0-news
2023-02-26 06:50:41 , udn , 美國地質調查所（U.S. Geological Survey）今天... , https://udn.com/news/story/6809/6996032?from=udn-ch1_breaknews-1-0-news
2023-02-26 07:23:32 , udn , 新北石門9.0度 吳德榮：今仍寒冷 明漸回暖周三晚起再變天 , https://udn.com/news/story/7266/6996037?from=udn-ch1_breaknews-1-0-news
2023-02-26 07:23:42 , udn , 今天仍寒冷，氣象局說，強烈大陸冷氣團影響，北部、東北部及金門、馬祖天氣寒冷，易有10度以下氣溫發生；新北、桃園、新竹及宜... , https://udn.com/news/story/7266/6996037?from=udn-ch1_breaknews-1-0-news
2023-02-26 07:26:29 , udn , ChatGPT話題焦點一次看！「教育、產業」議題引網熱議 , https://udn.com/news/story/123313/6990513?from=udn-ch1_breaknews-1-0-news
2023-02-26 07:26:40 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近兩週內「ChatGPT」相關話題聲量，帶您了解有關ChatGPT的討論聲量以及熱議焦點。 , https://udn.com/news/story/123313/6990513?from=udn-ch1_breaknews-1-0-news
2023-02-26 07:27:00 , udn , 健康的隱形殺手！網議6大「高血壓」症狀需小心！ , https://udn.com/news/story/7266/6990551?from=udn-ch1_breaknews-1-0-news
2023-02-26 07:27:10 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近一年內「高血壓前兆」話題的網路聲量表現，帶您了解有關網友熱議的六大高血壓前兆有哪些。 , https://udn.com/news/story/7266/6990551?from=udn-ch1_breaknews-1-0-news
2023-02-26 07:27:31 , udn , 連假後發布1月景氣燈號 預估亮出第三顆「低迷」藍燈 , https://udn.com/news/story/7238/6995337?from=udn-ch1_breaknews-1-0-news
2023-02-26 07:27:41 , udn , 國發會3月1日將發布今年1月景氣燈號，在出口、外銷數據、工業生產指數皆持續翻黑的衝擊下，預估會亮出第三顆代表「景氣低迷」的藍燈。

國發會主委龔明鑫日前以「像在坐雲霄飛車」來形容今年景氣，他說，今年經濟狀況「起起伏伏」，每月預測都有變化，企業仍要面對一連串的挑戰。他說，一般看來，上半年挑戰較高，企業待年中庫存去化完成後，景氣可能會轉好。 , https://udn.com/news/story/7238/6995337?from=udn-ch1_breaknews-1-0-news
2023-02-26 07:32:30 , udn , IG、FB越滑越不快樂？網友熱議「這些方式」有效改善社群焦慮症狀 , https://udn.com/news/story/7088/6990696?from=udn-ch1_breaknews-1-0-news
2023-02-26 07:32:41 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近一年內「社群焦慮」話題的網路聲量表現，帶您了解網友熱議的社群焦慮改善方式有哪些。 , https://udn.com/news/story/7088/6990696?from=udn-ch1_breaknews-1-0-news
2023-02-26 07:33:01 , udn , 不斷更新／228連假第2天出遊北返潮 注意國道17地雷路段 , https://udn.com/news/story/7266/6996038?from=udn-ch1_breaknews-1-0-news
2023-02-26 07:33:11 , udn , （07:00更新） , https://udn.com/news/story/7266/6996038?from=udn-ch1_breaknews-1-0-news
2023-02-26 07:44:30 , udn , B群不只能提神醒腦 「這些」族群都建議攝取！ , https://udn.com/news/story/7266/6990490?from=udn-ch1_breaknews-1-0-news
2023-02-26 07:44:41 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近六個月內「B群適合族群」相關話題聲量，帶您了解網友熱議的5大適合攝取B群的族群。 , https://udn.com/news/story/7266/6990490?from=udn-ch1_breaknews-1-0-news
2023-02-26 07:45:01 , udn , 冬天就是要泡湯！網議泡湯可以帶來「這些」好處 , https://udn.com/news/story/7266/6993586?from=udn-ch1_breaknews-1-0-news
2023-02-26 07:45:11 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月內「泡湯好處」話題的網路聲量表現，帶您了解網友熱議的五大泡湯好處有哪些。 , https://udn.com/news/story/7266/6993586?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:15:45 , udn , 體操／李智凱世界盃落馬名列第7當磨練 續拚世錦賽積分 , https://udn.com/news/story/7005/6995980?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:15:56 , udn , 睽違8個月重返國際賽場的「鞍馬王子」李智凱在世界盃德國科特布斯站搬出新套路，儘管鞍馬決賽落馬失誤，名列第7，教練林育信依... , https://udn.com/news/story/7005/6995980?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:23:42 , udn , 夫妻首單登北大武 下山時夫回頭跟妻說話跌落懸崖80米 , https://udn.com/news/story/7320/6996046?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:23:52 , udn , 屏東縣消防局昨晚7點多接獲報案，高雄詹姓夫妻單登北大武山，下山途中1.75公里時，59歲詹男回頭跟太太說話時跌落懸崖，消... , https://udn.com/news/story/7320/6996046?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:29:40 , udn , 迎國際郵輪／龐洛郵輪來基隆瞄準高端客 日本跳島賞櫻遊26.5萬賣光 , https://udn.com/news/story/7266/6994940?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:29:50 , udn , 禁郵令解除後，全台各港口也也積極迎接國際郵輪來台，不只高雄港將迎來噸位7萬噸以上、可同時間載運近2000人的名勝世界壹號作為母港，能承運200多人，專門服務高端旅客的龐洛郵輪旗下「日麗號Le Soleal」，今年3月下旬也要以基隆港為母港，帶領來自世界多國的80餘名旅客，加上台灣旅客一共200多人一同上船，走訪獨家且難以抵達的日本南方列島，用探索型的頂級郵輪讓旅客盡享祕境島嶼、櫻花之美。 , https://udn.com/news/story/7266/6994940?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:30:11 , udn , 高裝檢式的官員視察秀 政府說什麼都不缺 但缺的就是良心 , https://udn.com/news/story/6656/6995379?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:30:21 , udn , 最近台灣彷彿罹患了恐「缺」症，從水、電、特定藥品、雞蛋甚至連國道客運都引發百姓恐懼缺乏的憂慮，然而，執政黨官員面對這些問題，依舊是愚民式的解決方案，還沒發生的一律都說不會發生，已經發生的就找盡各種理由解釋「錯都跟我無關」；大官員視察現場不是為了解決問題，而是掩飾問題，小官員面對視察，就是做足表面功夫滿足大官作秀，早年軍方「高裝檢」的陋習竟成為行政體系的SOP，實為全民的悲哀。 , https://udn.com/news/story/6656/6995379?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:30:42 , udn , 「米老鼠學位」拖垮國庫 英國大學就業率低將被迫關門 , https://udn.com/news/story/6885/6995429?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:30:52 , udn , 大學教育曾經是通往高薪職業的少數途徑，但對許多英國畢業生來說，情況已不再如此。學位浮濫情形在英國愈來愈嚴重，還因此衍生出「米老鼠學位」（Mickey Mouse degrees）這般戲謔名詞，即價值低且對學生職業發展毫無用處的科系，讓英國政府不得不出手整頓學店歪風。

英國前高等教育大臣唐內蘭（Michelle Donelan）曾說，以為讓更多學生上大學就可以促進社會流動性的想法是「完全錯誤的」，許多學生背負債務接受高等教育，但所學對他們的就業前景幾乎沒有任何幫助。 , https://udn.com/news/story/6885/6995429?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:31:12 , udn , 孕婦身心舒緩療程精選 全方位舒緩疼痛、緊繃與水腫 , https://udn.com/news/story/7272/6996047?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:31:23 , udn , 隨著孕程的進展，孕媽咪身體的不適感與日俱增！這個時候，不妨為自己預約一場孕媽咪專屬Spa，你會發現，療程後的你，連腳步都變得輕盈起來！ , https://udn.com/news/story/7272/6996047?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:35:41 , udn , 布魯塞爾反戰遊行 數千人上街支持烏克蘭、聲討普亭 , https://udn.com/news/story/122663/6996048?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:35:51 , udn , 細粒冰雹混著雨滴落在布魯塞爾市中心街頭，約5000名各色人種、男女老少頂著風雨呼喊「烏克蘭萬歲」、「停止戰爭」、「恐怖分... , https://udn.com/news/story/122663/6996048?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:44:40 , udn , 一周數位爆報／「月事救星」在日本廁所！三星S23、蘋果iPhone 14低價拋售潮有暗黑原因？iPhone 15新色曝光！ , https://udn.com/news/story/7086/6996006?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:49:53 , udn , （8:15更新） , https://udn.com/news/story/7266/6996038?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:53:40 , udn , 日本台灣學權威若林正丈退休講座 探討台灣來歷 , https://udn.com/news/story/6812/6996054?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:53:50 , udn , 前東京大學教授、早稻田大學名譽教授若林正丈是近數十年來日本研究台灣的重量級學者，昨天在早大舉辦退休講座探討台灣來歷，吸引... , https://udn.com/news/story/6812/6996054?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:54:11 , udn , 怕千萬遺產被抽重稅 兒要父親保險被痛罵「希望我早死嗎？」 , https://udn.com/news/story/121591/6991417?from=udn-ch1_breaknews-1-0-news
2023-02-26 08:54:21 , udn , 談到遺產問題，總是會牽動家族的敏感神經。若是沒有儘早決定，後續恐怕惹上許多麻煩。但如果在當事人往生前處理，又往往會惹得對方不悅。近來在日本，就有這麼一則家庭失和的案例。 , https://udn.com/news/story/121591/6991417?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:11:50 , udn , 免費送料理、優惠1個月！饗泰多、開飯川食堂插旗天母 , https://udn.com/news/story/7270/6996059?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:12:01 , udn , 繼果然匯天母店開幕後，饗賓餐旅旗下的川菜餐廳「開飯川食堂」、泰菜「饗泰多」也已於2月24日接力插旗天母的大葉高島屋，為天... , https://udn.com/news/story/7270/6996059?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:13:22 , udn , 港名媛蔡天鳳疑在車內遇害 後被前夫等抬至屋內肢解 , https://udn.com/news/story/7332/6996057?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:13:32 , udn , 28歲名媛蔡天鳳Abby遭殺害肢解烹屍案，香港警方拘捕4人，包括蔡的前夫、前夫胞兄及其父母。今天（26日）凌晨，警方控告... , https://udn.com/news/story/7332/6996057?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:20:51 , udn , 228連假首日嚴重車禍塞5.5小時 他竟下車刷牙、做體操 , https://udn.com/news/story/7320/6996063?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:21:01 , udn , 昨天228連假首日國道南向各路段從上午就車多壅塞，尤其昨天清晨5時7分國道1號南向285.1公里新營路段，發生2輛聯結車... , https://udn.com/news/story/7320/6996063?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:23:49 , udn , Midjourney也能生成AI女優？ 成人網紅自信嗆：不可能取代我 , https://udn.com/news/story/7088/6994579?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:24:00 , udn , 現在的AI不只能夠聊天、回答問題，還能寫歌詞，不過近期有公司推出情色AI，舉手投足都充滿性感風情，也讓人好奇，是不是就連色情產業都會被AI取代。 , https://udn.com/news/story/7088/6994579?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:26:50 , udn , 照片看歷史／兩倍音速戰機來了 1964年美贈F104強化我空防 , https://udn.com/news/story/7314/6994946?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:27:00 , udn , 一批超過音速兩倍且保持當時世界高度紀錄的F104-G式飛機，1964年2月26日上午在中部空軍基地，由美國軍方交予我空軍使用，這一批飛機將可讓空軍在防衛與作戰能力方面邁進一個新的階段。 , https://udn.com/news/story/7314/6994946?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:27:21 , udn , 從教養中認識、療癒自己！詹宇夫妻正向教養 帶來正向婚姻關係 , https://udn.com/news/story/7272/6996050?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:27:31 , udn , 教養小孩，讓你們夫妻更常吵架，或是感情更好了呢？ , https://udn.com/news/story/7272/6996050?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:35:51 , udn , 影／打詐蘆洲隊動起來！「蘆洲警園」粉專影片教你識破詐騙手段 , https://udn.com/news/story/7320/6996071?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:36:02 , udn , 接續警政署長黃明昭在警廣YouTube頻道推出防詐系列宣講，新北市蘆洲警分局也在臉書粉絲專頁「蘆洲警園」發表5段宣導短片... , https://udn.com/news/story/7320/6996071?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:36:22 , udn , 比預定時間晚3小時 柯文哲再度展現毅力完成一日北高 , https://udn.com/news/story/6656/6996070?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:36:33 , udn , 台灣民眾黨主席柯文哲在228連假再度挑戰「一日北高」行程，準備花18小時從台北騎單車到高雄。柯文哲昨天清晨6點出發，原本... , https://udn.com/news/story/6656/6996070?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:36:53 , udn , 公警犬路邊撿到「走失老婆」半拖半拉硬牽回警局：跟哥走就對了！ , https://udn.com/news/story/7470/6993417?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:37:03 , udn , 民眾如果撿到走失的毛小孩，通常會交給附近動保團體或是警方處理。近日河南淅川，卻是有警犬撿到了走失狗狗，並超級熱情地帶著牠回警局。 , https://udn.com/news/story/7470/6993417?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:37:24 , udn , 氣溫驟降心肌梗塞風險增 醫師這樣提醒 , https://udn.com/news/story/7266/6996069?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:37:34 , udn , 連日來冷氣團來襲氣溫驟降，令人感到身體不適或易感冒，醫師表示，若有抽菸、酗酒者，更易增加心肌梗塞風險，建議除注意保暖外，... , https://udn.com/news/story/7266/6996069?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:44:38 , udn , 美媒記者登美巡邏機飛南海 親身體驗共軍戰機抵近警告 , https://udn.com/news/story/6809/6996073?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:44:49 , udn , 中美在南海的對抗日益激烈。美媒報導，美軍P-8巡邏機24日在南海上空與解放軍殲-11戰機近距離接觸，被中方戰機警告。在返... , https://udn.com/news/story/6809/6996073?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:50:50 , udn , 一日北高耐力過人柯粉勸進選總統 高呼：台灣的選擇柯文哲 , https://udn.com/news/story/6656/6996079?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:51:01 , udn , 台北市前巿長柯文哲、前副市長黃珊珊，昨天挑戰卸任後騎自行車一日北高，清晨6點從台北關渡宮出發，比預定時間晚整整3小時，今... , https://udn.com/news/story/6656/6996079?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:52:12 , udn , 港名媛蔡天鳳亡後 上億遺產成下一個關注焦點 , https://udn.com/news/story/7332/6996061?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:52:22 , udn , 香港時裝界名媛蔡天鳳（Abby）遭碎屍案，她的龐大遺產如何繼承成為下一個問題。港媒引述香港律師稱，Abby離異後與譚仔太... , https://udn.com/news/story/7332/6996061?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:59:41 , udn , 疑4000年前遺址物件 永康公園遊戲場延至年底前完工 , https://udn.com/news/story/7323/6996084?from=udn-ch1_breaknews-1-0-news
2023-02-26 09:59:51 , udn , 施工中的台南永康公園特色遊戲場，因發現疑4000年前網寮遺址物件，去年9月緊急停工迄今，上月提送試掘計畫書及施工監看計畫... , https://udn.com/news/story/7323/6996084?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:00:11 , udn , 台東市垃圾掩埋場凌晨失火 一夜強風助燃 煙臭陣陣仍在燒 , https://udn.com/news/story/7320/6996083?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:00:22 , udn , 台東市垃圾掩埋場今天凌晨不明原因起火燃燒，由於風勢強勁，垃圾山大火越燒越旺、濃煙沖天還有一陣陣臭味，因周邊水源不足，消防... , https://udn.com/news/story/7320/6996083?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:00:42 , udn , 諷刺漫畫呆伯特作者涉種族仇恨 遭華郵等媒體停刊 , https://udn.com/news/story/6812/6996077?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:00:52 , udn , 由於著名的職場諷刺漫畫「呆伯特」作者亞當斯指稱非裔美國人為「仇恨團體」，並認為白人應該「離這群人遠點」後，華盛頓郵報等多... , https://udn.com/news/story/6812/6996077?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:01:13 , udn , 代蔣萬安出訪 「川伯」李四川今赴日參加永續高峰會 , https://udn.com/news/story/6656/6996082?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:01:23 , udn , 台北市副市長李四川今上午代表市長蔣萬安前往日本，出席全球城市網絡永續高峰會，並與東京都知事小池百合子會面交流。李四川表示... , https://udn.com/news/story/6656/6996082?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:01:44 , udn , 潛艇軼史／深海潛艦殘骸身分驗證 當年擊沉日軍最強航艦還不自知 , https://udn.com/news/story/10930/6991070?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:01:54 , udn , 日本東京大學研究團隊，去年5月在北海道函館附近海底，發現疑似二次大戰美軍潛艦殘骸。美國海軍歷史與遺產指揮部（NHHC）歷經數月分析比對，2023年2月16日宣布，確認是青花魚號（USS Albacore，SS-218）。青花魚號1944年10月前往日本水域執行伏擊任務，就此失蹤，全船85名官兵殉職。 , https://udn.com/news/story/10930/6991070?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:02:14 , udn , 新北消防局長黃德清遭爆婚外情 市府：已請辭獲准 , https://udn.com/news/story/7323/6996078?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:02:25 , udn , 新北市消防局長黃德清今天遭媒體爆料涉及外遇，由於自覺影響市府形象向市長侯友宜請辭獲准。市府發言人張愛晶今天上午證實黃德清... , https://udn.com/news/story/7323/6996078?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:08:29 , udn , 與去年峇里島峰會立場不同  陸反對G20財長會議發表譴責俄國聯合聲明 , https://udn.com/news/story/6809/6996089?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:08:40 , udn , 在印度班加羅爾舉行的20國集團（G20)財長會議，因俄羅斯和中國反對會後聲明譴責俄羅斯入侵烏克蘭的用辭，25日未發表會後... , https://udn.com/news/story/6809/6996089?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:11:39 , udn , 蔡總統四個堅持擬入民進黨綱 綠委肯定：國人認同價值 , https://udn.com/news/story/6656/6996097?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:11:49 , udn , 副總統賴清德代表民進黨角逐2024年總統幾乎定於一尊，傳出為了化解美方的疑慮，賴清德陣營近期已經有私下討論，想要將蔡英文... , https://udn.com/news/story/6656/6996097?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:12:09 , udn , 拍性私密片被2好友發現 偷下載觀看LINE分享判2年緩刑 , https://udn.com/news/story/7320/6996093?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:12:20 , udn , 蔡姓、陳姓青年日前到友人大明（化名）台東市租屋處，發現大明電腦有他的性行為影片，隨即將該影片改存其Google雲端硬碟，... , https://udn.com/news/story/7320/6996093?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:12:40 , udn , 兄為爭5千坪農地欺弟 律師妙計讓簽下名的合約無效 , https://udn.com/news/story/121484/6990408?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:12:50 , udn , 經過二十年後，意想不到的事情發生了。金榮學名下的稻田及周邊地區被指定為待開發區，由政府徵收後，會給予一百億韓元左右的補償金。對於務農了一輩子的金榮學來說，好比天上掉下一筆橫財。 , https://udn.com/news/story/121484/6990408?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:13:11 , udn , 影／太平山氣溫驟降零度結冰了 樹梢枝葉小冰珠好可愛 , https://udn.com/news/story/7266/6996091?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:13:21 , udn , 太平山國家森林遊樂區今天的氣溫降到零度，部分迎風面樹梢的枝葉有霧凇及結冰情形，觀景大平台及木棧板設施也有部分結冰，吸迎民... , https://udn.com/news/story/7266/6996091?from=udn-ch1_breaknews-1-0-news
2023-02-26 10:13:42 , udn , 高雄小吃部7酒客口角釀衝突 1人掛彩警意外逮通緝犯 , https://udn.com/news/story/7320/6996090?from=udn-ch1_breaknews-1-0-news
