2023-05-07 00:27:01 , udn , 中一中再惹議！匿名版驚見「納粹」符號 校方深夜止火 , https://udn.com/news/story/6898/7147745?from=udn-ch1_breaknews-1-0-news
2023-05-07 07:33:32 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月內「預防大腸癌」話題的網路聲量表現，帶您了解網友熱議的四個預防大腸癌好習慣。 , https://udn.com/news/story/7266/7144485?from=udn-ch1_breaknews-1-0-news
2023-05-07 07:33:53 , udn , 耳朵嗡嗡叫不停？小心是「這些」原因造成耳鳴！ , https://udn.com/news/story/7266/7144678?from=udn-ch1_breaknews-1-0-news
2023-05-07 07:34:03 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近六個月內「耳鳴原因」話題的網路聲量表現，帶您了解網友熱議的七大耳鳴原因排行。 , https://udn.com/news/story/7266/7144678?from=udn-ch1_breaknews-1-0-news
2023-05-07 07:48:24 , udn , 技職有藍天 美容保健就業夯有人單日進帳逾4萬 , https://udn.com/news/story/7326/7147846?from=udn-ch1_breaknews-1-0-news
2023-05-07 07:48:35 , udn , 台南柳營敏惠醫專美容保健科專四學生，下學期將展開為期1年實習，除全部均為有酬實習，有些更比照正職待遇，月薪含加薪逾4萬多... , https://udn.com/news/story/7326/7147846?from=udn-ch1_breaknews-1-0-news
2023-05-07 07:48:56 , udn , 基隆學校、路口46條綠色斑馬線會發亮 將擴大畫設範圍 , https://udn.com/news/story/7328/7147845?from=udn-ch1_breaknews-1-0-news
2023-05-07 07:49:06 , udn , 基隆市政府推動「行人友善」政策，規畫增設「綠色斑馬線」的綠底行人穿越道，家長認為提升學生安全性，晚上還會發亮。市府交通處... , https://udn.com/news/story/7328/7147845?from=udn-ch1_breaknews-1-0-news
2023-05-07 07:51:22 , udn , 台中丸東商號魚丸賣一送一 「為母祈福」連13年所得全捐弱勢 , https://udn.com/news/story/7325/7147847?from=udn-ch1_breaknews-1-0-news
2023-05-07 07:51:32 , udn , 台中市第五市場丸東商號連續13年都在母親節前夕舉辦「千斤魚丸買一送一」活動，今年5月8日上午9點開賣，販賣所得全數捐給十... , https://udn.com/news/story/7325/7147847?from=udn-ch1_breaknews-1-0-news
2023-05-07 07:57:13 , udn , 星宇航空旅客睡航廈「滿地睡袋」畫面曝光 張國煒現身 , https://udn.com/news/story/7270/7147848?from=udn-ch1_breaknews-1-0-news
2023-05-07 07:57:24 , udn , 星宇航空昨日本航班接連出狀況，甚至造成旅客在航廈過夜。PTT網友紛紛貼出旅客在航廈席地而睡的畫面，只見滿地睡袋，相當狼狽... , https://udn.com/news/story/7270/7147848?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:18:23 , udn , 台74線清晨重大車禍 轎車自撞水泥護欄2人當場死亡 , https://udn.com/news/story/7320/7147852?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:18:33 , udn , 台74線14.6K崇德松竹段在今天清晨5時許，發生一起轎車自撞水泥護欄的車禍，救護車到場時，車內的乘客、駕駛都已無呼吸心... , https://udn.com/news/story/7320/7147852?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:19:00 , udn , 才閃賣大砍持股 股神巴菲特又在股東會上大讚台積電 , https://udn.com/news/story/6811/7147817?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:27:24 , udn , 新臺馬輪啟航／臺馬輪乘載馬祖人出航返鄉情懷 服役26年功成身退 , https://udn.com/news/story/7266/7145019?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:27:35 , udn , 建於1985年的臺馬輪，原本營運於日本內海航線，在投入台馬島際交通後，又服役長達26年。對早年僅能靠船隻進出的馬祖人來說，臺馬輪乘載著他們多年來離鄉背井、返鄉心切的故事。2015年臺馬之星加入後，雖然分擔了臺馬輪的運力，但馬祖人對於臺馬輪複雜的情感，是每個人都有說不完的故事。 , https://udn.com/news/story/7266/7145019?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:27:55 , udn , 雙輸教授／國科會補助仍救不了低薪 台大教授為3倍薪跳槽台積電 , https://udn.com/news/story/6928/7147351?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:28:06 , udn , 台大某個理工領域系所，去年初至今已有三名教師「跳槽」，其中一人是拿到國科會愛因斯坦計畫的優秀學者，仍為了三倍薪資「跳」到台積電。他對台灣學術界未來感到悲觀，博士生的質跟量都不太夠，很難做比較有挑戰性的東西；國立陽明交通大學電機系教授劉建男感嘆，他帶的碩士生一畢業起薪加獎金就比他的薪水高，博士生一畢業月薪就超過他。有大學教授甚至說，教育部「全國不分區域不分科系教授均一價」，比大陸還「中央集權」。 , https://udn.com/news/story/6928/7147351?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:28:26 , udn , 侯友宜協調立委初選黨內立威 郭台銘恐輸在沒主場優勢 , https://udn.com/news/story/6656/7147106?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:28:37 , udn , 新北市長侯友宜再出手協調國民黨內初選，化解台北港湖雙姝大戰，原準備爭取提名的台北市議員游淑慧確定退出，禮讓同選區市議員李彥秀。侯友宜近期主動參與國民黨選務協調，一改過去「歲月靜好」作風，拉近與國民黨同志間的「遙遠距離」，顯然已準備好扮演最強母雞攻取2024大位。 , https://udn.com/news/story/6656/7147106?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:28:58 , udn , 健康來得及／預防心臟病該怎麼吃？生酮飲食最無益 專家教最強飲食法 , https://udn.com/news/story/7266/7131614?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:29:08 , udn , 健康飲食法百百種，但哪種飲食最能對付死亡頭號殺手「心臟病」？營養專家對全球十大流行飲食進行排名，結果發現「得舒飲食（DASH Diet）」最有益心臟健康，而最廣為流行的「生酮飲食」和「原始人飲食法」則最無益於心臟健康，你吃對了嗎？ , https://udn.com/news/story/7266/7131614?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:33:34 , udn , 來一趟加州西岸之旅！路易威登全新Pacific Chill香水 , https://udn.com/news/story/7270/7147856?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:33:44 , udn , 每一款路易威登（Louis Vuitton，簡稱LV）Cologne Perfumes系列都蘊藏著遠離塵世、若有似無的果... , https://udn.com/news/story/7270/7147856?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:36:34 , udn , 一張圖看「腰帶雨型」 鄭明典：這是鋒面前的雨 已經有梅雨特徵 , https://udn.com/news/story/7266/7147857?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:36:45 , udn , 梅雨季第一波鋒面今天通過台灣，中央氣象局長鄭明典在臉書表示，出現腰帶雨型，地面北風中午才到台灣北端，這是鋒面前的雨，已經... , https://udn.com/news/story/7266/7147857?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:42:33 , udn , 媽媽的骨灰罈他藏後背包13年 苗栗官民協助她進塔 , https://udn.com/news/story/7324/7147860?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:42:44 , udn , 謝姓街友無力幫媽媽骨灰罈買塔位，13年來隨身攜帶從新北市流浪到苗栗縣，縣政府接獲通報，介入並與民間單位協力，最近幫助骨灰... , https://udn.com/news/story/7324/7147860?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:43:04 , udn , AI教父：人工智慧對人類的威脅「比氣候變遷更急迫」 , https://udn.com/news/story/6811/7147861?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:43:15 , udn , 有「AI教父」之稱的辛頓(Geoffrey Hinton)接受路透訪問表示，人工智慧(AI)對人類的威脅比氣候變遷「更急... , https://udn.com/news/story/6811/7147861?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:43:35 , udn , 法記者疫情溯源指實驗室外洩 批中國操控欺瞞世界 , https://udn.com/news/story/6809/7147854?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:43:46 , udn , 法國調查記者佛洛赫斯新書以3年時間專訪各國專家學者，追溯COVID-19疫情源頭，目前線索皆傾向實驗室外洩。他告訴中央社... , https://udn.com/news/story/6809/7147854?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:44:07 , udn , 獨／小抹香鯨送回大海志工歡送 苗栗擱淺基隆救援成功 , https://udn.com/news/story/7328/7147859?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:44:17 , udn , 一隻活體小抹香鯨擱淺昨天在苗栗出水里沙灘擱淺，後送基隆八斗子岸置中心搶救中，抵達時動物狀況尚穩定，志工徹夜搶救照料，狀況... , https://udn.com/news/story/7328/7147859?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:45:32 , udn , 北市18間學校營養午餐喊漲 議員籲市府應補助 , https://udn.com/news/story/7323/7147862?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:45:42 , udn , 近來物價持續上漲，也反映在營養午餐的成本上，截至4月北市已有18間學校確定將調漲下學年營養午餐價格，一餐約漲3至10元不... , https://udn.com/news/story/7323/7147862?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:48:21 , udn , NBA／士官長回歸！ 巴特勒率熱火痛宰尼克系列賽2：1領先 , https://udn.com/news/story/7002/7147858?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:48:32 , udn , 邁阿密熱火隊「士官長」巴特勒（Jimmy Butler）今天傷癒復出，率全隊以105比86在主場擊敗紐約尼克隊，在美國職... , https://udn.com/news/story/7002/7147858?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:48:52 , udn , 高雄舊市議會都更活化 市府下月和台灣人壽簽約 , https://udn.com/news/story/7327/7147863?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:49:03 , udn , 高雄市議會舊址有56年歷史，議事廳是歷史建物，7年前教育局搬離後閒置迄今，市府活化總算有新進展，文化局長前天在議會做單位... , https://udn.com/news/story/7327/7147863?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:54:33 , udn , MLB／終於見偶像 吉田正尚收哈波實戰球棒：我的寶物 , https://udn.com/news/story/6999/7147865?from=udn-ch1_breaknews-1-0-news
2023-05-07 08:54:43 , udn , 作為哈波（Bryce Harper）狂粉，今年赴美加盟紅襪隊的吉田正尚終於與偶像相見歡，還收到哈波致贈的去年國聯冠軍戰實... , https://udn.com/news/story/6999/7147865?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:03:33 , udn , 影／溯溪團屏東霧台飛龍瀑布男墜落受傷 消防漏夜救援 , https://udn.com/news/story/7320/7147871?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:03:44 , udn , 屏東縣消防局昨晚間7點多接獲報案，溯溪團在霧台鄉大武村的飛龍瀑布溪降，男子摔傷，請求協助，消防局出動5車13人前往，墜落... , https://udn.com/news/story/7320/7147871?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:04:04 , udn , 農曆3月運勢(下)／狗脫單有望、鼠怕破財！兩生肖「管好嘴巴」 , https://udn.com/news/story/7268/7147011?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:04:15 , udn , 命理師湯鎮瑋老師分享影片「十二生肖5/6-6/5（農曆三月）鼠、牛、龍、猴、雞、狗運勢要注意」，分享各生肖這段期間該注意哪些事情。這邊說的「農曆三月」，是依照二十四節氣的交接點，而非一般農曆，從「節點」來看，因此農曆三月的時間點是從國曆5月6日（立夏）到國曆6月5日。 , https://udn.com/news/story/7268/7147011?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:11:45 , udn , 台74線清晨重大車禍 特斯拉Model Y自撞水泥護欄2人當場死亡 , https://udn.com/news/story/7320/7147852?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:12:32 , udn , 台中海線道路門牌整編 居民：我家在 GoogleMaps上消失了 , https://udn.com/news/story/7325/7147874?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:12:42 , udn , 台中市海線地區許多道路經過整編及房屋門牌變更後，將地址輸進谷歌地圖搜尋定位的結果，卻和實際的位置有很大差距。市議員李文傑... , https://udn.com/news/story/7325/7147874?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:13:03 , udn , 澎湖縣大雷雨 氣象局：慎防劇烈降雨雷擊 , https://udn.com/news/story/7266/7147873?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:13:14 , udn , 中央氣象局上午8時39分發布澎湖縣大雷雨即時訊息，持續時間至上午9時15分；慎防劇烈降雨、雷擊，以及低能見度。 , https://udn.com/news/story/7266/7147873?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:18:31 , udn , 中部昨晚至今晨持續降雨 3水庫預估可有百萬噸進水效益 , https://udn.com/news/story/7324/7147877?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:18:42 , udn , 中部地區昨晚下雨了，雨勢至今晨仍持續，且雷聲不斷。水利署中區水資源局上午統計出昨晚7時至上午各水庫的降雨和進水量，總體而... , https://udn.com/news/story/7324/7147877?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:24:31 , udn , 喀土穆頻遭空襲 蘇丹交戰雙方將於沙國直接對話 , https://udn.com/news/story/6809/7147868?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:24:42 , udn , 隨著蘇丹戰事進入第4週，首都喀土穆（Khartoum）今天遭遇多次空襲，而再短短幾小時，對戰各方即將於沙烏地阿拉伯舉行首... , https://udn.com/news/story/6809/7147868?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:25:02 , udn , 港湖雙姝大戰高嘉瑜反擊 李彥秀再轟：連回嘴都像在說夢話 , https://udn.com/news/story/6656/7147878?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:25:13 , udn , 台北市內湖托嬰中心爆虐童，引爆港湖選戰，國民黨議員李彥秀批民進黨立委高嘉瑜還在睡。高昨反擊，她在2019年就要求市府將監... , https://udn.com/news/story/6656/7147878?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:30:33 , udn , 梅雨季首波鋒面影響 7縣市大雨特報 , https://udn.com/news/story/7266/7147884?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:30:43 , udn , 梅雨季首波鋒面今天通過台灣，中央氣象局發布苗栗縣、台中市、彰化縣、南投縣、花蓮縣山區、澎湖縣、金門地區大雨特報，鋒面影響... , https://udn.com/news/story/7266/7147884?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:31:04 , udn , 照片看歷史／1966年母獅餵養不了小獅子 狗媽媽救援當奶媽 , https://udn.com/news/story/7314/7147080?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:31:14 , udn , 1966年5月7日，台北市立圓山動物園的母獅「阿蘭」產後奶水不足，動物園特別準備肉雞讓阿蘭進補，阿蘭產下的小獅子只能暫時先吃奶瓶的牛奶或狗奶代替。

母獅阿蘭是1961年日本矢野馬戲團來台表演時，由其中一頭母獅生下，由於馬戲團不便處理，該團就把牠送給圓山動物園。阿蘭的身體十分嬌弱，只有60公斤，牠的另一半、公獅強養則有120公斤。阿蘭在5月4日生下了小獅子，是台灣光復後第一隻在圓山動物園內產子的獅子。 , https://udn.com/news/story/7314/7147080?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:36:32 , udn , MLB／紅雀花26億買捕手但不給他蹲了 康崔拉斯：我只是員工 , https://udn.com/news/story/6999/7147885?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:36:43 , udn , 球季才打了一個多月，國聯最爛球隊紅雀隊為了搶救戰績，決定將剛以5年8750萬美元（約台幣26.8億）簽下的捕手康崔拉斯（... , https://udn.com/news/story/6999/7147885?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:48:30 , udn , 前立委鄭寶清妻走在斑馬線被撞 鄭嘆：真是行人地獄 , https://udn.com/news/story/7321/7147891?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:48:41 , udn , 民進黨前立委鄭寶清的妻子莊儒蓮，昨晚間行走在桃園市斑馬線上時，被一名女駕駛當場撞斷左大腿，鄭寶清受訪表示，妻子當時是綠燈... , https://udn.com/news/story/7321/7147891?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:49:02 , udn , 印度東北短短幾天釀20死 政府調查部落衝突 , https://udn.com/news/story/6809/7147888?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:49:12 , udn , 印度官員表示，東北部省分曼尼普爾（Manipur）當局正在調查過去幾天18人至20人的死亡事件，是否與部落與非部落族群近... , https://udn.com/news/story/6809/7147888?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:57:20 , udn , 彰中、建中臉書匿名版也淪陷？ 「納粹」符號貼文連環爆 , https://udn.com/news/story/6898/7147900?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:57:31 , udn , 台中一中園遊會事件爭議未平，昨晚再有人於臉書「靠北中一中十點零」，以符號拼湊成「納粹」，疑似審查文章機制失靈，再度引發網... , https://udn.com/news/story/6898/7147900?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:57:52 , udn , 陸軍下士肇事釀2死1重傷 疑營外兼差放貸軍方要查了 , https://udn.com/news/story/7321/7147898?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:58:02 , udn , 陸軍裝甲564旅陳姓下士昨天上午開車失控打滑撞對向轎車，再撞飛兩輛機車，造成2死1重傷慘劇，事發當下陳男態度淡定在旁抽「... , https://udn.com/news/story/7321/7147898?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:58:23 , udn , 8歲男童求助警 他在東豐自行車道騎車騎太快與家人失散 , https://udn.com/news/story/7320/7147897?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:58:33 , udn , 一名8歲男童昨天與家人到台中市東豐自行車道騎自行車，他騎太快與家人失散，自己走進派出所求助，東勢警分局石岡分駐所員警幫他... , https://udn.com/news/story/7320/7147897?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:58:54 , udn , 影／國1橋頭段大卡車擦撞轎車 高雄男險與死神擦身而過 , https://udn.com/news/story/7320/7147896?from=udn-ch1_breaknews-1-0-news
2023-05-07 09:59:04 , udn , 高雄日前45歲楊姓男子駕駛轎車行經國道一號橋頭段時，一旁營半聯貨櫃車自中線變換車道，不慎擦撞楊男轎車，造成楊男失控打轉，... , https://udn.com/news/story/7320/7147896?from=udn-ch1_breaknews-1-0-news
2023-05-07 10:03:20 , udn , 房地飇漲 台中59處公有房地閒置 不乏黃金地段不用可惜 , https://udn.com/news/story/7325/7147907?from=udn-ch1_breaknews-1-0-news
2023-05-07 10:03:31 , udn , 台中市目前解除59處列管的公有閒置或低度利用房地，市議員張瀞分認為，房地產價格飆漲，市府應加速清查，也可以建置整合平台，... , https://udn.com/news/story/7325/7147907?from=udn-ch1_breaknews-1-0-news
2023-05-07 10:03:51 , udn , 邀試乘腳踏車卻伸鹹豬手 兩女哭著回家告性騷擾 , https://udn.com/news/story/7321/7147905?from=udn-ch1_breaknews-1-0-news
2023-05-07 10:04:02 , udn , 一名60歲男子在新竹地區一間自行車行擔任銷售員，去年6月兩名女學生到車行購買腳踏車，男子竟假借試乘之意伸出鹹豬手撫摸兩女... , https://udn.com/news/story/7321/7147905?from=udn-ch1_breaknews-1-0-news
2023-05-07 10:04:23 , udn , 英媒：英王查理加冕大典威廉和凱特竟遲到 比父親更晚步入教堂 , https://udn.com/news/story/6809/7147906?from=udn-ch1_breaknews-1-0-news
2023-05-07 10:04:33 , udn , 英國每日郵報報導，英國國王查理三世(Charles III)的加冕典禮6日在西敏寺大教堂舉行，他的長子、王位繼承人威廉王... , https://udn.com/news/story/6809/7147906?from=udn-ch1_breaknews-1-0-news
2023-05-07 10:04:54 , udn , 小抹香鯨擱淺 檢查有潛在疾病 今早急出海野放原因揭曉 , https://udn.com/news/story/7328/7147904?from=udn-ch1_breaknews-1-0-news
2023-05-07 10:05:04 , udn , 在苗栗苑裡沙灘擱淺的小抹香鯨，昨天下午被送到基隆八斗子漁港的鯨豚救傷站，血液檢查顯示有潛在疾病，但保育團隊考量牠對聲、光... , https://udn.com/news/story/7328/7147904?from=udn-ch1_breaknews-1-0-news
2023-05-07 10:05:25 , udn , MLB／教士贏球在大螢幕放他的哭臉惹議 克蕭：我不咬餌 , https://udn.com/news/story/6999/7147902?from=udn-ch1_breaknews-1-0-news
2023-05-07 10:05:36 , udn , 道奇、教士正在聖地牙哥進行3連戰，昨天教士以5：2在系列賽旗開得勝後，先因大螢幕打上克蕭（Clayton Kershew... , https://udn.com/news/story/6999/7147902?from=udn-ch1_breaknews-1-0-news
2023-05-07 10:05:56 , udn , 老虎寶寶霸氣嘶吼卻成「菸嗓小貓嘶嘶叫」網笑翻：這是要萌死人不是嚇唬人吧？ , https://udn.com/news/story/7470/7147899?from=udn-ch1_breaknews-1-0-news
2023-05-07 10:06:07 , udn , 老虎是令人畏懼的凶猛動物，但老虎寶寶卻像大貓一樣可愛。一隻動物園的小老虎已有猛獸的架勢不斷嘶吼，卻因年紀幼小，叫聲一點都不駭人反而讓人覺得很萌。 , https://udn.com/news/story/7470/7147899?from=udn-ch1_breaknews-1-0-news
