2023-04-04 00:02:29 , udn , 滿額送安妮亞筆記本！壽司郎×間諜家家酒　第二波開跑 , https://udn.com/news/story/7270/7075557?from=udn-ch1_breaknews-1-0-news
2023-04-04 01:53:30 , udn , 總統蔡英文今天與貝里斯總理布里仙紐共同見證，由外交部長吳釗燮及貝里斯外交部長柯特尼（Eamon Courtenay）共同... , https://udn.com/news/story/123444/7075645?from=udn-ch1_breaknews-1-0-news
2023-04-04 01:56:23 , udn , 清明公墓、景點車流多 高市交通局：預測車流不塞車 , https://udn.com/news/story/7266/7075541?from=udn-ch1_breaknews-1-0-news
2023-04-04 02:23:30 , udn , 國3北向屏東縣九如路段深夜傳事故 全線交通中斷 , https://udn.com/news/story/7320/7075657?from=udn-ch1_breaknews-1-0-news
2023-04-04 02:23:41 , udn , 國道3號北向392.6k屏東縣九如路段今深夜0時41分發生事故，目前所有車道交通中斷，回堵1公里，拖吊現場排除處理中，是... , https://udn.com/news/story/7320/7075657?from=udn-ch1_breaknews-1-0-news
2023-04-04 03:26:22 , udn , 貝里斯演說 蔡英文：有些國家試圖破壞但我們緊密相連 , https://udn.com/news/story/123444/7075667?from=udn-ch1_breaknews-1-0-news
2023-04-04 03:26:32 , udn , 蔡英文總統訪問邦交國貝里斯進入第二天，今天前往位於首都貝爾墨潘的國會發表演說。貝里斯總理布里先鈕先致歡迎詞，隨後蔡總統演... , https://udn.com/news/story/123444/7075667?from=udn-ch1_breaknews-1-0-news
2023-04-04 03:26:53 , udn , 科學人雜誌險熄燈  募資轉型找孫維新當總編輯 , https://udn.com/news/story/7266/7075666?from=udn-ch1_breaknews-1-0-news
2023-04-04 03:27:03 , udn , 「科學人」雜誌去年面臨營運困境一度喊停，最後由大江生醫集團與貝殼放大群眾顧問公司共同注資，和遠流出版一起成立台灣科學人公... , https://udn.com/news/story/7266/7075666?from=udn-ch1_breaknews-1-0-news
2023-04-04 03:32:54 , udn , 科學人雜誌險熄燈 募資轉型找孫維新當總編輯 , https://udn.com/news/story/7266/7075666?from=udn-ch1_breaknews-1-0-news
2023-04-04 03:50:23 , udn , 蔡總統見證台貝外長簽署技術合作協定、送5000台筆電 , https://udn.com/news/story/123444/7075669?from=udn-ch1_breaknews-1-0-news
2023-04-04 03:50:33 , udn , 蔡英文總統訪問邦交國貝里斯進入第二天，今天見證兩國外長簽署技術合作協定，並舉行贈交5000台筆電儀式。蔡總統致詞時表示，... , https://udn.com/news/story/123444/7075669?from=udn-ch1_breaknews-1-0-news
2023-04-04 03:53:22 , udn , 蔡麥會晤在即 白宮：強烈敦促北京別反應過度 , https://udn.com/news/story/123444/7075670?from=udn-ch1_breaknews-1-0-news
2023-04-04 03:53:32 , udn , 蔡英文總統將於美國時間5日會晤美國聯邦眾議院議長麥卡錫（Kevin McCarthy）與跨黨派議員；白宮國安會戰略溝通協... , https://udn.com/news/story/123444/7075670?from=udn-ch1_breaknews-1-0-news
2023-04-04 04:17:23 , udn , 單身收養2大考驗太難 5年僅31人圓夢 , https://udn.com/news/story/7314/7075602?from=udn-ch1_breaknews-1-0-news
2023-04-04 04:17:33 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看單身收養為何關卡重重，很難圓夢。 , https://udn.com/news/story/7314/7075602?from=udn-ch1_breaknews-1-0-news
2023-04-04 05:06:05 , udn , 備受外界關注的蔡英文總統與美國聯邦眾議院議長麥卡錫（Kevin McCarthy）會晤，終於在麥卡錫辦公室3日發布採訪通知後確認... , https://udn.com/news/story/123444/7075670?from=udn-ch1_breaknews-1-0-news
2023-04-04 05:26:21 , udn , 馬英九走出一中各表新道路 總統候選人如何接招 , https://udn.com/news/story/6656/7075624?from=udn-ch1_breaknews-1-0-news
2023-04-04 05:26:31 , udn , 馬英九前總統赴陸祭祖參訪，談到中華民國主權範圍包含台灣地區和中國大陸地區，未見大陸官方否認與批評，具體展現「九二共識、一中各表」的可實現性，粉碎民進黨所謂「九二共識等於一國兩制」的反中宣傳。兩岸關係急凍8年，當馬英九走出兩岸交流「新道路」，藍綠白總統候選人如何因應，攸關選民如何看待。 , https://udn.com/news/story/6656/7075624?from=udn-ch1_breaknews-1-0-news
2023-04-04 05:50:56 , udn , 無視油國減產 史指連升四日 , https://udn.com/news/story/6811/7075695?from=udn-ch1_breaknews-1-0-news
2023-04-04 05:51:07 , udn , 道瓊工業平均指數收漲逾300點，雖然OPEC+減產可能引發通膨和經濟衰退擔憂，但華爾街展表出韌性。 , https://udn.com/news/story/6811/7075695?from=udn-ch1_breaknews-1-0-news
2023-04-04 06:17:21 , udn , 俄沙聯手促成OPEC+原油減產 美攔得住通膨巨獸？ , https://udn.com/news/story/7314/7075635?from=udn-ch1_breaknews-1-0-news
2023-04-04 06:17:32 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看石油輸出國組織與夥伴國（OPEC+）宣布從5月起減產，為何引發全球風暴。 , https://udn.com/news/story/7314/7075635?from=udn-ch1_breaknews-1-0-news
2023-04-04 06:38:42 , udn , 遺失物怪事多 開箱驚見情色 外套跨縣市流浪找失主 , https://udn.com/news/story/7266/7075628?from=udn-ch1_breaknews-1-0-news
2023-04-04 06:38:52 , udn , 警方每年處理的遺失物眾多，其中不少「奇特物品」讓見多識廣的警察人員咋舌，有人撿到鑽石發了筆小財，有人拾獲整箱情色片，頓時臉紅心跳；也有員警受理拾獲現金案卻暗槓鈔票繳卡費，吃上官司。 , https://udn.com/news/story/7266/7075628?from=udn-ch1_breaknews-1-0-news
2023-04-04 06:39:13 , udn , 今、明「暖熱如夏」上看35度 下周不排除首颱生成機率 , https://udn.com/news/story/7266/7075718?from=udn-ch1_breaknews-1-0-news
2023-04-04 06:39:23 , udn , 中央大學大氣科學系兼任副教授吳德榮在「三立準氣象．老大洩天機」專欄表示表示，今、明(4、5日)兩天各地白天「暖熱如夏」，... , https://udn.com/news/story/7266/7075718?from=udn-ch1_breaknews-1-0-news
2023-04-04 07:35:31 , udn , 高雄地震規模3.7 最大震度3級 , https://udn.com/news/story/7266/7075731?from=udn-ch1_breaknews-1-0-news
2023-04-04 07:35:42 , udn , 根據中央氣象局最新資訊，今天6時36分發生芮氏規模3.7地震，地震深度5.0公里，震央位於高雄市政府東北方74.8公里（... , https://udn.com/news/story/7266/7075731?from=udn-ch1_breaknews-1-0-news
2023-04-04 07:36:02 , udn , 泰托姆飆2185分卻無緣得分王 規則是否該修改了？ , https://udn.com/news/story/122629/7074977?from=udn-ch1_breaknews-1-0-news
2023-04-04 07:36:13 , udn , 波士頓塞爾蒂克隊本季戰績一路長虹，陣中主力泰托姆（Jayson Tatum）居功厥偉，他與布朗（Jaylen Brown）的雙槍組合進攻無往不利。在2022-23球季泰托姆已累積2185分位居榜首，布 , https://udn.com/news/story/122629/7074977?from=udn-ch1_breaknews-1-0-news
2023-04-04 07:36:34 , udn , 日職／新秀扛先發狂飆157公里 山下舜平大讓人驚艷 , https://udn.com/news/story/122629/7074935?from=udn-ch1_breaknews-1-0-news
2023-04-04 07:36:44 , udn , 日職在上週正式開幕，如同往年一樣，有多位一軍尚未有出賽紀錄或者是去年剛選進來的新人，因為在春訓有好表現而進入到開幕名單中，其中也已有多名年輕新秀投手在開幕首週期間的生涯初登板時投出不錯的內容，讓人留下 , https://udn.com/news/story/122629/7074935?from=udn-ch1_breaknews-1-0-news
2023-04-04 07:37:04 , udn , 力抗國外兒童節目文化入侵 富邦用「兒童視角」打造台灣本土認同 , https://udn.com/news/story/7238/7074532?from=udn-ch1_breaknews-1-0-news
2023-04-04 07:37:15 , udn , 4月4日是兒童節，回顧台灣每一代的兒童電視節目，從早年的「兒童天地」、「小朋友」、「嘎嘎嗚啦啦」，到近年的「百萬小學堂」、「momo小玩家」，為每個世代的孩子留下童年記憶。然而，最近十年，台灣兒童節目本土愈來愈少、自製比率僅7%，節目類型也愈趨單一，東西洋文化入侵兒童節目，已不僅是產業斷鏈危機而已。

當孩子們嘴裡談論的不再是本土文化、本土節目，兒歌「Baby Shark」朗朗上口，「鬼滅之刃」、「角落生物」更成為國小學童日常討論話題。文化界、影視界都擔心，兒童觀眾從小若只看日、韓、歐、美節目，長大後，不僅對台灣本土文化認同感低，甚至也不太會看台灣本土自製的戲劇、電視節目，形同台灣電視市場的未來閱聽眾正在逐步消逝。 , https://udn.com/news/story/7238/7074532?from=udn-ch1_breaknews-1-0-news
2023-04-04 07:47:40 , udn , 清明連假到數第二天 高公局估北返「這些路段」恐塞 , https://udn.com/news/story/7266/7075733?from=udn-ch1_breaknews-1-0-news
2023-04-04 07:47:50 , udn , 今天是清明節連續假期倒數第二天，高速公路局預估北返車潮多，國1苗栗-湖口等國5北向宜蘭-坪林等路段可能會塞車。建議西部國... , https://udn.com/news/story/7266/7075733?from=udn-ch1_breaknews-1-0-news
2023-04-04 07:56:52 , udn , 瑞信AT1債券壁紙命運還有救？持有人聘律師可能提告 , https://udn.com/news/story/6813/7075734?from=udn-ch1_breaknews-1-0-news
2023-04-04 07:57:03 , udn , 因瑞士信貸與瑞銀集團合併計畫而損失慘重的一些瑞信額外第一類資本（AT1）債券持有人，已委託Quinn Emanuel U... , https://udn.com/news/story/6813/7075734?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:01:27 , udn , 川普搭機飛抵紐約  將為封口費案出庭應訊 , https://udn.com/news/story/6813/7075697?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:01:37 , udn , 美國前總統川普因為涉嫌在2016年競選總統期間支付封口費給色情片演員而遭刑事起訴，預計於明天下午在曼哈頓法院出庭應訊，今... , https://udn.com/news/story/6813/7075697?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:14:41 , udn , 抱著膝蓋發現小腿不見了…19歲烏克蘭女戰神勇敢面對斷肢：不後悔 , https://udn.com/news/story/122663/7072682?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:14:52 , udn , 19歲的烏克蘭女子本有大好前程，不過她在戰爭過程中失去了小腿，現在仍不時感覺失去的小腿隱隱作痛。 , https://udn.com/news/story/122663/7072682?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:17:42 , udn , 今早地牛翻身2震 高雄最大震度3級 , https://udn.com/news/story/7266/7075740?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:17:52 , udn , 今早地牛翻身，包括花蓮和高雄都有地震，高雄最大震度3級，花蓮2級。 , https://udn.com/news/story/7266/7075740?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:26:51 , udn , 他到底愛不愛我？當這4星座對你忽冷忽熱 代表對你有意思了！ , https://udn.com/news/story/7268/7063610?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:27:01 , udn , 科技紫微網在幫人算感情問題的時候，遇到的除了「他究竟愛不愛我」這個大哉問以外，很多人想弄明白的則是「對方究竟是怎麼想的」。為什麼會有這樣的困惑呢？十個有九個是陷入了「他對我總是忽冷忽熱」的情況。有的人對你忽冷忽熱，可能因為你是備胎。而有的人對你忽冷忽熱，卻正好說明他對你有意思。比如科技紫微網下面要提到的這幾個星座。 , https://udn.com/news/story/7268/7063610?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:27:22 , udn , 真實人生／79歲一脫成名 陸最帥大爺85歲學開飛機「想做就做別留遺憾」 , https://udn.com/news/story/6812/7075004?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:27:32 , udn , 「人生70才開始」，不相信嗎？今年87歲的中國大陸演員王德順就完美詮釋了這句話。
2015年，王德順在他79歲這年，第一次走上國際時裝周的伸展台。白髮長鬚，光著上身，挺著壯碩的胸肌，王德順意氣風發地走著台步，打敗一幫年輕的模特兒，一上場就抓住眾人的目光。隨著影片與相片在網路上流傳，他更因此贏得「中國最帥大爺」的美名。這次走秀「一脫成名」，也拉開了王德順精彩第二人生的序幕。... , https://udn.com/news/story/6812/7075004?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:27:53 , udn , 美極右派指中共攻台會同步襲美 鼓吹大增軍事預算恐步蘇聯老路？ , https://udn.com/news/story/10930/7073184?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:28:03 , udn , 一位曾接受台灣獎學金資助的美軍退役上校牛勝（Grant Newsham）最近出版新書「中國打過來了」（When China Attacks），書中鼓吹美中開戰，牛勝預判共軍大量兵力攻台同時，會對夏威夷，美國加州，以及美軍在太平洋各處的基地發動攻擊，切斷台灣網際網路與通訊系統，台灣與外界斷絕聯繫，被迫向中共投降。

牛勝的驚人之語，與他的背景有關，他是退役陸戰隊上校，過去曾接受台灣獎學金的酬庸資助，鼓吹台灣與美日軍隊結成同盟，牛勝也與台獨背景的全球台灣研究中心合作，撰寫文章鼓吹美台軍事合作。 , https://udn.com/news/story/10930/7073184?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:28:24 , udn , 照片看歷史／配合空軍聯合作戰 美駐台第十三特遣航空隊司令部落成 , https://udn.com/news/story/7314/7074319?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:28:34 , udn , 1956年4月4日，美國派駐台灣的第十三特遣航空隊司令部於上午10時舉行落成典禮，從此第十三特遣航空隊在台灣有了一個完備而固定的基地，在其與我空軍合作協助台灣防務時，更能發揮其效能。... , https://udn.com/news/story/7314/7074319?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:29:55 , udn , 傳蘋果刪減人事預算 將裁減企業零售團隊的少量職位 , https://udn.com/news/story/6811/7075735?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:30:06 , udn , 彭博新聞周一援引知情人士的說法報導，蘋果將在其企業零售團隊中裁撤一小部分職位。 , https://udn.com/news/story/6811/7075735?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:32:53 , udn , 【專家之眼】國際格局與雙英尬場 , https://udn.com/news/story/6656/7075745?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:33:04 , udn , 近日雙英出訪撞期，但新的國際格局已儼然而生，因而內外交織，導致美中台三邊關係的變化。 , https://udn.com/news/story/6656/7075745?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:50:31 , udn , 蔡英文將過境美西會麥卡錫 張惇涵：中國沒有置喙餘地 , https://udn.com/news/story/7331/7075754?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:50:41 , udn , 美國眾議院議長麥卡錫公布將與蔡英文總統見面，時間點在美西時間4月5日於加州雷根圖書館進行會談。對於中國國台辦稱，若蔡總統... , https://udn.com/news/story/7331/7075754?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:56:30 , udn , 刷新三觀！27歲超狂男子結婚9次離婚8次 驚人身家曝光 , https://udn.com/news/story/6812/7075756?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:56:40 , udn , 把婚姻當兒戲？中國大陸近日有男子曬出一大疊共8本的離婚證，更宣布將會邁入第9段婚姻，這名「9結8離」的男子被全網炮轟離譜，「太荒唐了吧？」有網民對男子起底，翻查其在網路上po出的影片後，發現他所駕駛的私家車價值逾百萬，而他身處的地方是別墅小區，單棟別墅價格達2,000萬元人民幣（約新台幣8837萬元），故因而估計男子家底厚，或許根本是富二代，而影片又見到他家中的傢俱都有貼上防撞條，繼而估計在過去9段婚姻中，相信已成為父親，但狠斥他對婚姻輕挑，就如把結婚當遊戲，又指「有錢就是任性」的現實寫照。 , https://udn.com/news/story/6812/7075756?from=udn-ch1_breaknews-1-0-news
2023-04-04 08:57:01 , udn , 不斷更新／清明連假到數第二天 高公局估北返「這些路段」恐塞 , https://udn.com/news/story/7266/7075733?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:08:40 , udn , 秀鏡前自拍 李四川回市府百日求的是這個...網喊超感動 , https://udn.com/news/story/7323/7075771?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:08:51 , udn , 台北市長蔣萬安上任滿百日，台北市副市長李四川今天在臉書貼出一張在全身鏡子前自拍的照片，並貼文「是我拍你、還是你照我？」 ... , https://udn.com/news/story/7323/7075771?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:09:11 , udn , 紅燈右轉的56秒 苗栗銅鑼客屬大橋頭機車受迫無處停等 , https://udn.com/news/story/7324/7075768?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:09:22 , udn , 苗栗縣道119甲線在銅鑼鄉客屬大橋東邊橋頭，紅燈有56秒開放外側車道右轉119線，但路口機車停等區僅設在外側車道，造成左... , https://udn.com/news/story/7324/7075768?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:09:42 , udn , 腦袋夠警醒才看得見 你能在13秒內找出6個Y嗎？ , https://udn.com/news/story/120912/7072500?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:09:53 , udn , 眼見不一定為憑！近期網路上流行一張視覺錯視圖，據傳只有夠聰明、腦袋夠警醒的人才能在13秒之內找出不同之處，引發網友熱議。 , https://udn.com/news/story/120912/7072500?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:10:23 , udn , 把婚姻當兒戲？中國大陸近日有男子曬出一大疊共8本的離婚證，更宣布將會邁入第9段婚姻，這名「9結8離」的男子被全網炮轟離譜，「太荒唐了吧？」有網友對男子起底，翻查其在網路上po出的影片後，發現他所駕駛的私家車價值逾百萬，而他身處的地方是別墅小區，單棟別墅價格達2,000萬元人民幣（約新台幣8837萬元），故因而估計男子家底厚，或許根本是富二代，而影片又見到他家中的傢俱都有貼上防撞條，繼而估計在過去9段婚姻中，相信已成為父親，但狠斥他對婚姻輕挑，就如把結婚當遊戲，又指「有錢就是任性」的現實寫照。 , https://udn.com/news/story/7335/7075756?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:14:18 , udn , 再現海市蜃樓 仁義湖畔嘉南第一景大樓雲霧繚繞如夢幻仙境 , https://udn.com/news/story/7326/7075744?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:14:28 , udn , 初春日夜溫差大，天氣多變化，嘉義攝影達人曾國根2月在番路鄉仁義潭畔，拍到21層高樓「嘉南第一景」籠罩雲霧，四周雲霧繚繞，... , https://udn.com/news/story/7326/7075744?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:14:42 , udn , 新北蘆洲兄弟打架 弟弟拿繩子勒死親哥哥 , https://udn.com/news/story/7320/7075776?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:14:49 , udn , 巨無霸幸福春捲佛心老闆不漲價 天未亮客人大排長龍 , https://udn.com/news/story/7326/7075742?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:14:53 , udn , 新北市蘆洲區仁愛街昨天上午發生命案，44歲陳姓男子自稱不滿48歲哥哥花錢沒節制，打架之後失手用繩索勒死哥哥，隨後打電話報... , https://udn.com/news/story/7320/7075776?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:14:59 , udn , 明天清明節，連假期間，嘉義市公明路上幸福春捲小攤，客人一大早就大排長龍，等著吃一口超級飽滿餡料春捲，充滿幸福飽足感，豬肉... , https://udn.com/news/story/7326/7075742?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:17:15 , udn , 不斷更新／清明連假倒數第二天 高公局估北返「這些路段」恐塞 , https://udn.com/news/story/7266/7075733?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:17:41 , udn , GPT-4「僱用人類」完成這任務沒被發現！遭質疑還「說謊不眨眼」安全通關 , https://udn.com/news/story/123313/7074485?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:17:52 , udn , 許多網站或應用程式都會使用CAPTCHA驗證碼以確認使用者是「人」，但隨著GPT-4問世後，這樣的驗證碼恐怕都將被破解。根據官方的測試指出，他們曾透過給GPT-4一筆預算，沒想到它卻成功僱用了一位人類，協助他完成驗證碼的任務，讓人相當驚訝。 , https://udn.com/news/story/123313/7074485?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:18:12 , udn , 為花錢起爭執…新北蘆洲兄弟打架 弟弟拿繩子勒死哥哥 , https://udn.com/news/story/7315/7075776?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:18:43 , udn , 狗狗幣大漲30% 馬斯克推特用一張圖力捧 , https://udn.com/news/story/6811/7075775?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:18:53 , udn , 狗狗幣一度大漲多達30%，此前在紐約時間周一下午1時45分左右，推特用戶發現網頁瀏覽器左上角出現代表狗狗幣的柴犬迷因梗圖... , https://udn.com/news/story/6811/7075775?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:22:16 , udn , 分析師喊出油價大漲到每桶100美元 花旗不以為然 , https://udn.com/news/story/6811/7075749?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:22:27 , udn , OPEC+意外宣布減產之後，包括Energy Aspects首席石油分析師Amrita Sen在內多位分析師喊出，油價有... , https://udn.com/news/story/6811/7075749?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:23:52 , udn , 蛋缺電漲路塞 洪孟楷批蔡政府：連假新民怨 , https://udn.com/news/story/6656/7075787?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:24:03 , udn , 連假期間，出遊人潮多，國民黨立委洪孟楷表示，因為事先的配套疏導不足，而造成國道又一次嚴重的塞車，有人塞到懷疑人生。而缺蛋... , https://udn.com/news/story/6656/7075787?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:24:23 , udn , 麥卡錫證實即將會晤蔡總統 綠委：40年來最高層級接待 , https://udn.com/news/story/6656/7075786?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:24:34 , udn , 美國眾議院議長麥卡錫美國時間4月5日會晤蔡英文總統，民進黨立委王定宇今天表示，這是40多年來台灣元首過境，入境美國最高層... , https://udn.com/news/story/6656/7075786?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:24:54 , udn , 費芯大戰送考紀傳最快後天處理?黃呂錦茹:家內事沒要走到那 , https://udn.com/news/story/6656/7075782?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:25:04 , udn , 「費芯大戰」持續，議員徐巧芯日前拜票為邀費鴻泰辯論竟演變成推擠，徐巧芯控訴被推倒；徐昨也再爆料，指費4年前要她當側翼攻擊... , https://udn.com/news/story/6656/7075782?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:25:25 , udn , 拿「大聲公」狂罵警察侵害人權 中國大媽大鬧日本影片瘋傳 , https://udn.com/news/story/6812/7075767?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:25:35 , udn , 日本開放邊境後遊日旅客增加，近日Twitter就瘋傳1段「中國大媽大鬧日本」影片，見到1名中國大媽拿著「大聲公」以普通話向日本警察大喊「抗議」、「侵犯人權」等，並步步進逼，說到激動處更指著警察大罵，令警察不得不伸手阻擋。影片引來網友熱議，紛紛斥責大媽行為，「所以如果妳妨礙了警察工作，妳就有麻煩了！」、「丟人現眼」。 , https://udn.com/news/story/6812/7075767?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:32:50 , udn , 金融時報：俄為防止叛逃、洩露機密 沒收高官和國營企業高層護照 , https://udn.com/news/story/6809/7075802?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:33:01 , udn , 英國金融時報報導，俄羅斯當局深恐國內菁英分子叛逃和洩露機密，俄羅斯安全單位沒收高級官員和國營企業高層的護照，以防止他們出... , https://udn.com/news/story/6809/7075802?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:33:21 , udn , 巴西總統顧問赴俄法 斡旋俄烏和談 , https://udn.com/news/story/122663/7075739?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:33:32 , udn , 巴西前外交部長、現任總統魯拉特別顧問阿摩林相信，包括巴西在內的4、5個新興國家，可以促成俄羅斯和烏克蘭之間的和平進程對話 , https://udn.com/news/story/122663/7075739?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:33:52 , udn , 上調投資金額 日經濟產業省公佈「半導體·數字產業戰略」修改方案 , https://udn.com/news/story/6811/7075608?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:34:03 , udn , 集微網消息，據路透社4月3日報導，日本經濟產業省公佈「半導體·數字產業戰略」修改方案，設定了到2030年將半導體和數字產業的國內銷售額提高至目前的3倍、超過15萬億日元的目標。 , https://udn.com/news/story/6811/7075608?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:34:23 , udn , 密涅瓦教我的事／支持兒子捨哈佛選密涅瓦 台大教授：名校光環有幫助也是包袱 , https://udn.com/news/story/6885/7065197?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:34:34 , udn , 台大前教授康仕仲的兒子康耀仁，日前考取了錄取率不到2%、世界上最難進的密涅瓦實驗大學（Minerva University）。本報記者專訪到康仕仲和兒子康耀仁（David），談到為何選擇Minerva？康耀仁說，Minerva一堂課不會超過20個學生，上課的評分表現是看課堂上的發言率，很適合自己的學習模式，他很習慣在上課發言，因為能讓他確定真的有學到東西；畢竟Minerva是新創大學，名氣不比傳統名校，難道不希望兒子念名校？康仕仲說，「名校光環有幫助，但也是包袱」。他常跟學生說「你們出去要把台大忘掉」。 , https://udn.com/news/story/6885/7065197?from=udn-ch1_breaknews-1-0-news
2023-04-04 09:34:54 , udn , 邊牧自己開瓶蓋吃掉整罐魚油「40粒全下肚」後果曝光！網：太聰明還要補腦？ , https://udn.com/news/story/7470/7072181?from=udn-ch1_breaknews-1-0-news
