2023-03-09 00:14:53 , udn , 北大台研院長李義虎：今年兩岸民間交流回暖可期 , https://udn.com/news/story/7333/7018798?from=udn-ch1_breaknews-1-0-news
2023-03-09 00:41:45 , udn , 身為中華隊最稚齡野手，鄭宗哲的「初體驗」表現感覺不到生澀，8日在世界棒球經典賽第一場就敲出3安打，還差點轟出牆，他坦言：... , https://udn.com/news/story/7001/7018871?from=udn-ch1_breaknews-1-0-news
2023-03-09 00:47:33 , udn , 陸青年30歲存百萬想躺平退休 專家：想太美好 , https://udn.com/news/story/7331/7018883?from=udn-ch1_breaknews-1-0-news
2023-03-09 00:47:43 , udn , 「躺平」，是大陸2021年十大網路流行語之一，意思是不再熱血沸騰、渴求成功。年輕人選擇躺平，往往意味著超脫於加班、升職、掙錢、買房等主流人生奮鬥路徑，而以自己的方式消解外部環境強加在個體的框架。 , https://udn.com/news/story/7331/7018883?from=udn-ch1_breaknews-1-0-news
2023-03-09 01:05:22 , udn , 台中大里兩死命案 為何發生憾事？親屬都說不解 , https://udn.com/news/story/7315/7018904?from=udn-ch1_breaknews-1-0-news
2023-03-09 01:05:32 , udn , 台中市大里區8日晚間傳出兩死命案，警方確認死者為母子關係，現場遺留涉案刀械及服用過安眠藥殘包，初步勘查死者有刀傷及自殘痕... , https://udn.com/news/story/7315/7018904?from=udn-ch1_breaknews-1-0-news
2023-03-09 01:14:23 , udn , 水庫優等生洩洪見底 未見魚群攢動 專家找真相 , https://udn.com/news/story/7266/7018920?from=udn-ch1_breaknews-1-0-news
2023-03-09 01:14:33 , udn , 基隆新山水庫因取水管路破損漏水，需花1個月時間洩降水位以利搶修，水庫要把水排空，一般料想會出現魚群萬頭攢動場景，就連水公司也備妥膠筏準備捕魚，結果卻是冷冷清清。究竟魚群跑到哪兒去了？原因就是這兩個天敵造成的。 , https://udn.com/news/story/7266/7018920?from=udn-ch1_breaknews-1-0-news
2023-03-09 01:26:21 , udn , 影／黑幫接連春酒餐會 新北市警擴大臨檢 , https://udn.com/news/story/7320/7018923?from=udn-ch1_breaknews-1-0-news
2023-03-09 01:26:32 , udn , 針對近日黑幫組織接連舉辦春酒，新北市政府警察局今天凌晨特別規劃擴大臨檢，針對特定不法組織圍事行業及經常聚集出入處所進行臨... , https://udn.com/news/story/7320/7018923?from=udn-ch1_breaknews-1-0-news
2023-03-09 01:29:22 , udn , 登北大武山1年4死其中3件單登 莊主：多少體能爬多少山 , https://udn.com/news/story/7320/7018924?from=udn-ch1_breaknews-1-0-news
2023-03-09 01:29:32 , udn , 屏東縣泰武鄉北大武山是五嶽之一，海拔3092公尺，北大武山檜谷山莊山屋管理員吳德發有感而發，在「屏東林區管理處北大武山資... , https://udn.com/news/story/7320/7018924?from=udn-ch1_breaknews-1-0-news
2023-03-09 02:26:22 , udn , 總獎金200萬、關渡美術館展出 中國信託當代繪畫獎徵件 , https://udn.com/news/story/7270/7018938?from=udn-ch1_breaknews-1-0-news
2023-03-09 02:26:33 , udn , 由中國信託文教基金會舉辦的第二屆「中國信託當代繪畫獎」六月一日起徵件。此為全台唯一聚焦「當代繪畫」的獎項，鼓勵具藝術性、... , https://udn.com/news/story/7270/7018938?from=udn-ch1_breaknews-1-0-news
2023-03-09 02:35:22 , udn , 黑幫高調春酒太囂張 北市警發動擴檢預告威力掃蕩1周 , https://udn.com/news/story/7315/7018940?from=udn-ch1_breaknews-1-0-news
2023-03-09 02:35:33 , udn , 近期黑道幫派接連舉辦春酒活動，大量幫派分子聚集外，還派跑車助陣、禮生迎賓，氣焰極甚，台北市警方昨晚大動作發動擴檢，強勢臨... , https://udn.com/news/story/7315/7018940?from=udn-ch1_breaknews-1-0-news
2023-03-09 05:09:25 , udn , 登北大武山1年4死其中3件單登 莊主：有多少體能爬多少山 , https://udn.com/news/story/7320/7018924?from=udn-ch1_breaknews-1-0-news
2023-03-09 06:17:22 , udn , 蔡英文執政「7年7缺」 失去民心只是剛好而已 , https://udn.com/news/story/6656/7018915?from=udn-ch1_breaknews-1-0-news
2023-03-09 06:17:32 , udn , 賴清德掌行政院時期，台灣出現水、電、土地、人力、人才「五缺」問題。陳建仁內閣，再添缺水、缺蛋、缺藥「三缺」，扣掉兩任內閣都有缺水，蔡英文執政7年留下「7年7缺」的難堪紀錄。 , https://udn.com/news/story/6656/7018915?from=udn-ch1_breaknews-1-0-news
2023-03-09 06:17:53 , udn , 網紅廣告不實將挨罰  近年被炎上的 不只Joeman蛋包飯  , https://udn.com/news/story/7314/7018903?from=udn-ch1_breaknews-1-0-news
2023-03-09 06:18:04 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看網紅、直播主廣告不實要納管。 , https://udn.com/news/story/7314/7018903?from=udn-ch1_breaknews-1-0-news
2023-03-09 06:29:22 , udn , 想和男性同年薪 女性要多工作58天 台灣男女薪資更不平權 , https://udn.com/news/story/7266/7018922?from=udn-ch1_breaknews-1-0-news
2023-03-09 06:29:33 , udn , 勞動部日前公布2023年兩性薪資同酬日為2月27日，等於女性勞工必須多工作58天，才能達到跟男性一樣的年薪。相較於2021年僅差距54天，我國兩性薪資差距這兩年皆不減反增。檢視我國勞動法令雖明定不能因性別因素有差別待遇，但違反「性別工作平等法」第10條性別因素差別待遇遭罰件數，從2019到2022年就只罰了3件，外界認為主要是勞工難舉證所致。 , https://udn.com/news/story/7266/7018922?from=udn-ch1_breaknews-1-0-news
2023-03-09 06:32:23 , udn , Fed加速升息 道指再跌58點 , https://udn.com/news/story/6811/7019012?from=udn-ch1_breaknews-1-0-news
2023-03-09 06:32:33 , udn , 道瓊工業平均指數小幅收低，因為市場仍努力克服8日的拋售，Fed主席鮑爾的言論暗示將長期升息。 , https://udn.com/news/story/6811/7019012?from=udn-ch1_breaknews-1-0-news
2023-03-09 06:35:22 , udn , 蔡總統加州會麥卡錫 美國務院強調符合長年政策 , https://udn.com/news/story/6656/7019001?from=udn-ch1_breaknews-1-0-news
2023-03-09 06:35:33 , udn , 總統蔡英文4月初擬過境加州與美國眾議院議長麥卡錫會晤，美國國務院今天強調，台灣高階官員過境美國，符合美國長年政策及與台灣... , https://udn.com/news/story/6656/7019001?from=udn-ch1_breaknews-1-0-news
2023-03-09 06:57:32 , udn , 經典賽Live／中華隊投手鎮不住差點被扣倒 首戰5：12慘遭修理 , https://udn.com/news/story/10785/7018012?from=udn-catehotnews_ch2
2023-03-09 07:14:44 , udn , 把握晴朗好天氣 吳德榮：周日晚變天 緊接著冷氣團襲台下探8度 , https://udn.com/news/story/7266/7019029?from=udn-ch1_breaknews-1-0-news
2023-03-09 07:14:54 , udn , 中央大學大氣科學系兼任副教授吳德榮在「三立準氣象．老大洩天機」專欄表示，今天各地晴朗，白天各地微熱、早晚偏冷，日夜溫差大... , https://udn.com/news/story/7266/7019029?from=udn-ch1_breaknews-1-0-news
2023-03-09 07:26:45 , udn , 勇士嚴重客場軟腳症 季後賽之路岌岌可危 , https://udn.com/news/story/122629/7018305?from=udn-ch1_breaknews-1-0-news
2023-03-09 07:26:55 , udn , 勇士本季始終打不好客場的問題依舊沒有改善，連續輸給湖人和雷霆之後又是二連敗，不禁又讓人想起先前不可思議的客場15連敗。目前勇士雖然以34勝32敗排在西區第六，但領先第13名的爵士也只有3場勝差。在割喉 , https://udn.com/news/story/122629/7018305?from=udn-ch1_breaknews-1-0-news
2023-03-09 07:27:15 , udn , 經典賽／鑽石打線與終結者海加持 美國最具冠軍相 , https://udn.com/news/story/122629/7017969?from=udn-ch1_breaknews-1-0-news
2023-03-09 07:27:26 , udn , 睽違六年的世界棒球經典賽終於開打。和過去幾屆相比，本屆各國更是精銳盡出，可說是星度最高的一屆，也讓賽事更加精采可期。至於哪隊最具冠軍相？美國、多明尼加、委內瑞拉及日本算是四大熱門，整體而言又以衛冕冠軍 , https://udn.com/news/story/122629/7017969?from=udn-ch1_breaknews-1-0-news
2023-03-09 07:27:46 , udn , 美國失業率創53年新低 學者：科技業邊裁員 邊偷偷補人  , https://udn.com/news/story/7238/7018417?from=udn-ch1_breaknews-1-0-news
2023-03-09 07:27:56 , udn , 從微軟、Meta、Google到美光、英特爾，美國科技業軟硬體從去年底吹起裁員風潮至今未歇，但是另一方面，美國1月失業率卻超乎預期下降到3.4%，創53年新低。這是怎麼回事？ , https://udn.com/news/story/7238/7018417?from=udn-ch1_breaknews-1-0-news
2023-03-09 07:38:44 , udn , 美情報總監：習近平第3任續推統一台灣 穩定對美關係 , https://udn.com/news/story/6811/7019035?from=udn-ch1_breaknews-1-0-news
2023-03-09 07:38:54 , udn , 美國國家情報總監海恩斯（Avril Haines）8日對國會議員表示，中國大陸國家主席習近平的第三任期，會持續推動統一台... , https://udn.com/news/story/6811/7019035?from=udn-ch1_breaknews-1-0-news
2023-03-09 07:56:33 , udn , 基捷蓋不蓋／「兩個和尚沒水喝」專家點破700億基捷真正問題 , https://udn.com/news/story/6656/7015557?from=udn-ch1_breaknews-1-0-news
2023-03-09 07:56:43 , udn , 「基隆捷運經費暴增到近700億元，我的天啊。」學者聽聞基捷最新的經費，不禁驚呼又無奈的反應，正反映台鐵與基捷競合下可能演變「兩個和尚沒水喝」的戲碼，也正是政府長期挾著民眾所需之名，將軌道建設變成選舉支票的真實寫照。當軌道建設被政治人物當成政治提款機，卻無長遠國土規畫，台灣就像陷入沒有計畫、與解決問題能力的陰霾中。 , https://udn.com/news/story/6656/7015557?from=udn-ch1_breaknews-1-0-news
2023-03-09 07:59:33 , udn , 鮑爾放鷹後第二天語調放軟 強調尚未決定3月升幾碼 , https://udn.com/news/story/6811/7019040?from=udn-ch1_breaknews-1-0-news
2023-03-09 07:59:36 , udn , 荷蘭預計夏季前公布 進一步限制尖端晶片製造設備輸陸 , https://udn.com/news/story/6811/7019026?from=udn-ch1_breaknews-1-0-news
2023-03-09 07:59:44 , udn , 聯準會（Fed）主席鮑爾周三（8日）重申關於可能加速升息、利率升得更高的訊息，但強調還沒對3月的升息幅度做出決定，辯論仍... , https://udn.com/news/story/6811/7019040?from=udn-ch1_breaknews-1-0-news
2023-03-09 07:59:46 , udn , 面對美國施壓，半導體製造設備巨擘艾司摩爾（ASML）的母國荷蘭準備限制部分晶片製造設備出口，阻止中國大陸獲得關鍵的半導體... , https://udn.com/news/story/6811/7019026?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:00:04 , udn , 【專家之眼】哈米吉多頓的世界末日戰爭 , https://udn.com/news/story/122663/7019039?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:00:15 , udn , 美國總統拜登在去年十月時，接受媒體訪問，提到俄羅斯可能在烏克蘭動用戰術核武，拜登説：世界正處於「哈米吉多頓世界末日核戰爭... , https://udn.com/news/story/122663/7019039?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:03:37 , udn , 美股蹣跚中上揚 鮑爾強調尚未決定升息多少安撫有限 , https://udn.com/news/story/6811/7019028?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:03:48 , udn , 美國股市周三徘迴漲跌之間，儘管聯準會（Fed）主席鮑爾第二天在國會作證強調「尚未決定」加快升息步伐，且央行無意引發經濟衰... , https://udn.com/news/story/6811/7019028?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:07:10 , udn , 哈利王子愛女莉莉貝在美受洗 首次公開使用公主稱號 , https://udn.com/news/story/6809/7018966?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:07:21 , udn , 英國哈利王子與妻子梅根馬克爾的發言人今天表示，兩人愛女莉莉貝（Lilibet Diana）公主已在美國受洗。這是莉莉貝首... , https://udn.com/news/story/6809/7018966?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:11:33 , udn , 西半部空氣品質差 這些縣市亮紅燈 彭啟明建議戴口罩 , https://udn.com/news/story/7266/7019046?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:11:44 , udn , 環保署提醒北部、中部、雲嘉南地區、金門地區所有族群應減少在戶外活動（紅色警示），竹苗地區、橋頭地區敏感族群應減少在戶外劇... , https://udn.com/news/story/7266/7019046?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:17:35 , udn , 太陽聯盟重裝春酒  辣模神似曾莞婷、楊謹華 氣質脫俗「睛艷」全場 , https://udn.com/news/story/7315/7019049?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:17:45 , udn , 本省掛最大組織太陽聯盟旗下富陽會，昨晚在台北花園酒店舉辦春酒，富陽會別出心裁，聘請車模、展場模特兒及空姐擔任迎賓「七仙女... , https://udn.com/news/story/7315/7019049?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:20:34 , udn , 攝理教在台「已深入各大學勢力龐大」 男碩生信徒聽到教主錄音崩潰 , https://udn.com/news/story/7317/7019052?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:20:44 , udn , Netflix紀錄片《以神之名：信仰的背叛》播出韓國攝理教教主鄭明析因性侵女教徒而被判刑入獄，在台灣也引發眾多討論，這幾... , https://udn.com/news/story/7317/7019052?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:23:34 , udn , 星宇將漲到150元？他預言：張國煒2年內成台灣首富！網噓爆勸別做夢 , https://udn.com/news/story/12806/7017855?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:23:44 , udn , 興櫃股近期受到矚目，星宇航空（2646）股價劇烈震盪。有網友認為，8到18個月內星宇航空股價必會漲到150元，星宇航空董事長張國煒的身價將超過3600億元，直呼「張國煒兩年內將成為台灣首富」。一番言論卻被其他人噓爆狠酸「整天都在做夢」。 , https://udn.com/news/story/12806/7017855?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:26:43 , udn , 愈來愈多棺材運回家…愛國俄人的悲傷結局 普亭掩蓋不了慘重傷亡 , https://udn.com/news/story/122663/7015213?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:26:54 , udn , 這是關於一名俄國壯年男子接受當局徵召，開赴烏克蘭的故事。去年9月，俄國總統普亭下令動員30萬人，30歲的歐夫拉申科沒有像其他人一樣逃兵，乾脆地在徵兵單上簽名。5個月後他死於戰場，獨留家中妻女與親人悲痛萬分。據統計，俄軍在烏克蘭陣亡人數已多於蘇聯的阿富汗戰爭，隨著越來越多動員兵的棺材運回家鄉，克里姆林宮已越來越難以掩飾這場戰爭的慘重傷亡。... , https://udn.com/news/story/122663/7015213?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:27:14 , udn , 電池革命／台灣電動車鋰電池廢棄量將倍數成長 回收技術能跟上嗎 , https://udn.com/news/story/7238/7018279?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:27:25 , udn , 為地球永續、還是為商機利益？電動車的廢電池回收，已成為各國環保機構、廢棄物處理廠商，迫切拓展的新市場。
目前全球特斯拉等知名電動車廠，以及存儲可再生能源的超大容量電池，都以鋰離子電池（簡稱鋰電池）為主，鋰電池平均使用壽命大約10年，但很難做到回收利用。
但台灣電動車電池廢棄量逐年成長，2020年約278公噸、2021年增至358公噸，去年更翻一倍達792公噸。


台北市環保局長吳盛忠坦言，未來三、五年將以二至三倍數的速度增長，預估2025年廢棄量達2020公噸、2030年9646公噸、2035年4萬8077公噸、2040年更將高達11萬6625公噸，成長驚人。 , https://udn.com/news/story/7238/7018279?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:27:45 , udn , 分數害興趣／頂大教授籲不公布錄取分數 學生打臉：排名早根深蒂固 , https://udn.com/news/story/6928/7017818?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:27:55 , udn , 每年大學入學放榜，都會公布校系最低錄取成績，但此定錨效應，可能造成學校科系排名刻板化，造成部分學生「錄取分數高」優於「興趣」的選系思維；有頂大教授建議，不應再公布大學校系的相關錄取分數，分數只會帶來盲目的競爭；家長和學生則認為，現在申請入學只填六個志願，又不知道錄取分數的話，選填志願更毫無依據。除非開放申請入學讓學生毫無上限的選填志願。 , https://udn.com/news/story/6928/7017818?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:28:16 , udn , 陳啟禮後竹聯幫最隆重告別式 弟哥治喪委員有涉槍擊天道盟「阿不倒」的他 , https://udn.com/news/story/7320/7017317?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:28:26 , udn , 竹聯幫忠堂重量級元老「弟哥」董桂均2月20日猝逝，享年66歲，家屬今早（9日）於台中生命禮儀管理處景福廳舉辦告別式，董桂均出道時跟隨現任竹聯幫主「么么」黃少岑打天下，兩人有深厚革命情感，治喪主任委員也由黃少岑出任；董桂均生前講倫理、重情義，除在外省幫博得名聲，連本省掛都對其相當敬重，包括「南霸天」楊雙伍、涉及天道盟不倒會長「阿不倒」謝通運遭狙殺命案的前國代謝東松，都名列治喪副主委名單，這場喪禮預料是繼陳啟禮之後，竹聯幫場面最隆重的告別式。 , https://udn.com/news/story/7320/7017317?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:28:47 , udn , 要脫單了！白色情人節「4星座告白成功率高」記得選對地點 , https://udn.com/news/story/7268/7017176?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:28:57 , udn , 白色情人節要到了，在西洋情人節後的一個月，也被大家定義為收到禮物那方要回禮的日子，不過現在並沒有這麼制式，用不同的形式慶祝都是可以的。清水孟國際塔羅小孟老師也在臉書分享了4個星座，在白色情人節容易告白脫單，有心上人的記得不要錯過好機會了！ , https://udn.com/news/story/7268/7017176?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:29:17 , udn , 照片看歷史／還我新鮮空氣！ 1979年松山國小學生戴口罩無言抗議 , https://udn.com/news/story/7314/7017254?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:29:28 , udn , 早年台北市松山國小的學童，每日身陷附近工廠排放廢氣汙染的空氣當中，1979年3月9日學生們抗議學校環境空氣汙染嚴重如昔，每位小小學童戴起口罩做出無言的抗議他們吶喊「還我新鮮空氣」。... , https://udn.com/news/story/7314/7017254?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:29:42 , udn , 通膨降溫不順  美專家示警經濟恐難逃衰退 , https://udn.com/news/story/6811/7019048?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:29:52 , udn , 美國經濟堅韌、不利通膨降溫，聯準會主席鮑爾本週示意利率可能升得更高且維持更久。有經濟學家示警，升息循環頂點要到經濟衰退才... , https://udn.com/news/story/6811/7019048?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:30:13 , udn , 遏阻中國侵台可能 學者：歐盟該討論制裁方案 , https://udn.com/news/story/6809/7019064?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:30:23 , udn , 歐洲智庫學者今天在歐洲議會一場論壇主張，歐盟應該加強遏阻中國侵台的企圖心，包括反制中國在國際上孤立台灣、對北京劃出紅線，... , https://udn.com/news/story/6809/7019064?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:32:43 , udn , 台灣虎航第6波促銷增佐賀、曼谷 1599元起上午10時搶票 , https://udn.com/news/story/7266/7019067?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:32:53 , udn , 台灣虎航推出夏季航班「第六波開賣 促銷再加碼」活動，優惠價單程1599元起，今天上午10時起準時開賣，至10日晚上11時... , https://udn.com/news/story/7266/7019067?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:35:47 , udn , 加幣跌至四個多月谷底 加央行維持利率不變  美元持穩 , https://udn.com/news/story/6811/7019045?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:35:57 , udn , 加拿大央行維持政策利率不變後，加幣周三回落，觸及10月21日以來谷底。聯準會（Fed）鮑爾連續第二天在國會作證，鷹派語氣... , https://udn.com/news/story/6811/7019045?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:41:43 , udn , 周日到下周一大幅度轉冷恐達冷氣團 專家喊話禦寒準備 , https://udn.com/news/story/7266/7019074?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:41:53 , udn , 天氣風險管理公司天氣分析師歐宗學說，昨晚開始有華南雲系東移通過台灣北方，移出過程有減弱趨勢，但仍然為北部地區帶來較多雲量... , https://udn.com/news/story/7266/7019074?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:47:44 , udn , 美國務院：蔡總統過境美國 完全符合現狀與一中政策 , https://udn.com/news/story/6813/7019086?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:47:54 , udn , 蔡英文總統將在過境美國時，於加州會晤聯邦眾議院議長麥卡錫（Kevin McCarthy），美國國務院發言人普萊斯（Ned... , https://udn.com/news/story/6813/7019086?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:48:15 , udn , 協助「普亭的錢包」藏匿巨額資產！4名瑞士銀行家出庭受審 , https://udn.com/news/story/6809/7019088?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:48:25 , udn , 4名銀行業者8日在瑞士一家法院出庭，他們被指控「協助俄羅斯總統普亭（Vladimir Putin）藏匿高達數千萬瑞士法郎... , https://udn.com/news/story/6809/7019088?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:56:33 , udn , 「12星座難相處」雷點曝光...雙子討厭愛講話的人？魔羯討厭你問這個 , https://udn.com/news/story/7268/7014637?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:56:43 , udn , 你常常覺得12星座很難相處？其實因為你踩到他們的雷點。占星師12talks分享「如果你覺得XX座很難相處...」系列文章，分享12星座會因為哪些事情，讓他們突然顯得很難相處。 , https://udn.com/news/story/7268/7014637?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:57:03 , udn , 3/9【早晨財經速解讀】 鷹式升息歸來?小非農數據亮麗 通膨危機難解除? , https://udn.com/news/story/7251/7019093?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:57:14 , udn , 美國股市周三徘迴漲跌之間，儘管聯準會（Fed）主席鮑爾第二天在國會作證強調「尚未決定」加快升息步伐，且央行無意引發經濟衰退，投資人仍認為Fed別無選擇，只能在未來幾個月保持鷹派立場。 , https://udn.com/news/story/7251/7019093?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:58:05 , udn , Fed鷹派發言效應 油價連二黑 金價持平於近一周低點 , https://udn.com/news/story/6811/7019087?from=udn-ch1_breaknews-1-0-news
2023-03-09 08:58:15 , udn , 國際油價周三（8日）連續第二天下跌，在聯準會（Fed）釋放鷹派訊號之際，人們擔心美國更激進升息會為經濟成長與石油需求帶來... , https://udn.com/news/story/6811/7019087?from=udn-ch1_breaknews-1-0-news
2023-03-09 09:02:43 , udn , 金融時報：蔡英文赴美會眾院議長 目的在避免激怒大陸 , https://udn.com/news/story/6813/7019104?from=udn-ch1_breaknews-1-0-news
2023-03-09 09:02:53 , udn , 英國金融時報報導，蔡英文總統說服美國眾議院議長麥卡錫在加州會面，而非台北，目的在避免引發中國大陸急進的軍事反應。 , https://udn.com/news/story/6813/7019104?from=udn-ch1_breaknews-1-0-news
2023-03-09 09:05:43 , udn , 小國夾縫中求生存 新加坡6大支柱打造全民國防 , https://udn.com/news/story/6809/7019107?from=udn-ch1_breaknews-1-0-news
2023-03-09 09:05:54 , udn , 新加坡作為倚重自由貿易的東南亞蕞爾小國，地處馬六甲海峽南端，戰略位置重要。夾在馬來西亞、印尼等大國之間的新加坡，主要透過... , https://udn.com/news/story/6809/7019107?from=udn-ch1_breaknews-1-0-news
2023-03-09 09:06:14 , udn , 刺蝟「把頭塞進圓柱體」小碎步逛大街  鏗鏗康康昭告天下：我正在運動喔~ , https://udn.com/news/story/7470/7018218?from=udn-ch1_breaknews-1-0-news
2023-03-09 09:06:24 , udn , 日本有名飼主時常在社群平台IG上分享家中寵物刺蝟的可愛日常，最近則上傳了一支可愛影片，記錄下小刺蝟有天不知道為什麼突然將頭伸進一個圓柱體中「逛大街散步」，隨著步伐發出的聲響超級可愛，小碎步的前進方式更是擄獲大批粉絲的心。 , https://udn.com/news/story/7470/7018218?from=udn-ch1_breaknews-1-0-news
2023-03-09 09:08:53 , udn , 影／享受春天氣息 台中蔬食佐茗茶當道、逛街賞藝廊 , https://udn.com/news/story/7270/7019118?from=udn-ch1_breaknews-1-0-news
2023-03-09 09:09:03 , udn , 台中市新社區的飛花落院，庭院內黃花風鈴木綻放，感受春天腳步，餐廳每月1日推出蔬食套餐，響應環保，食材以懷石料理方式呈現，... , https://udn.com/news/story/7270/7019118?from=udn-ch1_breaknews-1-0-news
2023-03-09 09:11:55 , udn , 喵星人就是喜歡東咬西咬？愛吃「這7種類物品」代表貓咪可能得了異食症 , https://udn.com/news/story/7470/7019117?from=udn-ch1_breaknews-1-0-news
