2023-04-01 00:02:40 , udn , 台灣申請加入CPTPP 陸外交部：堅決反對 , https://udn.com/news/story/7331/7071102?from=udn-ch1_breaknews-1-0-news
2023-04-01 01:11:41 , udn , 2024年立委選舉開跑，外界預料民進黨難在國會過半，不分區立委名單因而備受關注，民進黨不分區立委過往分為政治組與專業組，政治組主要負責政治性議題主導，專業組則象徵民進黨關心的話題與族群，黨政人士預估，民進黨明年不分區立委的安全名單，落在第10到第11名左右。 , https://udn.com/news/story/6656/7071234?from=udn-ch1_breaknews-1-0-news
2023-04-01 01:20:32 , udn , AI「一鍵脫衣」、P圖與女星熱吻...陸潘朵拉魔盒已被打開 , https://udn.com/news/story/7331/7071242?from=udn-ch1_breaknews-1-0-news
2023-04-01 01:20:43 , udn , 大陸一名特效師日前把自己的照片與知名女星迪麗熱巴合成彼此熱吻的影像，結果被迪麗熱巴粉絲海K一頓。這只是AI換臉技術製造的其中一個爭議個案，AI換臉近來頻繁在大陸衍生爭議，原本私下玩樂居多的性質，因將合成照或後製的影片放在網上，已製造出各種爭議和法律問題。 , https://udn.com/news/story/7331/7071242?from=udn-ch1_breaknews-1-0-news
2023-04-01 01:26:32 , udn , 開箱百里侯／多次選輸不退 顧家陳光復 趕時間拚福利 , https://udn.com/news/story/6656/7071245?from=udn-ch1_breaknews-1-0-news
2023-04-01 01:26:42 , udn , 澎湖縣長陳光復去年在縣長選舉時和「宿敵」賴峰偉第三度交手，以1781票險勝，重新拿回澎湖執政權，被蔡英文總統譽為「克服東北季風的男人」。就任近100天來，陳光復自詡一天當兩天用，不僅割捨與妻子一起用餐的習慣，把時間盡量留給縣民，一有機會就飛台灣其他縣市考察觀摩，希望能「翻轉澎湖」。 , https://udn.com/news/story/6656/7071245?from=udn-ch1_breaknews-1-0-news
2023-04-01 01:53:30 , udn , 王文宗疑涉88槍擊案遭收押抗告成功 晚間70萬交保 , https://udn.com/news/story/7321/7071250?from=udn-ch1_breaknews-1-0-news
2023-04-01 01:53:40 , udn , 台南檢警偵辦88槍擊案，向上追出幕後指使者學甲慈濟宮董事長王文宗兩度前往大陸，涉提供酒店客房窩藏畏罪潛逃主嫌洪政軍且資助... , https://udn.com/news/story/7321/7071250?from=udn-ch1_breaknews-1-0-news
2023-04-01 01:54:01 , udn , 新加坡樟宜機場自動通關系統癱瘓 系統升級技術故障導致 , https://udn.com/news/story/6809/7071228?from=udn-ch1_breaknews-1-0-news
2023-04-01 01:54:11 , udn , 新加坡樟宜機場及陸路關卡的自動通關系統今天癱瘓逾5小時；星國移民與關卡局晚間表示，根據初步調查，在預先安排的系統升級過程... , https://udn.com/news/story/6809/7071228?from=udn-ch1_breaknews-1-0-news
2023-04-01 02:05:34 , udn , 看好「王牌投手」贏得中間選民 藍委挺侯態勢漸明朗 , https://udn.com/news/story/6656/7070775?from=udn-ch1_breaknews-1-0-news
2023-04-01 02:05:45 , udn , 「濁水溪以南國民黨沒有一席立委，侯友宜是能夠贏得中間、非綠及中南部大多選民支持的候選人，我們全力支持他」。身兼彰化縣黨部主委的國民黨立委謝衣鳯已表態力挺侯友宜爭取總統大位，國民黨總統參選人徵召提名作業啟動，國民黨立委之間「挺侯」的態勢趨於明朗化。 , https://udn.com/news/story/6656/7070775?from=udn-ch1_breaknews-1-0-news
2023-04-01 04:02:30 , udn , 台南警涉騷擾女房仲遭聲押 深夜3萬交保 , https://udn.com/news/story/7321/7071276?from=udn-ch1_breaknews-1-0-news
2023-04-01 04:11:30 , udn , 「薪傳」完售加開戶外場 林懷民:請用21世紀的眼睛來看 , https://udn.com/news/story/7266/7071278?from=udn-ch1_breaknews-1-0-news
2023-04-01 04:11:41 , udn , 「請跟我一樣，放掉以前的東西，用今天的眼睛來看待『薪傳』吧。」雲門舞集50週年重現林懷民代表作「薪傳」，昨於淡水雲門劇場... , https://udn.com/news/story/7266/7071278?from=udn-ch1_breaknews-1-0-news
2023-04-01 04:47:30 , udn , 2023 WW表展／貝克漢也搶戴  TUDOR朝全METAS認證前進 , https://udn.com/news/story/7270/7071291?from=udn-ch1_breaknews-1-0-news
2023-04-01 04:47:41 , udn , 帝舵（TUDOR）今年正式與同集團的勞力士（ROLEX）一同參展於日內瓦舉辦的「鐘表與奇蹟」表展。多只新品包含37毫米的... , https://udn.com/news/story/7270/7071291?from=udn-ch1_breaknews-1-0-news
2023-04-01 04:59:30 , udn , 疑涉88槍擊案王文宗交保獲釋 快步離開法院未多說 , https://udn.com/news/story/7321/7071298?from=udn-ch1_breaknews-1-0-news
2023-04-01 04:59:40 , udn , 台南檢警偵辦88槍擊案，追出幕後指使者學甲慈濟宮董事長王文宗兩度前往大陸，涉提供酒店客房窩藏畏罪潛逃洪且資助其生活開銷，... , https://udn.com/news/story/7321/7071298?from=udn-ch1_breaknews-1-0-news
2023-04-01 05:02:29 , udn , 苗栗發生規模4.2地震 最大震度苗栗縣3級 , https://udn.com/news/story/7266/7071295?from=udn-ch1_breaknews-1-0-news
2023-04-01 05:02:39 , udn , 根據中央氣象局最新資訊，1日4時2分發生芮氏規模4.2地震，地震深度2.7公里，震央位於苗栗縣政府東南方19.9公里(位... , https://udn.com/news/story/7266/7071295?from=udn-ch1_breaknews-1-0-news
2023-04-01 05:05:30 , udn , 凌晨4時2分苗栗泰安規模4.2地震 最大震度苗栗縣3級 , https://udn.com/news/story/7266/7071295?from=udn-ch1_breaknews-1-0-news
2023-04-01 05:20:33 , udn , 凌晨4時屏東、苗栗先後發生規模4.3及4.2地震 最大震度3級 , https://udn.com/news/story/7266/7071295?from=udn-ch1_breaknews-1-0-news
2023-04-01 05:44:29 , udn , 基隆外木山海興景觀平台鏽蝕嚴重 威脅泳客將整體改善 , https://udn.com/news/story/7328/7071313?from=udn-ch1_breaknews-1-0-news
2023-04-01 05:44:40 , udn , 基隆外木山海興景觀平台，平時有很多海泳客游泳，因鏽蝕嚴重支撐鋼鐵梁可能隨時倒塌，對民眾的安全構成威脅。經市議員張秉鈞去年... , https://udn.com/news/story/7328/7071313?from=udn-ch1_breaknews-1-0-news
2023-04-01 05:53:59 , udn , 美股開高走高 道瓊收漲415點、那指季漲16%創2020年來最佳 , https://udn.com/news/story/6811/7071302?from=udn-ch1_breaknews-1-0-news
2023-04-01 05:54:10 , udn , 美股收盤上漲，華爾街本季以動盪但上揚告終；Fed進一步收緊利率，矽谷銀行倒閉引發了一場小型金融恐慌。 , https://udn.com/news/story/6811/7071302?from=udn-ch1_breaknews-1-0-news
2023-04-01 06:17:31 , udn , 馬克宏展現氣魄推年改 蔡政府面對勞保危機卻擺爛 , https://udn.com/news/story/6656/7071238?from=udn-ch1_breaknews-1-0-news
2023-04-01 06:17:42 , udn , 法國總統馬克宏為了解決退休制度的赤字，將退休年齡從原本的62歲提高到64歲，希望2030年能平衡，結果引發了幾波百萬人示威抗議，動盪已持續數月。據BMFTV在3月11日公布的民調，幾乎所有年齡、職業的受訪者都反對馬克宏的年改新制，但退休與65歲以上民眾有60%贊成。 , https://udn.com/news/story/6656/7071238?from=udn-ch1_breaknews-1-0-news
2023-04-01 06:18:02 , udn , 禍起17年前一夜風流 川普遭刑訴 看封口費案始末 , https://udn.com/news/story/7314/7071061?from=udn-ch1_breaknews-1-0-news
2023-04-01 06:18:12 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。川普成為美國史上首位遭刑事起訴的總統，這次圖表帶你看懂川普封口費案始末。 , https://udn.com/news/story/7314/7071061?from=udn-ch1_breaknews-1-0-news
2023-04-01 06:26:30 , udn , 【總編開箱】馬克宏展現氣魄推年改 蔡政府面對勞保危機卻擺爛 , https://udn.com/news/story/6656/7071238?from=udn-ch1_breaknews-1-0-news
2023-04-01 06:29:29 , udn , 別信老闆省錢話術 勞保投保高薪低報「虧大了」 , https://udn.com/news/story/121591/7071081?from=udn-ch1_breaknews-1-0-news
2023-04-01 06:29:39 , udn , 小昕（化名）才剛畢業兩年，擔任一家小公司的行政工作，小昕負責的事很雜，從老闆公私帳到中午負責幫同事叫便當都要做，但工作環境相對單純，小昕打算先做一段時間，再決定留在台北還是返回南部工作定居。小昕每月薪資3萬元，但當初老闆跟她說，她還很年輕，不會領勞保保險給付，投保先以基本工資26400元投保薪資即可，兩人都可省下保費，小昕誤信而聽從，最近朋友向她問起勞退提撥的事，她才知道自己虧大了。 , https://udn.com/news/story/121591/7071081?from=udn-ch1_breaknews-1-0-news
2023-04-01 06:35:39 , udn , 兒童清明連假首日基隆推薦4條主題遊 賞秘境、吃美食 , https://udn.com/news/story/7328/7071351?from=udn-ch1_breaknews-1-0-news
2023-04-01 06:35:49 , udn , 今天是兒童、清明連假首日，基隆市政府挑選4條主題旅遊的景點，包括今天開放登島的基隆嶼開放，還有佛手洞、仙洞巖、瑪陵坑溪等... , https://udn.com/news/story/7328/7071351?from=udn-ch1_breaknews-1-0-news
2023-04-01 06:38:40 , udn , 巴哥犬隔離中暑亡 賴品妤爆：5年來15隻犬貓死在檢疫所 , https://udn.com/news/story/7266/7071353?from=udn-ch1_breaknews-1-0-news
2023-04-01 06:38:51 , udn , 新北市立委賴品妤接獲民眾方先生投訴，他帶著巴哥犬Ruby從國外返台，狗狗在被農委會防檢局送往隔離所的車程熱中暑，因防檢局... , https://udn.com/news/story/7266/7071353?from=udn-ch1_breaknews-1-0-news
2023-04-01 06:50:50 , udn , 清明連假首日雨襲接著4天晴暖 吳德榮：開工日再變天 , https://udn.com/news/story/7266/7071355?from=udn-ch1_breaknews-1-0-news
2023-04-01 06:51:01 , udn , 今天清明節連假第一天，中央大學大氣科學系兼任副教授吳德榮在「三立準氣象．老大洩天機」專欄表示，今天華南雲系影響，中部以北... , https://udn.com/news/story/7266/7071355?from=udn-ch1_breaknews-1-0-news
2023-04-01 07:00:00 , udn , 不斷更新／清明連假首日國道清晨紫爆 籲避開7地雷路段 , https://udn.com/news/story/7266/7071358?from=udn-ch1_breaknews-1-0-news
2023-04-01 07:00:10 , udn , （6:00更新） , https://udn.com/news/story/7266/7071358?from=udn-ch1_breaknews-1-0-news
2023-04-01 07:29:59 , udn , 美中台博弈／對於抗中想法各異 美國亞洲盟友們的真實盤算 , https://udn.com/news/story/6809/7070628?from=udn-ch1_breaknews-1-0-news
2023-04-01 07:30:10 , udn , 美中在亞洲的對抗，一般印象是，情勢升高當中，中國大陸軍事預算不斷上升，亞太國家感覺到威脅，美國不斷糾集盟友對抗。

但是這僅是部分不準確的圖像，美國的確要對抗中國大陸，也有國家加強與美國安全合作，但是其他不選邊的國家是怎麼想的？如果中國是威脅，為什麼現在有這麼多國家元首、外交部長要到中國來？ , https://udn.com/news/story/6809/7070628?from=udn-ch1_breaknews-1-0-news
2023-04-01 07:39:00 , udn , 氣象局公布4至6月天氣展望 鄭明典：趨勢上是乾熱 , https://udn.com/news/story/7266/7071368?from=udn-ch1_breaknews-1-0-news
2023-04-01 07:39:10 , udn , 中央氣象局發布季長期天氣展望，4月至6月氣溫預報正常到偏暖、雨量預報為偏少到正常，因5-6月已逐漸進入梅雨期，預報變動性... , https://udn.com/news/story/7266/7071368?from=udn-ch1_breaknews-1-0-news
2023-04-01 07:56:51 , udn , 謝金河：台灣今年有4大亮點產業「看起來趨勢正在奔馳」 , https://udn.com/news/story/7240/7071371?from=udn-ch1_breaknews-1-0-news
2023-04-01 07:57:01 , udn , 財信傳媒董事長謝金河在臉書發表「AI將成資本市場新一輪軍備競賽」一文，新一輪的AI競賽已經開展，這會是一場國力的戰役，也... , https://udn.com/news/story/7240/7071371?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:20:41 , udn , 從清明節開展四月財運！12星座備好幸運物 處女恐意外超支、這星座正旺要把握 , https://udn.com/news/story/7268/7059800?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:20:51 , udn , 迎接清明連假的同時，也代表著四月的到來。日本網站「All About」近來就分析12星座，想要提升財運可以怎麼做，以及幸運物又是什麼。 , https://udn.com/news/story/7268/7059800?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:21:12 , udn , 蔡總統雷根圖書館演講取消？府：媒體報導均屬臆測 , https://udn.com/news/story/123444/7071375?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:21:22 , udn , 媒體報導，總統蔡英文過境美國洛杉磯時赴雷根圖書館的演講行程被取消，總統府副秘書長張惇涵表示，有關蔡總統過境洛杉磯諸如演講... , https://udn.com/news/story/123444/7071375?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:30:21 , udn , 蔡總統離開紐約 兩派人馬集結飯店外「送行」 , https://udn.com/news/story/123444/7071252?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:30:31 , udn , 中華民國總統蔡英文過境美國東西岸，紐約行程在31日接近尾聲，酒店前來自台灣的支持群眾歡送隊，與來自中國的抗議陣營再次各據... , https://udn.com/news/story/123444/7071252?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:35:49 , udn , 5天連假遊墾丁別做這些事 墾管處緊盯沙灘車、放煙火 , https://udn.com/news/story/7327/7071391?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:36:00 , udn , 5天連假今天展開，屏東縣政府延續墾丁春吶火苗打造的獨立音樂品牌「台灣祭」，1至3日在墾丁大灣遊憩區嗨唱，墾丁旅宿前3天多... , https://udn.com/news/story/7327/7071391?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:36:20 , udn , 蔡總統抵達瓜地馬拉：台灣走向世界的腳步不會停止 , https://udn.com/news/story/123444/7071386?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:36:31 , udn , 蔡英文總統「民主夥伴共榮之旅」於當地時間31日上午結束在美國紐約的過境行程，前往瓜地馬拉共和國。經過5小時的飛行，訪團抵... , https://udn.com/news/story/123444/7071386?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:36:51 , udn , 韓國瑜納總統大選內參民調為「卡侯」？陰謀論因他而起 , https://udn.com/news/story/123307/7070472?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:37:02 , udn , 高雄市前市長韓國瑜3月30日一早就「驚動」所有媒體，原來有報導指國民黨中央將把韓國瑜納入找出2024年總統大選最強人選的內參民調中。一時之間，「卡侯」陰謀論四起。 , https://udn.com/news/story/123307/7070472?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:37:22 , udn , 清明後運勢大翻身！3生肖被眷顧「桃花、財運爆棚」 , https://udn.com/news/story/7268/7063612?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:37:32 , udn , 揮手告別陽光明媚的「春分」節氣，我們即將迎來今年春季的第五個節氣——清明（陽暦2023年4月5日），代表我們已開始進入丙辰月，盆地氣候溫暖，春意正濃。今天，科技紫微網就來跟大家談談有關清明的傳統習俗和好運生肖。 , https://udn.com/news/story/7268/7063612?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:37:53 , udn , 國道金雞母／服務區華麗轉身的袐密 為何超商兩大龍頭爭相進駐 , https://udn.com/news/story/7266/7042120?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:38:03 , udn , 國道服務區擺脫以往只負責讓用路人上廁所的印象，成為可品嘗限定美食、購買伴手禮、賞夜景的多功能賣場，甚至比百貨賣場更好逛，連超商兩大龍頭統一與全家爭相進駐經營服務區，商戰從巷弄打進國道。服務區從又貴又難吃的罵名中，華麗轉身為「國道金雞母」，關鍵竟只是高公局調整一項招商模式。 , https://udn.com/news/story/7266/7042120?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:38:24 , udn , 2023感情運大逆襲！鼠有多角戀 這兩生肖當心桃花煞 , https://udn.com/news/story/7268/7054895?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:38:34 , udn , 2023癸卯年已經到來，對於12生肖來說，感情運勢一直是人們關注的焦點。在這個新的一年裡，每個生肖都會面臨不同的感情挑戰和機遇。屬鼠的同學可能會遇到多角戀的情況，需要注意溝通困境；屬牛的同學需要警惕桃花煞攻擊，避開異性；屬虎的同學則要留意三角戀的風險，並尋找聰明的對象。總的來說，每個生肖都有自己的運勢特點和需要注意的事項，讓我們一起來看看2023年的生肖夫妻宮感情運勢解析。 , https://udn.com/news/story/7268/7054895?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:38:55 , udn , 女Coser邀同好聚會 相機被竊上網找到贓物報警逮人 , https://udn.com/news/story/7320/7071380?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:39:05 , udn , 台北市忠孝西路派出所日前接獲報案，一位趙姓家長反映女兒熱衷COSPLAY，特地邀請一群同好到家中研究如何拍照，事後卻發現... , https://udn.com/news/story/7320/7071380?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:39:26 , udn , 球學聯盟總冠軍賽 嶺東高中過關斬將奪亞軍 , https://udn.com/news/story/6898/7071378?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:39:36 , udn , 嶺東高中昨舉行第五屆球學聯盟總冠軍賽，主場嶺東高中力戰前年曾打入HBL六強的新北市錦和高中，順利拿下亞軍，這也是嶺東高中... , https://udn.com/news/story/6898/7071378?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:39:57 , udn , 四接公投基市府核准 第二階段連署徵求500個連署點 , https://udn.com/news/story/6656/7071379?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:40:07 , udn , 基隆市長謝國樑昨天宣布核准四接公投連署案，可進入第二階段連署，雖然中選會認為違反地方公投條例，但發起公投的「守護外木山行... , https://udn.com/news/story/6656/7071379?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:41:49 , udn , 春天養生吃什麼？ 選對「食材」身體不再犯春燥、春睏！ , https://udn.com/news/story/7266/7067730?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:42:00 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近一年內「春天養生」話題的網路聲量表現，帶您了解網友熱議的六種春天養生方法與對應食物。 , https://udn.com/news/story/7266/7067730?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:42:20 , udn , 少年淪共犯父母也要賠 北市警統整詐團招募車手話術 提醒家長注意 , https://udn.com/news/story/7321/7071394?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:42:31 , udn , 台北市警察局統計近期最常遭受詐騙的類型，分別為「假預付型消費」、「解除分期付款」、「釣魚簡訊(惡意連結)」、「信用卡遭盜... , https://udn.com/news/story/7321/7071394?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:44:49 , udn , 清明掃墓眉角多！網議「這些」禁忌千萬要避開 , https://udn.com/news/story/7268/7067699?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:44:59 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近一年內「掃墓禁忌」相關話題的網路聲量，帶您了解網友熱議的五大掃墓禁忌有哪些。 , https://udn.com/news/story/7268/7067699?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:45:30 , udn , 今天至明天是南向的尖峰日，高速公路局國道路況預報員游衣芸說，今天截至上午7時，國道全線交通量為19.5百萬車公里，高公局預估今天全日交通量為124百萬車公里。國5部分，截至上午7時，國5南向雪隧通過量為1萬5625輛次，較去年清明連假同期增加12%。 , https://udn.com/news/story/7266/7071358?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:47:49 , udn , 清明祭祖要注意！網議「清明傳統美食與禁忌水果」一次看 , https://udn.com/news/story/7268/7070417?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:47:59 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近一年內的「清明節」話題的網路聲量表現，帶您了解網友熱議的五大清明節傳統美食網路聲量排行，以及五大清明節禁忌水果。 , https://udn.com/news/story/7268/7070417?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:53:22 , udn , 5天連假遊墾丁別做這些事！墾管處緊盯沙灘車、放煙火 , https://udn.com/news/story/7327/7071391?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:59:39 , udn , 對抗西方、深化與中印關係！普亭簽署新版俄外交政策構想 , https://udn.com/news/story/122663/7071401?from=udn-ch1_breaknews-1-0-news
2023-04-01 08:59:49 , udn , 俄羅斯總統普亭3月31日簽署批准新版俄羅斯外交政策構想，聲稱國際關係正在進入「革命性變革的時代」。 , https://udn.com/news/story/122663/7071401?from=udn-ch1_breaknews-1-0-news
2023-04-01 09:08:51 , udn , 不斷更新／清明連假首日國道「紫爆」變大型停車場 國5恐塞到下午4時 , https://udn.com/news/story/7266/7071358?from=udn-ch1_breaknews-1-0-news
2023-04-01 09:09:01 , udn , 國道北部多處路段從清晨5時許就出現壅塞車多情形，目前車流更是明顯增加，多處路段猶如大型停車場。國1楊梅-竹北南向路段、國1東湖-高架汐止端北向路段、國3鶯歌系統-龍潭南向路段、國3新店-木柵休息站北向路段都紫爆，時速低於20公里。 , https://udn.com/news/story/7266/7071358?from=udn-ch1_breaknews-1-0-news
2023-04-01 09:09:22 , udn , 兒童節虎頭埤風景區兒童遊園免費 前20名搭積木船也免錢 , https://udn.com/news/story/7326/7071411?from=udn-ch1_breaknews-1-0-news
2023-04-01 09:09:32 , udn , 兒童節清明連假登場，虎頭埤虎頭埤風景區推出兒童節4月4日當日12歲以下兒童免費入園優惠，今天起到5日連假5天，每天前20... , https://udn.com/news/story/7326/7071411?from=udn-ch1_breaknews-1-0-news
2023-04-01 09:14:38 , udn , 「一條雨帶幾乎不動」 鄭明典：雨型像台灣掛了彩帶 , https://udn.com/news/story/7266/7071413?from=udn-ch1_breaknews-1-0-news
2023-04-01 09:14:49 , udn , 今天華南雲雨區東移，今天截至目前為止的累積雨量集中在苗栗、台中。中央氣象局長鄭明典在臉書表示，雨帶還沒完全通過，一條雨帶... , https://udn.com/news/story/7266/7071413?from=udn-ch1_breaknews-1-0-news
2023-04-01 09:26:50 , udn , 拉拉被帶到專用跑道不下去玩 反在牛棚「正坐盯場」！網笑：大導演是你？ , https://udn.com/news/story/7470/7064990?from=udn-ch1_breaknews-1-0-news
2023-04-01 09:27:01 , udn , 近日日本有名飼主在社群上分享一段影片，表示自己帶家裡面一歲的拉布拉多「Royle(ロイル)」去狗狗專用跑道放風時，愛犬竟然沒有像其他狗狗一樣在場內大肆奔跑，而是靜靜待在跑道盡頭的凳子前，待在場邊「監督」大家。 , https://udn.com/news/story/7470/7064990?from=udn-ch1_breaknews-1-0-news
2023-04-01 09:27:21 , udn , 房市329／住宅推案量爆冷 買家等降價第一槍…建商繼續撐 , https://udn.com/news/story/7238/7070183?from=udn-ch1_breaknews-1-0-news
2023-04-01 09:27:32 , udn , 房市上半年指標329檔期登場，根據市調機構統計，六都與新竹推案金額暴增至8千億元巨量，雖看似再創新高，但扣除商用案量後，住宅僅剩6400億元，與去年相比，熱度明顯退燒。 , https://udn.com/news/story/7238/7070183?from=udn-ch1_breaknews-1-0-news
2023-04-01 09:27:52 , udn , 閱讀數學／北北基1280月票，你買對了嗎？ , https://udn.com/news/story/6904/7065563?from=udn-ch1_breaknews-1-0-news
2023-04-01 09:28:03 , udn , 北北基聯合推出的1280月票邁入第6年。月票顧名思義只要花費1280元，即可在30天內，捷運、公車、YouBike無限次使用... , https://udn.com/news/story/6904/7065563?from=udn-ch1_breaknews-1-0-news
2023-04-01 09:28:23 , udn , 分科測驗加考數乙讓大學陷選擇障礙 台大法律系內部也有「異」見 , https://udn.com/news/story/6885/7062403?from=udn-ch1_breaknews-1-0-news
2023-04-01 09:28:34 , udn , 114年分科測驗首度加考數學乙，部分文組生雖不用再靠學測數學A、B「一試定終生」，也重獲競爭力，但考試分發仍可採用學測數學，光新增一科數乙，考試分發數學參採組合將從六種增為十種，讓部分大學文組校系陷入「選擇障礙」。據掌握，台大法律系三月初曾召開院招生委員會，原定114學年考試分發數學科僅採數乙，但校內招生辦公室有「異」見，將送院務會議討論與表決，再將投票結果呈報教育部。 , https://udn.com/news/story/6885/7062403?from=udn-ch1_breaknews-1-0-news
2023-04-01 09:28:54 , udn , 瑞士西北部狂風吹翻兩列火車 造成15人受傷 , https://udn.com/news/story/6809/7071414?from=udn-ch1_breaknews-1-0-news
2023-04-01 09:29:05 , udn , 瑞士警方表示，瑞士西北部地區今天颳起狂風，有兩列火車在暴風吹襲下出軌，造成15人受傷 , https://udn.com/news/story/6809/7071414?from=udn-ch1_breaknews-1-0-news
2023-04-01 09:29:25 , udn , 張惇涵：台瓜邦誼像瓜地馬拉咖啡香醇 不容陸方置喙 , https://udn.com/news/story/6656/7071429?from=udn-ch1_breaknews-1-0-news
2023-04-01 09:29:36 , udn , 蔡英文總統正在出訪中美洲友邦瓜地馬拉，中國大陸外交部發言人毛寧31日公開對瓜地馬拉喊話，稱「認清大勢，早日做出正確選擇」... , https://udn.com/news/story/6656/7071429?from=udn-ch1_breaknews-1-0-news
2023-04-01 09:29:56 , udn , 螢火蟲大軍來了 區長疾呼「那瑪夏螢火蟲很多」 , https://udn.com/news/story/7327/7071428?from=udn-ch1_breaknews-1-0-news
