2023-04-14 00:00:05 , udn , 融合客家精神與法料神髓 「CEO 1950」春季新菜登場 , https://udn.com/news/story/7270/7096920?from=udn-ch1_breaknews-1-0-news
2023-04-14 01:32:56 , udn , 《香港澳門米其林指南2023》在4月26日以實體形式舉行典禮之前，率先發表今年指南的必比登推介（Bib Gourmand... , https://udn.com/news/story/7270/7097070?from=udn-ch1_breaknews-1-0-news
2023-04-14 01:33:16 , udn , 張善政訪畫廊 文藝界盼桃園發展藝文廊道 , https://udn.com/news/story/7266/7097068?from=udn-ch1_breaknews-1-0-news
2023-04-14 01:33:27 , udn , 桃園市卡門畫廊收藏眾多兩岸藝術家畫作，15日將舉辦《春宴》競拍活動，目前正舉行公展；桃園市長張善政、文化局長邱正生、立法... , https://udn.com/news/story/7266/7097068?from=udn-ch1_breaknews-1-0-news
2023-04-14 01:53:45 , udn , 馬英九訪陸參觀哪些陸企 背後又是如何安排？ , https://udn.com/news/story/7331/7097074?from=udn-ch1_breaknews-1-0-news
2023-04-14 01:53:56 , udn , 前總統馬英九3月27日至4月7日首次登陸，成為1949年兩岸分治後，首位造訪中國大陸的中華民國卸任總統，受到各界高度關注。馬英九此次大陸行，以祭祖掃墓、參訪抗戰遺跡與推動兩岸青年交流為主題，但之後卻在行程中增加了數家大陸企業的參訪行程，當中甚至有大陸國有企業。 , https://udn.com/news/story/7331/7097074?from=udn-ch1_breaknews-1-0-news
2023-04-14 02:02:45 , udn , 率團訪台遭中國制裁 美眾院外委會主席：榮譽勳章 , https://udn.com/news/story/6813/7097073?from=udn-ch1_breaknews-1-0-news
2023-04-14 02:02:55 , udn , 因為率團訪問台灣並晉見總統蔡英文而遭到中國制裁的美國聯邦眾議院外交委員會主席麥考爾表示，受到中共制裁是個榮譽勳章，諷刺的... , https://udn.com/news/story/6813/7097073?from=udn-ch1_breaknews-1-0-news
2023-04-14 02:29:49 , udn , 加拿大西部外海發生規模6淺層地震 無海嘯威脅 , https://udn.com/news/story/6809/7097080?from=udn-ch1_breaknews-1-0-news
2023-04-14 02:29:59 , udn , 美國地質調查所（USGS）表示，加拿大西部外海今天發生規模6.0淺層地震，但未引發海嘯警報，目前並無災損或傷亡消息 , https://udn.com/news/story/6809/7097080?from=udn-ch1_breaknews-1-0-news
2023-04-14 02:56:43 , udn , 馬克宏涉台言論挨批  德國擬釐清事實以正視聽 , https://udn.com/news/story/6809/7096819?from=udn-ch1_breaknews-1-0-news
2023-04-14 02:56:53 , udn , 中共環台軍演落幕後，德國外長貝爾伯克首次出訪北京。在法國總統馬克宏發表涉台爭議言論後，貝爾伯克此行可能必須做出更多解釋，... , https://udn.com/news/story/6809/7096819?from=udn-ch1_breaknews-1-0-news
2023-04-14 03:26:43 , udn , 拒婚成千萬人的英文老師 「因愛啟程」解密彭蒙惠人生 , https://udn.com/news/story/7266/7097098?from=udn-ch1_breaknews-1-0-news
2023-04-14 03:26:53 , udn , 「台灣退出聯合國時，我在台灣；921大地震我也在台灣，我就是台灣人。」96歲的美籍宣教士彭蒙惠，創辦「空中英語教室」成為... , https://udn.com/news/story/7266/7097098?from=udn-ch1_breaknews-1-0-news
2023-04-14 03:59:48 , udn , 美五角大廈洩密案 FBI逮捕21歲國民警衛隊員 , https://udn.com/news/story/6813/7097103?from=udn-ch1_breaknews-1-0-news
2023-04-14 03:59:58 , udn , 五角大廈機密文件大舉外洩事件有重大進展，聯邦調查局(FBI)在13日逮捕了21歲的Jack Teixeira，據FBI表... , https://udn.com/news/story/6813/7097103?from=udn-ch1_breaknews-1-0-news
2023-04-14 05:41:44 , udn , 通膨連續降溫 道瓊漲383點、那指上揚近2% , https://udn.com/news/story/6811/7097118?from=udn-ch1_breaknews-1-0-news
2023-04-14 05:41:54 , udn , 交易員為另一份顯示美國通膨降溫的報告歡呼，美股收盤大漲。 , https://udn.com/news/story/6811/7097118?from=udn-ch1_breaknews-1-0-news
2023-04-14 06:21:05 , udn , 【總編開箱】打詐國家隊零裁罰 打詐三法能嚇誰？ , https://udn.com/news/story/123468/7097035?from=udn-ch1_breaknews-1-0-news
2023-04-14 06:21:15 , udn , 對於「打詐」這檔事，民進黨政府其實一直是「很認真」的。早在去年七月，行政院就頒發了「新世代打擊詐欺策略行動綱領」，據說這綱領花了一年七個月，整合了內政部、國家通訊委員會、金管會、法務部等單位成立了「打詐國家隊」，這行動綱領寫得多好，要以「識詐、堵詐、阻詐、懲詐」四大面向訂定策略，要建立國內「防詐騙、毀工具、擋金流、清集團」終極目標，這一大文章深得當時蘇貞昌院長的歡心，大讚政府能「統合跨部會行動」，守護人民財產。 , https://udn.com/news/story/123468/7097035?from=udn-ch1_breaknews-1-0-news
2023-04-14 06:21:36 , udn , 圖解校園霸凌5大類型 近5年通報數節節攀升 , https://udn.com/news/story/7314/7096994?from=udn-ch1_breaknews-1-0-news
2023-04-14 06:21:46 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。近日台灣校園霸凌頻傳，昨又傳出高中生向霸凌者潑熱水回擊，這次的圖表帶你看校園霸凌暗藏多少黑數。 , https://udn.com/news/story/7314/7096994?from=udn-ch1_breaknews-1-0-news
2023-04-14 06:33:03 , udn , 2024立委戰／堅偉大戰刀刀見骨 「小三」風波對何志偉殺傷力大 , https://udn.com/news/story/6656/7097052?from=udn-ch1_breaknews-1-0-news
2023-04-14 06:33:13 , udn , 民進黨台北市中山大同區立委初選上演現任立委何志偉與台北市議員王世堅的「堅偉大戰」，現在又出現新的「參戰者」。民進黨台北市議員陳怡君出面控訴被抹黑成黨內英系中常委黃承國的「小三」，不排除提告；黃承國也出面表態「忍無可忍，無須再忍」，並說他因為30多年前黑道背景被「改革」了，但「黑金」的「黑」被改革了，黨內人人皆知的「大金牛」卻還沒被掃除？ , https://udn.com/news/story/6656/7097052?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:02:55 , udn , 今天留意霧霾空汙 吳德榮：明轉陣雨、有雷雨發生機率 , https://udn.com/news/story/7266/7097164?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:03:06 , udn , 今晨西半部空氣品質不佳，嘉義有濃霧。中央氣象局發布濃霧特報，今天金門、馬祖及清晨西半部地區易有局部霧或低雲影響能見度，嘉... , https://udn.com/news/story/7266/7097164?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:03:26 , udn , 美機密情報外洩案 21歳空軍國民警衛隊網路人員被捕 , https://udn.com/news/story/6813/7097163?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:03:37 , udn , 美國聯邦調查局逮捕了一名21歲的空軍國民警衛隊士兵，指其涉嫌洩露地圖、情報更新和俄烏戰爭評估等高度機密文件。 , https://udn.com/news/story/6813/7097163?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:32:53 , udn , 調查官涉收賄 包庇受刑人利用借提機會私會家屬 , https://udn.com/news/story/7321/7097172?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:33:04 , udn , 澎湖縣調查站陳姓組長任調查局嘉義調站調查官期間，涉嫌收受在押人犯賄款，換取利用借提出監時處理私事，廉政署南調組昨秘密搜索... , https://udn.com/news/story/7321/7097172?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:33:24 , udn , 西區群雄割據vs.東區三強鼎立 字母哥可望奪回總冠軍 , https://udn.com/news/story/122629/7096801?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:33:35 , udn , 隨著本季附加賽的熱戰，東西區季後賽首輪對戰組合就待最後兩場球來決定東西區第八種子出線後，便將正式開打首輪系列賽。今年的季後賽東西區將呈現截然不同的風貌，值得從首輪開始細細品嚐。

以西區來說，例行 , https://udn.com/news/story/122629/7096801?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:33:55 , udn , 雷霆重建第三年人才輩出 翻身之仗後風雲再起 , https://udn.com/news/story/122629/7096400?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:34:06 , udn , 重建第三年，西區例行賽第10雷霆在季後賽附加賽123：118淘汰西區第9鵜鶘，成功為自己打開前進季後賽第一扇門。雷霆還需要打開第二扇門，才能重返季後賽。雷霆將在台北時間4月15日(周六)迎戰灰狼，勝隊 , https://udn.com/news/story/122629/7096400?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:34:26 , udn , 春哥侃陸／北京熱議美中「新冷戰」 知美派拋「再對話」卻很悲觀？ , https://udn.com/news/story/7331/7096446?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:34:37 , udn , 今年以來，北京和華盛頓關係持續緊張，近期圍繞著台海和南海，北京學界熱議的是「新冷戰」，主流說法不僅認定「新冷戰」已打響，還指中國大陸近期重大政經動向，都與「新冷戰」有關。又有說「新冷戰」打響之說，在財經圈熱過政治圈、特別是熱過國際關係學圈，但北京「知美派」代表人物這時也有新論，那是提出中美關係的「再對話」。 , https://udn.com/news/story/7331/7096446?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:34:57 , udn , 當印度人口登全球之冠 想接棒大陸享人口紅利 得先解決致命傷 , https://udn.com/news/story/6811/7095047?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:35:08 , udn , 聯合國估計，印度將在4月14日這一天全國人口達到14億2577萬5850人，超越中國大陸成為世上人口最多的國家。

國際貨幣基金（IMF）發布2023年經濟展望時表示，在充滿悲觀情緒和經濟步履蹣跚的一年中，印度仍然是個亮點。印度和中國預計將貢獻今年全球經濟成長的50%。像蘋果這樣的大公司正在將產能轉移到該國，印度央行認為該國將在2029年成為世界第三大經濟體。

然而，印度在迎接人口紅利時期之前，卻還有許多問題要解決，恐怕沒那麼容易... , https://udn.com/news/story/6811/7095047?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:56:51 , udn , 一場悲劇改變美國海軍...史上最慘核潛艦事故滿60年 至今仍是迷 , https://udn.com/news/story/10930/7095528?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:57:02 , udn , 1963年4月10日，美軍最先進的長尾鯊號（USS Thresher SSN-593）核子潛艦，在麻州外海大西洋，進行首度大修後的試航。上午的科目是深潛測驗，長尾鯊號下潛至400公尺的超深海。上午9時13分，潛艦接近最大深度，水面上伴隨的救難艦雲雀號（USS Skylark ASR-20）收到模糊聲音，「出了小問題，角度向上，正排空水櫃。」雲雀號迅速回覆，海面沒有其他船隻，長尾鯊號緊急上浮時不必擔心，但後只傳來斷續的模糊聲音。9時18分，水下傳來爆炸聲響，雲雀號連忙對海投出手榴彈，這是約定好一旦水下通話器故障，潛艦聽到爆炸聲，就要緊急上浮的信號。

長尾鯊號始終不曾浮出水面，129人罹難。這是歷史上第一場核潛艦事故，也是死亡人數最多的核潛艦事故。雖然美軍持續紀念長尾鯊號失事，但60年後的今天，真相依舊充滿謎團。 , https://udn.com/news/story/10930/7095528?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:57:23 , udn , 一個人生病／罹癌後化療都沒人陪...獨自住院如何不無助 她開刀前先說愛 , https://udn.com/news/story/7266/7090739?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:57:33 , udn , 網路流傳「孤獨等級表」，其中最頂級是「一個人動手術」，不過有些獨自住院開刀的人並不感覺孤寂或無助。例如一名48歲的單親媽媽，在去年10月時發現乳癌第二期，但她不管是手術還是化療，都選擇自己一個人住院，就算第一次化療時遭遇過敏性休克，也仍然堅強面對，她到底是如何做到的？而另一名長年租屋獨居的葉小姐，也曾經自己一個人住院進行全身麻醉手術，但原本冷靜的心情，卻在入院閱讀麻醉同意書時起了波濤，她愈讀愈緊張，幸好最後一通電話，總算讓她找到了調整心態的法寶... , https://udn.com/news/story/7266/7090739?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:57:53 , udn , 直銷女首席控下屬辱她「大老鼠」 這家公司有爭議法院判無罪 , https://udn.com/news/story/7321/7097183?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:58:04 , udn , 陳姓直銷公司首席不滿王姓女業務督導在IG上寫下「到處欺騙」「大老鼠」等字語，還說她的照片「恐怖到連鬼都退避三舍」，自訴公... , https://udn.com/news/story/7321/7097183?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:58:24 , udn , 廈門台商協會拜會金門議長洪允典 將共同促成陸客來金 , https://udn.com/news/story/7327/7097182?from=udn-ch1_breaknews-1-0-news
2023-04-14 07:58:35 , udn , 小三通重啟後，廈門市台商協會由會長韓螢煥率隊昨天首次跨海蒞金交流，他相當關心金門的發展，得知金門縣目前正在積極的爭取開放... , https://udn.com/news/story/7327/7097182?from=udn-ch1_breaknews-1-0-news
2023-04-14 08:11:53 , udn , 巴菲特「賣台積電」原因被酸爆 網曝陰謀論：操作散戶利益交換 , https://udn.com/news/story/12806/7095973?from=udn-ch1_breaknews-1-0-news
2023-04-14 08:12:04 , udn , 「股神」巴菲特表示，波克夏公司（Berkshire Hathaway）去年投資台積電（2330）是 出自他的手筆，波克夏去年第3季斥資40多億美元大買台積電ADR，才過一季又大砍持股86%，主因是擔心中國大陸與台灣之間的地緣政治緊張局勢。但網友質疑「買的時候沒地緣政治問題？都多久了，搞不好當初會買進台積電，是跟某些單位的利益交換」。 , https://udn.com/news/story/12806/7095973?from=udn-ch1_breaknews-1-0-news
2023-04-14 08:12:24 , udn , 【專家之眼】大學院校是在加護病房，還是半躺在棺材？ , https://udn.com/news/story/6885/7097190?from=udn-ch1_breaknews-1-0-news
2023-04-14 08:12:35 , udn , 最近有台大和清華大學曾擔任過校長的教授，出來談台灣高等教育的問題。其中一位説我們的大學其實是「血汗工廠」；另一位則以台灣... , https://udn.com/news/story/6885/7097190?from=udn-ch1_breaknews-1-0-news
2023-04-14 08:12:56 , udn , 春雨要來了 專家：明天清晨鋒面雲帶移入 但只影響1天 , https://udn.com/news/story/7266/7097188?from=udn-ch1_breaknews-1-0-news
2023-04-14 08:13:06 , udn , 天氣風險公司天氣分析師李至晟說，今天受到東南到偏南風影響，將是近期最溫暖的一天，中午前後相當悶熱，除了沿海可能略低於30... , https://udn.com/news/story/7266/7097188?from=udn-ch1_breaknews-1-0-news
2023-04-14 08:13:27 , udn , 爸爸是運動狂人帶全家跑馬拉松  高顏值正妹從衝關門壓線到挑戰三鐵前三 , https://udn.com/news/story/121721/7095730?from=udn-ch1_breaknews-1-0-news
2023-04-14 08:13:37 , udn , 家裡有個愛運動成痴的老爸，對Ruby來說，是幸福的存在。從小就被爸爸拉著接觸運動，長大以後，換她成了號召影響周遭人開始運動，自己更一路從初馬只差5秒被關門，到成功挑戰三鐵前三名，享受T台上的自信風景。Ruby接受全台最大女性健身社群「有肌勵」專訪，透露小時候一直都很自卑，很依賴別人，去哪裡都不敢一個人，爸爸讓她從小開始學游泳，培養運動的好習慣，希望能夠用體魄的強健帶動心靈堅強。 , https://udn.com/news/story/121721/7095730?from=udn-ch1_breaknews-1-0-news
2023-04-14 08:14:53 , udn , 【即時短評】選舉像愛情 侯友宜沒時間等了 , https://udn.com/news/story/6656/7097193?from=udn-ch1_breaknews-1-0-news
2023-04-14 08:15:03 , udn , 新北市長侯友宜日前憂心遭批落跑市長，對參選總統僅敢「類表態」。但其實去年九合一大選，林佳龍慘敗45萬票已間接為侯友宜解套... , https://udn.com/news/story/6656/7097193?from=udn-ch1_breaknews-1-0-news
2023-04-14 08:33:13 , udn , 坂本龍一、李坤城都死於大腸直腸癌 醫師提醒注意這5症狀 , https://udn.com/news/story/7266/7097201?from=udn-ch1_breaknews-1-0-news
2023-04-14 08:33:23 , udn , 大腸直腸癌發生率連續15年居全國首位，每半小時約新增例，日本知名作曲家坂本龍一、國內詞曲創作人家李坤城，分別因罹患直腸癌... , https://udn.com/news/story/7266/7097201?from=udn-ch1_breaknews-1-0-news
2023-04-14 08:48:13 , udn , 越南婦食地道小吃後頭痛暈倒 揭體內有大量寄生蟲 移至腦內築巢 , https://udn.com/news/story/6810/7097207?from=udn-ch1_breaknews-1-0-news
2023-04-14 08:48:23 , udn , 越南當地的特色美食，有一款比鴨仔蛋還要讓人聞風喪膽，就是用生血製成的「血凍」(Tiet canh)。當地有婦人早前因愛吃這款血凍而差點喪命，某天她在家中突然感到劇烈頭痛，並且昏迷暈倒，家人以為她中風，送院後發現原來其體內有大量寄生蟲，並已在腦內築巢，甚至在手腳的皮膚底下爬行。醫生推斷她可能進食了不潔的血凍而感染寄生蟲。 , https://udn.com/news/story/6810/7097207?from=udn-ch1_breaknews-1-0-news
2023-04-14 08:51:13 , udn , 肯氏南洋杉傾斜不倒如比薩斜塔 嘉義市樹木園鎮園之寶逾百年 , https://udn.com/news/story/7326/7097210?from=udn-ch1_breaknews-1-0-news
2023-04-14 08:51:23 , udn , 嘉義市樹木園樹齡逾120年的「鎮園之寶」－國內最巨大珍貴老樹「肯氏南洋杉」，傾斜不倒如同比薩斜塔，為防颱風豪雨傾倒壓傷人... , https://udn.com/news/story/7326/7097210?from=udn-ch1_breaknews-1-0-news
2023-04-14 08:52:14 , udn , 最強股東會紀念品現身 中鋼送「傘Ｑ」展現韌性特質 , https://udn.com/news/story/7252/7097202?from=udn-ch1_breaknews-1-0-news
2023-04-14 08:52:24 , udn , 為感謝股東長期的支持與愛護，並回應股東以往對中鋼（2002）贈傘的肯定與喜愛，中鋼精心推出今(2023)年度股東會紀念品... , https://udn.com/news/story/7252/7097202?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:03:13 , udn , 中南部空汙嚴重「紅通通」 彭啟明指出關鍵原因 , https://udn.com/news/story/7266/7097226?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:03:24 , udn , 今天中南部空氣品質相當差，環保署提醒二林、台南（麻豆）、東區林森路（台南市政府衛生局林森辦公室）、嘉義、新港、新營、台南... , https://udn.com/news/story/7266/7097226?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:03:44 , udn , 惹惱日本等夥伴！德外委會主席：馬克宏將為台海爭議言論付出代價 , https://udn.com/news/story/6809/7097198?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:03:55 , udn , 法國總統馬克宏說歐洲不應盲從美國捲入台海的爭議言論持續延燒，德國國會外委會主席羅思指責此舉惹惱日本等夥伴，導致歐洲分裂，... , https://udn.com/news/story/6809/7097198?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:06:14 , udn , 4/14【早晨財經速解讀】標普再創波段高 國安基金退場大賺15% 台股誰來接盤? , https://udn.com/news/story/7251/7097216?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:06:24 , udn , 國安基金昨（13）日召開第1季例會，決定即起結束護盤，終結本次共275天、史上最長護盤任務，總計投入545.08億元，金額為史上第三高，帳面未實現獲利79億餘元，加上獲配股利4億餘元，合計獲利83億餘元，投報率15%。 , https://udn.com/news/story/7251/7097216?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:06:44 , udn , 阿諾史瓦辛格修補道路坑洞 隔空槓上官員 , https://udn.com/news/story/6813/7097214?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:06:55 , udn , 前加州州長、影星阿諾史瓦辛格（Arnold Schwarzenegger）在社群網站貼出影片，他帶人親手修補馬路，獲粉絲... , https://udn.com/news/story/6813/7097214?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:08:17 , udn , 肯氏南洋杉「傾斜不倒」如比薩斜塔 嘉義市樹木園鎮園之寶逾百年 , https://udn.com/news/story/7326/7097210?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:12:14 , udn , 北韓稱試射火星-18洲際彈道飛彈 金正恩攜愛女一同觀看 , https://udn.com/news/story/6809/7097197?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:12:24 , udn , 北韓官方媒體今天報導，北韓已試射一枚新型固體燃料洲際彈道飛彈「火星-18」（Hwasong-18），目的在增強核反擊能力 , https://udn.com/news/story/6809/7097197?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:13:15 , udn , 影／阿諾史瓦辛格修補道路坑洞 汽車停下道謝 卻意外隔空槓官員 , https://udn.com/news/story/6813/7097214?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:15:14 , udn , 塗鴉客出沒？嘉義市文化路人行地下道牆壁遭噴漆汙損 , https://udn.com/news/story/7326/7097250?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:15:25 , udn , 嘉義市區秀泰影城旁文化路人行地下道，遭人噴漆汙損，市府工務處接獲檢舉，疑塗鴉客所為，但噴漆文字大多為情愛有關內容，不像塗... , https://udn.com/news/story/7326/7097250?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:21:15 , udn , 張育成3支0靠保送本季首上壘 美記者：前1安還是經典賽 , https://udn.com/news/story/7001/7097255?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:21:25 , udn , 張育成連續兩場先發出賽，還是未能迎來本季首安，今天3打數沒有安打、靠1次保送本季首度上壘，上壘率先開張，打擊率仍然是0，... , https://udn.com/news/story/7001/7097255?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:21:46 , udn , 畢業後高中導師竟傳訊求上床 女學生大崩潰「青春留下污點」 , https://udn.com/news/story/6812/7096665?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:21:56 , udn , 幾年前「房思琪事件」鬧得沸沸揚揚，教師藉由自己的權力來騷擾女學生，想進一步發生肉體上的關係，是非常令人不能接受的惡行。無獨有偶，近來在日本，也爆發了一起類似糾紛。 , https://udn.com/news/story/6812/7096665?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:24:14 , udn , 秦剛會見拉夫羅夫 稱繼續推動烏克蘭問題政治解決 , https://udn.com/news/story/7331/7097262?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:24:24 , udn , 據大陸外交部消息，中國大陸外長秦剛13日藉在撒馬爾罕出席阿富汗鄰國外長會議時，會見了俄羅斯外長拉夫羅夫。秦剛與拉夫羅夫都... , https://udn.com/news/story/7331/7097262?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:26:16 , udn , 最新地緣角力戰場在這！這行業熱到搶聘高中生、讓美國衰退城鎮大回春  , https://udn.com/news/story/6811/7097215?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:26:27 , udn , 曾經輝煌的美國百年鋼鐵城韋頓（Weirton），過去20年間，是全美衰退最嚴重的城市之一，人們口中的「鐵鏽帶」。 , https://udn.com/news/story/6811/7097215?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:27:13 , udn , 行家才知...武陵農場稀有重辦櫻花綻放 最佳賞花期至月底 , https://udn.com/news/story/7325/7097267?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:27:18 , udn , 美元連跌三天至兩個月低點 歐元升至一年來最高 , https://udn.com/news/story/6811/7097246?from=udn-ch1_breaknews-1-0-news
2023-04-14 09:27:23 , udn , 武陵農場擁有逾2.1萬株櫻花且品種眾多，素有「櫻花博物館」美譽，雖然著名「紅粉佳人」的壯觀花海甫結束，但目前仍有不少特殊... , https://udn.com/news/story/7325/7097267?from=udn-ch1_breaknews-1-0-news
