2023-03-22 00:05:37 , udn , 「海水煉金」5年前台中沒成 今年將在大陸成真？ , https://udn.com/news/story/7331/7047525?from=udn-ch1_breaknews-1-0-news
2023-03-22 01:23:58 , udn , 「不打不成器」是華人社會根深蒂固的觀念，家長管教小孩天經地義，民法也賦予父母懲戒子女的權利，但懲罰過當會傷害親子關係，父母也會吃上官司。心理學家阿德勒的正向教養近年在家長間成為主流，正向教養不用「愛的小手」、「雞毛撢子」威嚇孩子，但得要堅定的教養原則，才能成功。 , https://udn.com/news/story/6885/7047639?from=udn-ch1_breaknews-1-0-news
2023-03-22 01:53:29 , udn , 大批軍火走私來台！菲律賓查獲90把長短槍、拘捕4台人 , https://udn.com/news/story/7315/7047644?from=udn-ch1_breaknews-1-0-news
2023-03-22 01:53:39 , udn , 台灣槍枝走私集團疑準備透過漁船從菲律賓運輸槍枝來台，刑事局與菲國警方合作偵辦，在當地拘捕4名台籍男子，陸續查獲90把長、... , https://udn.com/news/story/7315/7047644?from=udn-ch1_breaknews-1-0-news
2023-03-22 02:26:28 , udn , 桃園市區深夜驚傳墜樓  男子20層高樓落下身首分離 , https://udn.com/news/story/7320/7047653?from=udn-ch1_breaknews-1-0-news
2023-03-22 02:26:38 , udn , 桃園市桃園區某知名KTV附近今深夜12時許驚傳墜樓事件，一名男子自逾20層高樓落下，頭顱因不明原因與身體分離、滾到對面超... , https://udn.com/news/story/7320/7047653?from=udn-ch1_breaknews-1-0-news
2023-03-22 02:59:01 , udn , 淡水秀233自助畫室音樂講座 一邊聽歌一邊畫畫 , https://udn.com/news/story/7241/7047470?from=udn-ch1_breaknews-1-0-news
2023-03-22 02:59:11 , udn , 自許為「觀音山大使」的創作歌手阿家（林助家）將於4月29日周六下午，與「 秀233自助畫室」共同舉辦聽歌彩繪講座，主題是... , https://udn.com/news/story/7241/7047470?from=udn-ch1_breaknews-1-0-news
2023-03-22 03:00:02 , udn , 陸府垂直森林相繼落成 最新推案「陸府續森」受矚目 , https://udn.com/news/story/7241/7047448?from=udn-ch1_breaknews-1-0-news
2023-03-22 03:00:13 , udn , 以生機建築聞名的陸府建設，近幾年推案集中在低密度的單元二重劃區，繼「陸府植森」以首座單元二建案入列台中十大豪宅之後，第二... , https://udn.com/news/story/7241/7047448?from=udn-ch1_breaknews-1-0-news
2023-03-22 03:19:28 , udn , 美商務部晶片顧問將訪台 討論全球供應鏈 , https://udn.com/news/story/6813/7047610?from=udn-ch1_breaknews-1-0-news
2023-03-22 04:23:29 , udn , 桃園深夜驚傳墜樓  男子20層高樓落下「身首分離 」頭顱滾到對街 , https://udn.com/news/story/7320/7047653?from=udn-ch1_breaknews-1-0-news
2023-03-22 04:47:01 , udn , 中俄簽署聯合聲明 強調俄烏應儘快和談、反對單邊制裁 , https://udn.com/news/story/122663/7047602?from=udn-ch1_breaknews-1-0-news
2023-03-22 06:02:27 , udn , 葉倫力挺銀行 股指連漲兩天 , https://udn.com/news/story/6811/7047679?from=udn-ch1_breaknews-1-0-news
2023-03-22 06:02:38 , udn , 在財政部長葉倫保證一定會防範進一步的銀行業危機之後，交易員對金融業的前景變得樂觀，美股上漲。在Fed 22日宣布利率之前... , https://udn.com/news/story/6811/7047679?from=udn-ch1_breaknews-1-0-news
2023-03-22 06:08:27 , udn , 蔡總統將過境美國 白宮：北京沒理由反應過度 , https://udn.com/news/story/6656/7047695?from=udn-ch1_breaknews-1-0-news
2023-03-22 06:08:37 , udn , 蔡英文總統下周出訪中美洲期間，將過境美國；白宮表示，北京沒有理由反應過度，近年來每一位台灣總統都曾過境美國，這是非官方且... , https://udn.com/news/story/6656/7047695?from=udn-ch1_breaknews-1-0-news
2023-03-22 06:23:27 , udn , 與其刪掉父母懲戒權 不如詳列限制但書 , https://udn.com/news/story/6656/7047636?from=udn-ch1_breaknews-1-0-news
2023-03-22 06:23:37 , udn , 民法規定「父母得於必要範圍內懲戒其子女」被監察院國家人權委員會認為違反聯合國兒童權利公約，法務部為此將修法把條文中「懲戒」拿掉，改為「父母保護及教養未成年子女，應考量子女之年齡及發展程度，尊重子女之人格，不得對子女為身心暴力行為。」修法雖迎合國際潮流，但定義不明確又缺乏配套，恐讓父母或小孩認為什麼都不能做而導致管教進退失據；這次修法應強調的是不得有妨害子女身心健康的暴力行為，而非否定父母懲戒權。 , https://udn.com/news/story/6656/7047636?from=udn-ch1_breaknews-1-0-news
2023-03-22 06:23:58 , udn , 父母懲戒、教養難拿捏 解析兒少受虐關鍵數字 , https://udn.com/news/story/7314/7047626?from=udn-ch1_breaknews-1-0-news
2023-03-22 06:24:08 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。法務部擬修法刪除父母的懲戒權，這次圖表帶你了解我國兒少受虐情形。 , https://udn.com/news/story/7314/7047626?from=udn-ch1_breaknews-1-0-news
2023-03-22 06:50:37 , udn , 今天起熱得像夏天 吳德榮：周六有望聽見「春雷乍響」 , https://udn.com/news/story/7266/7047727?from=udn-ch1_breaknews-1-0-news
2023-03-22 06:50:48 , udn , 今天全台大都晴時多雲，中央大學大氣科學系兼任副教授吳德榮說，從今天到周五，白天暖熱如夏、早晚稍涼，各地高溫將升至32度至... , https://udn.com/news/story/7266/7047727?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:14:58 , udn , 經典賽／日、美大決戰前 大谷翔平與楚奧特先相擁留下經典一幕 , https://udn.com/news/story/10785/7047731?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:15:09 , udn , 2023經典賽今天上演最後大戰，由日本對抗美國，其中日本名將大谷翔平將與大聯盟天使隊友楚奧特進行打擊對決，大聯盟特別於賽前練習時上傳大谷與楚奧特相擁的照片，成為這屆比賽經典的一幕。

大谷被日本隊 , https://udn.com/news/story/10785/7047731?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:20:58 , udn , 影／缺蛋乾脆自己在家養迷你雞 吹起盧丁雞、黃沙維風潮 , https://udn.com/news/story/122475/7047732?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:21:08 , udn , 蛋荒持續，在家自己養迷你雞，好玩又好吃，迷你盧丁雞與鵪鶉也跟著爆紅。飼養民眾表示，這股養迷你雞的風潮從對岸傳過來已有一段... , https://udn.com/news/story/122475/7047732?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:21:29 , udn , 她腳踏兩條船？ 健身教練勒死女友 拒承認是恐怖情人 , https://udn.com/news/story/7317/7047734?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:21:39 , udn , 健身教練張育銘不滿女友分手，以整理搬家物品為由約女友回到共同租屋處，趁女友背對他時勒斃，警方到場時他反鎖房門持刀自戕，送... , https://udn.com/news/story/7317/7047734?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:22:30 , udn , 經典賽Live／日、美爭冠大戰先發出爐 大谷翔平與楚奧特打擊對決 , https://udn.com/news/story/10785/7046959?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:22:41 , udn , 【賽前報導】

經典賽22日上午7時美國對決日本大戰，美國隊終於亮劍了，預計安排由效命響尾蛇隊的凱利（Merrill Kelly）擔任先發投手，來對抗日本今永昇太，但預期是投手車輪戰之下，兩名投手 , https://udn.com/news/story/10785/7046959?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:26:59 , udn , 中職／兵多將廣不畏低潮攪局 兄弟拚三連霸不是難事 , https://udn.com/news/story/122629/7047361?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:27:10 , udn , 經過經典賽的激情後，中華隊國手們陸續回歸母隊，準備開始新的職棒賽季。統一獅、樂天桃猿及味全龍季前都從自由市場簽下即戰力，獅隊找來林益全、桃猿補入陳鴻文、龍隊則簽下王躍霖及高孝儀，補上球隊最缺的環節。富 , https://udn.com/news/story/122629/7047361?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:27:30 , udn , 張育成真心話  道出大聯盟亞洲球員的孤獨 , https://udn.com/news/story/122629/7047133?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:27:41 , udn , 在中華隊輸給古巴、無緣進軍世界棒球經典賽第二輪複賽的兩天後，張育成和吉力吉撈‧鞏冠曾效力的小聯盟球隊林奇堡山貓隊（Lynchburg Hillcats，克里夫蘭守護者隊旗下1A）在官方推特上發了一張張 , https://udn.com/news/story/122629/7047133?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:28:01 , udn , 大學實測ChatGPT寫報告結論一樣 恐違反學倫衝擊高教 , https://udn.com/news/story/6928/7047004?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:28:11 , udn , AI聊天機器人ChatGPT掀起熱潮，尤其在大數據及資料的蒐集功能讓不少人驚豔，但其便利性恐怕也會為校園帶來衝擊！日前有老師在課堂上試驗，讓學生分組使用ChatGPT討論議題並提出結論，試驗結果5組同學提出的結論幾乎如出一轍，讓這名老師非常驚訝。 , https://udn.com/news/story/6928/7047004?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:28:32 , udn , AI風潮／理專會被AI取代嗎？金融業董總：OMO讓客戶體驗更好 , https://udn.com/news/story/7238/7041846?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:28:42 , udn , 人工智慧（AI）聊天機器人ChatGPT問世，引爆出AI熱潮，各行各業都躍躍欲試想知道AI聊天機器人在各產業的實際運用。特別是金融業為服務客戶，各家金控近年砸下大錢在發展金融科技、AI，在聊天機器人問世後，估計運用在金融服務上會更多元，但也讓不少行員、理專、業務員擔憂「未來會被取代嗎？」 , https://udn.com/news/story/7238/7041846?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:45:01 , udn , 調查局研發海洛因快篩試劑  宏都拉斯獲贈即傳斷交危機 , https://udn.com/news/story/7315/7047741?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:45:11 , udn , 近年毒品走私市場氾濫，有高達7成以上毒品透過海、空運貨物及郵包管道，以偽裝、夾藏等方式企圖闖關入境，調查局為提升第一線人... , https://udn.com/news/story/7315/7047741?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:48:01 , udn , MLB／簽證搞定！張育成23日搭機返美 加入紅襪春訓 , https://udn.com/news/story/6999/7047743?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:48:11 , udn , 「國防部長」張育成終於搞定簽證，他在個人臉書上公布，將在3月23日搭機返美，準備從中華隊國手身分切換為大聯盟球員，到紅襪... , https://udn.com/news/story/6999/7047743?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:57:04 , udn , 中國東方航空「垂直墜機」原因未解 謠傳蓄意撞地的謎團核心是他 , https://udn.com/news/story/10930/7046493?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:57:14 , udn , 3月21日是中國東方航空MU5735班機失事一周年，這起中國大陸近年最嚴重的空難，造成機上132人全部罹難，事發至今，許多不合理的疑團，始終沒有答案，中共當局諱莫如深，小道消息不斷。飛行員蓄意駕機撞地自殺的說法，甚囂塵上。

在空難屆滿周年前夕，大陸官方20日晚間發布了久違的調查通報，宣稱當局一年來進行現場勘查、資料檢查、人員訪談與實驗分析，但事故非常複雜，極為罕見，將持續深入進行調查，但對於目前為止的調查發現，沒有任何進一步闡釋。 , https://udn.com/news/story/10930/7046493?from=udn-ch1_breaknews-1-0-news
2023-03-22 07:59:56 , udn , 【專家之眼】全力支持馬英九登陸 , https://udn.com/news/story/6656/7047747?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:00:07 , udn , 欣聞馬前總統有意登陸，引起各方熱議。在此美中對抗日熾，與兩岸關係緊繃之際，此行確實可以對於美中台三邊關係的緩和做出重大貢... , https://udn.com/news/story/6656/7047747?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:00:27 , udn , 台南永康臨時轉運站24日啟用  民嘆等20年、用生命換來的 , https://udn.com/news/story/7326/7047746?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:00:38 , udn , 台南市永康鹽行地區台一省道國道客運路邊停靠爭道亂象，市府規畫在永康物流及轉運專區內興建轉運站，且於工程過渡時期先行設置「... , https://udn.com/news/story/7326/7047746?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:02:59 , udn , 經典賽Live／一局上美國楚奧特率先敲安卻無功而返  對日本0:0  , https://udn.com/news/story/10785/7046959?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:08:56 , udn , 經典賽Live／一局美國楚奧特率先敲二壘安卻無功而返  對日本0:0  , https://udn.com/news/story/10785/7046959?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:11:57 , udn , 針對網傳HamsterRoboticsLab公司新聞影射瑞芯微的聲明 , https://udn.com/news/story/7333/7047565?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:12:08 , udn , 集微網消息，近日，有外媒報道稱俄羅斯公司Hamster Robotics Lab即將在自己的生產設施中完成基於中國某「R公司」芯片的單板計算機、處理器模塊和主板的開發和生產，疑影射指該公司為瑞芯微，對此瑞芯微發出聲明。 , https://udn.com/news/story/7333/7047565?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:12:28 , udn , 黑莓宣佈將以9億美元的價格出售其非核心專利 , https://udn.com/news/story/6811/7047654?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:12:39 , udn , 集微網消息，在終止與Catapult IP Innovations Inc（Catapult）的出售協議後，黑莓公司（BlackBerry）宣佈，已達成協議，將其幾乎所有非核心專利和專利申請出售給Key Patent Innovations Limited（KPI）新成立的子公司Malikie Innovations Limited（Malikie），交易產生的現金收益及潛在的未來特許權使用費總額高達9億美元。 , https://udn.com/news/story/6811/7047654?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:16:02 , udn , 調查局研發海洛因快篩試劑 宏都拉斯獲贈即傳斷交危機 , https://udn.com/news/story/7315/7047741?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:17:46 , udn , 3/22【早晨財經速解讀】標普重返4000點 鴿式升息vs.鷹式降息 馬斯克呼降息2碼 , https://udn.com/news/story/7251/7047751?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:17:56 , udn , 美國股市周二繼續反彈，銀行股領漲，「恐慌指標」大跌，政府穩定銀行業的措施奏效，減輕近來金融動盪將引發全面危機的疑慮。 , https://udn.com/news/story/7251/7047751?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:18:17 , udn , 奇數熱情、偶數內斂...生命靈數「九宮格」連連看剖析你個性 , https://udn.com/news/story/7268/7046281?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:18:27 , udn , 生命靈數分類的方式，並非只有1～9號人的9種類型，以統計數據來說，生命靈數奇數（1、3、5、7、9）的人，個性較為外顯、熱情、活潑， 並具有強烈的個人意識與想法，而生命靈數偶數（2、4、6、8）的人，個性則敏感、內斂、較少直接表達內心的想法，且願意成為順應大眾的人。就完整的生命靈數分析而言，需要透過以下五層數字和資訊的交叉比對與分析，才能解讀出每一個獨一無二的你。 , https://udn.com/news/story/7268/7046281?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:18:48 , udn , 經典賽Live／二局上美國透納開轟陽春砲 1：0領先日本  , https://udn.com/news/story/10785/7046959?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:23:47 , udn , NewJeans Dani變水果姐姐？英倫風上身時髦隨興全駕馭 , https://udn.com/news/story/7270/7047759?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:23:57 , udn , 被稱為「怪物新人」團的NewJeans近日話題不斷，其中團員Danielle除了年初成為Burberry代言人、力推全新... , https://udn.com/news/story/7270/7047759?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:26:47 , udn , 戒不掉洋芋片、巧克力？專家解密愛吃垃圾食物是身體缺了「這些」 , https://udn.com/news/story/6812/7047248?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:26:58 , udn , 吃完垃圾食物以後總是會有點罪惡感，但為什麼還是無法克制吃垃圾食物的慾望呢？原來身體渴望不同的食物代表著不同的意涵。 , https://udn.com/news/story/6812/7047248?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:27:18 , udn , 丁學文專欄／聯準會捅馬蜂窩 讓全球央行忙著提錢救火 , https://udn.com/news/story/7238/7046440?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:27:28 , udn , 從美國開始，3月10日矽谷銀行（SVB）爆發擠兌危機，重創存款人信心。聯準會（Fed）雖然出手救市，但資產負債表規模一周狂增近3000億美元，把辛辛苦苦實施的量化緊縮貨幣政策（QT）搞得功虧一簣。

不到一周，3月16日，去年就臭氣熏天的瑞士信貸（Credit Suisse）進一步逼得瑞士央行丟出500億瑞郎的貸款救生圈，仍然無法安撫存款人的心，終於逼得瑞士銀行（UBS）在3月20日硬著頭皮以32.5億美元承接了這個定時炸彈。為什麼Credit Suisse最後會以市值的三折出售，這是賤賣嗎？還是背後的錢坑更大？ , https://udn.com/news/story/7238/7046440?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:27:49 , udn , 現代•愛｜一張兩吋照片，一個父親的雙重人生 , https://udn.com/news/story/7272/7046060?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:27:59 , udn , Modern Love是紐約時報專欄，也譯作「摩登情愛」，由讀者投稿，講述與愛相關的故事，包括親子、手足、男女、朋友之間的各種愛。專欄部分篇章已改編為影集，在亞馬遜Prime Video播出。本報取得紐時授權，隔周精選一篇刊出。
【精彩劇透】爸爸是個全球出差的人，我和姊妹偶爾拿他長時間不在家開玩笑，說他可能在外另有個家。多年後我們發現，真有另外一家人存在。 , https://udn.com/news/story/7272/7046060?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:28:20 , udn , 照片看歷史／1957年大都會歌劇院第一女高音史蒂蓓來台獻藝 , https://udn.com/news/story/7314/7045214?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:28:30 , udn , 1957年3月22日，馳名國際歌壇的美國紐約大都會歌劇院第一女高音愛倫娜．史蒂蓓(Eleaner Steeber)女士下午4時半自港飛抵台北，訪問2日，23日下午8時在國際學舍登台。

史蒂蓓女士年齡雖然在40以上，但仍有令人驚異的風儀，舉止談吐，顯露出她藝術修養的火候，使見到她的人，都自然而然的尊敬她，喜歡她。在機場休息室，史蒂蓓女士與記者作十分鐘晤談，她深為下機時熱烈的歡迎所感動，也為這次，第一次有機會到自由中國來而喜悅，含蓄而豪放的笑聲，銀鈴般的聲調，有柔和而清楚的抑揚頓挫的節奏，一鼓作氣答復完每一個問題。 , https://udn.com/news/story/7314/7045214?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:28:51 , udn , 有焚風 花東、高雄台南中午前後恐達36度 氣象局發高溫特報 , https://udn.com/news/story/7266/7047762?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:29:01 , udn , 中央氣象局指出，今天各地天氣晴朗炎熱，東南部地區有焚風發生的機率，今日中午前後台東縣地區，台南市、高雄市近山區或河谷，花... , https://udn.com/news/story/7266/7047762?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:29:22 , udn , 經典賽／冠軍戰開轟！透納5轟追平大會紀錄 並肩李承燁 , https://udn.com/news/story/7001/7047761?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:29:32 , udn , 美國隊最火燙的男人透納（Trea Turner）今天再次開轟，世界棒球經典賽冠軍戰上演美日大戰，透納在2局上一發陽春砲先... , https://udn.com/news/story/7001/7047761?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:29:53 , udn , 經典賽Live／二局下日本「村神」村上宗隆全壘打建功 1：1追平美國  , https://udn.com/news/story/10785/7046959?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:44:38 , udn , 白宮官員：無跡象表明「普習會面可以為烏克蘭帶來和平」 , https://udn.com/news/story/6813/7047770?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:44:49 , udn , 白宮表示「沒有跡象」表明中國領導人習近平和俄羅斯總統普亭（Vladimir Putin）之間的會面可以為烏克蘭帶來和平。 , https://udn.com/news/story/6813/7047770?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:45:09 , udn , 經典賽Live／二局日本「村神」村上宗隆追平轟反攻  2：1領先美國  , https://udn.com/news/story/10785/7046959?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:47:36 , udn , 經典賽／奧運金牌、經典賽冠軍戰皆開轟 村上宗隆史上唯一 , https://udn.com/news/story/10785/7047776?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:47:46 , udn , 昨天才在四強戰上演再見安打扮演日本隊英雄，村上宗隆今天在世界棒球經典賽冠軍戰延續好手感，2局下首打席立刻開轟，一發陽春砲... , https://udn.com/news/story/10785/7047776?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:53:39 , udn , 岸田文雄訪基輔 澤倫斯基讚：歡迎「國際秩序堅定捍衛者」來訪 , https://udn.com/news/story/6809/7047784?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:53:49 , udn , 日本首相岸田文雄21日在基輔對烏克蘭總統澤倫斯基表示，七國集團（G7）將堅定支持烏克蘭。 , https://udn.com/news/story/6809/7047784?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:54:10 , udn , 阿里山腳下嘉市再現木都歷史風華 榮獲台灣景觀大獎 , https://udn.com/news/story/7326/7047778?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:54:20 , udn , 阿里山腳下的嘉義市，重現「木都」歷史風華，2019年市府推動「重現木都再造歷史現場計」，「木都2.0工作聚落」計畫結合木... , https://udn.com/news/story/7326/7047778?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:55:52 , udn , 經典賽22日上午7時美國對決日本大戰， , https://udn.com/news/story/10785/7046959?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:56:39 , udn , 王老先生講故事之267：家有籠子雞？ , https://udn.com/news/story/7340/7047787?from=udn-ch1_breaknews-1-0-news
2023-03-22 08:56:49 , udn , 小時候家境困難，母親就開始養雞，出售雞蛋貼補家用。母親養的雞都是來亨雞、紐航西、路島紅等洋種雞，因場地有限，只養了十幾二十隻，雞籠是二層樓式的。這些養在籠子裡的雞，我們都準時供應飼料、飲水，並清理糞便。牠們吃飽，就在籠子裡戲要或睡覺。我們對雞的希望，則是快點長大下蛋。 , https://udn.com/news/story/7340/7047787?from=udn-ch1_breaknews-1-0-news
2023-03-22 09:02:37 , udn , 護台南龍崎牛埔泥岩地景 立委、環團連出手出擊廢環評 , https://udn.com/news/story/7326/7047794?from=udn-ch1_breaknews-1-0-news
2023-03-22 09:02:47 , udn , 環保團體為促請政府保護珍貴台南龍崎牛埔地貌，正連署要求廢止歐欣掩埋場的舊環評，時代力量立委陳椒華昨也在院會臨時提案要求廢... , https://udn.com/news/story/7326/7047794?from=udn-ch1_breaknews-1-0-news
2023-03-22 09:02:48 , udn , 台南永康臨時轉運站24日啟用 民嘆等20年、用生命換來的 , https://udn.com/news/story/7326/7047746?from=udn-ch1_breaknews-1-0-news
2023-03-22 09:03:08 , udn , 高虹安看新竹棒球場案疑點重重 將組公共工程查核小組 , https://udn.com/news/story/7314/7047793?from=udn-ch1_breaknews-1-0-news
2023-03-22 09:03:18 , udn , 新竹市長高虹安接受本報專訪談及上任以來處理棒球場案，認為過程「疑點重重」，自己年初為確認場地是否合適爭辦WBC官辦熱身賽... , https://udn.com/news/story/7314/7047793?from=udn-ch1_breaknews-1-0-news
2023-03-22 09:03:39 , udn , 兒找遊民偽裝父親身分詐貸8百萬 氣得爸爸告上法院 , https://udn.com/news/story/7321/7047792?from=udn-ch1_breaknews-1-0-news
2023-03-22 09:03:49 , udn , 嘉義市李姓男子在鄭姓友人慫恿下拿取李父權狀、印章、身分證等，尋覓江姓遊民以每次1千元代價假扮李父，找不知情鄭姓金主借款，... , https://udn.com/news/story/7321/7047792?from=udn-ch1_breaknews-1-0-news
2023-03-22 09:04:10 , udn , UWB將迎來汽車應用大爆發 , https://udn.com/news/story/7240/7047563?from=udn-ch1_breaknews-1-0-news
2023-03-22 09:04:20 , udn , 在蘋果的帶動下，UWB在智能手機中的應用正在提速。但據 Qorvo相關負責人介紹，由於接口開放等原因，在這一領域的應用並沒有取得預期效果。 , https://udn.com/news/story/7240/7047563?from=udn-ch1_breaknews-1-0-news
2023-03-22 09:05:27 , udn , 高師大深耕大馬新南向7年 提升華文獨中合格教師資質量 , https://udn.com/news/story/6928/7047799?from=udn-ch1_breaknews-1-0-news
2023-03-22 09:05:37 , udn , 高雄師範大學表示，為補強華文獨立中學難獲大馬官方的資源支持，以致合格教師比例偏低，學校7年來赴大馬開設教師教育專業文憑專... , https://udn.com/news/story/6928/7047799?from=udn-ch1_breaknews-1-0-news
