2023-02-09 00:03:19 , udn , 會考生活英語／【交通篇】租借共享單車 , https://udn.com/news/story/6904/6939505?from=udn-ch1_breaknews-1-0-news
2023-02-09 01:27:20 , udn , 對於是否參選2024，郭台銘昨天上午才說未做最後決定，下午就表明「在等國民黨的一個辦法」，把他能否取得參選資格的燙手山芋... , https://udn.com/news/story/123307/6959595?from=udn-ch1_breaknews-1-0-news
2023-02-09 01:48:22 , udn , 【即時短評】論文抄襲沒關係 不要登記就沒事 , https://udn.com/news/story/6656/6959605?from=udn-ch1_breaknews-1-0-news
2023-02-09 01:48:22 , udn , 學倫與黑金被民進黨主席賴清德列為黨務改革首要的兩大事項，昨天都讓民進黨有些難堪。立院黨鞭柯建銘在中執會針對「擴大排黑」修... , https://udn.com/news/story/6656/6959605?from=udn-ch1_breaknews-1-0-news
2023-02-09 01:54:19 , udn , 冠軍和牛來了！美福舉辦「鹿兒島黑牛日本一」研討會 , https://udn.com/news/story/7270/6959607?from=udn-ch1_breaknews-1-0-news
2023-02-09 01:54:20 , udn , 鹿兒島縣於第12回「和牛奧運」贏得「內閣總理大臣賞」最高榮譽，適逢邊境解封，特別組團來台，分享此冠軍榮耀。美福貿易日前特... , https://udn.com/news/story/7270/6959607?from=udn-ch1_breaknews-1-0-news
2023-02-09 03:15:19 , udn , 商仲：2023商用不動產投資需求 高於住宅 , https://udn.com/news/story/7241/6958161?from=udn-ch1_breaknews-1-0-news
2023-02-09 03:15:19 , udn , 全球獨立不動產顧問公司萊坊（Knight Frank）今天發布2023年全球財富展望，結果顯示，全球投資人預期2023年... , https://udn.com/news/story/7241/6958161?from=udn-ch1_breaknews-1-0-news
2023-02-09 04:12:22 , udn , 為企業客製化音樂會 李哲藝談灣聲：讓音樂跟文化連結 , https://udn.com/news/story/7266/6959635?from=udn-ch1_breaknews-1-0-news
2023-02-09 04:12:22 , udn , 「古典音樂可以跟自己的文化息息相關。」灣聲樂團宣布開啟年全新樂季， 3月起有10檔平易近人、風格截然不同的主題音樂饗宴。... , https://udn.com/news/story/7266/6959635?from=udn-ch1_breaknews-1-0-news
2023-02-09 04:18:19 , udn , 白宮：持續與台灣討論防衛需求 美中沒有衝突理由 , https://udn.com/news/story/6813/6959637?from=udn-ch1_breaknews-1-0-news
2023-02-09 04:18:19 , udn , 白宮國安會戰略溝通協調官柯比（John Kirby）8日表示，美國會持續支持並與台灣討論其自我防衛需求，美國的「一個中國... , https://udn.com/news/story/6813/6959637?from=udn-ch1_breaknews-1-0-news
2023-02-09 05:54:20 , udn , 詹皇花20年登頂 NBA得分排行榜前5人 剩他在打球 , https://udn.com/news/story/7314/6959565?from=udn-ch1_breaknews-1-0-news
2023-02-09 05:54:20 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看湖人隊當家球星「小皇帝」詹姆斯超越傳奇球星「天勾」賈霸，成為NBA得分王的歷史一刻。 , https://udn.com/news/story/7314/6959565?from=udn-ch1_breaknews-1-0-news
2023-02-09 05:54:20 , udn , 2024國民黨如果真的很想贏 阿扁的話要聽進去 , https://udn.com/news/story/6656/6959581?from=udn-ch1_breaknews-1-0-news
2023-02-09 05:54:20 , udn , 國民黨對2024總統大選有很多的想像及主觀的期待，政黨有企圖心是件好事，但政治這事，「有夢」並不必然一定就會帶來「最美」的結果。國民黨在盤算拿回政權前，前總統陳水扁日前接受訪問的分析或許能幫助國民黨看到自己的「盲點」。 , https://udn.com/news/story/6656/6959581?from=udn-ch1_breaknews-1-0-news
2023-02-09 06:00:19 , udn , 不是單一偵察氣球 美國政府對盟友簡報「中國氣球隊」 , https://udn.com/news/story/123298/6959669?from=udn-ch1_breaknews-1-0-news
2023-02-09 06:00:19 , udn , 美軍4日擊落飄浮在美國領空的中國大陸偵察氣球，隨著打撈與分析作業進行，拜登政府官員表示，其背後是更大範圍的中國大陸氣球隊... , https://udn.com/news/story/123298/6959669?from=udn-ch1_breaknews-1-0-news
2023-02-09 06:06:21 , udn , 擔憂財報獲利 史指下跌逾1% , https://udn.com/news/story/6811/6959670?from=udn-ch1_breaknews-1-0-news
2023-02-09 06:06:21 , udn , 美股下跌，因投資人將注意力重新放在最新一批企業財報上。華爾街還繼續評估Fed未來政策舉措的前景。 , https://udn.com/news/story/6811/6959670?from=udn-ch1_breaknews-1-0-news
2023-02-09 06:12:20 , udn , 縣市結盟成趨勢 力量大？ 或只是抱團取暖？ , https://udn.com/news/story/6656/6959592?from=udn-ch1_breaknews-1-0-news
2023-02-09 06:12:20 , udn , 北北基桃區域治理成近期熱門討論議題，而縣市結盟成立區域治理平台漸成趨勢，不僅可和鄰近縣市溝通地方相關事務，也可抱團取暖向中央爭取支持，但人多力量就一定大嗎？學者強調，區域結盟沒有約束力，若缺乏明確目標，容易因政黨或首長個人原因而失效。 , https://udn.com/news/story/6656/6959592?from=udn-ch1_breaknews-1-0-news
2023-02-09 06:30:19 , udn , 影音／尷尬了！Google秀新搜尋技術 糗變「向全世界表演弄丟手機」 , https://udn.com/news/story/7088/6959697?from=udn-ch1_breaknews-1-0-news
2023-02-09 06:30:19 , udn , Google在台灣時間2月8日晚間8點半舉辦以「搜尋、地圖與更多」為主題的「Live from Paris」的線上發表會，不料展示到一半竟發現要展示的手機不見了，讓現場尷尬不已，該影片也引起討論瘋傳。 , https://udn.com/news/story/7088/6959697?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:03:20 , udn , 高中木棒聯賽開打 穀保、平鎮、高苑三大名校亮點報你知 , https://udn.com/news/story/122629/6958945?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:03:20 , udn , 111學年度高中棒球聯賽木棒組2月10日開打，穀保家商、平鎮高中、高苑工商等高中名校依舊是球探、球迷追逐的焦點，今年有哪些觀戰重點值得關注呢？

(1)穀保家商
「二刀流」林盛恩是高三領頭羊，最 , https://udn.com/news/story/122629/6958945?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:03:20 , udn , 起步早、身體好、效率高 詹姆斯得分王紀錄很難被打破 , https://udn.com/news/story/122629/6958981?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:03:20 , udn , 詹姆斯（LeBron James）超越賈霸（Kareem Abdul-Jabbar）成為NBA史上第一的得分王之後，誰又會是下一個追上他的挑戰者也成為話題。在現役眾多好手之中，確實不容易找到像詹姆斯這 , https://udn.com/news/story/122629/6958981?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:03:20 , udn , 聯準會四官員強調通膨尚未降服 同聲主張進一步升息 , https://udn.com/news/story/6811/6959702?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:03:20 , udn , 聯準會（Fed）多位官員強調，有必要繼續升息，在持續的價格壓力下，最終利率可能達到比先前預期更高的水準。 , https://udn.com/news/story/6811/6959702?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:06:20 , udn , 桃園台中濃霧 吳德榮：下周強烈冷氣團機率大幅增高 , https://udn.com/news/story/7266/6959706?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:06:20 , udn , 今晨北部、東半部零星飄雨，北海岸、恆春半島較明顯。桃園及台中有濃霧。中央氣象局也發布濃霧特報，今晨西半部地區易有局部霧或... , https://udn.com/news/story/7266/6959706?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:24:19 , udn , Fed鷹派大合唱拖累美股收跌 字母因AI回答不精確而崩跌 , https://udn.com/news/story/6811/6959704?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:24:19 , udn , 美國股市周三（8日）收跌，科技股遭拋售構成沉重賣壓，因聯準會（Fed）多位決策者接連表態，強調利率需繼續上調才能壓制通膨... , https://udn.com/news/story/6811/6959704?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:33:19 , udn , 中國也曾兩度用戰機擊落間諜氣球 靠殲-6與殲-10C完成艱鉅任務 , https://udn.com/news/story/10930/6958461?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:33:19 , udn , 中國大陸的一個民用氣象觀測氣球，因不可抗力的因素偏離軌道，飄到了美國上空，而在美國一片指責與聒譟聲中，最終派出兩架最先進的第五代F-22猛禽隱形戰機擊落這個「中國氣球」。但這件事情中國早就做過，而且成功了兩次，兩次分別是改革自蘇聯米格19的第一代戰機殲-6戰機，以及2018年真正服役執勤的第三代改進型戰機殲-10C。 , https://udn.com/news/story/10930/6958461?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:33:19 , udn , 大齡轉職／履歷一開就有人問 景氣看淡下為何轉職潮卻更旺？ , https://udn.com/news/story/7238/6956025?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:33:19 , udn , 全球景氣進入低點，國發會發布的景氣燈號去年底已經轉為象徵低迷的藍燈，並且出現連兩藍；台經院也下修今年經濟成長率到2.58%，保不了三，此刻就業市場卻出現史上最旺轉職潮，人力銀行發現農曆年收假日打開履歷準備跳槽筆數高達157萬筆，衝上歷年新高。何以景氣看淡，上班族卻比前兩年景氣熱絡時更積極想換工作？ , https://udn.com/news/story/7238/6956025?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:33:19 , udn , 台大慣老闆／指導教授變「包工頭」 研究生辛苦成果被陌生學者掛名捧去 , https://udn.com/news/story/6928/6958891?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:33:19 , udn , 高等教育日益產業化，擔任研究助理的研究生成為整個「學術生產線」最末端的一環。有些研究計畫主持人「包工頭」承攬研究計畫，指導學生（研究助理）所投稿發表的論文，除了指導老師也要掛名合著以外，甚至還會被掛入根本不認識的學者成為共同合著的作者。研究生、助理們需要計畫主持人所提供的薪水與研究設備，只得接受這樣的轉包制度與掛名的方式，說不定為了荷包與前途，還爭先恐後地擠進大老的庇護之下。... , https://udn.com/news/story/6928/6958891?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:33:19 , udn , 桃園台中濃霧 吳德榮：下周強烈冷氣團機率高 低溫下探8度 , https://udn.com/news/story/7266/6959706?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:33:19 , udn , 台南正副議長遭黨停權 還說有助議事運作 恐衝擊賴選情 , https://udn.com/news/story/6656/6959052?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:33:19 , udn , 台南市議會議長邱莉莉、副議長林志展疑涉賄選案風波愈演愈烈，民進黨中評會昨天決議對兩人處分停止行使黨權3年。對於被停權，邱、林卻說，沒有黨籍牽絆，正副議長行政中立，可讓市議會運作更順遂，還說檢調馬拉松式的傳訊過程「讓市民擔心了！」藍營人士怒批，市民不擔心邱、林兩人被偵訊，擔心的是「由涉及黑金的正副議長主持議會，要如何公平審查光電法案？」，質疑邱莉莉的說詞是在自曝若有民進黨籍在身，就會行政不中立。 , https://udn.com/news/story/6656/6959052?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:36:19 , udn , 斷垣殘壁瓦礫堆中聽聞微弱呼救聲 台灣搜救隊耗費5小時救出受困女 , https://udn.com/news/story/123305/6959720?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:36:19 , udn , 土耳其與敘利亞北部邊境交界在當地時間2月6日發生規模7.8強震，至少1.1萬人罹難，台灣也立刻組成搜救隊前往支援。 , https://udn.com/news/story/123305/6959720?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:42:18 , udn , 國1高雄北向2車追撞 嚴重回堵5公里 , https://udn.com/news/story/7320/6959723?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:42:18 , udn , 高速公路局說，今天上午7時9分，國道1號北向352.9k公里處近岡山交流道前，發生2輛小客車追撞交通事故，占用外側車道以... , https://udn.com/news/story/7320/6959723?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:48:19 , udn , 還有便宜台積電？網酸「手中沒以後也不會有」：別妄想最低價 , https://udn.com/news/story/7252/6958508?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:48:19 , udn , 台股8日受到費城半導體大漲以及台積電ADR上漲激勵，指數震盪走高，終場上漲217點，收在15,618點。台積電（2330）上漲17元收在540元。有網友在詢問「還有便宜的台積電買嗎？」其他人直言「手中沒有GG的人，未來也不會有GG，不要妄想買到最低價」。 , https://udn.com/news/story/7252/6958508?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:51:18 , udn , 內戰分裂各有盤算  敘利亞北部恐難等到震後救援 , https://udn.com/news/story/6809/6959726?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:51:18 , udn , 土敘大地震傷亡慘重，國際社會迅速救援土耳其，但在因10年內戰分崩離析的敘利亞卻是另一番光景。專家指出，敘北地區各方勢力盤... , https://udn.com/news/story/6809/6959726?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:51:18 , udn , 【專家之眼】誰相信？陳吉仲說自己沒有干預蛋價 , https://udn.com/news/story/7314/6959729?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:51:19 , udn , 近日雞蛋價格再掀爭議，蛋農呼籲農委會應尊重市場機制，反映蛋價供需狀況，不應凍漲蛋價；農委會陳吉仲主委回應，農委會不涉入價... , https://udn.com/news/story/7314/6959729?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:54:24 , udn , 【專家之眼】誰相信？ 陳吉仲說自己沒有干預蛋價 , https://udn.com/news/story/7314/6959729?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:57:19 , udn , 印度演出獲佳評 明華園：讓更多外國人唱歌仔戲 , https://udn.com/news/story/6812/6959731?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:57:19 , udn , 明華園戲劇總團訪問印度，參加國際劇場藝術節，華麗演出大獲好評。明華園總團執行長陳昭賢表示，希望讓更多外國人比起蘭花指唱歌... , https://udn.com/news/story/6812/6959731?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:57:19 , udn , 法德領袖巴黎會見澤倫斯基：俄國絕不該戰勝 , https://udn.com/news/story/122663/6959730?from=udn-ch1_breaknews-1-0-news
2023-02-09 07:57:19 , udn , 法國總統馬克宏今晚在艾里賽宮會見烏克蘭總統澤倫斯基，為俄烏開戰近一週年首次，並與德國總理蕭茲共進晚餐。馬克宏強調「決心伴... , https://udn.com/news/story/122663/6959730?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:00:20 , udn , 冬衣先別收！ 下周一晚起大幅降溫 這3天最冷 , https://udn.com/news/story/7266/6959734?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:00:20 , udn , 北部、東半部地區今天仍是多雲為主的天氣，偶爾也有些短暫雨。天氣風險公司天氣分析師歐宗學說，中南部晨間雲量偏多，不過接近中... , https://udn.com/news/story/7266/6959734?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:03:18 , udn , 西半部低雲邊緣接觸地形 鄭明典：注意霧影響能見度 , https://udn.com/news/story/7266/6959738?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:03:18 , udn , 中央氣象局長鄭明典在臉書表示，西半部很低的雲，雲頂平整的低雲，邊緣有接觸地形的特徵，很可能地面會感覺有霧，能見度會受影響... , https://udn.com/news/story/7266/6959738?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:03:19 , udn , 健康來得及／咖啡與長壽有關 空腹喝也沒關係？ 你的胃其實沒想像中脆弱 , https://udn.com/news/story/6812/6944593?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:03:19 , udn , 上班族習慣早上喝杯咖啡開啟一天工作，但或許你曾聽過空腹喝咖啡傷胃或導致其他毛病，如胃脹氣、長粉刺、掉髮，引發焦慮、甲狀腺問題等等。這些說法經過社群媒體推波助瀾令不少人相信，但研究喝咖啡與胃腸問題的醫師表示不必太擔心，胃其實比你想像的更有韌性，應該注意的，是那些會導致胃的防禦機制被攻破的刺激性物質。 , https://udn.com/news/story/6812/6944593?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:03:19 , udn , 電信三雄砸大錢拍片 為何全球電信商都攻進內容產業？ , https://udn.com/news/story/7238/6958292?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:03:19 , udn , 談起2022年最夯韓劇，「非常律師禹英禑」、「財閥家的小兒子」絕對是榜上有名，不過，你可能不知道的是，「非常律師禹英禑」竟由南韓電信商KT所投資。不只南韓，台灣電信三雄近年也積極投資國內電視、電影，為什麼全球電信商都開始投資拍片，揮軍跨入內容產業？ , https://udn.com/news/story/7238/6958292?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:03:19 , udn , 警升遷不公／刑事局、警政署空降當直轄分局長 警界不能說的巧門 , https://udn.com/news/story/7266/6958153?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:03:19 , udn , 這幾年警察人事荒腔走板，是警紀與治安日益惡化的原因之一，警界直指在直轄市，有分局長是由刑事局或警政署人事、外事主管直接空降，不須接受警正班培訓，連外勤經驗都沒有，就能接手地方分局長職務，在警界被詬病，升官巧門成了警界不能說的秘密。 , https://udn.com/news/story/7266/6958153?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:03:19 , udn , 照片看歷史／1955年大陳義民來台 撤離前夕留下影像紀錄 , https://udn.com/news/story/7314/6957454?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:03:19 , udn , 1955年2月9日，在大陳撤退中，列為優先撤退的大陳地區所有平民全部登上船艦。據國防部上午2時發表公報：「我上下大陳反共義胞，迄本（9）日0時止，已大部登艦，現已在來台途中」。本報記者王彥彭以及中外記者隨著一個「輪形陣」的大艦隊歷經37小時的航行到大陳港灣，用相機記錄下大陳居民撤離的珍貴畫面。 , https://udn.com/news/story/7314/6957454?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:03:19 , udn , AI機器人被揪出答錯了 Google股價崩跌7%市值蒸發千億 , https://udn.com/news/story/6811/6959735?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:03:19 , udn , Google母公司字母股價周三（8日）重挫超過7%，市值一口氣蒸發1,000億美元，此前該公司最新人工智慧（AI）聊天機... , https://udn.com/news/story/6811/6959735?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:24:20 , udn , 國1北向高雄路段2車追撞回堵7公里 高公局籲提前改道 , https://udn.com/news/story/7320/6959723?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:30:18 , udn , 土耳其人感念伸援 台灣搜救隊買熱食免費加量送水果 , https://udn.com/news/story/123305/6959711?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:30:18 , udn , 台灣人以熱情聞名，土耳其民眾不遑多讓。搜救隊今天購買熱食時，店家見到隊服免費加量3成，隔壁水果攤也主動送上橘子，不斷感謝... , https://udn.com/news/story/123305/6959711?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:30:19 , udn , 2/9【早晨財經速解讀】谷歌聊天機器人Bard回答問題失誤 母公司Alphabet盤中股價暴跌逾8% , https://udn.com/news/story/7251/6959750?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:36:20 , udn , 安倍晉三回憶錄曝秘辛！習近平自稱「若生在美國不會加入共產黨」 , https://udn.com/news/story/6813/6959766?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:36:20 , udn , 日本前首相安倍晉三2022年7月遭刺殺身亡、震驚全球，不過他口述的「安倍晉三回憶錄」8日正式出版，其中披露中國國家主席習... , https://udn.com/news/story/6813/6959766?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:36:20 , udn , 強震災情持續擴大！土耳其、敘利亞累計逾1.2萬人罹難 , https://udn.com/news/story/6809/6959764?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:36:20 , udn , 土耳其南部靠近敘利亞邊境地區6日清晨發生的地震災情持續擴大，兩國死亡人數已上升至1萬2000人。 , https://udn.com/news/story/6809/6959764?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:42:19 , udn , 恐怖意外！大陸3歲童玩碰碰車撞欄爆肝 失血昏迷送院撿一命 , https://udn.com/news/story/6640/6959756?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:42:19 , udn , 碰碰車是相當受歡迎的機動遊戲，但一不小心隨時有生命危險。大陸1名3歲男童在遊樂場玩碰碰車，駕駛時不小心自行撞上欄杆，可能撞力太強，男童隨即出現劇烈腹痛、嘔吐等症狀，送院後出現嚴重失血，導致休克。幸而手術順利，成功縫合破裂處，已無生命危險。 , https://udn.com/news/story/6640/6959756?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:42:19 , udn , 台積電跌漲都46％…但買在高點得漲85％才回本！ 專家「兩點提醒投資人」 , https://udn.com/news/story/7252/6959760?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:42:19 , udn , 台積電（2330）從688跌到370，跌了46％；現在從370反彈到540，剛好漲了46％。 , https://udn.com/news/story/7252/6959760?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:42:19 , udn , NBA／明星賽先發打不了！鵜鶘威廉森腿傷繼續休 , https://udn.com/news/story/7002/6959768?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:42:19 , udn , 入選全明星賽先發陣容的鵜鶘隊球星威廉森（Zion Williamson），上月初拉傷的大腿傷勢比預期嚴重，不但無法在鵜鶘... , https://udn.com/news/story/7002/6959768?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:51:19 , udn , 表面浪子樣！但其實比誰都深情的「姓名筆劃」認定了就全心付出 , https://udn.com/news/story/7268/6929043?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:51:19 , udn , 有些人看似放蕩不羈，像個拈花惹草的浪子，其實骨子裡卻很專情。所以，看人不能只看表面！透過姓名筆劃的層層堆疊，細密交錯，科技紫微網今天要來分析的是，哪些姓名筆劃的人，表面是浪子，內心卻無比深情？ , https://udn.com/news/story/7268/6929043?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:51:19 , udn , 美股挫跌 法人：台股態勢未變但注意技術面拉回 , https://udn.com/news/story/7251/6959772?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:51:19 , udn , 美科技股跌深，法人認為，美通膨壓力降溫，聯準會（Fed）緊縮政策放緩，雖美股漲多拉回，但整體態勢未變，台股漲多後，近期可... , https://udn.com/news/story/7251/6959772?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:51:20 , udn , 被控不當拍鳥照 台中大甲飛羽業者否認 客人也幫說話 , https://udn.com/news/story/7325/6959773?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:51:20 , udn , 被點名有不當拍鳥照行為的台中大甲飛羽，業者接受採訪時說，他們是一對愛鳥夫妻的私人鳥園，在30多坪大的空間，控制養30多隻... , https://udn.com/news/story/7325/6959773?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:51:20 , udn , 元大台股領航N 7千元逢低布局 , https://udn.com/news/story/7251/6959770?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:51:20 , udn , 「元大台股領航N」（020020），在2020年上市以來，報酬率領先大盤表現，2022年1月，股價來到7.99元波段高點... , https://udn.com/news/story/7251/6959770?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:51:20 , udn , 台灣搜救隊馳援土耳其 正式列入聯合國搜救官網 , https://udn.com/news/story/123305/6959309?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:51:20 , udn , 台灣派出2組搜救團隊前往土耳其協助救災。英國廣播公司（BBC）在IG發文以台灣搜救隊照片為封面，報導中以「國家」稱呼台灣... , https://udn.com/news/story/123305/6959309?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:54:19 , udn , 走運了！這3命格的2月偏財運最旺 「他」正財副財都表現出色 , https://udn.com/news/story/7268/6940965?from=udn-ch1_breaknews-1-0-news
2023-02-09 08:54:19 , udn , 春節假期已經過去，你是否因為人情往來而使錢包扁了不少？急著賺錢的朋友們是否也期待著，能在新的月份裡正財穩定、副財進帳連連呢？接下來，科技紫微網將為大家列出2月中受到財神偏愛，副財大好的主星，來看看都有誰吧！ , https://udn.com/news/story/7268/6940965?from=udn-ch1_breaknews-1-0-news
2023-02-09 09:00:19 , udn , 上班日厭世壓力大？專家發現靠這幾招有效緩解壓力 , https://udn.com/news/story/7269/6959122?from=udn-ch1_breaknews-1-0-news
2023-02-09 09:00:19 , udn , 英國一項研究指出，民眾普遍認為趕著出門上班和送小孩上學的這段時間是一天中壓力最大的時間，專家發現趕著通勤的壓力不但造成民眾有睡眠中斷的現象，還會感到焦慮或沮喪，因此專家也特別提出紓壓的解決方案。 , https://udn.com/news/story/7269/6959122?from=udn-ch1_breaknews-1-0-news
2023-02-09 09:00:19 , udn , 影／數位乞討？印尼乞丐改上TikTok討禮物變現 , https://udn.com/news/story/6810/6959172?from=udn-ch1_breaknews-1-0-news
