2023-02-10 00:12:20 , udn , 想吃蜜芋頭免出門！賈以食日「桂花蜜芋頭」現享86折 , https://udn.com/news/story/7270/6962122?from=udn-ch1_breaknews-1-0-news
2023-02-10 01:12:19 , udn , 即將在3月卸任的大陸國務院總理李克強，農曆年前就開始到多地視察與展開外事活動，並接連表達對市場、金融、經濟運行的看法。這些行程被外界視為是他的「畢業旅行」，而他的若干發言也被認為是對下一屆政府施政的諍言。 , https://udn.com/news/story/7331/6962149?from=udn-ch1_breaknews-1-0-news
2023-02-10 01:12:19 , udn , 【即時短評】藍白同框是郭台銘、朱立倫合作起手式？ , https://udn.com/news/story/123307/6962148?from=udn-ch1_breaknews-1-0-news
2023-02-10 01:12:19 , udn , 鴻海創辦人郭台銘表明「在等國民黨的一個辦法」，讓2024競爭白熱化，黨主席朱立倫面臨不得不處理的壓力。昨天在新竹市黨部主... , https://udn.com/news/story/123307/6962148?from=udn-ch1_breaknews-1-0-news
2023-02-10 01:48:20 , udn , 特斯拉撞倒路樹衝上人行道 釀3輕傷1重傷送醫救治中 , https://udn.com/news/story/7320/6962157?from=udn-ch1_breaknews-1-0-news
2023-02-10 01:48:20 , udn , 台北市內湖區瑞光路凌晨發生車禍事故，一輛特斯拉汽車因不明原因衝上人行道，撞毀路樹及人行道台階，車上右前座1名男子重傷失去... , https://udn.com/news/story/7320/6962157?from=udn-ch1_breaknews-1-0-news
2023-02-10 01:51:20 , udn , NBA／湖人金塊交易 布萊恩換里德、3個二輪籤 , https://udn.com/news/story/7002/6962159?from=udn-ch1_breaknews-1-0-news
2023-02-10 01:51:20 , udn , 根據《ESPN》知名沃納羅斯基（Adrian Wojnarowski）的報導，湖人在和爵士完成交易之後，趕在季中交易截止日前，又和金塊達成協議，送走替補長人布萊恩（Thomas Bryant），收回里 , https://udn.com/news/story/7002/6962159?from=udn-ch1_breaknews-1-0-news
2023-02-10 01:51:20 , udn , NBA／前領航猿洋將里德傳改披湖人戰袍 可望攜手詹姆斯 , https://udn.com/news/story/7002/6962160?from=udn-ch1_breaknews-1-0-news
2023-02-10 01:51:20 , udn , NBA交易大限將在今天凌晨截止，而昨天宣布將主控衛斯特布魯克（Russell Westbrook）送走的湖人，也在今天凌... , https://udn.com/news/story/7002/6962160?from=udn-ch1_breaknews-1-0-news
2023-02-10 01:54:20 , udn , 跆拳賽／全中錦對打登場 平鎮美少女陳柔嘉完成三連霸 , https://udn.com/news/story/7005/6962162?from=udn-ch1_breaknews-1-0-news
2023-02-10 01:54:20 , udn , 111學年度全國中等學校跆拳道錦標賽，於台中台灣體育大學體育館進行第二天對打賽程登場，國男、女11量級中桃園市就摘下7金... , https://udn.com/news/story/7005/6962162?from=udn-ch1_breaknews-1-0-news
2023-02-10 01:57:20 , udn , 台中福華推戀人海陸套餐 牽手逛戶外花園心鎖牆 , https://udn.com/news/story/7241/6962152?from=udn-ch1_breaknews-1-0-news
2023-02-10 01:57:20 , udn , 在濃情蜜意的2月情人節及3月白色情人節期間，寵愛另一伴怎麼能手軟！2023年台中福華大飯店幫戀人們準備好一系列最幸福的套... , https://udn.com/news/story/7241/6962152?from=udn-ch1_breaknews-1-0-news
2023-02-10 02:39:20 , udn , NBA／湖人送走布萊恩 14人名單多達8名後衛 , https://udn.com/news/story/7002/6962159?from=udn-ch1_breaknews-1-0-news
2023-02-10 02:54:17 , udn , NBA／聯盟龍頭塞爾蒂克補強深度 從雷霆換來外線長人 , https://udn.com/news/story/7002/6962177?from=udn-ch1_breaknews-1-0-news
2023-02-10 02:54:17 , udn , 雖然目前戰績仍高居聯盟龍頭之位，但面對各方的補強，塞爾蒂克趕在季中交易截止日前也針對陣型進行調整。

根據報導，塞爾蒂克送出傑克森（Justin Jackson）和2個二輪選秀權，向雷霆換來穆斯卡 , https://udn.com/news/story/7002/6962177?from=udn-ch1_breaknews-1-0-news
2023-02-10 02:57:16 , udn , NBA／塞爾蒂克補強外線長人 雷霆持續收集選秀權 , https://udn.com/news/story/7002/6962177?from=udn-ch1_breaknews-1-0-news
2023-02-10 03:24:17 , udn , NBA／公鹿如願拿下克勞德 整季未出賽狀態成疑問 , https://udn.com/news/story/7002/6962183?from=udn-ch1_breaknews-1-0-news
2023-02-10 03:24:17 , udn , 才剛被交易到籃網的克勞德（Jae Crowder），如今迅速又換了新東家。

根據《The Athletic》知名記者查拉尼亞（Shams Charania）的報導，之前就曾被太陽獲准和克勞德會面 , https://udn.com/news/story/7002/6962183?from=udn-ch1_breaknews-1-0-news
2023-02-10 03:30:18 , udn , NBA／公鹿如願拿下克勞德 整季未出賽狀態成疑 , https://udn.com/news/story/7002/6962183?from=udn-ch1_breaknews-1-0-news
2023-02-10 04:00:18 , udn , NBA／勇士送走榜眼威斯曼 收進諾克斯、5個二輪籤 , https://udn.com/news/story/7002/6962189?from=udn-ch1_breaknews-1-0-news
2023-02-10 04:00:18 , udn , 根據消息，勇士和活塞、老鷹達成一筆三方交易，將2020年選秀榜眼威斯曼（James Wiseman）送到底特律，從老鷹獲得5個二輪選秀權，也從活塞拿到諾克斯（Kevin Knox）。老鷹則是從活塞得到 , https://udn.com/news/story/7002/6962189?from=udn-ch1_breaknews-1-0-news
2023-02-10 04:12:19 , udn , NBA／勇士出清榜眼威斯曼 收回奪冠班底小裴頓 , https://udn.com/news/story/7002/6962189?from=udn-ch1_breaknews-1-0-news
2023-02-10 04:12:19 , udn , 根據消息，勇士和活塞、老鷹達成一筆四方交易，將2020年選秀榜眼威斯曼（James Wiseman）送到底特律，從老鷹獲得5個二輪選秀權，也從活塞拿到諾克斯（Kevin Knox）。老鷹則是從活塞得到 , https://udn.com/news/story/7002/6962189?from=udn-ch1_breaknews-1-0-news
2023-02-10 04:30:18 , udn , NBA／湖人再度出手補強禁區 送走貝佛利迎班霸 , https://udn.com/news/story/7002/6962195?from=udn-ch1_breaknews-1-0-news
2023-02-10 04:30:18 , udn , 季中交易大動作不斷的湖人，在截止日最後時刻先是和金塊達成協議，送走替補長人布萊恩（Thomas Bryant），收回里德（Davon Reed）和3個二輪選秀權。隨後又和魔術進行交易，將貝佛利（Pat , https://udn.com/news/story/7002/6962195?from=udn-ch1_breaknews-1-0-news
2023-02-10 04:42:17 , udn , 五角大廈：中方在2030年前不會大規模犯台 , https://udn.com/news/story/6813/6962200?from=udn-ch1_breaknews-1-0-news
2023-02-10 04:42:17 , udn , 美國國防部印太事務助理部長瑞特納（Ely Ratner）9日在國會表示，中共侵台並非迫在眉睫或無可避免，五角大廈評估中方... , https://udn.com/news/story/6813/6962200?from=udn-ch1_breaknews-1-0-news
2023-02-10 05:12:18 , udn , NBA／快艇發動3波交易 獲葛登、普拉里、海蘭德 , https://udn.com/news/story/7002/6962205?from=udn-ch1_breaknews-1-0-news
2023-02-10 05:12:18 , udn , 不讓湖人專美於前，同城的快艇也趕在季中交易截止日前迅速出手進行3筆買賣，先後送走沃爾（John Wall）、肯納德（Luke Kennard）、傑克森（Reggie Jackson），分別從黃蜂、火箭 , https://udn.com/news/story/7002/6962205?from=udn-ch1_breaknews-1-0-news
2023-02-10 05:21:18 , udn , 美眾院譴責中共空飄氣球公然侵犯美國主權 , https://udn.com/news/story/6813/6962207?from=udn-ch1_breaknews-1-0-news
2023-02-10 05:21:18 , udn , 美國聯邦眾議院9日一致通過，譴責中國共產黨施放高空偵察氣球，公然侵犯美國主權，並對國際社會說謊來掩蓋其情蒐手段。 , https://udn.com/news/story/6813/6962207?from=udn-ch1_breaknews-1-0-news
2023-02-10 05:24:18 , udn , NBA／2023季中交易懶人包 洛城雙雄重裝出擊力抗太陽 , https://udn.com/news/story/7002/6961840?from=udn-ch1_breaknews-1-0-news
2023-02-10 05:48:18 , udn , NBA／公鹿三方交易收進克勞德 整季未出賽狀態成疑 , https://udn.com/news/story/7002/6962183?from=udn-ch1_breaknews-1-0-news
2023-02-10 05:51:17 , udn , 悶812天 室內20日起可脫口罩 剩2類場所強制佩戴 , https://udn.com/news/story/7314/6961881?from=udn-ch1_breaknews-1-0-news
2023-02-10 05:51:17 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看我國室內口罩令2月20日起鬆綁的原因及新制施行細節。 , https://udn.com/news/story/7314/6961881?from=udn-ch1_breaknews-1-0-news
2023-02-10 05:54:18 , udn , 【總編開箱】告別隔離歲月 回復向世界微笑交流的年代 , https://udn.com/news/story/120940/6962151?from=udn-ch1_breaknews-1-0-news
2023-02-10 05:54:18 , udn , 煎熬了八一二天，室內強制全面戴口罩規定，終將走入歷史。當然，法令的鬆綁並不代表大家馬上得脫罩，就像室外脫罩令早已下達，戴口罩的人們還是比不戴的多，大家還是挺關心自我保護的。然而，室內脫罩這道命令，真正意味著我們要和病毒共處，不再避疫如避虎，大家忍耐了三年，終於能回到往昔正常生活，那個能坦然對世界展開微笑的歲月。 , https://udn.com/news/story/120940/6962151?from=udn-ch1_breaknews-1-0-news
2023-02-10 05:57:19 , udn , 根據消息，勇士和活塞達成一筆三方交易，將2020年選秀榜眼威斯曼（James Wiseman）送到底特律，從老鷹獲得5個二輪選秀權，也從活塞拿到諾克斯（Kevin Knox）。老鷹則是從活塞得到了比伊 , https://udn.com/news/story/7002/6962189?from=udn-ch1_breaknews-1-0-news
2023-02-10 06:06:18 , udn , 明星法餐私廚不藏私 用DIKE電煮鍋變出情人節大餐 , https://udn.com/news/story/7270/6962219?from=udn-ch1_breaknews-1-0-news
2023-02-10 06:06:18 , udn , 小資族想要來點不一樣的情人節，試試看用這款可一機多用，又不佔空間的美食鍋，一台就可變出變出多款精緻料理。雙全國際獨家代理... , https://udn.com/news/story/7270/6962219?from=udn-ch1_breaknews-1-0-news
2023-02-10 06:09:18 , udn , 明星法餐私廚不藏私 用DIKE電煮鍋搭超市食材變出情人節大餐 , https://udn.com/news/story/7270/6962219?from=udn-ch1_breaknews-1-0-news
2023-02-10 06:09:18 , udn , NBA／快艇發動3波交易 斬獲葛登、普拉里、海蘭德 , https://udn.com/news/story/7002/6962205?from=udn-ch1_breaknews-1-0-news
2023-02-10 06:21:18 , udn , 谷歌領跌那指 道指挫250點 , https://udn.com/news/story/6811/6962221?from=udn-ch1_breaknews-1-0-news
2023-02-10 06:21:18 , udn , 由於對Fed未來貨幣政策舉措的擔憂抵消了對最新一批企業財報的興奮情緒，美股收低，回吐早盤漲幅。 , https://udn.com/news/story/6811/6962221?from=udn-ch1_breaknews-1-0-news
2023-02-10 06:30:18 , udn , NBA／布萊恩傳不滿湖人角色定位 轉戰金塊輔佐約柯奇  , https://udn.com/news/story/7002/6962159?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:03:20 , udn , 魔獸熱潮襲台之後 林書豪效應的極端現象  , https://udn.com/news/story/122629/6961496?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:03:20 , udn , 前NBA球星林書豪來台打職籃，加盟PLG聯盟高雄鋼鐵人，林書豪來台打球肯定引起瘋狂騷動。但從過去一個月網路聲量、市場情勢看來，「魔獸」霍華德加入T1聯盟桃園雲豹的騷動、場外效應、票房魅力略勝「林來瘋」 , https://udn.com/news/story/122629/6961496?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:03:20 , udn , 太陽找來杜蘭特終極救援 賭上未來的即刻奪冠令！ , https://udn.com/news/story/122629/6961897?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:03:20 , udn , 今年的季中交易在籃網決定送走兩大球星厄文(Kyrie Irving)、杜蘭特(Kevin Durant)後，對聯盟戰力版圖投下驚天震撼彈，籃網寫下史上首支擁有該季兩位明星賽先發，卻在一周內全部交易走的 , https://udn.com/news/story/122629/6961897?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:03:20 , udn , 阿達尼集團遭空頭狙擊 印度還會是國際投資客的樂園嗎？ , https://udn.com/news/story/6811/6960404?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:03:20 , udn , 兩周多前，當時的亞洲首富阿達尼（Gautam Adani）和他的商業帝國看來「所向披靡」。然而，一場毀滅性的空頭狙擊，讓這位印度億萬富翁陷入生涯中最嚴重的危機，並對全球成長引擎和國際投資客樂園的印度造成更大以及更嚴重的挑戰。... , https://udn.com/news/story/6811/6960404?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:06:19 , udn , 5縣市濃霧特報 吳德榮：下周二冷氣團襲台 至少冷3天 , https://udn.com/news/story/7266/6962240?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:06:20 , udn , 中央氣象局發布5縣市濃霧特報，今天西半部地區易有局部霧或低雲影響能見度，新竹、苗栗、台中及彰化已觀測到能見度不足200公... , https://udn.com/news/story/7266/6962240?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:24:20 , udn , 獨／槍擊天道盟新竹分會長 兇嫌遭起訴 , https://udn.com/news/story/7315/6962247?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:24:20 , udn , 天道盟太陽會新竹分會長戴銘詮去年8月底遭一名宋姓男子蒙面朝屋內連開連開10槍，戴身中8槍，槍手開車逃逸棄置桃園市偏僻道路... , https://udn.com/news/story/7315/6962247?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:24:20 , udn , 雲嘉南空氣品質「紅色警示」 環保署籲減少戶外活動 , https://udn.com/news/story/7266/6962245?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:24:20 , udn , 雲嘉南空氣品質欠佳，中央氣象局長鄭明典也在臉書發文提醒。環保署說，雲嘉南地區所有族群應減少在戶外活動，已發布紅色警示；北... , https://udn.com/news/story/7266/6962245?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:30:20 , udn , 濃霧特報 竹苗中彰、馬祖6縣市能見度不足200公尺 , https://udn.com/news/story/7266/6962249?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:30:20 , udn , 中央氣象局上午7時5分更新濃霧特報，今天西半部地區及馬祖易有局部霧或低雲影響能見度，新竹、苗栗、台中、彰化及馬祖已觀測到... , https://udn.com/news/story/7266/6962249?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:33:19 , udn , 孤老危機／死了也沒人知道...獨居嬤被困長長階梯上 反映基隆一頁興衰 , https://udn.com/news/story/7266/6935465?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:33:19 , udn , 丈夫早逝，兩個兒子接連發生意外走了，連最愛的孫子也不在人世，81歲蔡鄭寶玉一個人住在連機車都到不了的地方，好天氣時，她還能拄著枴杖爬階梯外出，溼冷多雨的冬季，她怕跌倒不敢出門，沒想到卻在自家灶腳（台語的廚房）滑倒，手中要熱來吃的菜飛撒一地，呆坐許久後，才慢慢攀著牆站起來，她驚魂未定的說，死了也沒人知道。

像蔡鄭寶玉一樣獨居的，在基隆每5位高齡者就有1人，曾經是世界第七大貨櫃港的港都的基隆，為何會淪為台灣都會型縣市裡高齡獨居比例最高的地方？ , https://udn.com/news/story/7266/6935465?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:33:20 , udn , 國軍幹部私密影片外流 在軍營內用手機錄影會有哪些懲處 , https://udn.com/news/story/10930/6960443?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:33:20 , udn , 上周四媒體披露，一段兩分多鐘的男女性愛影片在軍中流傳，女主角是陸軍八軍團的陳姓女性中尉輔導長，男主角則是同單位的許姓上尉連長，影片中女中尉直接掀起軍服，所屬單位的臂章清晰可見，從影片畫面也可判斷，拍攝地點是在營區內。女主角的社群網站Instagram帳號也隨即曝光。女主角第一時間並未關閉帳號，而是發出限時動態，指「愛看都來看，反正你們也知道了」，她已向警方備案，希望大家提供散布者的截圖證據。

隨著智慧型手機與社群網站的流行，私密影片外流事件，在網路上屢見不鮮。此次由於畫面清晰，男女雙方又是軍人，當然更成為媒體爭炒流量的大熱門。然而當事人到底觸犯哪些軍紀？會遭到怎樣的處分？從本案與軍中其他類似案例，對於國軍的部隊管理文化，可能造成怎樣的衝擊？ , https://udn.com/news/story/10930/6960443?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:36:20 , udn , 星雲法師曾為她祖父母不收分文做往生佛事 邱佩琳感懷 , https://udn.com/news/story/6656/6962254?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:36:20 , udn , 佛光山開山宗長星雲法師辭世，基隆市副市長邱佩琳昨代表市長謝國樑南下高雄佛光山弔唁，邱佩琳回憶，星雲法師在她祖父、祖母去世... , https://udn.com/news/story/6656/6962254?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:45:19 , udn , MLB／教士6年1.08億美元綁達比修 合約走完能投到42歲 , https://udn.com/news/story/6999/6962259?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:45:19 , udn , 36歲日籍投手達比修有還是很有行情，教士隊與他簽下延長合約，從今年起將領到一紙合計6年1.08億美元的合約，一路投到42... , https://udn.com/news/story/6999/6962259?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:45:20 , udn , 台積電（2330）該賣了？他問下一步走勢 網曝6字操作守則 , https://udn.com/news/story/12806/6961011?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:45:20 , udn , 台股9日終場以15,598.71點作收，下跌19.46點，成交量為2,104.8億元。台積電（2330）收平盤540元。有網友好奇問「台積電要先賣了嗎？下一步會補跌還是會補漲到650？」PTT則建議「跌加碼，漲看戲」，也有人無奈嘆「忙整天結果收平盤」。 , https://udn.com/news/story/12806/6961011?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:45:20 , udn , 獨／槍擊天道盟新竹分會長 凶嫌3人遭起訴 , https://udn.com/news/story/7315/6962247?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:51:19 , udn , 【專家之眼】「陰謀論」對台灣的影響 , https://udn.com/news/story/6656/6962261?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:51:19 , udn , 新冠肺炎爆發到現在已經整整三年，但到今天世界上還是有不少人相信這是一場人為的「陰謀」。 , https://udn.com/news/story/6656/6962261?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:57:20 , udn , 敘利亞西北部強震毀過境點  無國界醫生：人道救援危急 , https://udn.com/news/story/6809/6962264?from=udn-ch1_breaknews-1-0-news
2023-02-10 07:57:20 , udn , 敘利亞西北部受地震影響災情嚴重，當地缺乏燃料、水電、衛生設施、物資。但因「人道過境點」僅開放從土耳其邊境「巴布哈瓦 Ba... , https://udn.com/news/story/6809/6962264?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:00:19 , udn , 怪氣球曾出現總統府上空 鄭明典PO的這張照 紐約時報也引用 , https://udn.com/news/story/6656/6962267?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:00:19 , udn , 中國大陸氣球事件致美中關係緊張，國際關注。中央氣象局長鄭明典昨在臉書貼出一張紐約時報引用的台北市照片，乍看只見藍天白雲，... , https://udn.com/news/story/6656/6962267?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:03:19 , udn , 小心！50歲男子春節拜年 開車8小時後出現腰痛截癱、小便失禁 , https://udn.com/news/story/7335/6962268?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:03:19 , udn , 久臥久坐、姿勢不良，可能引起嚴重問題。深圳有男子在春節期間到親戚家拜年，在開了近8個小時長途車後，他感到腰痛、腿麻，站也站不穩，原以為臥床休息會有改善，誰知不過數日，他就出現截癱、大小便失禁，於是緊急求醫。醫生指他是馬尾綜合徵，且是腰椎間盤突出症中最嚴重的情況，由於神經受壓迫，引發他下肢部份癱瘓。 , https://udn.com/news/story/7335/6962268?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:03:19 , udn , 打起精神！2月中後財運最好生肖TOP3  「這生肖」快升職加薪讓人羨慕 , https://udn.com/news/story/7268/6955055?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:03:19 , udn , 在經歷漫長而又愉悅的年假後，再次回到工作崗位時，你是否能夠迅速打起精神，為自己的事業繼續拚搏呢？如果有財神加持，那麼你是不是更能充滿自信，更有衝勁呢？讓我們來看看，2月中旬後，前三名財運最好的生肖。 , https://udn.com/news/story/7268/6955055?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:03:19 , udn , 照片看歷史／1962年羅伯甘迺迪3小時旋風訪台 展現親民風格 , https://udn.com/news/story/7314/6959805?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:03:19 , udn , 1962年2月10日，美國總統甘迺迪總統的弟弟、美國聯邦檢察長（司法部長）羅伯．甘迺迪在前往印尼訪問途中來華，在台北市區和近郊作了3小時的旋風式訪問，同行的有司法部官員賽金塞萊和國務院官員格羅夫。... , https://udn.com/news/story/7314/6959805?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:03:20 , udn , 大齡轉職／30歲定終身已落伍 40歲跳槽暴增 為何競爭力不減？ , https://udn.com/news/story/7238/6961007?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:03:20 , udn , 「我很清楚過了40歲再不行動，接下來不可能再轉行了！」42歲承忠（化名）去年底離開工作16年的媒體業，過年前跳槽到屬於資訊服務業的新公司，展開新的職涯。談起自己的中壯年轉職過程，他不只一次地說「這是職涯最後轉職機會了」，他認為，不只是個人需要勇氣，企業要接受40歲以上求職者，應該也會猶豫，他的不少同業或同學，今年陸續都轉職，同樣是那句話「如果要重啟第二個職涯，這是最後機會了！」 , https://udn.com/news/story/7238/6961007?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:03:20 , udn , 加班費大戰／薪水加給4%是幸還是不幸 日本老師逃不出加班輪迴 , https://udn.com/news/story/6885/6961157?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:03:20 , udn , 台灣與日本的公立學校教師都不發加班費，但教師有寒暑假，學期間就該無償超時工作嗎？日本公立學校教師每月薪水一律增額4%，補償這份職業的特殊性，不過眾多教師認為，這正是迫使他們無止盡加班的元凶，有人因而提告。台灣的高雄市政府讓教職員加班1小時可補休1.5小時，又為何遭家長團體抗議。聯合數位版在2月10日、11日分兩天探討兩國教師的加班費大戰。 , https://udn.com/news/story/6885/6961157?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:12:21 , udn , 自來水溢流馬路 基隆大竿林公車站牌機車頻摔民眾濺水 , https://udn.com/news/story/7328/6962277?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:12:21 , udn , 基隆市中山區中和路「大竿林一」公車候車亭，民眾發現後方的擋土牆經常有自來水溢流馬路，不僅造成搭乘公車乘客常被濺水外，也經... , https://udn.com/news/story/7328/6962277?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:27:19 , udn , 女兒親手做肉包無法過海關 出差爸爸恐浪費花1.5小時吃光「女兒的愛」 , https://udn.com/news/story/6640/6962293?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:27:19 , udn , 14歲的孩子居然會做包，還一番心意孝敬爸爸！馬來西亞有爸爸分享暖心事，指近日要到新加坡工作，14歲女兒怕他路上肚餓，特意做了咖哩薯仔包，但他在路上時驚覺不能帶有肉的包子入境，但不忍浪費孩子心意，便留在車站在1.5小時內吃光所有包子才離去，大曬幸福說「謝謝你有爸爸心，爸爸愛你」。暖心事更獲當地電視台報道，許多網民驚訝女兒僅14歲居然懂得做包子，大讚是家教好。 , https://udn.com/news/story/6640/6962293?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:27:19 , udn , 藥師馮水源防疫到癌細胞復發 堅守任務!發完最後一箱抗病毒藥 6日辭世 , https://udn.com/news/story/7266/6962292?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:27:19 , udn , 台南市藥師藥局聯誼會前會長馮水源藥師，接任會長職務時遇上COVID-19新冠肺炎肆虐台灣，除了配合政府防疫政策站到第一線... , https://udn.com/news/story/7266/6962292?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:30:20 , udn , 將開學基隆整備防疫物資校園大消毒 謝國樑：滾動檢討 , https://udn.com/news/story/7328/6962297?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:30:20 , udn , 開學在即，基隆市環保局近日在66所公私立學校及市立幼兒園展開大消毒，教育處要求各校進行防疫物資盤點及體溫量測設備維護。市... , https://udn.com/news/story/7328/6962297?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:39:19 , udn , 2/10【早晨財經速解讀】美股止步 台積電ADR續漲2.5% 2023全球房市超級量縮 房價卻下不來？ , https://udn.com/news/story/7251/6962301?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:39:19 , udn , 美股三大指數周四（9日）開高走低，終場收跌，原因是在美國30年期公債標售情況不佳後，美債殖利率上升，蓋過了美企上季業績表現強勁的影響。 , https://udn.com/news/story/7251/6962301?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:39:19 , udn , 情人節到了想脫單？命理師簡少年教招桃花7招 , https://udn.com/news/story/7268/6961678?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:39:20 , udn , 下週就是情人節了，你身邊有伴了嗎？很多單身的人會趁情人節去拜月老求姻緣，還會拿到紅線，希望能繫起緣分。命理老師簡少年發布影片「這七招學起來，保證桃花不斷！」，分享月老的故事，也解釋紅線的神奇之處。 , https://udn.com/news/story/7268/6961678?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:45:19 , udn , 日本壽司郎遭惡搞使股價大跌！面對失控消費者 餐飲業者有這4招可以應對 , https://udn.com/news/story/7270/6960673?from=udn-ch1_breaknews-1-0-news
2023-02-10 08:45:19 , udn , 餐飲業遇到奧客在所難免，但若是遇到惡意行為時，則可能降低其他人的消費意願，造成品牌名譽受損等嚴重問題。因應這類型的消費者，餐飲業也應當重新調整服務機制，將這類風險降至最低。 , https://udn.com/news/story/7270/6960673?from=udn-ch1_breaknews-1-0-news
