2023-04-26 00:05:59 , udn , 新竹縣派出所下月將增至50所 3年內更將擴編警力近3成 , https://udn.com/news/story/7324/7123236?from=udn-ch1_breaknews-1-0-news
2023-04-26 01:14:47 , udn , 聯華大火的冷凍區悲劇 擋不住煙 火場該怎麼逃生 , https://udn.com/news/story/7266/7123366?from=udn-ch1_breaknews-1-0-news
2023-04-26 01:14:57 , udn , 聯華食品北斗廠昨天清晨發生大火，22名員工送醫，其中7人死亡、2人重傷、13人輕傷。據了解，火煙沿著排氣管上竄至4樓，廠方立即啟動自衛編組撲滅，但告失敗，當時濃煙已在作業區擴散，15名員工躲到4樓冷凍區待援，卻因冷凍區僅有塑膠擋簾，濃煙大量灌入，造成嚴重傷亡。消防署將會同工安單位進廠了解火災及職災發生原因，並查核消防編組演練的執行過程出了什麼情況... , https://udn.com/news/story/7266/7123366?from=udn-ch1_breaknews-1-0-news
2023-04-26 01:38:48 , udn , 共和黨新星迪尚特：台灣是美國的同盟對象 , https://udn.com/news/story/6813/7123233?from=udn-ch1_breaknews-1-0-news
2023-04-26 01:38:58 , udn , 美國共和黨有意問鼎總統大位的明日之星、佛羅里達州州長迪尚特今天接受日媒專訪時強調，為避免台海衝突，美日應團結提高威懾力。... , https://udn.com/news/story/6813/7123233?from=udn-ch1_breaknews-1-0-news
2023-04-26 01:39:19 , udn , 拜登慎選連任起跑時機 黨內挑戰少全力攻川普 , https://udn.com/news/story/6813/7123344?from=udn-ch1_breaknews-1-0-news
2023-04-26 01:39:29 , udn , 美國總統拜登宣布爭取連任，儘管他支持率低落，許多民眾也不願看到80歲的他再執掌白宮4年，民主黨政要仍予以力挺。美聯社整理... , https://udn.com/news/story/6813/7123344?from=udn-ch1_breaknews-1-0-news
2023-04-26 01:40:52 , udn , 一天達成逾百億美元投資案 南韓頭號推銷員今會拜登 , https://udn.com/news/story/6811/7123329?from=udn-ch1_breaknews-1-0-news
2023-04-26 01:41:02 , udn , 在南韓總統尹錫悅對美國展開國是訪問之際，光是25日這一天，南韓和美國的企業總計宣布了逾百億美元的投資和合資企業等計畫。 , https://udn.com/news/story/6811/7123329?from=udn-ch1_breaknews-1-0-news
2023-04-26 01:44:48 , udn , 俄國轟烏博物館造成2死10傷 澤倫斯基譴責野蠻暴行 , https://udn.com/news/story/122663/7123383?from=udn-ch1_breaknews-1-0-news
2023-04-26 01:44:59 , udn , 俄羅斯今天以飛彈攻擊烏克蘭一座博物館，造成2人喪生和10人受傷後，烏克蘭總統澤倫斯基（Volodymyr Zelensk... , https://udn.com/news/story/122663/7123383?from=udn-ch1_breaknews-1-0-news
2023-04-26 02:14:45 , udn , 五校首次聯盟進軍威尼斯建築展 挖掘「台灣改裝」秘密 , https://udn.com/news/story/6928/7123394?from=udn-ch1_breaknews-1-0-news
2023-04-26 02:14:56 , udn , 「透過重新發掘鄉村中的創意，你會發現我們總是認為慢步調的鄉村，其實相較於城市，更為敏捷且柔軟回應一切變動。」第18屆威尼... , https://udn.com/news/story/6928/7123394?from=udn-ch1_breaknews-1-0-news
2023-04-26 02:26:47 , udn , 指揮中心解編新冠疫情結束  但這些事情「回不去了」 , https://udn.com/news/story/6656/7123396?from=udn-ch1_breaknews-1-0-news
2023-04-26 02:26:58 , udn , 新冠疫情降級指揮中心解編，但三年疫情對台灣社會的影響，並不會隨著降級解編而消失。台大社會系退休教授薛承泰指出，新冠疫情促... , https://udn.com/news/story/6656/7123396?from=udn-ch1_breaknews-1-0-news
2023-04-26 02:27:19 , udn , 神明和人一起防疫 台史博3百件藏品見證3年疫情時代 , https://udn.com/news/story/123490/7123395?from=udn-ch1_breaknews-1-0-news
2023-04-26 02:27:29 , udn , 疫情指揮中心明日解編，象徵防疫時代畫下句點。三年的疫情，會在歷史留下什麼記憶？國立台灣歷史博物館(台史博)三年前跟著疫情... , https://udn.com/news/story/123490/7123395?from=udn-ch1_breaknews-1-0-news
2023-04-26 03:17:47 , udn , 歐盟數位法發威 指名19家「非常大平台」受監管 , https://udn.com/news/story/6811/7123388?from=udn-ch1_breaknews-1-0-news
2023-04-26 03:17:58 , udn , 歐盟今天根據「數位服務法」指名臉書、亞馬遜等17家為「非常大型網路平台」及谷歌、微軟2家為「非常大型搜尋引擎」，被指名企... , https://udn.com/news/story/6811/7123388?from=udn-ch1_breaknews-1-0-news
2023-04-26 03:23:24 , udn , 通膨削減法 將使美國通膨壓力不減反增 , https://udn.com/news/story/6811/7123280?from=udn-ch1_breaknews-1-0-news
2023-04-26 03:44:47 , udn , 日白兔號降落時與地面失聯 拚民間登月首例恐落空 , https://udn.com/news/story/6812/7123404?from=udn-ch1_breaknews-1-0-news
2023-04-26 03:44:57 , udn , 日本航太新創公司ispace「白兔-R」M1登月艙（Hakuto-R Mission 1）今天凌晨展開降落月球之旅，但在... , https://udn.com/news/story/6812/7123404?from=udn-ch1_breaknews-1-0-news
2023-04-26 04:05:46 , udn , 洛居民竊取監獄囚犯身份騙取失業救濟金 面臨重判 , https://udn.com/news/story/6813/7123408?from=udn-ch1_breaknews-1-0-news
2023-04-26 04:05:57 , udn , 美國司法部4月24日宣布，一名來自洛杉磯的女性承認一項銀行欺詐罪，她參與陰謀犯罪，利用監獄囚犯的身份騙取失業救濟金。 , https://udn.com/news/story/6813/7123408?from=udn-ch1_breaknews-1-0-news
2023-04-26 05:41:48 , udn , 銀行業擔憂再起 美股道瓊指數跌344點 , https://udn.com/news/story/6811/7123420?from=udn-ch1_breaknews-1-0-news
2023-04-26 05:41:59 , udn , 在First Republic Bank的財報重新引發對整體銀行業的擔憂後，美股收盤大跌。 , https://udn.com/news/story/6811/7123420?from=udn-ch1_breaknews-1-0-news
2023-04-26 06:17:47 , udn , 確診逾千萬 死亡近2萬 解析疫情3年關鍵數字 , https://udn.com/news/story/7314/7123343?from=udn-ch1_breaknews-1-0-news
2023-04-26 06:17:57 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看指揮中心解編在即，疫情3年來的關鍵數字回顧。 , https://udn.com/news/story/7314/7123343?from=udn-ch1_breaknews-1-0-news
2023-04-26 06:18:18 , udn , 離人民愈來愈遠的政府 一定會被唾棄 , https://udn.com/news/story/6656/7123371?from=udn-ch1_breaknews-1-0-news
2023-04-26 06:18:28 , udn , 中央流行疫情指揮中心5月1日解編，1千多天防疫成績如何？第二任指揮官王必勝以「不適合由我打分數」一語帶過，行政院長陳建仁則以「有你們大家團結合作才有這麼好防疫成績」當評語，雖感謝國人配合，也顯露對防疫表現滿意。不過，專家學者不客氣的給政府不及格分數，顯然蔡政府距離民意仍有段很大距離。 , https://udn.com/news/story/6656/7123371?from=udn-ch1_breaknews-1-0-news
2023-04-26 06:20:48 , udn , 拜登拚連任 第一站爭取工會選票 , https://udn.com/news/story/6813/7123436?from=udn-ch1_breaknews-1-0-news
2023-04-26 06:20:58 , udn , 美國總統拜登25日宣布競選連任，並在華府一場工會活動致辭，爭取藍領意味不言可喻；他在競選連任的影片中，引共和黨極端主義為... , https://udn.com/news/story/6813/7123436?from=udn-ch1_breaknews-1-0-news
2023-04-26 06:29:48 , udn , 瓜地馬拉總統立院演說挺台 美國、蘇聯前總統也來過 , https://udn.com/news/story/6656/7123335?from=udn-ch1_breaknews-1-0-news
2023-04-26 06:29:58 , udn , 瓜地馬拉總統賈麥岱昨天在立法院發表演說，表達支持中華民國為獨立國家，也是唯一的中國。他也多次提到中華民國與瓜地馬拉情誼堅若磐石，當其他國家隨著局勢轉變改變把國家利益置於友誼之上，瓜地馬拉的立場堅定，強調台灣是自由民主及獨立的台灣，「台灣萬歲」。 , https://udn.com/news/story/6656/7123335?from=udn-ch1_breaknews-1-0-news
2023-04-26 06:30:19 , udn , MLB／張育成左手鉤骨骨折進傷兵名單  預計缺陣數週 , https://udn.com/news/story/6999/7123435?from=udn-ch1_breaknews-1-0-news
2023-04-26 06:30:29 , udn , 大聯盟波士頓紅襪台灣好手張育成昨天打擊揮空傷到左手腕，提前退場。經檢查，張育成左手鉤骨骨折，紅襪今天賽前將他列入10天傷... , https://udn.com/news/story/6999/7123435?from=udn-ch1_breaknews-1-0-news
2023-04-26 06:44:58 , udn , 勃恩斯到任一年才遞交國書 美否認中國藉機報復 , https://udn.com/news/story/6813/7123438?from=udn-ch1_breaknews-1-0-news
2023-04-26 06:45:08 , udn , 美駐中大使勃恩斯24日向中國國家主席習近平遞交國書，面對外界揣測勃恩斯到職一年才遞交國書，是遭北京藉機報復，美國國務院今... , https://udn.com/news/story/6813/7123438?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:03:07 , udn , 民進黨推動公視董監事選任門檻降低 擴大政府捐助預算 , https://udn.com/news/story/6656/7123482?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:03:17 , udn , 立法院教育文化委員會今天審查公共電視法條文修正草案，將刪除公視每年新台幣9億元預算上限，公視董監事選任門檻從現行四分之三... , https://udn.com/news/story/6656/7123482?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:03:38 , udn , 國安局說共軍對台軍事襲擾已固化 , https://udn.com/news/story/10930/7123478?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:03:48 , udn , 國家安全局送交立法院書面報告指出，中共為對台展現強勢維權，已固化對台軍事襲擾，針對中共對台軍事威脅，將持續強化與國防部等... , https://udn.com/news/story/10930/7123478?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:26:58 , udn , 今北台短暫濕涼明回溫 下波鋒面這天接力報到 , https://udn.com/news/story/7266/7123488?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:27:09 , udn , 中央大學大氣科學系兼任副教授吳德榮在「三立準氣象．老大洩天機」專欄表示，今(26日)鋒面雲帶在台灣附近，北台及花東有局部... , https://udn.com/news/story/7266/7123488?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:27:29 , udn , 台積電ADR連跌三天 費半跌更重 , https://udn.com/news/story/6811/7123486?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:27:40 , udn , 台積電ADR周二下跌2.8%，收在82.29美元，連三日下挫，較台北交易溢價縮為1.6%。費城半導體指數同日大跌3.4%... , https://udn.com/news/story/6811/7123486?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:28:31 , udn , 美股標普創一個多月來最大跌幅 銀行股哀鴻遍野 , https://udn.com/news/story/6811/7123481?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:28:41 , udn , 美國股市創下一個多月來最大跌幅，第一共和銀行（First Republic Bank）令人失望的財報和可能被迫再出售資產... , https://udn.com/news/story/6811/7123481?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:32:57 , udn , 美國國防部：將售台空軍預警機技術服務 , https://udn.com/news/story/6809/7123490?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:33:07 , udn , 美國國防部25日公布最新一批軍售合約，其中提到台灣將採購E-2C/D預警機的技術支援。 , https://udn.com/news/story/6809/7123490?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:33:28 , udn , 中職／江少慶找回球威及球速 改善控球離王牌更近 , https://udn.com/news/story/122629/7123041?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:33:38 , udn , 3月份球迷們經歷了充滿激情的第五屆世界棒球經典賽後，4月份就是中職新的球季到來，目前已進行了約8分之一的賽事，各隊意外地激烈廝殺。然而為了國家榮耀而打拼的國手，回到母隊後沒有因為提前備戰而更快進入狀況 , https://udn.com/news/story/122629/7123041?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:33:59 , udn , 中職／400轟、200勝遙不可及 生涯成就難拼受四大因素影響 , https://udn.com/news/story/122629/7122767?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:34:09 , udn , 　　
今年可說是中華職棒的紀錄之年。先是陳韻文拿下生涯第130次救援成功，成為新科中職救援王。接下來林智勝敲出生涯300轟，將中職全壘打紀錄推進到新境界。除此之外，若是未來潘威倫的勝投，以及陳禹勳的 , https://udn.com/news/story/122629/7122767?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:34:30 , udn , 克蘭尼奇擺脫水貨標籤 火燙開季成水手奇兵 , https://udn.com/news/story/122629/7122707?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:34:41 , udn , 上賽季打進睽違21年的季後賽，最有價值球員非陣中21歲菜鳥羅德里奎茲（Julio Rodriguez）莫屬，相較之下，三年級生克蘭尼奇（Jarred Kelenic）就顯得黯淡無光，2021賽季亮相以 , https://udn.com/news/story/122629/7122707?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:47:46 , udn , 台南永康出租套房男客涉縱火 有反覆實施之虞遭聲押 , https://udn.com/news/story/7320/7123497?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:47:57 , udn , 台南永康區大灣路巷弄內3層出租套房昨天起火冒出濃煙，18名學生與住戶逃離沒受困受傷，消防局火場調查，懷疑起火狀況不單純，... , https://udn.com/news/story/7320/7123497?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:53:57 , udn , 男凌晨駕車台9線翻覆起火 受困車內燒成焦屍身分待查 , https://udn.com/news/story/7320/7123501?from=udn-ch1_breaknews-1-0-news
2023-04-26 07:54:08 , udn , 一輛小客車今天凌晨2時許，行經台東縣台9線371公里(台東市青海路段)處，不明原因翻覆路旁、起火，車上駕駛受困車內，消防... , https://udn.com/news/story/7320/7123501?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:02:57 , udn , 私中小聯考／私中擠破頭 醫師律師家長有優先權 立委關說不是新鮮事 , https://udn.com/news/story/6885/7122255?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:03:08 , udn , 當教育部喊著適性揚才，教育現場卻看見許多家長不信任公校辦學，擠破頭將孩子送進國中私校，為的是直升高中，考上好大學，有的更看中階級複製的人脈，這些家長不乏公校的校長及教師，相當諷刺，「拜託關說」的立委的選民服務電話也響得更頻繁，補教老師透露，學校公布錄取不太透明，北部某些私校疑會把家長背景列為錄取與否的參考，醫師律師的孩子通常較被禮遇，傳聞甚至有補教業者直接買下南部某私中，為兒子上大學鋪路。 , https://udn.com/news/story/6885/7122255?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:14:58 , udn , 今年典型梅雨鋒面可能遲到 天氣風險公司曝：這時才來 , https://udn.com/news/story/7266/7123509?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:15:09 , udn , 天氣風險公司指出，下周5月1日後，就進入傳統定義的梅雨季了。但梅雨鋒面經常遲到，典型的梅雨鋒面其中一個重要的指標 - 西... , https://udn.com/news/story/7266/7123509?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:15:29 , udn , 【專家之眼】陸啟動貿易戰 或正中民進黨下懷 , https://udn.com/news/story/6656/7123507?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:15:40 , udn , 中國大陸商務部日前突然宣布，將對台灣進行貿易壁壘調查，由於我國違反WTO規範明確，陸方極有可能啟動報復措施。對亟欲降低對... , https://udn.com/news/story/6656/7123507?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:16:00 , udn , 殺錯檔？聯華食品大火 聯華（1229）股價卻下跌 , https://udn.com/news/story/12806/7122264?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:16:11 , udn , 聯華食品（1231）北斗廠25日清晨大火，計有22人送醫，其中7人死亡，不幸的事故也連帶牽連聯華（1229）、聯華電子（2303）股價，PTT網友表示，「聯華食大火，結果聯華直接跌下去，完全就是掃到颱風尾」。 , https://udn.com/news/story/12806/7122264?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:22:08 , udn , 實習爽領高薪！緯創、智邦釋超狂職缺 秒變科技新貴 , https://udn.com/news/story/7240/7123480?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:22:18 , udn , 新竹縣政府為讓大新竹地區眾多的青年學子可畢業即就業、落地生根，打造新竹縣有感幸福城市，透過新竹縣政府、新竹地區產業、在地... , https://udn.com/news/story/7240/7123480?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:23:40 , udn , 仁寶、台積電、日月光搶才！釋上千職缺＋高薪尋生力軍 , https://udn.com/news/story/7240/7123462?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:23:51 , udn , 為協助畢業生順利求職，提供廠商與學生良好的就業媒合平台，國立屏東大學攜手勞動部於今（26）日上午10點開始，在屏商校區風... , https://udn.com/news/story/7240/7123462?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:30:07 , udn , 許願失敗怎麼辦？找出「這個關鍵」 再許下一個願望吧 , https://udn.com/news/story/7272/7111228?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:30:17 , udn , 許願失敗乃是再正常不過的事，總不能因為許願失敗就不再祈求想要的人生，害怕不成願就不願意再嘗試，這也許就是許願失敗最大的主因！ , https://udn.com/news/story/7272/7111228?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:30:38 , udn , 【專家之眼】開採銀髮族人力寶藏，迎對全球景氣低迷 , https://udn.com/news/story/7314/7123516?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:30:48 , udn , 約莫20年前的扁政府時期，一度因為生產投資的大轉向、資金跨域的流動布局，以及其後有網路商務泡沫的爆發，台灣經濟在民國90... , https://udn.com/news/story/7314/7123516?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:31:09 , udn , 港湖之爭 游淑慧自稱11顆星難度任務 看高嘉瑜卡歹命 , https://udn.com/news/story/6656/7123517?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:31:19 , udn , 2024港湖立委選戰，民進黨立委高嘉瑜日前稱「有人打著本土派旗號說得票多寡不重要，根本在保送國民黨；台灣基進北市黨部主委... , https://udn.com/news/story/6656/7123517?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:31:40 , udn , 人生逆轉學／歌手巴奈走過黑暗撞牆期 捍衛原民權逼蔡英文兌現承諾 , https://udn.com/news/story/7266/7122623?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:31:50 , udn , 人生必有風雨，端看個人所遇風雨大小，又如何承受面對。聯合報數位版推出「人生逆轉學」專欄，邀請各行各業知名人士分享他們曾遇的人生逆境，看他們曾流過的淚，又如何在黑暗中找光亮，把風雨化甘霖。歡迎訂閱。

歌手巴奈站在總統府前，神色無懼如大地之母。2017年2月23日起，她與丈夫那布為爭取原住民傳統領域，流轉在凱達格蘭大道、228紀念公園紮營抗議2200多天，天天指蔡英文總統未守諾、欺騙原住民。外界常以為她一直這麼強悍，其實她是藉著創作，才漸漸從早年的黑暗自閉，綻放為現在的自信強壯。 , https://udn.com/news/story/7266/7122623?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:32:11 , udn , 照片看歷史／1955年中美協調會議閉幕簽約 成立「台灣聯絡中心」 , https://udn.com/news/story/7314/7121261?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:32:21 , udn , 1955年4月26日，中美第三次軍事協調會議下午圓滿閉幕，我首席代表余伯泉，美方首席少將代表史陶斯在閉幕禮中就雙方聯合防務計劃及有關作戰訓練、情報、通訊，後勤各方面之配合方案以及中美共同防禦條約中有關軍事部份之執行計劃等所作之協議舉行簽字換文儀式，並由換文之日起付諸實施。美第七艦隊司令蒲賴德發表公報，宣佈「台灣聯絡中心」在台北正式成立。此一聯絡中心的業務在負責「中美軍事方面之聯絡與協調事宜」。此一機構由美海陸空三軍軍官組或，在蒲賴德全權指揮下執行其業務。 , https://udn.com/news/story/7314/7121261?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:32:42 , udn , 尹錫悅訪美／得罪中俄換美國保護傘 南韓向美傾斜 失去的更多？ , https://udn.com/news/story/6809/7122570?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:32:52 , udn , 美韓高峰會在即，南韓總統尹錫悅的發言觸怒中、俄，朝鮮半島緊張加劇。為得到拜登政府的「核保護傘」實質承諾，南韓政府的外交政策對美傾斜，北韓極可能在尹錫悅訪美的前後，再次試射「人造衛星」。
尹錫悅24日赴美進行時隔12年南韓總統對美國的首次國是訪問，對拜登政府而言，尹錫悅是去年12月法國總統馬克宏之後的第二位國賓。此行被視為南韓制定外交政策方向的關鍵時刻。有評論認為，南韓已正式加入美中俄的新冷戰。... , https://udn.com/news/story/6809/7122570?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:33:13 , udn , 最佳情人星座TOP3！跟他們戀愛最幸福 獅子的愛超出想像 , https://udn.com/news/story/7268/7107593?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:33:23 , udn , 每個人都希望被愛，因為被愛是一種幸福包裹的感覺。不同的愛，感受各不相同。那麼被哪個星座愛最幸福呢？當然是這三個星座！請參考太陽和上升星座喔！ , https://udn.com/news/story/7268/7107593?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:33:44 , udn , 2024立委戰／王世堅「贏賭又贏話」 綠派系酸消費何志偉未必能勝選 , https://udn.com/news/story/6656/7122572?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:33:54 , udn , 民進黨台北市士林大同區立委初選由台北市議員王世堅勝出，王世堅面對電話民調1200通電話，何志偉贏王世堅218通，引發討論時，王世堅稱本來可以贏更多，因為初選時被毀滅式攻擊才被拉低險勝，願再比一次。

民進黨派系人士說，這次民調後，地方傳出小道消息，何志偉贏218通電話輸了初選，與年輕族群加權有關，與何志偉支持者的初選技術不如人有關，何志偉為了營造團結氣氛，沒有異議，但王世堅贏賭還要贏話，讓何志偉支持者很不爽，只要國民黨提名對的人，王世堅不一定穩贏… , https://udn.com/news/story/6656/7122572?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:34:15 , udn , 高端旅遊／旅遊業者藉疫情重整期搶頂級遊程 每人70萬南極團熱銷 , https://udn.com/news/story/7238/7121573?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:34:25 , udn , 新冠疫情重擊全球旅遊產業，也打亂國際頂级旅遊商品供應鏈，帶動國內高端旅遊產業的崛起。因許多國際知名重量級旅行社紛紛倒閉重整，讓台灣旅行社有機會以合理價格直接與頂級旅遊供應商合作，規畫出適合台灣富豪的頂級團體旅遊商品。 , https://udn.com/news/story/7238/7121573?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:34:46 , udn , 台股下跌！他哀怨找不到原因 網酸韭菜曝「恢復平靜」時機 , https://udn.com/news/story/12806/7122167?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:34:56 , udn , 台積電（2330）25日跌破500大關，重挫台股，25日終場收盤為 15,370.73點，下跌256.14點、跌幅1.64%，成交量為2679.44億元。有投資人哀嚎「是在跌什麼？找不到原因」，其他網友則認為「漲多拉回修正而已，最後會在一波大殺盤後恢復平靜」，也有人酸他「韭菜特徵，整天想找為什麼」。 , https://udn.com/news/story/12806/7122167?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:45:19 , udn , 喀布爾機場自殺爆炸案釀近200死 伊斯蘭國主謀遭神學士擊斃 , https://udn.com/news/story/6811/7123525?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:45:30 , udn , 阿富汗首都喀布爾國際機場2021年遭自殺炸彈攻擊，造成大量美軍與平民死傷，激進組織伊斯蘭國的分支ISIS-K聲稱犯案。美... , https://udn.com/news/story/6811/7123525?from=udn-ch1_breaknews-1-0-news
2023-04-26 08:45:50 , udn , 富邦證券輔導國璽幹細胞 4月26日興櫃掛牌 , https://udn.com/news/story/7254/7123521?from=udn-ch1_breaknews-1-0-news
