2023-04-24 00:02:57 , udn , 滑冰／世青賽明年2月小巨蛋登場 未來之星蔡玉鳳拚佳績 , https://udn.com/news/story/7005/7118387?from=udn-ch1_breaknews-1-0-news
2023-04-24 01:17:56 , udn , 陸軍新型指管系統將量產 情資顯示電玩化 能否實戰留問號 , https://udn.com/news/story/10930/7118503?from=udn-ch1_breaknews-1-0-news
2023-04-24 01:18:06 , udn , 中科院以「銳指專案」為名，在六軍團驗證國造新型C4ISR指管通情系統原型，經過1年實驗編裝，陸軍已決定投注量產。陸軍司令部日前發出「建置整合陸、海、空情並具圖資及部隊管控功能指管系統」招商文件，計畫採購1萬套以上指管設備，包括指管電腦與手機，徵求廠商報價，顯然準備編列2024年度預算案。但「銳指專案」全案因被列為機密，實驗結果如何，是否確實符合戰備需求，外界尚無從得知。 , https://udn.com/news/story/10930/7118503?from=udn-ch1_breaknews-1-0-news
2023-04-24 05:26:47 , udn , 「萬國來朝」北京懶理美國 越南接待布林肯為武器打算？ , https://udn.com/news/story/6809/7115810?from=udn-ch1_breaknews-1-0-news
2023-04-24 05:26:57 , udn , 聯合報精選每周國際大事，由資深國際新聞媒體人郭崇倫深入解讀，帶讀者看懂國際新聞背後門道，快速掌握全球局勢變化。

看點1：美中軍事熱線仍處於中斷狀態，又傳出美國國務卿布林肯訪中行遭拒，兩大國互動降至冰點，而最近「萬國來朝」也讓北京如獲籌碼，和美國打交道並非優先事項。

看點2：繼菲律賓之後，美國將目光投向另一在南海與中國大陸有爭端的國家：越南。提升美越關係是布林肯此次出訪的重點，若兩國能升級至「戰略夥伴」，意味著未來美國武器供應的可能性。

看點3：在法國總統馬克宏爭議言論後，G7展現前所未有的團結，外長會議上砲口對準中國大陸、俄羅斯及北韓。然而，G7愈一致對外，遭遇的反彈恐怕也會愈強，以中國為首的「反聯盟」正蓄勢待發。 , https://udn.com/news/story/6809/7115810?from=udn-ch1_breaknews-1-0-news
2023-04-24 06:02:46 , udn , 侯友宜剛返台 藍委傳發難逼宮黨中央 郭台銘陸海空戰齊發搶人 , https://udn.com/news/story/123307/7117885?from=udn-ch1_breaknews-1-0-news
2023-04-24 06:02:57 , udn , 國民黨徵召總統參選人內戰持續，新北市長侯友宜結束新加坡行返台後，挺侯藍委即將全面發難，施壓國民黨，要求盡速徵召總統參選人；鴻海創辦人郭台銘陣營則陸海空戰齊發，不只從北往南舉辦地方座談會及演講，還深入地方拜會大老，甚至一對一拜訪立委參選人，與侯陣營展開搶人大戰。... , https://udn.com/news/story/123307/7117885?from=udn-ch1_breaknews-1-0-news
2023-04-24 06:26:47 , udn , 反擊賴主席口中的「精神分裂」 國民黨不能只靠「精神勝利」 , https://udn.com/news/story/6656/7118416?from=udn-ch1_breaknews-1-0-news
2023-04-24 06:26:58 , udn , 民進黨主席賴清德昨天批評國民黨的國家認同是「精神分裂」，賴清德是在腎臟醫學會上發表上述談話，既凸顯他腎臟科醫生的專業，也「隔空把脈」國民黨的國家認同，更是為了明年2024大選預做準備，先占據「保台」的高度，要來收割「抗中」紅利。 , https://udn.com/news/story/6656/7118416?from=udn-ch1_breaknews-1-0-news
2023-04-24 06:27:18 , udn , 人民幣挑戰美元霸權 看3大關鍵數字 , https://udn.com/news/story/7314/7118502?from=udn-ch1_breaknews-1-0-news
2023-04-24 06:27:29 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。美國財長葉倫日前表示，擔憂美元在全球的主導地位，引發關注，此次圖表帶你看美元與人民幣如何打一場「無硝煙的戰爭」。 , https://udn.com/news/story/7314/7118502?from=udn-ch1_breaknews-1-0-news
2023-04-24 06:57:06 , udn , 台南市民宅轎車突起火 一家8人及時逃生 , https://udn.com/news/story/7320/7118552?from=udn-ch1_breaknews-1-0-news
2023-04-24 06:57:17 , udn , 台南市北區文賢路365巷內5樓透天民宅，停在放1樓白色轎車突然起火燃燒，蔡姓屋主一家8人倉皇逃出及時脫困，8人都稍微吸入... , https://udn.com/news/story/7320/7118552?from=udn-ch1_breaknews-1-0-news
2023-04-24 07:09:15 , udn , 把握好天氣 明晚鋒面通過有雨這區低溫降到19度 , https://udn.com/news/story/7266/7118553?from=udn-ch1_breaknews-1-0-news
2023-04-24 07:09:26 , udn , 把握好天氣，未來一周有兩波鋒面影響，中央氣象局指出，周二（25日）白天前，天氣大致不錯，到了周二晚上到周三，本周第一波鋒... , https://udn.com/news/story/7266/7118553?from=udn-ch1_breaknews-1-0-news
2023-04-24 07:30:15 , udn , 兩大球星打擊失靈 教士要靠金童塔提斯來拯救 , https://udn.com/news/story/122629/7118093?from=udn-ch1_breaknews-1-0-news
2023-04-24 07:30:26 , udn , 今年大聯盟哪隻球隊實力最為堅強？在打了二十多場比賽後，最佳答案當然是光芒。因為他們開季13連勝，目前仍以18勝3敗的戰績獨走。有人可能會認為陣容最完整卻被低估的勇士（14勝7敗）才是真正的王者。不過如 , https://udn.com/news/story/122629/7118093?from=udn-ch1_breaknews-1-0-news
2023-04-24 07:30:46 , udn , 日職／火腿票房直直落 新遷史上罕見反慶祝行情 , https://udn.com/news/story/122629/7118040?from=udn-ch1_breaknews-1-0-news
2023-04-24 07:30:57 , udn , 日本火腿鬥士隊今年遷移到新球場ES CON FIELD HOKKAIDO，掀起不少的話題，3月30日在北海道北廣島進行2023年開幕戰，也是新球場的歷史性首戰，湧進了31,092名觀眾。加上火腿球團邀 , https://udn.com/news/story/122629/7118040?from=udn-ch1_breaknews-1-0-news
2023-04-24 07:31:17 , udn , 中職／頂薪集團降臨  「億元男」不再是稀有品種 , https://udn.com/news/story/122629/7118066?from=udn-ch1_breaknews-1-0-news
2023-04-24 07:31:28 , udn , 味全龍「大師兄」林智勝日前達成生涯300轟里程碑，成為中職史上第一人，他也是台灣職棒唯二的「億元男」，也就是生涯累計薪水破億元，這還不包括簽約金、勝場獎金、激勵獎金和廣告代言、出席活動相關收入，另一人 , https://udn.com/news/story/122629/7118066?from=udn-ch1_breaknews-1-0-news
2023-04-24 07:31:48 , udn , Gogoro成為台電救火隊 虛擬電廠整合民間電力開啟新商機 , https://udn.com/news/story/7238/7117351?from=udn-ch1_breaknews-1-0-news
2023-04-24 07:31:59 , udn , 還沒到夏天的用電旺季，台電日前啟動需量競價，以每度電10元的高價向民間業者購電，讓人不禁對台灣供電穩定度感到憂心。隨著台灣電力備載容量緊繃，用量需求持續成長，透過虛擬電廠（Virtual Power Plant，VPP），調度民間可用的備用電力，成為提升電網韌性的「救火隊」，也帶來全新的商業模式。... , https://udn.com/news/story/7238/7117351?from=udn-ch1_breaknews-1-0-news
2023-04-24 07:45:07 , udn , 免插實體卡 eSIM卡正當紅 卻暗藏詐騙危機 , https://udn.com/news/story/7238/7116918?from=udn-ch1_breaknews-1-0-news
2023-04-24 07:45:17 , udn , eSIM卡席捲全球，用戶免插實體SIM卡，就能直接在同一支手機上接聽不同門號的電話，許多民眾都覺得相當方便；只不過，eSIM雖然便利，但若無法做好本地實名制認證，恐詐騙叢生，為各國帶來新的資安風險。 , https://udn.com/news/story/7238/7116918?from=udn-ch1_breaknews-1-0-news
2023-04-24 07:45:38 , udn , 影／瓜地馬拉總統賈麥岱率團訪台　蔡英文將以軍禮歡迎 , https://udn.com/news/story/6656/7118561?from=udn-ch1_breaknews-1-0-news
2023-04-24 07:45:48 , udn , 瓜地馬拉總統賈麥岱今天（24日）率團來台進行4天國是訪問，訪團搭乘中華航空公司CI-23班機，於清晨5點24分抵達桃園國... , https://udn.com/news/story/6656/7118561?from=udn-ch1_breaknews-1-0-news
2023-04-24 07:48:38 , udn , 影／瓜地馬拉總統賈麥岱率團訪台 蔡英文總統將以軍禮歡迎 , https://udn.com/news/story/6656/7118561?from=udn-ch1_breaknews-1-0-news
2023-04-24 07:54:41 , udn , 台南市民宅轎車突起火 兩戶11人及時脫困 , https://udn.com/news/story/7320/7118552?from=udn-ch1_breaknews-1-0-news
2023-04-24 07:57:07 , udn , 私中小聯考／修法禁入學考試 私中招生恐一變再變 家長教育選擇權反苦了孩子 , https://udn.com/news/story/6885/7118030?from=udn-ch1_breaknews-1-0-news
2023-04-24 07:57:18 , udn , 私立國中窄門難進，不少私中舉辦各類入學營隊，或透過入學考試篩選學生，卻也被詬病指是「小聯考」。有立委前年底提案修正私立學校法欲遏止此況，但朝野協商沒動靜；立法院教育委員會上周審查國民教育法草案，私中招生又引發討論，最後教委會通過附帶決議，將由教育部研議修正私校法，規範私校不得以測驗、口試、審查成績或其他任何類似考試等方式招生，卻也掀起剝奪家長教育選擇權的爭論，不少想把孩子送進私中的家長更是焦慮爆棚，而專家則擔心最後反而讓孩子更痛苦... , https://udn.com/news/story/6885/7118030?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:08:56 , udn , 【專家之眼】收婚姻稅？國民年金懲罰婚姻！ , https://udn.com/news/story/7314/7118567?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:09:07 , udn , 我國國民年金保險主要內容為老年年金，屬世界銀行所倡議之「多支柱老年經濟保障架構」中，第一支柱的基礎公共年金；保險給付確定... , https://udn.com/news/story/7314/7118567?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:11:55 , udn , 新手買股超後悔！他投資磐儀（3594）等2年才賣卻「少賺一倍」 , https://udn.com/news/story/12806/7109633?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:12:05 , udn , 股票投資報酬率高，但風險也相對較大，若不幸遇到下跌的情況，可能就會虧損大筆資金。有網友分享，剛踏入股市的前幾個月，不但沒賺反虧，讓他很後悔，直到後來才體會到投資股票「耐心」是最重要的關鍵。其他人則分享投資磐儀（3594）「少賺一倍」的經驗，直呼「後悔到罵三字經」。 , https://udn.com/news/story/12806/7109633?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:23:55 , udn , 大巨蛋快孵出 網又發現少這區：不會落成明年又要整修？ , https://udn.com/news/story/7323/7118575?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:24:06 , udn , 大巨蛋目標年底營運，蛋體內部照片陸續曝光，包括人工草皮、大螢幕等引發熱烈討論，再度有網友在臉書貼出大巨蛋內部照片表示，發... , https://udn.com/news/story/7323/7118575?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:24:57 , udn , FT：美促韓廠勿填補美光在陸銷售缺口 削弱大陸報復力道 , https://udn.com/news/story/6809/7118568?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:25:07 , udn , 根據英國金融時報報導，白宮已向南韓提出要求，如果發生北京禁止美光銷售晶片的情況，那麼南韓政府應力促南韓記憶體業者不要在大... , https://udn.com/news/story/6809/7118568?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:27:06 , udn , 【專家之眼】鉛封水表請從總統府開始：君子求諸己 , https://udn.com/news/story/6656/7118579?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:27:17 , udn , 由於南部嚴重缺水，台南市政府、高雄市政府已經對節水率未達標的用水大戶祭起鉛封水表的制裁手段，受害者包括商場、洗車業、游泳... , https://udn.com/news/story/6656/7118579?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:27:37 , udn , 本週「生肖+血型」財運最旺TOP5！B型這生肖壓力大「報酬超豐盛」 , https://udn.com/news/story/7268/7114368?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:27:48 , udn , 在本週前五名財運排行榜的「血型+生肖」中，有人適合國內投資，賺取報酬，有人則會遇到花錢不手軟的客戶，專售高單價商品，你是否名列榜上呢？以下一一揭曉。 , https://udn.com/news/story/7268/7114368?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:28:08 , udn , 一段被遺忘的間諜事件：江澤民座機遭美裝27個竊聽器 陸為何能全身而退？ , https://udn.com/news/story/7331/7116238?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:28:19 , udn , 美國近年來頻頻指責中國大陸以TikTok之類科技產品危害美方國家安全，紐約時報專欄作家紀思道（Nicholas Kristof）日前撰文提到，其實美國也曾利用民營企業對中國進行間諜活動，具體事件是中方當年購買一架新的波音767作為當時國家主席江澤民的元首座機，但在2001年交機後發現機上有至少27個竊聽器。此事發生在中國大陸處心積慮防範美國高科技影響中方國安之際，當時或許沒有人料到，20多年後時移勢轉，如今美國也擔心對手的高科技影響國安。 , https://udn.com/news/story/7331/7116238?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:28:39 , udn , 唐綺陽星座運勢週報：金牛有年輕桃花 獅子金錢運勢佳 , https://udn.com/news/story/7268/7117409?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:28:50 , udn , 水星逆行，出生星盤12∘~15∘有星者，當心有遺漏東西或理財相關問題。冥王星停滯，對大公司或經濟體制易受影響，反思AI科技對人類的洗禮，需要更進一步的認識。金火與天王星互有影響，出生星盤15∘~19∘有星者，生活充滿不按牌理出牌的狀況，來刺激思考方式。 , https://udn.com/news/story/7268/7117409?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:29:10 , udn , 照片看歷史／免戴安全帽時代的亡命關頭 1988年北投大度路飆車  , https://udn.com/news/story/7314/7117087?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:29:21 , udn , 1988年4月24日沉寂一時的北投區大度路飆車活動「死灰復燃」。凌晨一至三時，有五、六十名機車騎士在大度路飆車競逐，並發生四件機車追撞轎車和機車相撞車禍，五名機車騎士輕傷。在北投區大度路和百齡五路、大業路口附近，出現了三、五成群騎機車的青少年，由於他們聚集在該處，引起路人駐足團觀。 , https://udn.com/news/story/7314/7117087?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:29:42 , udn , 2024立委戰／于美人難複製陳文茜、李敖勝選模式 「無黨選立委」最大砍是制度？ , https://udn.com/news/story/6656/7117123?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:29:42 , udn , 美股三大指數上周五（21日）微漲，周線小跌，反映企業獲利有好有壞。財報季接著邁入緊鑼密鼓的一周，微軟、Alphabet和... , https://udn.com/news/story/6811/7118554?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:29:52 , udn , 媒體人于美人宣布參選中正、萬華區立委，不掛任何黨籍參選，要做她口中的「萬中選一黨」，爭取選民支持。像于美人這類名人以無黨籍參選立委的例子不在少數，資深媒體人陳文茜、作家李敖、歌星葉啟田、高金素梅都是。但學者指出，現行選制與以前不同，于美人要在政黨夾殺下突圍不易，最後會不會白忙一場？是這次選舉的觀察指標之一。 , https://udn.com/news/story/6656/7117123?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:30:13 , udn , 本周台股／股市氛圍偏空？美國重量級科技財報周開跑 關注Fed談話 , https://udn.com/news/story/7238/7117918?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:30:23 , udn , 台股大盤指數在上周來到近萬六關卡後，出現明顯回檔壓力，上周五（４月21日）大盤開高走低，終場下跌104點、跌幅0.67%，大盤指數收在15602點，加權指數周線明顯回檔2.05%。

資金方面，內外資法人同步做出調節，外資上周連5個交易日站在賣方，合計賣超逾303億元，投信與自營商也分別調節30億元、72億元，三大法人合計單周賣超台股逾405億元。... , https://udn.com/news/story/7238/7117918?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:30:44 , udn , MLB／張育成雙安+盜壘成功還有美技 吉田正尚滿貫砲轟垮釀酒人 , https://udn.com/news/story/6999/7118550?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:30:54 , udn , 效力大聯盟波士頓紅襪的張育成今天有雙安表現，近2年來首次盜壘成功，防守美技成為焦點。紅襪8局上在吉田正尚雙響砲領軍下灌進... , https://udn.com/news/story/6999/7118550?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:33:39 , udn , MLB／張育成雙安+盜壘成功還有美技 吉田正尚雙響砲轟垮釀酒人 , https://udn.com/news/story/6999/7118550?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:48:15 , udn , 砲彈儲備引注目！南韓：願在特定條件下改變援助烏克蘭政策 , https://udn.com/news/story/6809/7118587?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:48:26 , udn , 彭博報導，在距離俄烏戰爭前線半個地球之外的朝鮮半島上可能存有「超過100萬枚砲彈」，而隨著南韓總統前往美國華盛頓，這一儲... , https://udn.com/news/story/6809/7118587?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:51:16 , udn , 4/24【早晨財經速解讀】誰說五月最後加息 野村放話六月再升 台積電重挫4.3% 半導體全線崩潰?復甦等下半年? , https://udn.com/news/story/7251/7118586?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:51:27 , udn , 美股三大指數上周五（21日）微漲，周線小跌，反映企業獲利有好有壞。財報季接著邁入緊鑼密鼓的一周，微軟、Alphabet和亞馬遜等大型科技公司的財報將陸續登場，將驗證今年來猛漲之勢是否合理。以下是本周開盤前，最值得留意的五件國際和兩岸要聞： , https://udn.com/news/story/7251/7118586?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:56:22 , udn , 研判美經濟衰退 股市投資人注意兩大早期指標 , https://udn.com/news/story/6811/7118576?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:56:32 , udn , 幾乎每一天都有一連串有時互相矛盾的經濟數據發布，讓投資人備感焦慮。經濟學家、投資組合經理人和股市策略師努力分析數據洪流，... , https://udn.com/news/story/6811/7118576?from=udn-ch1_breaknews-1-0-news
2023-04-24 08:56:53 , udn , 大巨蛋快孵出 球迷發現少這區：不會落成明年又要整修？ , https://udn.com/news/story/7323/7118575?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:06:16 , udn , 曝握有許淑華2案不急揭露 徐巧芯：沒想讓她有知名度 , https://udn.com/news/story/123475/7118599?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:06:26 , udn , 國民黨台北市立委第7選區（信義、南松山）初選，北市議員徐巧芯擊敗現任立委費鴻泰出線，「芯費大戰」剛落幕，「芯華大戰」即開... , https://udn.com/news/story/123475/7118599?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:06:47 , udn , 大陸多地爆出新冠「二陽」 張文宏呼籲做好藥物儲備 , https://udn.com/news/story/7333/7118598?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:06:57 , udn , 據上海《澎湃新聞》等媒體報導，中國大陸距離去年底的疫情高峰已過了近五個月，近期多地民眾在網上曬出快篩陽性，聲稱自己「二陽... , https://udn.com/news/story/7333/7118598?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:07:18 , udn , MLB／張育成雙安、首盗加日常美技 紅襪教頭：就是穩 , https://udn.com/news/story/6999/7118596?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:07:28 , udn , 效力紅襪隊的台將張育成今天繼續先發出賽，攻守表現存在感越來越高，今天不僅只有雙安、本季首盗，美技守備還讓紅襪官方推特稱是... , https://udn.com/news/story/6999/7118596?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:07:49 , udn , NBA／布朗森強攻29分 尼克退騎士季後賽首輪聽牌 , https://udn.com/news/story/7002/7118578?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:07:59 , udn , 美國職籃NBA紐約尼克今天在季後賽首輪靠布朗森攻下29分的帶領，以102比93擊退克里夫蘭騎士，在系列賽以3比1「聽牌」 , https://udn.com/news/story/7002/7118578?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:13:56 , udn , 大巨蛋快孵出 球迷發現少這區：不會今年落成明年又要整修？ , https://udn.com/news/story/7323/7118575?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:18:16 , udn , 美總統黨內初選將起跑 選民不想看見拜登與川普 , https://udn.com/news/story/6813/7118574?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:18:27 , udn , 前任美國總統川普儘管遭到起訴卻仍懷著再次入主白宮大夢，美國總統拜登據傳最快本周宣布競選連任。不過民調卻顯示，美國民眾對於... , https://udn.com/news/story/6813/7118574?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:18:47 , udn , 后里民宅大火消防隊員架梯救出5人 其中1長者送醫 , https://udn.com/news/story/7320/7118605?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:18:58 , udn , 台中市后里區一間透天厝今天凌晨發生大火，火勢和濃煙從二樓竄出，住戶受困，消防隊員到場架梯，先救出4人，最後再以搬運方式救... , https://udn.com/news/story/7320/7118605?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:19:18 , udn , 蘇丹激戰逾420死逾3700傷 各國陸海空急撤人員 , https://udn.com/news/story/6809/7118572?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:19:29 , udn , 蘇丹準軍事組織和政府軍發生激戰，已經造成包括264位平民在內的逾420人喪生、逾3700人受傷。多個國家透過陸、海、空路... , https://udn.com/news/story/6809/7118572?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:20:50 , udn , 去年全球國防軍費大增創歷史新高 , https://udn.com/news/story/6809/7118597?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:21:01 , udn , 全球軍事支出去年創下紀錄，歐洲國防政策逆轉推升支出，俄羅斯對烏克蘭發動全面入侵以來，歐洲政府以冷戰結束以來最大幅度充實國... , https://udn.com/news/story/6809/7118597?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:23:24 , udn , 南韓今起恢復日本出口貿易白名單地位 , https://udn.com/news/story/6811/7118588?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:23:34 , udn , 根據韓國產業通商資源部的聲明，南韓政府自4月24日起重新讓日本回到南韓的可信賴出口目的地貿易「白名單」中。 , https://udn.com/news/story/6811/7118588?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:26:27 , udn , 2024立委戰／于美人難複製陳文茜、李敖勝選模式 「無黨選立委」最大坎是制度？ , https://udn.com/news/story/6656/7117123?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:33:06 , udn , 大腦與音樂間的關係 音樂人該知道的5個腦科學知識 , https://udn.com/news/story/7266/7118637?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:33:16 , udn , 過去數十年來，因為腦電儀、核磁共振等技術的進步，關於腦神經科學的各種研究愈來愈豐富，也讓人進一步開始探索大腦與音樂之間的各種關係… , https://udn.com/news/story/7266/7118637?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:33:37 , udn , 二殯憂塞車 李四川出手了:要求聯外道路提前7月底完工 , https://udn.com/news/story/7323/7118629?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:33:47 , udn , 台北市第二殯儀館改建工程，原本預計聯外道路8月通車，不過副市長李四川今天一早在臉書貼文表示，聯外道路應該會在他要求今年7... , https://udn.com/news/story/7323/7118629?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:34:08 , udn , 高雄鬧區停電業者怨聲載道 台電凌晨2點搶修復電 , https://udn.com/news/story/7320/7118626?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:34:18 , udn , 高雄市橫跨左營和鼓山兩區的漢神巨蛋商圈，昨天傍晚用餐前，居然發生大停電，讓正在備料煮菜的餐廳業者措手不及，根本無法上菜，... , https://udn.com/news/story/7320/7118626?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:34:39 , udn , 影／毒犯擁槍藏高雄月世界 特警攻堅查獲百萬海洛因磚 , https://udn.com/news/story/7315/7118628?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:34:49 , udn , 台中市刑大在去年中旬獲報，林姓毒犯藏高雄月世界，持有槍、毒，經蒐證後出動特警前往山區鐵皮屋抓人，當場查獲市價百萬的海洛因... , https://udn.com/news/story/7315/7118628?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:35:10 , udn , 來識鱸魚真面目！ 台南學生做中學「游」了一趟 , https://udn.com/news/story/6885/7118624?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:35:20 , udn , 台南市南大附小與七股國小設計「來識鱸魚真面目」課程，小學生橫跨台南、高雄走到魚塭、賣場、飼料工廠，探究鱸魚主題，學生說，... , https://udn.com/news/story/6885/7118624?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:35:41 , udn , NBA／格林自請板凳出發 勇士浪花三兄弟合飆80分險勝國王 , https://udn.com/news/story/7002/7118623?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:35:51 , udn , 衛冕軍勇士隊今天迎接前一場被禁賽的格林（Draymond Green）回歸，他主動建議教練柯爾（Steve Kerr）讓... , https://udn.com/news/story/7002/7118623?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:36:06 , udn , 英國居首！西歐和中歐國家2022年國防支出超越冷戰最後一年 , https://udn.com/news/story/6809/7118644?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:36:12 , udn , MLB／武士頭盔好忙 天使連3打席開轟大谷翔平參一腳 , https://udn.com/news/story/6999/7118622?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:36:16 , udn , 一份年度報告發現「西歐和中歐國家的國防支出總額已超過冷戰的最後一年」，而去年全球軍事支出也創下2.24兆美元的歷史新高。 , https://udn.com/news/story/6809/7118644?from=udn-ch1_breaknews-1-0-news
2023-04-24 09:36:22 , udn , 放煙火，就是要和朋友一起才好玩，大谷翔平今天在第6局敲出陽春砲、本季第5轟，加入連3打席開轟的行列，天使隊終場以4：3險... , https://udn.com/news/story/6999/7118622?from=udn-ch1_breaknews-1-0-news
