2023-05-09 00:06:04 , udn , 擺脫行人地獄 蔣萬安2改革 李四川留言也做這事…網讚 , https://udn.com/news/story/7323/7151531?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:18:23 , udn , 針對中國大陸推動俄烏和談，美國國務院首席副發言人巴特爾（Vedant Patel）8日表示，任何努力都必須與烏克蘭夥伴密... , https://udn.com/news/story/6809/7151724?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:24:10 , udn , 家齊高中餐飲科稱霸全國群科專題 「可可全食」拿第一 , https://udn.com/news/story/6885/7151725?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:24:21 , udn , 家齊高中餐飲科參加全國高中專業群科專題實作及創意競賽，以「可可全食物計畫」勇奪創意組第一名，流行服飾科也以「刨木引衣」榮... , https://udn.com/news/story/6885/7151725?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:30:04 , udn , 中風男手機交給妻 和情婦「脫光光」被妻看光光 , https://udn.com/news/story/7321/7151726?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:30:14 , udn , 邱姓男子中風，妻子因業務而使用他的手機，卻發現他和許姓女歌友拍攝一絲不掛的親密照，邱妻不甘許女「千方百計」勾引她丈夫上賓... , https://udn.com/news/story/7321/7151726?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:30:35 , udn , 哈登的好安比德最懂 再現吉諾布里+鄧肯神之組合 , https://udn.com/news/story/122629/7151156?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:30:45 , udn , 沒多少人認為76人能在季後賽闖過塞爾蒂克這關，最多不會超過三成。大多數不看好76人原因有幾個，第一是76人後衛哈登季後賽經常掉鏈子，很多人對哈登沒有信心，第二是76人中鋒安比德膝傷，很難全程健康出賽， , https://udn.com/news/story/122629/7151156?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:31:06 , udn , 中職／范國宸變身當榜樣 劉基鴻朝首座個人獎邁進 , https://udn.com/news/story/122629/7151121?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:31:16 , udn , 繼去年重回中職首度打進季後賽後，味全本季仍有不錯的成績，目前以13勝12敗超過5成的勝率在聯盟排第3名，戰績能維持的原因除了鋼龍、布里悍及伍鐸3名洋投表現依然穩定之外，攻擊方面的最大關鍵就是「紅色大砲 , https://udn.com/news/story/122629/7151121?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:31:37 , udn , 詹姆斯虎父無犬子 布朗尼前進NBA更近一步 , https://udn.com/news/story/122629/7151060?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:31:48 , udn , 詹姆斯（LeBron James）正率領湖人向NBA總冠軍衝刺，他的兒子布朗尼（Bronny James）前進NBA之路也更近一步！美國時間5月6日他對外宣布加盟南加大，這項決定引起各方關注，由於布朗 , https://udn.com/news/story/122629/7151060?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:32:08 , udn , 郭台銘「1縣市1小核電廠」能源政策能成真？綠營點出3大難關 , https://udn.com/news/story/6656/7150318?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:32:19 , udn , 正爭取國民黨總統提名的鴻海創辦人郭台銘，日前拋出「在高雄半屏山下建小型核能發電廠」想法，引發社會討論。對此，民進黨人士表示，「小核能不是不能討論」，但也點出小核能的三大缺陷，認為尚不足以納入台灣現行的能源政策，並指出賴清德最快將在5月底提出他的能源政策主張。... , https://udn.com/news/story/6656/7150318?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:33:03 , udn , 有護國神山相助台南一條街賣光光 打房難抵漲勢 , https://udn.com/news/story/7326/7151729?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:33:13 , udn , 台南市安南區人口突破20萬，因人口增加，近年大樓、透天厝陸續興建，房價倍漲，拜台積電之賜，有條街透天厝一夕賣光光。九份子... , https://udn.com/news/story/7326/7151729?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:44:52 , udn , 天氣轉晴逐漸變熱 吳德榮：周末再迎第二波梅雨 , https://udn.com/news/story/7266/7151732?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:45:03 , udn , 中央大學大氣科學系兼任副教授吳德榮今天指出，首波梅雨過後轉晴，今起天氣愈來愈暖，周六再迎另一波梅雨。 , https://udn.com/news/story/7266/7151732?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:56:53 , udn , 核潛艦訪韓／美戰略核潛艦能長時間航行 靠兩組人馬輪流值勤連艦長也2位 , https://udn.com/news/story/10930/7146700?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:57:03 , udn , 美國的戰略核武區分洲際彈道飛彈、核武轟炸機、戰略核潛艦三種，美國海軍現役的俄亥俄級潛艦與其他攻擊潛艦不同，是配備彈道飛彈的戰略核潛艦，是戰略嚇阻核武兵力，自1970年代開始，總共建造了18艘，分布在美國東西兩岸，這些戰略核潛艦多半在深海巡弋，任務結束返回美國本土母港，偶爾會訪問外國港口，但不會固定駐防美國境外港口。 , https://udn.com/news/story/10930/7146700?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:57:24 , udn , 大學求生術／少子化衝擊 大學不想滅頂只得另找藍海 甚至出招「外送」師資 , https://udn.com/news/story/6928/7149634?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:57:35 , udn , 少子化風暴來襲，111學年度有19所公私立大學註冊率，不到6成「淹水線」，5年後大專新生人數將再減少3.5萬人，恐有40所私立大學面臨退場。一位大學校長感嘆，少子化浪潮實在太嚴重，紅海裡競爭太激烈，就必須去找藍海，近年有學校師資外送，飄洋過海到外島招生開課；有學校嗅到毛小孩600億商機增班招生；也有學校重整員生消費合作社，自產「黑白雙將」等商品，營業額衝上2300萬；今天起推出的系列文章，一起來看看他們是如何找到藍海不被滅頂。 , https://udn.com/news/story/6928/7149634?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:06:02 , udn , 淨零碳排下 企業稅務治理與ESG之連結 , https://udn.com/news/story/7238/7151737?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:06:12 , udn , ESG 議題持續受到全球關注，成為衡量企業行為標準，企業在擬定ESG 策略及方案時，無法忽視稅務治理之關鍵，藉由歐盟開徵碳關稅之時，建立高透明度的稅務架構，並於永續報告中敘明稅務影響，是彰顯企業落實 ESG 的具體作為的最佳時機。 , https://udn.com/news/story/7238/7151737?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:12:02 , udn , 開發金（2883）股利掛零…存股族崩潰「無意義」！ 網反酸選錯標的 , https://udn.com/news/story/7252/7150555?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:12:13 , udn , 開發金（2883）決議不配發去年度股利，成為第三家股利掛0的上市金控公司，也是2012年來首度不配發股利。投資人無奈表示，「不配息對存股族而言沒有意義」，但也有人認為「不發股利非壞事，公司用這筆錢可以帶來更多資本利得，追求穩定不該存小銀行、小金融股」。 , https://udn.com/news/story/7252/7150555?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:12:33 , udn , 銀行副總裁扛家計卻「戴綠帽」 老婆失業和男同事取暖上陽明山擁吻 , https://udn.com/news/story/7321/7151756?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:12:44 , udn , 一名銀行副總裁在妻子因疫情被裁員後，扛起家中經濟重擔，卻驚覺待業的妻子和前東家的男同事發生婚外情，兩人曾到陽明山幽會並牽... , https://udn.com/news/story/7321/7151756?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:13:04 , udn , 保險業接軌IFRS 17之挑戰與契機 , https://udn.com/news/story/7239/7151749?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:13:15 , udn , IFRS 17 以公允價值評估保險合約負債，可解決現行保險業資產負債不匹配之情形，使財報表達更貼近保險業經營實質，回歸保險業經營之核心價值，本文說明適用 IFRS 17 下保險收入對財務報表之影響及導入實務，給予營運流程治理及資產負債管理之建議。 , https://udn.com/news/story/7239/7151749?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:15:03 , udn , 112年董事會及股東會 應遵循法規重點與因應 , https://udn.com/news/story/7251/7151759?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:15:14 , udn , 今（112）年股東會旺季即將到來，公司董事會或召開股東會有哪些新規定及應配合遵循事項？上市櫃公司宜儘早掌握與做好因應準備，保障股東權益。 , https://udn.com/news/story/7251/7151759?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:27:12 , udn , 台新金（2887）配息總額61億 網嗨爆「要噴了」：至少能正常一年 , https://udn.com/news/story/7252/7150506?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:27:23 , udn , 台新金（2887）6日召開董事會決議股利配發，合計每股配發0.93元股利，其中現金股利0.51元，股票股利0.42元。若以周五收盤價每股17.55%，現金殖利率為2.9%，此次台新金並未動到資本公積來配股。投資人看好喊漲，有人認為「要噴了！至少還能正常一年」。 , https://udn.com/news/story/7252/7150506?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:27:43 , udn , 粉碎雜音？台積3奈米產能季增萬片 2025年進入甜蜜期 , https://udn.com/news/story/7240/7146967?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:27:54 , udn , 台積電3奈米製程推動近期雜音頻傳，但台積電供應鏈透露，台積電已自今年5月起要求設備廠就戰備位置，相關機台開始拉貨並進行裝機，並計畫以每季增1萬片的速度，迎接客戶需求。原本先挪作支援5奈米製程需求的南科18B P4廠，也將產線機台設備，再改回加入供3奈米製程行列... , https://udn.com/news/story/7240/7146967?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:28:15 , udn , 真實人生／痛失16歲獨子…他成為哀傷諮詢師 幫助陸一胎化「失獨家庭」 , https://udn.com/news/story/6812/7148384?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:28:25 , udn , 「如果將人的疼痛分為十個級別，那麼分娩之痛將是最高的十級。可是還有一種痛苦，遠遠超越了十級分娩的疼痛，那就是失獨之痛」，這是中國大陸一位母親寫下的話，她是所謂的「失獨者」。「失獨者」，顧名思義就是指那些失去了他們生命中唯一孩子的父母，劉新憲也是其中一個。... , https://udn.com/news/story/6812/7148384?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:28:46 , udn , 照片看歷史／1959年台北賓館兒童園遊會 近萬人湧入交通阻塞 , https://udn.com/news/story/7314/7149744?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:28:56 , udn , 1959年5月9日，台北國際婦女會在台北賓館舉行兒童園遊會，因為節目繁多，幾乎有近萬的兒童和他們的家長參加，盛況空前，一時途為之塞。這次園遊會的收入投入辦理四年護理獎學金，資助由各地選拔出來的女生接受護理教育。台北國際婦女會鑒於本省缺乏合格的護理人員，故設立此項獎學金，藉以提高公共衛生水準。凡接受獎學金的學生於畢業後，均須到鄉村中去擔任至少兩年的護理工作。 , https://udn.com/news/story/7314/7149744?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:29:17 , udn , 延後退休難／大齡求職碰壁 總經理投百封履歷被無視 重返職場靠一招 , https://udn.com/news/story/7269/7133254?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:29:27 , udn , 65歲的謝文勝及63歲的戴娜，兩人同樣曾是主管職，一個做到雙B汽車經銷商總經理，一個數十年生涯都在外商公司任職，英文程度俱佳，但在離開原有職場退休後想要重新就業時，兩人都投了上百封履歷沒有下文，納悶自己工作資歷優，為何沒人邀約面試？最後在104人力銀行幫助下，透過關鍵的「技術性協助」，第一次面試就過關，謝文勝重回工作大半輩子的汽車業當中階主管，戴娜則是快樂的新東陽門市大齡店員。... , https://udn.com/news/story/7269/7133254?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:31:20 , udn , 基本所得額不計入房地合一交易損失 似有損納稅人權益 , https://udn.com/news/story/121041/7151755?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:31:30 , udn , 又到了每年 5 月報稅時節，營利事業於申報營所稅時，房地合一 2.0 之交易所得須與營所稅本稅課稅所得分開計稅，再合併計算基本所得額進而計算基本稅額，以與一般所得稅額作比較，後者若低於前者則應繳納最低稅負。 , https://udn.com/news/story/121041/7151755?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:36:12 , udn , 中美會因台灣而戰？秦剛：保留採取一切必要措施的選項 , https://udn.com/news/story/7331/7151768?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:36:22 , udn , 大陸國務委員兼外長秦剛接受《中東報》書面採訪，被問到中美會因台灣而爆發戰爭嗎？秦剛說，台獨是危害台海和平穩定的最大威脅。... , https://udn.com/news/story/7331/7151768?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:42:16 , udn , 選罷法修法限制參政權惹議 立法院今午協商 , https://udn.com/news/story/6656/7151771?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:42:27 , udn , 立法院內政委員會上月初審通過反黑金槍毒條款的「公職人員選罷法」部分條文修正草案，明定曾犯內亂、外患、貪汙、賄選、國安三法... , https://udn.com/news/story/6656/7151771?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:54:14 , udn , 外交官恐嚇加國議員遭驅逐 陸使館揚言後果由加方承擔 , https://udn.com/news/story/7331/7151779?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:54:24 , udn , 中國大陸與加拿大的外交摩擦升級。加拿大政府於當地時間8日宣布驅逐一名大陸駐多倫多總領館的領事官員，因其被控試圖恐嚇加國保... , https://udn.com/news/story/7331/7151779?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:54:45 , udn , 朴寶劍、金泰亨著用款！CELINE潮流運動風圈粉最帥男神 , https://udn.com/news/story/7270/7151777?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:54:56 , udn , 夏日如何穿出時尚潮流運動風？包括朴寶劍及BTS防彈少年團成員金泰亨（V）等韓流男團與時尚男星都在社群上分享本季最帥氣造型... , https://udn.com/news/story/7270/7151777?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:57:22 , udn , 紐時賞析／科學家預測「這些地方」恐出現創紀錄高溫 , https://udn.com/news/story/6904/7146124?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:57:33 , udn , Global warming is making dangerously hot weather more common... , https://udn.com/news/story/6904/7146124?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:57:54 , udn , 生成式AI成社會顯學 潛藏的道德風險與資安危機  , https://udn.com/news/story/7240/7151757?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:58:04 , udn , 「你問過 ChatGPT 了嗎？」生成式 AI 已成為當今社會的顯學。但在享受便捷的生成式AI工具的同時，其安全與道德風險也逐漸潛入，動搖著企業與個人的資安危機。運用AI優勢同時掌控數位風險，將是企業治理未來重要的關鍵。 , https://udn.com/news/story/7240/7151757?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:58:25 , udn , 周日母親節 吳聖宇：梅雨鋒面通過快閃全台下雨北台轉涼 , https://udn.com/news/story/7266/7151780?from=udn-ch1_breaknews-1-0-news
2023-05-09 08:58:35 , udn , 首波梅雨鋒面快閃離開，今起各地天氣逐漸穩定轉晴，氣溫也會逐漸升高。天氣風險公司天氣分析師吳聖宇指出，下波梅雨鋒面周日母親... , https://udn.com/news/story/7266/7151780?from=udn-ch1_breaknews-1-0-news
2023-05-09 09:06:25 , udn , 別錯過5月這幾天！12星座專屬幸運日  , https://udn.com/news/story/7268/7144059?from=udn-ch1_breaknews-1-0-news
2023-05-09 09:06:36 , udn , 又來給各位派送每月的好日啦，其實只要心態穩，日日都是好日。來看看本月哪幾天是你的超級幸運日吧？希望你們能在這些小確幸裡，感受到生命的力量和美好的未來。 , https://udn.com/news/story/7268/7144059?from=udn-ch1_breaknews-1-0-news
2023-05-09 09:09:23 , udn , 5/9【早晨財經速解讀】利率脫鉤！聯準會 5.25% vs.市場 4.5%  誰才是對的？陸股創高進入牛市！ , https://udn.com/news/story/7251/7151786?from=udn-ch1_breaknews-1-0-news
2023-05-09 09:09:33 , udn , 美國股市周一微漲，美國公債下跌。聯準會（Fed）一項貸款需求調查顯示授信出現緊縮，投資人開始評估Fed是否可能改變政策立場，也將注意力轉向本周公布的通膨數據。 , https://udn.com/news/story/7251/7151786?from=udn-ch1_breaknews-1-0-news
2023-05-09 09:11:26 , udn , 周日母親節 吳聖宇：梅雨鋒面通過快閃全台下雨、北台轉涼 , https://udn.com/news/story/7266/7151780?from=udn-ch1_breaknews-1-0-news
2023-05-09 09:21:26 , udn , 銀座名表搶案 搶匪是16到19歲的青少年 , https://udn.com/news/story/6809/7151807?from=udn-ch1_breaknews-1-0-news
2023-05-09 09:21:36 , udn , 昨日（8日）東京銀座勞力士手表專賣店發生搶案，警方在半小時後逮捕4名男性嫌犯，全部是19歲以下的青少年。 , https://udn.com/news/story/6809/7151807?from=udn-ch1_breaknews-1-0-news
2023-05-09 09:30:23 , udn , 00882一度跌至9塊多...！她曝「6買進理由和5缺點」：從沒賣出過且持續買進 , https://udn.com/news/story/123006/7151799?from=udn-ch1_breaknews-1-0-news
