2023-04-16 00:20:53 , udn , 2023台灣盃極限射擊大賽盛大登場 全民國防議題受重視 , https://udn.com/news/story/7241/7100778?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:08:53 , udn , 境外沙塵+本土空汙 今天西部空氣品質慘兮兮 , https://udn.com/news/story/7266/7100912?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:09:04 , udn , 中國大陸沙塵暴影響，以及台灣本地汙染物，環保署預估周三之後空氣品質才會好轉。環保署提醒富貴角、二林、新港、崙背地區、馬祖... , https://udn.com/news/story/7266/7100912?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:27:06 , udn , 台積電法說看半導體景氣 3月外銷訂單恐連七黑 , https://udn.com/news/story/7253/7100192?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:27:16 , udn , 經濟部統計處20日公布3月外銷訂單數據。經濟部預估3月外銷訂單金額為480億美元至500億美元，年減23.4%至年減20.2%，恐陷入「連七黑」。第一季1376億美元至1396億美元，將較去年同期衰退20.5%至年減19.3%。... , https://udn.com/news/story/7253/7100192?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:27:37 , udn , 高麗菜盛產便宜又好吃 專家曝挑選5重點 , https://udn.com/news/story/7266/7100915?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:27:47 , udn , 正值高麗菜盛產，便宜又好吃。「鮮享農YA - 農糧署」臉書粉專說，台灣一年四季都有生產高麗菜，高麗菜的挑選把握5個重點，... , https://udn.com/news/story/7266/7100915?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:47:54 , udn , 寫履歷不再成為惡夢！網議五大「履歷注意事項」一次看 , https://udn.com/news/story/7269/7098586?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:48:04 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤過去一年內「履歷注意事項」話題的網路聲量表現，帶您了解網友熱議的五大履歷注意事項有哪些。 , https://udn.com/news/story/7269/7098586?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:48:25 , udn , 不只蛀牙還發炎腫痛？網友：可能是長智齒惹的禍！ , https://udn.com/news/story/7266/7098605?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:48:35 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近一年內「智齒可能引發症狀」話題的網路聲量表現，帶您了解網友熱議的六大智齒可能引發症狀排行。 , https://udn.com/news/story/7266/7098605?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:48:56 , udn , 獨／高雄山火4天燒不停 消防局挨轟人力浪費無效率 , https://udn.com/news/story/7320/7100918?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:49:06 , udn , 高雄內門大火自12日燒了整整４天，有消防員私下透露，消防局把所有市區人力叫去支援，幾乎全高雄消防員出動，派得比當年城中城... , https://udn.com/news/story/7320/7100918?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:50:53 , udn , XTERRA亞太越野三項墾丁登場 法國男冠軍：剛從地獄回來 , https://udn.com/news/story/7005/7100920?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:51:03 , udn , 世界盃系列賽第一站「2023年XTERRA亞太越野三項錦標賽」，今天上午6時從屏東墾丁南灣出發，來自33個國家近300位... , https://udn.com/news/story/7005/7100920?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:56:55 , udn , 發燒頭痛、上吐下瀉？出現這些症狀你可能得了諾羅病毒！ , https://udn.com/news/story/7266/7098653?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:57:05 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月內「諾羅病毒症狀」相關話題的網路聲量，帶您了解網友熱議的6大諾羅病毒症狀。 , https://udn.com/news/story/7266/7098653?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:57:26 , udn , 美國會終於同意汰除A-10攻擊機 傳奇疣豬就此退役？ 還很難說 , https://udn.com/news/story/10930/7099590?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:57:36 , udn , 4月5日，一架隸屬美國空軍23戰鬥機聯隊74中隊、序號80-149的A-10攻擊機，最後一次由駐地喬治亞州穆迪基地起飛，目的是亞利桑那州的戴維斯蒙森基地，即著名的「飛機墳場」。連同這趟最後航程，80-149號機共累積了1萬4215小時的飛行。飛機降落後，飛官杜明格上尉（Kevin Domingue）依據美軍傳統，與地勤人員一起在座艙內簽名，向老夥伴告別。... , https://udn.com/news/story/10930/7099590?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:57:57 , udn , 整理包／明天起大眾運輸也不用戴口罩 4大QA一次解惑 , https://udn.com/news/story/7266/7100922?from=udn-ch1_breaknews-1-0-news
2023-04-16 07:58:07 , udn , COVID-19國內外疫情逐漸趨緩，室內外免戴口罩，中央流行疫情指揮中心日前公布，如疫情持續穩定可控，自4月17日也實施... , https://udn.com/news/story/7266/7100922?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:06:14 , udn , 境外汙染有好轉 彭啟明：建議外出做這動作 , https://udn.com/news/story/7266/7100924?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:06:25 , udn , 天氣風險公司總經理彭啟明在「氣象達人彭啟明」臉書粉專表示， 境外汙染有好轉，但隨著大氣轉穩定，白天可能仍不佳，建議外出可... , https://udn.com/news/story/7266/7100924?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:15:14 , udn , 備孕中不知該從何下手？網推這些習慣提升好孕力！ , https://udn.com/news/story/7266/7098632?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:15:25 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月內「好孕習慣」相關話題的網路聲量，帶您了解網友熱議的五大好孕習慣有哪些。 , https://udn.com/news/story/7266/7098632?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:27:13 , udn , MLB／本季首安即首轟！張育成挑戰綠色怪物 勝利打點助紅襪逆轉  , https://udn.com/news/story/6999/7100930?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:27:23 , udn , 本季首安就是全壘打！紅襪隊好手張育成今（16日）在主場迎戰天使，擔任先發第9棒游擊手，第二打席一棒將球轟過左外野綠色怪物，8局下再補上一支安打，單場進帳4分打點。 , https://udn.com/news/story/6999/7100930?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:39:14 , udn , MLB／張育成兩分砲、4打點 紅襪教頭要他想起經典賽MVP , https://udn.com/news/story/6999/7100934?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:39:25 , udn , 紅襪隊台將張育成華麗迎接本季首安，今天第4局敲兩分砲、第8局敲兩分打點安打，在當時都是逆轉戰局的一擊，巨大的雙安，幫助紅... , https://udn.com/news/story/6999/7100934?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:39:45 , udn , 萵苣好營養 專家教你做這步驟減少苦味 , https://udn.com/news/story/7270/7100933?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:39:56 , udn , 你喜歡萵苣嗎？「鮮享農YA - 農糧署」臉書粉專說，萵苣家族含胡蘿蔔素及維生素A、C、B群等營養，其中白色乳汁中所含的「... , https://udn.com/news/story/7270/7100933?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:43:14 , udn , 用追火車比喻選總統 侯友宜：團隊跑更久、更遠、更好 , https://udn.com/news/story/123307/7100931?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:43:24 , udn , 新北市長侯友宜和鴻海創辦人郭台銘，「競爭」2024總統大選國民黨提名。侯友宜今天以鐵道馬拉松接力賽比喻，一個人跑也許快一... , https://udn.com/news/story/123307/7100931?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:43:45 , udn , 健康來得及／健康者服糖尿病藥物有助長壽？新研究讓提倡者改口了 , https://udn.com/news/story/6812/7093210?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:43:55 , udn , 「二甲雙胍」（metformin，胍音同瓜）是治療2型糖尿病患者的降血糖藥物，副作用低、相對安全。但自從有研究指出，服用這種藥的糖尿病患者壽命延長後，一些熱衷追求長壽的知識分子也開始吃，試圖延緩衰老。二甲雙胍真的是「仙丹」？無糖尿病者服這種藥物又會有什麼後果？ , https://udn.com/news/story/6812/7093210?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:44:16 , udn , 教授爭飯碗／改寫博論拚升等算自我抄襲？學者挺李明璁沒違反學術倫理 , https://udn.com/news/story/6928/7100419?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:44:26 , udn , 以博論或碩論濃縮後投稿上期刊的文章，送交升等審查，是否算是自我抄襲，違反學術倫理？中央研究院分子與基因醫學研究所所長孫以瀚說，自我抄襲的主要問題在於「重複發表」，原因可能是為衝高著作數量，但學術界真正在意的不是研究者的文字重複在不同文章中使用，而是研究的核心成果是否重複發表，以致重複獲利。

台大社會系前助理教授李明璁2016提出升等的著作之一，被認為與博士論文雷同度高，有違學術誠信，因而升等未過。2019年台大學術倫理委員會審議李明璁學倫案做出決議，申請升等資料表疑似登載不實、且著作重複送審... , https://udn.com/news/story/6928/7100419?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:44:47 , udn , 通勤換房價成為趨勢 從高鐵定期票銷售找房市熱區 , https://udn.com/news/story/7266/7100402?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:44:57 , udn , 受不了台北市房價高的「脫北者」愈來愈多，也有在竹科上班的工程師，買不起竹北的房子，白天脫北搭高鐵上下班，高鐵定期票越賣越好，目前銷售前三名區間都在新竹以北，搭高鐵通勤不貴嗎？專家指出，高鐵沿線發展如同台北捷運的放大版，房價相對便宜，還能換到屋況更佳且坪數更大的房子，通勤換房價成為趨勢，巧的是，高鐵銷售第一的這個區間定期票，也是脫北者購屋的最愛。 , https://udn.com/news/story/7266/7100402?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:54:14 , udn , 出手拆解初選「引信」 侯友宜：敬佩劉哲彰成全團隊 , https://udn.com/news/story/123307/7100937?from=udn-ch1_breaknews-1-0-news
2023-04-16 08:54:25 , udn , 國民黨新北市議員劉哲彰原本表態投入新北大新店選區立委選舉，昨晚在臉書張貼和新北市長侯友宜的合照，並宣布退選。侯友宜今早表... , https://udn.com/news/story/123307/7100937?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:03:15 , udn , 小心大災難！迎水逆+冥王星逆行+木星遇難 命理師：未來半年會有點虐  , https://udn.com/news/story/7268/7100938?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:03:25 , udn , 下周四(4/20)節令進入了穀雨，屬於春天最後一個節氣。國際天星風水命理專家邱彥龍老師提醒，接下來星象將有三個轉變，影響著整個大環境，小至個人，大至國家領袖，都將共同承載著星象變化帶來的運勢衝擊，第一階段是水逆，財富容易被盯上，第二階段是冥王星逆行，小人充斥，第三個階段則是木星遇難，將有大災難發生。 , https://udn.com/news/story/7268/7100938?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:03:46 , udn , 浴室換氣別開門、電子鍋這處常忘了洗！三招小技巧讓清潔更有效 , https://udn.com/news/story/7266/7098603?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:03:56 , udn , 平時居家生活，免不了要注意環境整潔。此時如果發揮一些小技巧，或許就能大幅提昇清潔的效率。日本網站「grape」近來就分享IG網友「king.blog05」的教學，示範三種平常可以嘗試的生活點子。 , https://udn.com/news/story/7266/7098603?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:04:17 , udn , 日相岸田遇襲更多畫面曝光！目擊者拍到爆裂物擲向首相瞬間 , https://udn.com/news/story/123470/7100942?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:04:27 , udn , 日本經濟新聞報導，日本首相岸田文雄15日在和歌山市雜賀崎漁港助選、準備站台演說前，遭人投擲圓筒狀爆裂物，岸田在安全人員護... , https://udn.com/news/story/123470/7100942?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:09:14 , udn , 9天8夜！大甲媽祖遶境21日深夜起駕 鎮瀾宮推薦必備行囊清單 , https://udn.com/news/story/7325/7100948?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:09:25 , udn , Discovery探索頻道譽為世界3大宗教盛事的大甲媽祖遶境進香活動，將於21日深夜起駕，為期9天8夜，大甲鎮瀾宮預估將... , https://udn.com/news/story/7325/7100948?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:09:45 , udn , 新北鐵道馬開跑 北北基桃4市組隊參賽 , https://udn.com/news/story/7323/7100940?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:09:56 , udn , 新北市鐵道馬拉松接力賽開跑，新北市長侯友宜、台北市長蔣萬安、桃園市長張善政及基隆市副市長邱佩琳也組隊參賽。侯友宜表示，這... , https://udn.com/news/story/7323/7100940?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:18:14 , udn , 影／台中莒光新城凌晨傳火警 全面燃燒母女送醫1插管 , https://udn.com/news/story/7320/7100953?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:18:24 , udn , 台中市消防局在今天凌晨2時許獲報，北區莒光新城在今天凌晨2時許傳出火警，警、消到場時，10樓一間住戶已全面燃燒，經救出七... , https://udn.com/news/story/7320/7100953?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:27:14 , udn , 2024立委戰／北市立委藍綠都自信？ 民進黨要搶5、國民黨喊全上 , https://udn.com/news/story/6656/7100409?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:27:24 , udn , 台北市八個立委選區當中，這屆立委藍綠各占4席，國民黨市黨部主委黃呂錦茹日前分析下屆台北市立委選情，除台北市第二選區士林大同藍綠呈現五五波外，其餘選區藍營都有六成以上把握。民進黨人士則表示，台北市現有3席黨籍及1席無黨籍立委林昶佐，雖然林昶佐已宣布不競選連任，但有信心民進黨會推強棒順利接棒，台北市立委席可望坐3望4搶5。 , https://udn.com/news/story/6656/7100409?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:27:45 , udn , 照片看歷史／1981年開國史鉅片《辛亥雙十》開鏡 為港台首次合作拍片 , https://udn.com/news/story/7314/7100144?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:27:55 , udn , 1981年4月16日，邵氏與中影合作攝製的中華民國開國史實鉅片《辛亥雙十》在台北賓館開鏡。這是港台首次合作的影片。時任邵氏公司總裁邵逸夫及中影公司總經理明驥。邀請當時的國民黨中央委員會秘書長蔣彥士主持開鏡典禮，各界人士包括秦孝儀、白萬祥、趙自齊、毛松年、夏功權、宋楚瑜、梅長齡、張法鶴等多人出席。... , https://udn.com/news/story/7314/7100144?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:28:16 , udn , 春雨周三報到！ 雨彈襲全台 賈新興：中南部有機會雷雨 , https://udn.com/news/story/7266/7100962?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:28:26 , udn , 昨天中部以北降下久違的春雨，台灣整合防災工程技術顧問公司總監賈新興在臉書表示，期待下一波，就在4月19日周三。 , https://udn.com/news/story/7266/7100962?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:45:14 , udn , 救少子化 郭台銘說trust me  吳欣岱重提4年前這句話反嗆... , https://udn.com/news/story/6656/7100977?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:45:24 , udn , 表態爭取國民黨2024總統提名的鴻海創辦人郭台銘會見日本自民黨議員談少子、高齡化等問題，承諾「打造第二次台灣經濟奇蹟」，... , https://udn.com/news/story/6656/7100977?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:45:45 , udn , 影／新北鐵道馬拉松 北北基桃首長體驗「追火車」魅力 , https://udn.com/news/story/7323/7100975?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:45:55 , udn , 新北市鐵道馬拉松接力賽清晨在貢寮福容飯店熱鬧開跑。報名隊伍達1157隊，突破歷屆賽事新高，也吸引新北市長侯友宜、台北市長... , https://udn.com/news/story/7323/7100975?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:46:16 , udn , 日相岸田遇襲 專家：可能是安倍遇刺案模仿犯 , https://udn.com/news/story/123470/7100932?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:46:26 , udn , 日本首相岸田文雄今天上午輔選時遭24歲男子木村隆二丟擲爆裂物，所幸平安未受傷。熟悉犯罪心理學的專家說，木村可能是受到去年... , https://udn.com/news/story/123470/7100932?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:46:47 , udn , 影／點蚊香釀禍？ 莒光新城暗夜起火釀2傷 七旬婦插管 , https://udn.com/news/story/7320/7100974?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:47:18 , udn , 厄瓜多監獄再爆暴力衝突 至少12死 , https://udn.com/news/story/6809/7100958?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:47:28 , udn , 厄瓜多檢察官辦公室今天表示，港口城市瓜亞基爾（Guayaquil）「濱海監獄」（Litoral Penitentiary... , https://udn.com/news/story/6809/7100958?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:47:49 , udn , 男網路交友！超商買5000元遊戲點數險被騙 店員與警勸阻 , https://udn.com/news/story/7320/7100973?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:47:59 , udn , 一名49歲行動不便男子到台中市一家超商要買遊戲點數，他神情慌張，店員通報，員警到場關心，查問才知男子網路交友，想見對方一... , https://udn.com/news/story/7320/7100973?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:51:15 , udn , 讓全國看見滿滿的教育能量 苗栗初選推薦3名SUPER教師 , https://udn.com/news/story/6885/7100986?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:51:25 , udn , 全國教師會主辦的SUPER教師獎甄選苗栗縣初選，苗栗縣各級學校產業工會推薦永貞國小老師葉致良、苗栗高商老師林鍾勇，及卓蘭... , https://udn.com/news/story/6885/7100986?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:51:46 , udn , 南華大學大悲懺法會1700人齊聚 為星雲大師圓寂後首場 , https://udn.com/news/story/7326/7100985?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:51:56 , udn , 嘉義南華大學睽違2年的「佛光山百萬人興學大悲懺法會」為星雲大師圓寂後首場，昨天在校園正行中心登場，匯聚中、南區近1700... , https://udn.com/news/story/7326/7100985?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:52:17 , udn , 圖表看時事／潛藏失智、重病危機…一表看受刑人老化趨勢 , https://udn.com/news/story/6904/7100952?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:52:48 , udn , 每5人有1人高血壓 英研究：每周2次阻力訓練有助改善 , https://udn.com/news/story/7266/7100982?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:52:58 , udn , 高血壓被稱為「沉默殺手」，國民健康署調查，全台患有高血壓人數約529萬人，占比約總人口數的22%、等於每5人就有1人罹病... , https://udn.com/news/story/7266/7100982?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:53:19 , udn , 讀饗時光 EP88｜文學獎作家的國文課現場 , https://udn.com/news/story/7266/7100980?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:53:29 , udn , 新生代作家黃庭鈺出版散文集《隱身術》，寫現代人渴望抽離日常生活，尋求身心安頓的心境。

黃庭鈺是文學獎常勝軍，同時也是新竹女中國文老師。她如何觀察現今的教學現場？她的作文課會教給學生什麼寫作祕訣？ , https://udn.com/news/story/7266/7100980?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:54:20 , udn , MLB／張育成開轟很開心 日媒報導「台灣出身伏兵」 , https://udn.com/news/story/6999/7100976?from=udn-ch1_breaknews-1-0-news
2023-04-16 09:54:30 , udn , 紅襪隊旅美台將張育成今天用一發華麗的兩分砲，終結開季連19打席無安打，單場雙安、4分打點更成為紅襪隊9：7逆轉天使隊的致... , https://udn.com/news/story/6999/7100976?from=udn-ch1_breaknews-1-0-news
2023-04-16 10:12:14 , udn , 檢警攻陷兩處「喵喵」製毒工廠 堵住215萬包毒咖啡上市 , https://udn.com/news/story/7315/7101007?from=udn-ch1_breaknews-1-0-news
2023-04-16 10:12:25 , udn , 基隆檢警在新北市汐止區、宜蘭縣壯園鄉，查獲俗稱「喵喵」的4-甲基甲基卡西酮製毒工廠，查扣的成品、半成品和原料，若做成毒咖... , https://udn.com/news/story/7315/7101007?from=udn-ch1_breaknews-1-0-news
