2023-02-12 00:03:20 , udn , 殺破狼周運勢／獅子職場脫離豬隊友 單身魔羯有意外驚喜  , https://udn.com/news/story/7268/6958539?from=udn-ch1_breaknews-1-0-news
2023-02-12 05:54:21 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看高齡台灣面對的「長照殺人」議題。 , https://udn.com/news/story/7314/6965887?from=udn-ch1_breaknews-1-0-news
2023-02-12 05:54:21 , udn , 【總編開箱】與228家屬會面 蔣萬安是拆彈或拉開引信？ , https://udn.com/news/story/6656/6965941?from=udn-ch1_breaknews-1-0-news
2023-02-12 05:54:21 , udn , 台北市長蔣萬安與228受難者家屬會面，他目的很清楚，是想要提前拆彈，化解危機，避免228當天的場面一發不可收拾。這是蔣萬安化解對立的起手式，相形之下，也是拉開了引信，若無以為繼，恐怕難以真正和解，結果會炸更大、跌更重。 , https://udn.com/news/story/6656/6965941?from=udn-ch1_breaknews-1-0-news
2023-02-12 06:00:23 , udn , 白沙屯媽祖起駕進香 萬眾簇擁「粉紅超跑」長征 , https://udn.com/news/story/7266/6965953?from=udn-ch1_breaknews-1-0-news
2023-02-12 06:00:23 , udn , 2023苗栗縣通霄鎮白沙屯拱天宮媽祖徒步前往雲林北港朝天宮進香，今天凌晨起駕出發，數萬名信徒簇擁「粉紅超跑」展開9天8夜... , https://udn.com/news/story/7266/6965953?from=udn-ch1_breaknews-1-0-news
2023-02-12 06:15:20 , udn , 星期人物／印度煤王阿達尼背靠莫迪 集團「大到不能倒」 , https://udn.com/news/story/6812/6965858?from=udn-ch1_breaknews-1-0-news
2023-02-12 06:15:20 , udn , 直到農曆年期間，印度億萬富豪阿達尼（Gautam Adani）還在全球富豪榜上跟馬斯克、貝佐斯、阿諾齊名。 , https://udn.com/news/story/6812/6965858?from=udn-ch1_breaknews-1-0-news
2023-02-12 06:42:21 , udn , 土敘強震增至逾2.8萬人喪生 87萬人急需熱食 , https://udn.com/news/story/123305/6965980?from=udn-ch1_breaknews-1-0-news
2023-02-12 06:42:21 , udn , 土耳其與敘利亞邊界地區6日發生規模7.8強震，截至今天，兩國合計死亡人數已突破2萬8000人 , https://udn.com/news/story/123305/6965980?from=udn-ch1_breaknews-1-0-news
2023-02-12 07:00:22 , udn , 7縣市濃霧 吳德榮：明傍晚鋒面挾強冷空氣 情人節濕冷 , https://udn.com/news/story/7266/6965982?from=udn-ch1_breaknews-1-0-news
2023-02-12 07:00:22 , udn , 今天西半部地區及金門、馬祖易有局部霧或低雲影響能見度，中央氣象局發布7縣市濃霧特報，桃園至彰化、馬祖已出現能見度不足20... , https://udn.com/news/story/7266/6965982?from=udn-ch1_breaknews-1-0-news
2023-02-12 07:00:22 , udn , 加拿大也出現高空不明物體！杜魯多下令 美國F-22戰機將其擊落 , https://udn.com/news/story/123298/6965981?from=udn-ch1_breaknews-1-0-news
2023-02-12 07:00:22 , udn , 加拿大和美國官員表示，加拿大總理杜魯多11日下令擊落一個侵犯加國領空的不明物體，一架美國戰機將其擊落。 , https://udn.com/news/story/123298/6965981?from=udn-ch1_breaknews-1-0-news
2023-02-12 07:03:20 , udn , 各軍種兵役辛苦談！網：伙食好吃真的不容易 , https://udn.com/news/story/10930/6962516?from=udn-ch1_breaknews-1-0-news
2023-02-12 07:03:20 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月內「當兵」相關話題聲量，帶您了解網友熱議的國軍義務役抽籤軍種相關話題。 , https://udn.com/news/story/10930/6962516?from=udn-ch1_breaknews-1-0-news
2023-02-12 07:03:20 , udn , 領空偵察戰／美國闖他國領空天天上演 用間諜無人機消耗敵軍飛彈 , https://udn.com/news/story/10930/6964943?from=udn-ch1_breaknews-1-0-news
2023-02-12 07:03:20 , udn , 美國指責中國大陸高空氣球侵犯北美天空，但美國偵察機與無人機侵入蘇聯、中國大陸、北越、北韓領空，在過去幾十年，幾乎是天天發生，許多還是與台灣配合執行任務。1960年代的無人機技術較落伍，美軍用C-130運輸機施放無人機，闖入大陸領空，無人機拍了軍事設施的照片後返航，經過台灣上空，降落傘打開後，無人機就摔在稻田裡面。 , https://udn.com/news/story/10930/6964943?from=udn-ch1_breaknews-1-0-news
2023-02-12 07:03:20 , udn , 美國通膨數據預估仍強勁 市場期待年底降息恐落空 , https://udn.com/news/story/7238/6965207?from=udn-ch1_breaknews-1-0-news
2023-02-12 07:03:20 , udn , 日前美國1月非農數據和ISM非製造業PMI指數表現亮眼，顯示出美國經濟韌性十足，這動搖了市場對美國聯準會（Fed）提早結束升息的預期。但未料Fed主席鮑威爾在上周的講話中措辭偏軟，而Fed官員在公開講話中維持鷹派論調，這讓市場陷入猶豫不決。市場聚焦於14日的美國1月CPI數據。 , https://udn.com/news/story/7238/6965207?from=udn-ch1_breaknews-1-0-news
2023-02-12 07:18:23 , udn , 台人近九成都有這困擾？網議這6大族群需小心痔瘡找上門 , https://udn.com/news/story/7266/6963621?from=udn-ch1_breaknews-1-0-news
2023-02-12 07:18:23 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近一年內「痔瘡高風險族群」話題的網路聲量表現，帶您了解有關網友熱議的6大痔瘡高風險族群。 , https://udn.com/news/story/7266/6963621?from=udn-ch1_breaknews-1-0-news
2023-02-12 07:33:21 , udn , 預防便秘吃什麼？網友熱議8大抗便祕食物還你順暢人生 , https://udn.com/news/story/7266/6962657?from=udn-ch1_breaknews-1-0-news
2023-02-12 07:33:21 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤最近一年內「預防便秘」話題的網路聲量表現，帶您了解網友熱議的八大抗便秘食物網路聲量排行。 , https://udn.com/news/story/7266/6962657?from=udn-ch1_breaknews-1-0-news
2023-02-12 07:48:20 , udn , 【專家之眼】《新聞議價法》是夥伴還是敵人？ , https://udn.com/news/story/6656/6965992?from=udn-ch1_breaknews-1-0-news
2023-02-12 07:48:21 , udn , 講了兩年的《新聞媒體與數位平台強制議價法》草案即將要進入立法院闖關了嗎？民進黨立委范雲以民間學者團體的版本作為提案內容，... , https://udn.com/news/story/6656/6965992?from=udn-ch1_breaknews-1-0-news
2023-02-12 07:48:21 , udn , 「瓦格納集團」創辦人預測：俄要控制烏東頓巴斯 還要再打18個月至2年 , https://udn.com/news/story/122663/6965990?from=udn-ch1_breaknews-1-0-news
2023-02-12 07:48:21 , udn , 美聯社報導，積極參與烏克蘭戰爭的俄羅斯傭兵組織「瓦格納集團」(Wagner Group)創辦人普里格津(Yevgeny ... , https://udn.com/news/story/122663/6965990?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:03:20 , udn , 屏東家扶兒少挑戰百公里徒步旅行 年僅7歲兒2天走7萬多步 , https://udn.com/news/story/7327/6965999?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:03:20 , udn , 屏東家扶中心於今年寒假舉辦3場徒步挑戰營，分別是「大專組挑戰琅嶠卑南道（阿朗壹古道）成年禮」、「高中組挑戰徒步到恆春」、... , https://udn.com/news/story/7327/6965999?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:03:20 , udn , 教育走樣！學生國文愈學愈差 直擊教學難解的4困境 , https://udn.com/news/story/6885/6961623?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:03:20 , udn , 112學測甫落幕，許多人關心各校系參採科目情況，其中台大、清大等頂大理工科系不採計國文，只看英文、數學A及自然等三科，引發衝擊國文學習意願爭議。不過，許多第一線國文老師與大學教授近年都已觀察到學生寫作等國文能力衰退普遍弱化。探究原因，生活經驗侷限、教學方式難改、師培系統漏洞、教育政策執行矛盾等四大困境，正持續削弱學生國文表現。 , https://udn.com/news/story/6885/6961623?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:09:20 , udn , 中國女子買沖繩無人島 日政府：非調查法受調對象 , https://udn.com/news/story/6809/6965993?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:09:21 , udn , 一名中國女子在網路上聲稱「買下日本無人島」，這座島所隸屬的沖繩縣的村公所證實，一家東京的中國公司買下全島約5成。日本政府... , https://udn.com/news/story/6809/6965993?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:09:21 , udn , 【專家之眼】夏立言訪問大陸的貓膩 , https://udn.com/news/story/6656/6966000?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:09:21 , udn , 最近國民黨副主席夏立言率團訪問大陸，曾與國台辦主任宋濤以及中共中央政治局常委王滬寧會面。而王滬寧將於3月份兩會之後，接掌... , https://udn.com/news/story/6656/6966000?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:09:21 , udn , 男網友「月噴6千訂閱費」 老司機見1吃錢平台暴動：何不上酒店？ , https://udn.com/news/story/7088/6965250?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:09:21 , udn , 手機是現代人不可或缺的一部分，不只是通訊功能，更多人會訂閱各式APP來享受串流影音服務，Dcard近日就掀起熱門話題討論「你的訂閱費一個月燒多少？」引起許多APP愛用者搶答，其中更有一名男網友列出訂閱 , https://udn.com/news/story/7088/6965250?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:12:22 , udn , 美參院推新法案 阻中國購買鄰近美軍事設施土地 , https://udn.com/news/story/6809/6965998?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:12:22 , udn , 美中關係日益敵對緊張，美國共和黨籍聯邦參議員克魯茲10日宣布推出新法案，限制與中國、俄羅斯、伊朗或北韓等敵對政府的相關人... , https://udn.com/news/story/6809/6965998?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:21:21 , udn , 崑山科大首承辦永康科大 報名優惠15日截止 , https://udn.com/news/story/6885/6966002?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:21:21 , udn , 台南崑山科技大學受台南市政府教育局委託，今年首度承辦永康社區大學課務，3月6日開課，即日起至2月15日前報名享95折優惠... , https://udn.com/news/story/6885/6966002?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:24:21 , udn , 搶救台灣傳統音樂與聲音 金鼎獎作家彭雙松獲頒旌揚狀 , https://udn.com/news/story/7266/6966004?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:24:21 , udn , 金鼎獎作家、貓貍文化工作室創辦人彭雙松去年12月26日辭世，文化部日前特頒發旌揚狀，表彰他生前搶救百餘年來台灣傳統音樂與... , https://udn.com/news/story/7266/6966004?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:24:21 , udn , 一周數位爆報／Google全球表演「丟失手機」、奎丁洗泰國泡泡浴羞羞der、《英雄聯盟》鎖VPN挽民心、索尼辱華「贏了」？ , https://udn.com/news/story/7086/6964500?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:36:20 , udn , 西半部、金馬濃霧特報 明午後鋒面+冷氣團襲台 , https://udn.com/news/story/7266/6966009?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:36:20 , udn , 中央氣象局發布濃霧特報，今天西半部地區及金門、馬祖易有局部濃霧或低雲影響能見度，目前雲林、彰化、苗栗、新竹縣市、桃園已觀... , https://udn.com/news/story/7266/6966009?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:36:20 , udn , FIRST機器人大賽台灣選拔 賽題Super Powered超能世代 , https://udn.com/news/story/6904/6966008?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:36:20 , udn , 國立科學工藝博物館與台灣玉山機器人協會主辦「2022-2023 FIRST 機器人大賽台灣選拔賽」，昨、今兩天在科工館進... , https://udn.com/news/story/6904/6966008?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:36:21 , udn , 「粉紅超跑」啟動引擎 白沙屯媽祖進香第一天走整晚 , https://udn.com/news/story/7324/6966003?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:36:21 , udn , 苗栗縣通霄鎮白沙屯拱天宮媽祖往雲林縣北港朝天宮進香，今天凌晨起駕出發，進香隧伍綿延數公里人龍走整晚，媽祖神轎所到之處家戶... , https://udn.com/news/story/7324/6966003?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:42:20 , udn , AI機器人取代人類？ChatGPT通過Google工程師面試 年薪突破550萬 , https://udn.com/news/story/7086/6965519?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:42:20 , udn , AI人工智能領域開戰，由OpenAI開發的ChatGPT在推出短短2個月內吸引1億名活躍用戶，各大科技廠爭看見商機紛紛爭相砸錢投資。近日，有外媒揭露Google內部文件，Google曾安排「面試Cha , https://udn.com/news/story/7086/6965519?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:45:21 , udn , 美軍擊落加國上空不明物體 拜登杜魯道共同授權 , https://udn.com/news/story/123298/6966006?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:45:21 , udn , 北美航太防衛司令部在加拿大上空發現不明物體後，美國總統拜登與加拿大總理杜魯道共同授權擊落，並由美軍F-22戰機執行這項行... , https://udn.com/news/story/123298/6966006?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:48:20 , udn , 年後求職轉職潮！高雄首場徵才初媒率38% 2月還有2場 , https://udn.com/news/story/7327/6966013?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:48:21 , udn , 高雄市勞工局昨在新光三越高雄左營店彩虹市集1樓夢想廣場，舉辦今年開春第一場「創薪起飛、魅力高雄」大型徵才活動，吸引許多求... , https://udn.com/news/story/7327/6966013?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:48:21 , udn , 春暖花開 花壇虎山巖難得梅李櫻桃花爭妍鬥豔 , https://udn.com/news/story/7325/6966014?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:48:21 , udn , 彰化縣定古蹟花壇鄉虎山巖的梅花還有殘花，李花則趕著登場，枝頭白皚皚，彷彿鋪上白雪，再夾雜著紅色山櫻、粉紅桃花，難得一起爭... , https://udn.com/news/story/7325/6966014?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:54:21 , udn , 棒球／偉殷我大哥！捐物資到土耳其 兒子也拿出壓歲錢 , https://udn.com/news/story/6999/6966017?from=udn-ch1_breaknews-1-0-news
2023-02-12 08:54:21 , udn , 陳偉殷愛心不落人後，聽聞土耳其震災嚴重，透過台灣友人捐贈物資，就連兩個兒子都拿出自己的壓歲錢想要響應愛心，陳偉殷說：「希... , https://udn.com/news/story/6999/6966017?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:00:21 , udn , 打從母胎就注定順其自然 張又懿靠自學做科學夢 , https://udn.com/news/story/6885/6966022?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:00:21 , udn , 桃園自學生張又懿去年代表台灣參加巴西科學博覽會，抱回五項大獎。問她何時擁有科學夢，她笑稱自己小學階段還在寫小說，但撰寫過... , https://udn.com/news/story/6885/6966022?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:00:21 , udn , 高雄一早傳工安意外 建築工地吊車吊臂倒塌2工人受傷 , https://udn.com/news/story/7320/6966021?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:00:21 , udn , 高雄市三民區覺民路一處建築工地，今天上午8點多傳出工安意外，作業中的吊車吊臂突然掉落，當場砸中一名工人，由於工地就緊鄰三... , https://udn.com/news/story/7320/6966021?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:00:21 , udn , 時力決策委員出爐！ 宋國鼎拿第一高票 谷阿莫無緣出局 , https://udn.com/news/story/6656/6966020?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:00:21 , udn , 時代力量第4屆決策委員選舉昨天結束，時代力量苗栗黨部主委宋國鼎拿下第一高票，其次依序為時代力量彰化黨部主委吳韋達、現任時... , https://udn.com/news/story/6656/6966020?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:03:21 , udn , First Love初戀／劉冠吟│我九〇年代的那位男孩 , https://udn.com/news/story/7272/6941197?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:03:21 , udn , 1990年代跟2000年的分野在哪裡？張惠妹在1997年以一首〈Bad Boy〉橫掃華語流行樂壇，這是當時整個靡靡樂風的轉捩點，也是我愛情的終點；周杰倫在2000年出道，這兩件事在我心中是真正跟九〇年代說再見的指標，從此之後華語樂壇就不一樣了，人際關係不一樣了，戀愛的模式也不一樣了，傳統流行音樂再見，有距離感的愛情再見，從耳朵到腦袋，都不一樣了。 , https://udn.com/news/story/7272/6941197?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:03:21 , udn , 照片看歷史／1967年台灣第一座冰宮開幕 23年後北市卻一度不見室內滑冰場 , https://udn.com/news/story/7314/6964834?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:03:21 , udn , 1967年2月12日，台灣第一所滑冰場建築完成，正式開幕營業。這所滑冰場是屬於台北圓山育樂中心體育事業之一，因此也被稱為「圓山冰宮」。1970年代青少年熱衷滑冰運動，後來台北市又陸續出現白雪、快樂及金萬年冰宮等冰宮，一度多達十幾家業者，但這種現象到了1990年突然反轉，台北市一度完全沒有室內滑冰場。 , https://udn.com/news/story/7314/6964834?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:09:21 , udn , 中華民國童軍總會募集物資援助土敘兩國震災災民 , https://udn.com/news/story/123305/6966030?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:09:21 , udn , 中華民國童軍援助土耳其與敘利亞震災救濟物資勸募活動，第一階段順利完成，土耳其駐台北貿易辦事處感謝童軍總會在非常短時間內完... , https://udn.com/news/story/123305/6966030?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:09:21 , udn , 理論行車糾紛 台南兩男分持水果刀、辣椒槍吃官司 , https://udn.com/news/story/7320/6966028?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:09:21 , udn , 劉姓男子去年11月間駕車行經台南市柳營區產業道路，因與他人發生行車糾紛，劉通知李姓男友人到場協助，員警獲報到場處理發現，... , https://udn.com/news/story/7320/6966028?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:09:21 , udn , 土耳其災區竟爆發槍戰！不明團體之間衝突 奧地利搜救人員被迫躲子彈 , https://udn.com/news/story/6809/6966026?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:09:21 , udn , BBC和衛報報導，土耳其和敘利亞地震的死亡人數已超過2萬8000人，在土耳其南部救災的救援人員警告，當地不明團體間爆發暴... , https://udn.com/news/story/6809/6966026?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:12:21 , udn , 土耳其災區爆發槍戰！不明團體爆衝突 奧地利搜救人員被迫躲子彈 , https://udn.com/news/story/123305/6966026?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:15:20 , udn , 納粹法國滅村最後倖存者離世 致力歷史傳承和解 , https://udn.com/news/story/6809/6965997?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:15:20 , udn , 法國中部的歐哈杜爾二戰慘遭納粹滅村，倖存者中最後一人赫伯拉斯今早逝世，象徵一個世代的終結。他以講述大屠殺歷史記憶為一生志... , https://udn.com/news/story/6809/6965997?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:15:20 , udn , 混種秋田犬「瘋狂爆啃」把大門咬穿一個大洞！飼主回應讓擔心網友鬆口氣 , https://udn.com/news/story/7470/6956354?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:15:20 , udn , 有些毛小孩特別精力旺盛，而若是做出「拆家」的行為，更是會讓飼主傷透腦筋。在蘇格蘭就有網友在Tiktok上分享一段影片，是鄰居家有一隻狗狗把自家前門咬出一個大洞，幾乎是快要破門而出。 , https://udn.com/news/story/7470/6956354?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:15:20 , udn , 中華民國童軍總會 募集物資援助土敘災民 , https://udn.com/news/story/123305/6966030?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:15:20 , udn , 她預約共乘一上車驚見「拼到哈士奇」！司機提醒：主人買了2座位別擠到牠 , https://udn.com/news/story/7470/6963558?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:15:20 , udn , 「共享、共租」被視為一種經濟模式以及一種生活型態，在現代社會的重要性也日漸提升。近日在微博上就有名網友分享自己令人印象深刻的「拼車經驗」。 , https://udn.com/news/story/7470/6963558?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:18:21 , udn , 時力決策委員出爐！宋國鼎拿第一高票 谷阿莫無緣出局 , https://udn.com/news/story/6656/6966020?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:21:20 , udn , 明午後變天、周二大降溫別輕忽 專家指這期間最冷 , https://udn.com/news/story/7266/6966034?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:21:20 , udn , 天氣風險公司總經理彭啟明今天在「氣象達人彭啟明」臉書粉專表示，今天在西北部仍有低雲或濃霧，中南部空品差，晴朗地方白天溫度... , https://udn.com/news/story/7266/6966034?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:21:20 , udn , 暗夜南市手套工廠火警 燒毀生產線人平安 , https://udn.com/news/story/7320/6966035?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:21:20 , udn , 台南市東山區一間手套工廠今凌晨不明原因起火，波及室外油氣集塵設備及手套生產線，台南市消防局調派17輛消防車37名消防人員... , https://udn.com/news/story/7320/6966035?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:24:21 , udn , 影／開720萬保時捷跑車 台中男酒駕自撞台灣大道翻車 , https://udn.com/news/story/7321/6966036?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:24:21 , udn , 台中市紀姓男子在今天凌晨3時許，駕駛新車要價720萬元的保時捷GT4 RS跑車，行經台灣大道、惠來路時，因不勝酒力，自撞... , https://udn.com/news/story/7321/6966036?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:24:21 , udn , 暗夜南市手套工廠火警 生產線燒毀人平安 , https://udn.com/news/story/7320/6966035?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:27:21 , udn , 王毅：中國與尼加拉瓜復交1年多 加快自貿協定商談 , https://udn.com/news/story/7331/6966039?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:27:21 , udn , 中共中央政治局委員、中央外事工作委員會辦公室主任王毅11日表示，中國大陸與尼加拉瓜復交一年多來，快速推進各領域合作，加快... , https://udn.com/news/story/7331/6966039?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:27:22 , udn , 時力決策委員出爐！宋國鼎拿第一高票 網紅谷阿莫出局 , https://udn.com/news/story/6656/6966020?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:36:21 , udn , 個資防火牆 數位部鼓勵電商導入「隱碼技術」 , https://udn.com/news/story/7241/6966042?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:36:21 , udn , 近期民間企業個資外洩事件頻傳，數位部表示，去年開始進行電商資安輔導措施，並建立資安聯防情資及通報機制平台，今年也鼓勵電商... , https://udn.com/news/story/7241/6966042?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:42:21 , udn , 立委：建商土地融資、缺工缺料問題 政府應助過難關 , https://udn.com/news/story/6656/6966047?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:42:21 , udn , 台灣民眾黨立委邱臣遠今天表示，國內空屋數量驚人，顯然供過於求，但是房價卻不斷攀升，由於政府的怠惰與疏忽，導致市場發展方向... , https://udn.com/news/story/6656/6966047?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:45:21 , udn , 獨／政戰學院英文背誦比賽 美軍交換生朗讀宋美齡文章 , https://udn.com/news/story/10930/6966048?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:45:21 , udn , 國防大學政戰學院學生指揮部向來有舉行古文或英文背誦比賽的傳統，學院日前舉行英文短篇文選背誦比賽，篇目為故總統夫人宋美齡女... , https://udn.com/news/story/10930/6966048?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:51:20 , udn , 日防衛省：大陸軍艦今清晨侵入日本領海 行經鹿兒島縣屋久島附近 , https://udn.com/news/story/6809/6966050?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:51:20 , udn , 彭博資訊報導，日本防衛省表示，一艘中國大陸海軍軍艦12日清晨被發現在日本南部的鹿兒島縣屋久島(Yakushima)附近進... , https://udn.com/news/story/6809/6966050?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:51:20 , udn , Dior高訂助攻宇宙最強時尚網紅！4大女權宣言讀懂了嗎 , https://udn.com/news/story/7270/6966049?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:51:20 , udn , 義大利超人氣KOL Chiara Ferragni，日前為期4天的義大利73屆Sanremo音樂節並擔任這個義大利粉絲數... , https://udn.com/news/story/7270/6966049?from=udn-ch1_breaknews-1-0-news
2023-02-12 09:57:22 , udn , 日防衛省稱陸軍艦今晨侵入日本領海 行經鹿兒島縣附近 , https://udn.com/news/story/6809/6966050?from=udn-ch1_breaknews-1-0-news
